Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,148.80,149.65,147.30,149.65,823500,149.65
2016-10-26,152.05,152.25,149.40,149.40,970700,149.40
2016-10-25,155.00,157.25,151.25,152.70,1191600,152.70
2016-10-24,157.30,157.35,154.90,155.20,577900,155.20
2016-10-21,159.90,160.30,156.15,156.65,727300,156.65
2016-10-20,158.65,159.50,157.40,159.50,669100,159.50
2016-10-19,158.00,159.15,157.55,158.50,656300,158.50
2016-10-18,156.70,158.30,156.35,157.80,772100,157.80
2016-10-17,156.50,157.65,155.55,155.95,526500,155.95
2016-10-14,154.30,157.35,154.30,157.10,703200,157.10
2016-10-13,154.80,155.10,153.20,153.20,625800,153.20
2016-10-12,155.30,156.45,154.50,155.70,481400,155.70
2016-10-11,157.75,158.20,155.30,155.55,515900,155.55
2016-10-10,154.95,157.85,154.90,157.85,525900,157.85
2016-10-07,154.00,156.05,152.70,155.15,625300,155.15
2016-10-06,155.75,156.00,153.55,153.80,586800,153.80
2016-10-05,156.00,157.10,155.10,155.85,534400,155.85
2016-10-04,154.40,157.40,154.15,157.40,852200,157.40
2016-10-03,154.50,154.50,154.50,154.50,000,154.50
2016-09-30,152.15,154.85,151.60,154.50,832900,154.50
2016-09-29,156.75,157.40,153.30,153.60,615300,153.60
2016-09-28,152.20,155.55,152.10,155.55,753300,155.55
2016-09-27,154.05,154.45,151.10,152.30,615900,152.30
2016-09-26,153.95,155.10,152.85,153.25,813400,153.25
2016-09-23,155.00,155.35,154.40,155.10,601400,155.10
2016-09-22,154.35,154.95,153.00,154.85,832900,154.85
2016-09-21,152.45,154.55,152.30,153.05,866300,153.05
2016-09-20,149.60,152.00,149.35,151.30,900800,151.30
2016-09-19,150.05,150.45,148.35,149.20,1017100,149.20
2016-09-16,150.85,151.40,147.35,149.90,9908700,149.90
2016-09-15,147.85,150.60,147.15,150.60,876900,150.60
2016-09-14,148.40,149.75,147.20,148.40,806800,148.40
2016-09-13,146.45,149.90,146.35,148.05,884100,148.05
2016-09-12,142.30,147.15,142.05,146.20,812200,146.20
2016-09-09,145.40,146.15,144.05,145.05,557600,145.05
2016-09-08,148.80,149.40,145.75,146.15,706100,146.15
2016-09-07,147.25,148.95,147.00,148.35,625100,148.35
2016-09-06,147.20,147.80,145.75,146.50,632500,146.50
2016-09-05,145.20,148.15,144.75,147.35,519300,147.35
2016-09-02,145.15,146.40,143.65,145.45,1286800,145.45
2016-09-01,148.80,150.30,146.65,147.80,809800,147.80
2016-08-31,151.45,151.50,148.05,148.95,954500,148.95
