Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,142.55,143.10,141.45,142.95,1225700,142.95
2016-10-26,142.50,143.15,140.70,142.60,1389700,142.60
2016-10-25,142.60,143.70,142.15,143.00,1214600,143.00
2016-10-24,140.50,143.10,140.20,142.05,1575400,142.05
2016-10-21,140.25,140.50,139.30,140.00,1396900,140.00
2016-10-20,139.50,140.70,138.80,139.65,1611700,139.65
2016-10-19,139.40,139.85,138.05,139.25,1232700,139.25
2016-10-18,139.30,140.00,138.75,139.15,1548100,139.15
2016-10-17,137.50,139.70,137.50,138.10,1396500,138.10
2016-10-14,136.10,139.10,135.65,138.10,1388400,138.10
2016-10-13,137.55,137.95,134.60,135.55,1833200,135.55
2016-10-12,137.10,139.15,136.20,138.75,1728200,138.75
2016-10-11,137.00,138.25,136.40,137.10,1511300,137.10
2016-10-10,136.10,137.65,134.75,137.25,1235900,137.25
2016-10-07,135.50,137.00,134.25,135.80,1605100,135.80
2016-10-06,135.40,136.75,134.70,135.60,1834600,135.60
2016-10-05,132.05,135.65,131.10,134.55,1652700,134.55
2016-10-04,132.45,133.40,131.80,132.95,1516800,132.95
2016-10-03,132.10,132.10,132.10,132.10,000,132.10
2016-09-30,129.25,132.65,126.60,132.10,2442400,132.10
2016-09-29,132.90,133.70,130.60,131.30,1330800,131.30
2016-09-28,130.25,133.05,130.25,131.60,1219600,131.60
2016-09-27,133.20,133.25,128.60,130.20,1861000,130.20
2016-09-26,136.00,136.10,132.20,132.30,1700000,132.30
2016-09-23,136.10,136.70,135.65,136.60,1108700,136.60
2016-09-22,135.25,137.25,134.60,136.60,1544000,136.60
2016-09-21,133.80,136.15,133.75,134.00,1335100,134.00
2016-09-20,131.35,133.05,130.65,132.40,1294200,132.40
2016-09-19,131.00,131.60,130.55,131.10,960000,131.10
2016-09-16,132.55,132.85,129.60,130.00,4371500,130.00
2016-09-15,131.40,133.05,130.65,132.55,1347100,132.55
2016-09-14,133.00,133.25,131.00,131.25,1280500,131.25
2016-09-13,135.35,135.60,132.45,132.45,1214100,132.45
2016-09-12,134.80,135.95,133.35,134.90,1599000,134.90
2016-09-09,135.40,137.35,135.25,136.55,1844300,136.55
2016-09-08,135.30,135.95,133.10,135.65,1105600,135.65
2016-09-07,135.15,135.85,134.10,135.05,747000,135.05
2016-09-06,135.55,135.90,134.20,134.70,853200,134.70
2016-09-05,136.55,136.90,135.30,135.50,967300,135.50
2016-09-02,134.85,136.00,133.20,135.70,1195700,135.70
2016-09-01,133.75,136.15,133.15,133.85,1370000,133.85
2016-08-31,132.05,135.10,132.05,133.55,1715700,133.55
2016-08-30,129.75,133.10,129.50,132.50,1384600,132.50
2016-08-29,128.90,130.35,128.35,129.20,526800,129.20
2016-08-26,129.75,130.25,128.70,129.60,913400,129.60
2016-08-25,130.00,130.05,128.40,129.40,1075200,129.40
2016-08-24,130.25,131.05,129.30,130.45,1271200,130.45
2016-08-23,130.00,132.05,129.40,130.90,880600,130.90
2016-08-22,129.30,131.50,128.50,129.25,1311000,129.25
2016-08-19,132.20,132.45,129.10,129.10,1935700,129.10
2016-08-18,132.70,132.80,130.85,131.90,789400,131.90
2016-08-17,133.30,134.10,131.25,131.45,1118400,131.45
2016-08-16,133.80,134.20,131.70,132.80,1362900,132.80
2016-08-15,134.95,135.85,134.65,134.80,652400,134.80
2016-08-12,135.30,135.35,133.70,134.55,975900,134.55
2016-08-11,136.55,136.80,134.60,135.60,1291000,135.60
2016-08-10,133.95,136.45,133.85,135.90,1929700,135.90
2016-08-09,130.00,134.30,129.90,133.80,1632800,133.80
2016-08-08,127.20,131.75,127.00,130.25,2149900,130.25
2016-08-05,124.90,126.45,122.65,126.45,3504600,126.45
2016-08-04,128.00,129.45,128.00,128.20,1023000,128.20
2016-08-03,126.80,127.50,125.85,127.35,1122300,127.35
2016-08-02,128.00,128.30,125.70,126.70,1281500,126.70
2016-08-01,129.45,129.95,127.15,128.10,972900,128.10
2016-07-29,128.55,129.65,127.75,128.30,1416700,128.30
2016-07-28,128.60,129.65,127.35,127.45,1534000,127.45
2016-07-27,127.75,129.60,127.20,129.10,1410600,129.10
2016-07-26,125.70,126.85,125.00,126.65,1048700,126.65
2016-07-25,126.15,127.40,125.35,126.00,1173000,126.00
2016-07-22,125.30,126.25,124.90,125.85,1000200,125.85
2016-07-21,126.55,126.90,124.70,125.40,1596100,125.40
2016-07-20,126.00,127.05,125.00,126.65,1169700,126.65
2016-07-19,127.10,127.60,125.35,125.60,1385000,125.60
2016-07-18,128.30,129.35,127.00,127.25,1307600,127.25
2016-07-15,128.75,129.50,126.75,128.00,1596000,128.00
2016-07-14,128.00,130.00,127.05,129.05,1539400,129.05
2016-07-13,127.15,127.65,126.30,126.80,1231400,126.80
2016-07-12,124.80,127.85,124.25,126.95,1770500,126.95
2016-07-11,124.20,125.20,122.75,125.20,1437200,125.20
2016-07-08,119.40,123.45,119.00,122.45,1627300,122.45
2016-07-07,120.05,122.10,119.25,119.80,1902000,119.80
2016-07-06,121.00,122.00,118.35,119.20,2589800,119.20
2016-07-05,124.90,125.35,121.55,122.00,2654300,122.00
2016-07-04,127.40,127.40,125.55,126.15,1127900,126.15
2016-07-01,128.50,129.05,125.70,127.30,2075100,127.30
2016-06-30,126.65,128.15,125.30,127.80,1850500,127.80
2016-06-29,125.50,127.45,125.30,127.00,2047700,127.00
2016-06-28,124.00,126.40,123.10,124.00,3174200,124.00
2016-06-27,126.80,127.55,119.05,120.15,4736100,120.15
2016-06-24,124.50,131.05,121.40,126.80,8172500,126.80
2016-06-23,139.50,141.95,138.25,141.50,1805600,141.50
2016-06-22,137.85,139.65,137.55,138.20,1243200,138.20
2016-06-21,135.85,137.10,135.00,136.45,1185400,136.45
2016-06-20,133.70,136.40,133.55,135.55,1627600,135.55
2016-06-17,130.50,131.95,129.60,130.35,3079600,130.35
2016-06-16,127.85,129.60,127.35,129.35,1742800,129.35
2016-06-15,129.70,130.35,128.80,129.35,1633200,129.35
2016-06-14,129.65,130.70,128.20,128.55,2135600,128.55
2016-06-13,132.05,133.15,130.85,130.85,2089400,130.85
2016-06-10,138.90,138.95,134.40,134.75,2137400,134.75
2016-06-09,142.10,142.25,139.65,139.85,1179200,139.85
2016-06-08,142.90,142.95,141.90,142.95,850800,142.95
2016-06-07,143.00,144.75,142.70,143.70,919700,143.70
2016-06-06,142.80,143.40,142.20,142.55,718100,142.55
2016-06-03,145.25,145.60,141.50,142.65,1343700,142.65
2016-06-02,145.60,145.95,143.75,145.00,878800,145.00
2016-06-01,145.80,146.75,144.45,145.70,1194600,145.70
2016-05-31,147.50,147.95,145.95,146.70,1310100,146.70
2016-05-30,146.90,147.40,146.10,147.00,644600,147.00
2016-05-27,146.40,147.05,145.70,146.75,1074900,146.75
2016-05-26,144.70,146.85,144.30,146.70,1294100,146.70
2016-05-25,143.00,146.30,142.65,145.20,1738500,145.20
2016-05-24,136.95,142.30,136.60,141.90,1591600,141.90
2016-05-23,138.35,139.45,136.70,137.70,1100800,137.70
2016-05-20,137.10,138.30,137.10,137.75,1546900,137.75
2016-05-19,137.95,138.40,136.25,136.25,1226700,136.25
2016-05-18,136.55,137.70,135.65,137.65,1523600,137.65
2016-05-17,138.55,139.65,136.40,137.05,1333400,137.05
2016-05-16,137.90,137.90,137.90,137.90,000,137.90
2016-05-13,135.40,138.80,134.30,137.90,1738200,137.90
2016-05-12,138.05,140.15,136.70,136.75,1992400,136.75
2016-05-11,141.25,141.85,138.20,138.85,1595100,138.85
2016-05-10,142.05,143.20,140.85,141.70,1191800,141.70
2016-05-09,140.30,141.95,139.10,140.90,1194200,140.90
2016-05-06,139.60,139.85,137.00,139.35,2272500,139.35
2016-05-05,144.00,144.10,139.30,139.95,2042100,132.65
2016-05-04,150.60,152.20,148.60,149.80,2754600,135.07
2016-05-03,152.30,152.75,150.30,151.40,2402600,136.51
2016-05-02,149.75,153.95,149.55,152.60,2303200,137.59
2016-04-29,150.45,151.00,147.85,148.25,1985700,133.67
2016-04-28,151.10,152.15,149.20,152.15,1481900,137.19
2016-04-27,153.50,153.75,150.15,151.70,1810900,136.78
2016-04-26,154.70,155.60,152.35,152.90,1186800,137.86
2016-04-25,155.35,156.30,153.55,154.25,1162000,139.08
2016-04-22,155.45,155.85,154.50,155.20,1190300,139.94
2016-04-21,156.00,156.20,153.85,155.30,1513700,140.03
2016-04-20,151.35,155.60,151.00,155.30,1941000,140.03
2016-04-19,148.90,151.95,148.75,151.35,1754200,136.46
2016-04-18,146.00,148.55,145.35,148.25,1280500,133.67
2016-04-15,147.55,147.60,146.65,147.55,1549800,133.04
2016-04-14,146.85,147.65,146.40,147.35,1519000,132.86
2016-04-13,143.50,146.70,142.90,146.70,2116000,132.27
2016-04-12,141.00,142.25,139.35,142.10,1088100,128.12
2016-04-11,139.00,140.85,137.45,139.65,1108200,125.92
2016-04-08,136.20,139.30,136.20,138.90,1537700,125.24
2016-04-07,138.45,138.80,135.50,136.10,1341500,122.71
2016-04-06,136.40,137.65,135.55,137.65,1457800,124.11
2016-04-05,138.00,138.45,135.85,135.90,1840300,122.53
2016-04-04,140.00,141.80,138.95,139.65,1115200,125.92
2016-04-01,141.45,141.45,138.25,140.20,1929000,126.41
2016-03-31,144.00,144.30,142.45,142.95,1250500,128.89
2016-03-30,143.75,145.45,143.75,144.55,1302700,130.33
