Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,79.04,80.27,78.70,80.16,1977200,80.16
2016-10-26,80.04,80.21,79.07,79.58,1747900,79.58
2016-10-25,79.76,80.89,79.71,80.44,1659400,80.44
2016-10-24,79.98,80.66,79.94,80.00,1919900,80.00
2016-10-21,79.78,79.99,79.26,79.81,1934500,79.81
2016-10-20,79.16,79.94,78.75,79.64,2125000,79.64
2016-10-19,78.63,79.43,78.44,79.11,1996900,79.11
2016-10-18,78.86,79.63,78.46,78.93,2671400,78.93
2016-10-17,78.99,79.10,78.26,78.28,2591600,78.28
2016-10-14,78.08,79.60,78.05,79.26,2590200,79.26
2016-10-13,77.51,77.88,77.22,77.83,2393100,77.83
2016-10-12,79.99,79.99,78.16,78.33,3495200,78.33
2016-10-11,78.33,79.40,78.23,78.33,2376700,78.33
2016-10-10,78.00,78.79,77.43,78.52,1799800,78.52
2016-10-07,78.16,78.45,77.39,78.15,3004500,78.15
2016-10-06,78.49,78.74,77.53,78.24,3172300,78.24
2016-10-05,76.75,77.47,76.56,77.44,1883300,77.44
2016-10-04,75.55,78.00,75.47,77.58,3558300,77.58
2016-10-03,76.11,76.11,76.11,76.11,000,76.11
2016-09-30,73.60,76.34,73.40,76.11,4420500,76.11
2016-09-29,74.10,75.91,74.00,74.36,3870000,74.36
2016-09-28,72.50,73.72,72.44,73.06,1645900,73.06
2016-09-27,72.51,72.97,71.82,72.36,1739600,72.36
2016-09-26,73.11,73.19,72.30,72.48,2891500,72.48
2016-09-23,73.31,73.80,72.86,73.31,2533300,73.31
2016-09-22,72.32,73.94,72.30,73.55,3249100,73.55
2016-09-21,71.76,72.07,71.48,71.56,1866000,71.56
2016-09-20,70.91,71.43,70.90,71.09,1683900,71.09
2016-09-19,70.88,71.11,70.57,70.69,1892900,70.69
2016-09-16,71.32,71.43,70.09,70.30,5478300,70.30
2016-09-15,71.07,71.69,70.82,71.60,2081300,71.60
2016-09-14,71.50,71.67,70.93,71.29,2019000,71.29
2016-09-13,71.74,72.00,71.16,71.19,2254300,71.19
2016-09-12,71.08,71.56,70.71,71.42,2784000,71.42
2016-09-09,73.56,73.59,72.28,72.58,1922200,72.58
2016-09-08,74.36,74.48,73.09,73.74,2537400,73.74
2016-09-07,73.38,74.47,73.07,74.29,2293600,74.29
2016-09-06,73.49,73.78,72.94,73.05,1453900,73.05
2016-09-05,73.38,73.63,73.16,73.22,994800,73.22
2016-09-02,72.70,73.34,71.86,73.10,1866100,73.10
2016-09-01,73.09,73.54,72.18,72.49,1604600,72.49
2016-08-31,73.00,73.39,72.70,72.90,1935000,72.90
2016-08-30,72.68,73.59,72.53,73.30,1904300,73.30
2016-08-29,72.02,72.48,71.34,72.37,953600,72.37
2016-08-26,72.32,72.89,71.90,72.64,1319200,72.64
2016-08-25,72.70,72.75,71.98,72.45,1540600,72.45
2016-08-24,72.03,73.24,71.82,73.02,1553200,73.02
2016-08-23,71.91,73.00,71.79,72.50,2402100,72.50
2016-08-22,72.02,72.61,71.06,71.51,2212600,71.51
2016-08-19,72.72,72.81,71.92,72.14,2389500,72.14
