Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,89.36,90.94,88.88,90.73,1919400,90.73
2016-10-26,91.90,91.90,88.71,90.17,2646900,90.17
2016-10-25,91.30,91.50,91.03,91.50,1639400,91.50
2016-10-24,90.75,91.39,90.67,91.05,1518700,91.05
2016-10-21,90.60,90.80,89.79,90.33,1851700,90.33
2016-10-20,90.13,91.09,89.75,90.47,1762200,90.47
2016-10-19,90.66,90.80,89.87,90.20,1632700,90.20
2016-10-18,90.00,90.98,89.82,90.63,2051100,90.63
2016-10-17,90.02,90.23,89.30,89.47,1752200,89.47
2016-10-14,89.65,90.90,89.57,90.54,1711900,90.54
2016-10-13,89.27,89.57,88.19,89.40,1900300,89.40
2016-10-12,90.28,90.33,89.38,89.68,1544200,89.68
2016-10-11,90.66,91.23,90.28,90.45,1856100,90.45
2016-10-10,90.00,91.23,89.53,91.04,1543700,91.04
2016-10-07,89.81,90.35,89.08,89.80,2393300,89.80
2016-10-06,90.65,90.65,89.03,90.00,1744100,90.00
2016-10-05,89.48,90.18,89.03,89.94,1979800,89.94
2016-10-04,88.92,90.14,88.70,90.03,2802700,90.03
2016-10-03,89.43,89.43,89.43,89.43,000,89.43
2016-09-30,87.43,89.47,86.07,89.43,4387800,89.43
2016-09-29,89.89,90.14,87.81,88.30,1948200,88.30
2016-09-28,89.10,90.14,88.81,89.26,1550200,89.26
2016-09-27,89.80,89.84,88.31,88.78,2148600,88.78
2016-09-26,91.06,91.20,89.18,89.20,2565200,89.20
2016-09-23,92.26,92.40,91.23,91.48,2070200,91.48
2016-09-22,91.72,92.50,91.61,92.22,2782900,92.22
2016-09-21,93.17,93.19,91.31,91.61,2185200,91.61
2016-09-20,92.00,93.71,91.70,92.10,2693600,92.10
2016-09-19,91.13,91.61,90.80,91.60,2153000,91.60
2016-09-16,90.86,92.24,90.56,90.78,6973000,90.78
2016-09-15,93.40,93.55,90.82,91.37,4672800,91.37
2016-09-14,93.90,97.71,93.37,93.55,5908800,93.55
2016-09-13,94.09,94.46,93.16,93.30,1862400,93.30
2016-09-12,93.38,94.29,92.43,93.55,2309000,93.55
2016-09-09,95.96,96.05,94.44,95.02,1864800,95.02
2016-09-08,96.55,97.50,95.20,96.19,1802500,96.19
2016-09-07,96.80,97.25,95.45,96.95,1748200,96.95
2016-09-06,93.82,96.82,93.51,95.92,2878000,95.92
2016-09-05,95.54,95.69,94.24,94.24,1254600,94.24
2016-09-02,94.44,95.05,93.62,94.93,1677600,94.93
2016-09-01,95.92,96.12,93.46,93.88,2274000,93.88
2016-08-31,96.80,96.99,95.68,95.97,1618600,95.97
2016-08-30,96.72,97.49,96.42,97.25,1320000,97.25
2016-08-29,96.56,97.10,95.90,96.67,660900,96.67
2016-08-26,95.93,97.05,95.31,97.00,1142200,97.00
2016-08-25,97.50,97.73,95.47,96.04,1302900,96.04
2016-08-24,96.37,97.36,96.22,96.72,1076700,96.72
2016-08-23,96.51,96.99,94.39,96.67,1894000,96.67
2016-08-22,96.04,97.43,94.84,95.89,1447300,95.89
2016-08-19,97.09,97.09,95.46,96.35,1494800,96.35
2016-08-18,96.40,97.09,95.71,96.80,1202400,96.80
2016-08-17,97.90,98.26,94.95,95.65,2227000,95.65
2016-08-16,98.15,99.01,97.81,97.92,1339100,97.92
2016-08-15,98.00,98.97,97.85,98.64,721900,98.64
2016-08-12,98.00,98.60,97.63,98.10,1086300,98.10
2016-08-11,97.99,98.33,97.21,98.33,1223400,98.33
2016-08-10,99.00,99.28,97.24,97.42,1784900,97.42
2016-08-09,96.00,98.89,95.67,98.82,2070400,98.82
2016-08-08,96.22,96.35,95.60,96.00,1250800,96.00
2016-08-05,94.50,95.91,93.94,95.87,1579500,95.87
2016-08-04,94.80,95.35,93.26,93.95,1704600,93.95
2016-08-03,94.18,95.11,93.67,94.37,1595300,94.37
2016-08-02,96.47,96.88,94.03,94.20,1836100,94.20
2016-08-01,97.59,97.59,95.33,96.35,1727200,96.35
2016-07-29,94.99,96.50,94.90,96.22,2932800,96.22
2016-07-28,94.11,95.62,93.84,94.31,2186800,94.31
2016-07-27,94.30,95.93,94.07,94.62,2101700,94.62
2016-07-26,92.91,93.61,92.32,93.57,1573200,93.57
2016-07-25,92.27,93.38,91.86,92.62,1112400,92.62
2016-07-22,92.07,92.50,91.33,92.07,1197300,92.07
2016-07-21,91.92,92.30,90.84,92.04,1271700,92.04
2016-07-20,92.24,92.41,91.47,91.80,1802700,91.80
2016-07-19,92.35,92.47,91.30,91.78,1659900,91.78
2016-07-18,94.00,94.48,91.94,92.90,2154000,92.90
2016-07-15,93.03,94.39,92.56,93.89,2616100,93.89
2016-07-14,94.10,94.68,93.05,93.44,2677400,93.44
2016-07-13,93.10,93.46,92.07,92.93,1862200,92.93
2016-07-12,92.41,94.42,92.18,93.13,2065200,93.13
2016-07-11,92.00,92.99,91.41,92.74,1891400,92.74
2016-07-08,88.31,91.42,88.31,90.92,1953800,90.92
2016-07-07,88.86,89.41,88.10,88.62,1613600,88.62
2016-07-06,89.29,90.10,87.37,88.27,2321200,88.27
