Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,80.48,81.36,80.01,80.17,357800,80.17
2016-10-26,80.27,80.77,79.92,80.50,265600,80.50
2016-10-25,80.63,80.92,80.25,80.30,200500,80.30
2016-10-24,80.61,81.02,80.46,80.55,243100,80.55
2016-10-21,81.02,81.66,80.45,80.49,411000,80.49
2016-10-20,81.41,81.41,80.23,80.80,540600,80.80
2016-10-19,81.39,81.40,80.82,81.08,310900,81.08
2016-10-18,81.19,81.53,81.06,81.36,320900,81.36
2016-10-17,81.40,81.42,80.75,80.84,280200,80.84
2016-10-14,80.60,81.92,80.45,81.62,367800,81.62
2016-10-13,81.09,81.45,80.75,81.30,292400,81.30
2016-10-12,81.70,82.11,81.37,81.66,289000,81.66
2016-10-11,81.64,83.12,81.31,81.79,330300,81.79
2016-10-10,81.00,81.64,80.75,81.58,240200,81.58
2016-10-07,82.28,82.32,80.73,80.77,421800,80.77
2016-10-06,83.00,83.00,81.94,82.00,297900,82.00
2016-10-05,84.32,84.32,82.54,82.54,310100,82.54
2016-10-04,84.12,85.04,83.98,84.83,354000,84.83
2016-10-03,83.95,83.95,83.95,83.95,000,83.95
2016-09-30,82.50,84.12,82.05,83.95,467400,83.95
2016-09-29,84.74,84.83,83.27,83.55,308100,83.55
2016-09-28,84.39,84.64,83.91,84.17,211600,84.17
2016-09-27,83.70,84.27,83.54,84.16,318000,84.16
2016-09-26,83.80,84.13,83.48,83.60,336800,83.60
2016-09-23,84.04,84.55,83.99,84.25,272000,84.25
2016-09-22,83.90,84.40,83.45,84.25,388600,84.25
2016-09-21,84.09,84.19,83.07,83.32,302300,83.32
2016-09-20,83.47,84.20,83.33,83.46,216700,83.46
2016-09-19,83.18,83.51,82.89,83.51,165600,83.51
2016-09-16,82.89,83.06,82.12,82.61,383000,82.61
2016-09-15,82.44,82.94,81.95,82.89,289000,82.89
2016-09-14,81.94,82.79,81.74,82.41,394200,82.41
2016-09-13,81.90,82.49,81.57,81.73,271500,81.73
2016-09-12,81.04,82.38,80.83,81.98,255900,81.98
2016-09-09,82.49,82.95,81.81,82.17,330400,82.17
2016-09-08,83.97,84.47,83.14,83.52,348300,83.52
2016-09-07,83.83,84.25,83.44,84.14,346700,84.14
2016-09-06,83.41,83.66,82.69,83.13,279300,83.13
2016-09-05,83.55,84.21,83.41,83.55,200100,83.55
2016-09-02,81.50,83.59,81.41,83.41,529500,83.41
2016-09-01,81.77,82.62,80.47,81.16,701800,81.16
2016-08-31,83.73,83.84,83.17,83.41,226400,83.41
2016-08-30,83.93,84.62,83.65,83.85,133100,83.85
2016-08-29,83.68,83.91,83.08,83.81,95200,83.81
2016-08-26,83.32,84.33,83.15,84.14,214100,84.14
2016-08-25,83.01,83.70,82.86,83.48,145700,83.48
2016-08-24,83.34,83.94,83.01,83.41,199900,83.41
2016-08-23,83.49,84.39,83.29,83.42,189000,83.42
2016-08-22,83.78,84.76,82.85,83.23,263800,83.23
2016-08-19,84.20,84.42,83.45,84.01,267100,84.01
2016-08-18,84.15,84.58,83.96,83.96,211100,83.96
2016-08-17,84.59,84.59,83.76,83.80,184800,83.80
2016-08-16,84.58,85.15,84.20,84.47,187700,84.47
2016-08-15,84.90,85.81,84.59,84.80,190300,84.80
2016-08-12,84.55,84.95,84.39,84.80,273000,84.80
2016-08-11,84.43,84.80,84.18,84.60,401700,84.60
2016-08-10,83.94,84.25,83.45,83.81,238800,83.81
2016-08-09,82.38,84.42,82.38,84.42,301800,84.42
