Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,80.00,80.54,79.50,79.92,1311200,79.92
2016-10-26,79.40,80.37,79.15,80.07,1235900,80.07
2016-10-25,79.87,80.38,79.45,79.63,962200,79.63
2016-10-24,79.01,80.10,79.01,79.59,1364700,79.59
2016-10-21,79.14,79.19,77.97,78.63,1600900,78.63
2016-10-20,78.60,79.67,78.09,79.17,1777100,79.17
2016-10-19,77.10,78.59,76.52,78.02,1566400,78.02
2016-10-18,76.86,77.24,76.02,77.01,1395500,77.01
2016-10-17,76.72,76.94,75.89,76.34,1073500,76.34
2016-10-14,75.79,77.55,75.71,76.84,1787700,76.84
2016-10-13,76.34,76.55,75.28,75.94,1688200,75.94
2016-10-12,77.66,78.03,76.72,77.00,1195600,77.00
2016-10-11,78.05,78.75,77.45,77.66,1419500,77.66
2016-10-10,77.43,78.39,76.83,78.09,1360800,78.09
2016-10-07,78.30,78.33,76.84,77.41,1794600,77.41
2016-10-06,78.30,78.69,77.86,78.30,1405800,78.30
2016-10-05,76.65,78.39,75.98,78.18,1831000,78.18
2016-10-04,76.00,77.68,75.79,77.29,2802800,77.29
2016-10-03,74.81,74.81,74.81,74.81,000,74.81
2016-09-30,72.38,75.13,72.02,74.81,2422200,74.81
2016-09-29,74.49,75.06,73.45,73.70,1296700,73.70
2016-09-28,73.51,74.49,73.41,73.68,1184200,73.68
2016-09-27,74.29,74.44,72.03,73.18,1668800,73.18
2016-09-26,75.06,75.13,73.40,73.73,1924200,73.73
2016-09-23,76.25,76.47,75.33,75.59,1056100,75.59
2016-09-22,75.15,76.96,74.92,76.28,1961000,76.28
2016-09-21,74.76,75.27,74.27,74.36,1202600,74.36
2016-09-20,73.96,74.48,73.72,74.09,1062200,74.09
2016-09-19,74.05,74.64,73.81,73.97,1231300,73.97
2016-09-16,75.25,75.50,73.22,73.42,2855100,73.42
2016-09-15,74.91,75.67,74.14,75.30,1294400,75.30
2016-09-14,75.64,75.77,74.61,75.10,1371400,75.10
2016-09-13,76.00,76.32,74.95,75.41,1305600,75.41
2016-09-12,75.50,75.90,74.60,75.58,2043200,75.58
2016-09-09,77.31,77.85,76.54,76.93,1184600,76.93
2016-09-08,78.42,78.52,76.14,77.44,2131800,77.44
2016-09-07,77.76,78.85,76.96,78.24,1206000,78.24
2016-09-06,78.62,78.62,77.24,77.55,1218000,77.55
2016-09-05,78.97,79.06,78.24,78.24,843900,78.24
2016-09-02,78.37,78.77,76.66,78.57,1593800,78.57
2016-09-01,78.27,79.80,77.55,77.93,1480300,77.93
2016-08-31,78.38,79.28,78.01,78.01,1314000,78.01
2016-08-30,77.44,78.56,77.11,78.46,1213700,78.46
2016-08-29,76.71,77.23,76.07,76.88,708200,76.88
2016-08-26,76.10,77.29,75.82,77.23,1476100,77.23
2016-08-25,76.80,76.84,75.60,76.22,1490900,76.22
2016-08-24,77.25,78.03,76.69,77.51,971000,77.51
2016-08-23,77.39,77.97,76.73,77.48,1038900,77.48
2016-08-22,77.40,78.45,76.52,76.95,1165000,76.95
2016-08-19,78.02,78.19,76.47,77.32,1852900,77.32
2016-08-18,79.10,79.25,78.39,78.84,892000,78.84
2016-08-17,79.68,79.93,78.02,78.55,1036400,78.55
2016-08-16,79.91,80.08,78.95,79.49,1233600,79.49
2016-08-15,79.87,80.88,79.65,80.50,855400,80.50
2016-08-12,80.23,80.45,79.44,79.63,1002100,79.63
2016-08-11,80.71,81.20,79.13,80.37,1470700,80.37
2016-08-10,79.86,80.69,79.40,80.19,1417200,80.19
2016-08-09,77.91,80.48,77.64,80.29,2012000,80.29
2016-08-08,78.50,78.98,77.29,77.63,1226600,77.63
2016-08-05,76.16,78.01,76.05,77.92,1438700,77.92
2016-08-04,76.24,77.61,75.57,75.84,1576400,75.84
2016-08-03,75.39,75.81,73.73,75.81,1883900,75.81
2016-08-02,78.00,78.20,74.75,75.41,2513500,75.41
2016-08-01,78.44,78.68,76.54,77.13,1492100,77.13
2016-07-29,76.59,77.12,76.39,77.05,1458600,77.05
2016-07-28,78.38,78.50,75.97,75.97,2356400,75.97
2016-07-27,77.64,78.80,77.51,78.36,1971400,78.36
2016-07-26,76.14,77.34,75.73,76.78,1222800,76.78
2016-07-25,75.72,77.37,75.08,76.14,1393900,76.14
2016-07-22,75.56,76.17,75.10,75.50,948300,75.50
2016-07-21,75.70,76.53,74.96,75.98,1434400,75.98
2016-07-20,74.19,75.73,73.39,75.39,1710200,75.39
2016-07-19,74.75,74.96,72.68,73.58,1960100,73.58
2016-07-18,74.90,76.03,74.33,74.91,1405500,74.91
2016-07-15,74.50,75.17,73.79,74.66,1606700,74.66
2016-07-14,74.00,75.22,73.72,74.74,2234000,74.74
2016-07-13,73.00,75.22,72.62,72.98,2527300,72.98
2016-07-12,70.62,73.67,70.59,73.31,2946300,73.31
2016-07-11,69.25,70.55,68.82,70.04,1858700,70.04
2016-07-08,65.45,68.90,65.30,68.44,2670300,68.44
2016-07-07,65.59,67.12,65.43,65.60,1804400,65.60
2016-07-06,64.90,65.22,63.38,65.10,2701700,65.10
2016-07-05,66.33,66.44,64.99,65.21,2097300,65.21
2016-07-04,68.34,68.38,66.41,66.79,1716900,66.79
2016-07-01,66.27,68.48,66.00,67.79,2544800,67.79
2016-06-30,65.98,66.25,64.98,65.79,2450500,65.79
2016-06-29,66.42,67.52,65.55,65.88,2732400,65.88
2016-06-28,67.69,68.16,65.56,65.83,2686800,65.83
2016-06-27,68.24,68.78,65.01,65.67,3713100,65.67
2016-06-24,66.00,70.61,66.00,68.66,8608700,68.66
2016-06-23,72.53,74.39,72.26,74.25,2227200,74.25
2016-06-22,73.19,73.64,72.47,72.47,1460800,72.47
2016-06-21,72.30,73.16,71.73,72.64,1694300,72.64
2016-06-20,71.18,72.52,71.05,72.24,2039100,72.24
2016-06-17,69.07,69.90,68.69,68.97,2500400,68.97
2016-06-16,67.59,68.48,67.11,68.30,1985500,68.30
2016-06-15,68.45,70.10,67.95,68.56,2198000,68.56
2016-06-14,68.79,69.10,67.45,67.60,2282100,67.60
2016-06-13,70.00,70.21,68.84,69.34,2088100,69.34
2016-06-10,71.40,71.56,70.10,70.70,1957300,70.70
2016-06-09,72.89,72.97,71.38,71.84,1395800,71.84
2016-06-08,73.68,74.04,72.71,73.00,1138200,73.00
2016-06-07,72.73,74.05,72.54,73.83,1386700,73.83
2016-06-06,72.43,73.23,71.86,72.24,864700,72.24
2016-06-03,74.50,74.58,71.59,72.27,1905900,72.27
2016-06-02,73.72,74.41,73.16,74.05,1311600,74.05
2016-06-01,75.92,75.96,73.55,73.93,1920200,73.93
2016-05-31,76.01,76.37,74.79,75.89,2144100,75.89
2016-05-30,75.49,76.12,75.25,75.76,686300,75.76
2016-05-27,75.53,75.59,74.57,75.16,1348200,75.16
2016-05-26,73.89,75.81,73.86,75.45,2067600,75.45
2016-05-25,73.27,74.21,72.82,73.86,2025800,73.86
2016-05-24,70.70,72.35,70.05,72.14,2170600,72.14
2016-05-23,71.95,71.97,70.51,70.82,1654300,70.82
2016-05-20,71.20,71.90,70.94,71.70,1889800,71.70
2016-05-19,70.86,71.88,69.94,70.66,2372200,70.66
2016-05-18,71.11,71.65,70.51,70.99,2053500,70.99
2016-05-17,74.76,74.88,70.99,71.56,2952700,71.56
2016-05-16,73.77,73.77,73.77,73.77,000,73.77
2016-05-13,72.85,73.94,72.25,73.77,2570500,73.77
2016-05-12,76.71,77.34,75.39,75.72,2708100,72.52
2016-05-11,78.06,78.40,76.60,76.90,1307000,73.65
2016-05-10,77.53,78.25,77.16,78.01,1783400,74.713
2016-05-09,76.73,77.35,75.82,76.52,1624800,73.286
2016-05-06,75.48,76.06,74.41,75.69,2446800,72.491
2016-05-05,76.69,76.69,75.00,75.53,1480600,72.338
2016-05-04,78.05,78.43,76.00,76.45,2096900,73.219
2016-05-03,79.92,79.92,77.77,78.03,3093400,74.732
2016-05-02,81.32,82.73,80.99,81.12,1531000,77.692
2016-04-29,83.21,84.07,80.50,80.50,2252400,77.098
2016-04-28,82.93,84.15,81.89,83.94,1766500,80.393
2016-04-27,82.90,83.65,82.62,83.36,1214100,79.837
2016-04-26,82.30,83.63,82.28,82.60,1400900,79.109
2016-04-25,83.00,83.29,81.87,81.94,2338900,78.477
2016-04-22,81.83,83.62,81.26,82.78,2129700,79.282
2016-04-21,84.40,85.07,83.26,84.15,1823700,80.594
2016-04-20,82.48,84.46,81.99,84.02,1922600,80.469
2016-04-19,81.04,83.20,80.91,83.07,2054900,79.559
2016-04-18,78.27,80.86,77.80,80.41,1869900,77.012
2016-04-15,79.01,79.18,77.62,78.37,1495700,75.058
2016-04-14,78.40,79.20,78.10,79.20,1718300,75.853
2016-04-13,76.95,78.77,76.48,78.00,2267600,74.704
2016-04-12,75.12,75.64,73.94,75.35,1320700,72.166
2016-04-11,74.34,75.60,73.66,74.79,1165300,71.629
2016-04-08,74.06,75.35,74.06,74.30,1284400,71.16
2016-04-07,75.40,75.50,73.30,73.85,1708300,70.729
2016-04-06,75.00,75.19,73.56,75.00,1659500,71.83
2016-04-05,76.10,76.19,74.60,74.63,2052700,71.476
2016-04-04,77.64,78.44,76.57,77.54,1766900,74.263
2016-04-01,79.60,79.73,77.26,78.00,2215000,74.704
2016-03-31,82.00,82.22,80.63,80.70,1537700,77.29
2016-03-30,80.84,82.87,80.53,82.11,1457900,78.64
2016-03-29,79.58,80.75,79.43,80.45,1243900,77.05
2016-03-28,79.58,79.58,79.58,79.58,000,76.217
2016-03-25,79.58,79.58,79.58,79.58,000,76.217
2016-03-24,80.82,80.98,79.24,79.58,1506700,76.217
2016-03-23,81.98,82.75,80.41,81.06,1279000,77.634
2016-03-22,80.50,81.56,79.40,81.38,1478200,77.941
2016-03-21,80.90,82.56,80.35,81.20,1357400,77.768
2016-03-18,81.15,81.99,80.56,81.58,2973000,78.132
2016-03-17,83.50,83.50,79.12,81.02,2512800,77.596
2016-03-16,80.01,83.51,80.00,82.63,3191500,79.138
2016-03-15,80.00,80.67,78.81,79.56,1565600,76.198
2016-03-14,80.01,81.35,79.57,80.23,2004400,76.839
2016-03-11,77.11,79.34,76.76,78.72,2289400,75.393
2016-03-10,78.80,81.75,75.36,75.42,3855800,72.233
2016-03-09,79.78,81.95,77.50,78.54,4328600,75.221
2016-03-08,80.63,81.71,79.09,80.02,1861600,76.638
2016-03-07,82.25,82.96,80.62,81.87,1192800,78.41
2016-03-04,81.67,83.30,80.90,82.63,1715700,79.138
2016-03-03,80.88,81.93,80.05,81.15,1571200,77.721
2016-03-02,78.96,80.52,78.85,80.43,1998200,77.031
2016-03-01,75.27,78.61,75.00,78.31,2189700,75.001
2016-02-29,73.05,75.37,72.61,75.15,1726400,71.974
2016-02-26,72.45,74.79,72.22,73.89,1568400,70.767
2016-02-25,71.12,71.98,70.01,71.30,1353700,68.287
2016-02-24,73.00,73.21,68.94,70.20,2313300,67.233
2016-02-23,74.51,74.87,72.94,73.14,1294700,70.049
2016-02-22,74.93,75.76,74.81,75.20,1274000,72.022
2016-02-19,74.65,75.36,73.24,73.83,1632600,70.71
2016-02-18,76.15,76.64,74.20,75.35,1585100,72.166
2016-02-17,73.30,75.89,73.15,75.39,1660900,72.204
2016-02-16,74.10,74.49,72.14,72.82,1885900,69.743
2016-02-15,72.59,73.95,71.98,73.08,2120700,69.992
2016-02-12,68.13,70.79,67.39,70.26,2671700,67.291
