Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,6.30,6.326,6.211,6.30,8645600,6.30
2016-10-26,6.146,6.262,6.139,6.258,9802200,6.258
2016-10-25,6.274,6.318,6.122,6.161,13119300,6.161
2016-10-24,6.10,6.284,6.085,6.269,11753500,6.269
2016-10-21,6.054,6.11,6.022,6.075,10967400,6.075
2016-10-20,5.961,6.059,5.919,6.053,10503700,6.053
2016-10-19,5.818,5.959,5.805,5.932,10908100,5.932
2016-10-18,5.733,5.856,5.731,5.848,12993000,5.848
2016-10-17,5.69,5.791,5.671,5.695,8466800,5.695
2016-10-14,5.628,5.759,5.606,5.69,12435400,5.69
2016-10-13,5.755,5.755,5.545,5.572,12575600,5.572
2016-10-12,5.767,5.83,5.735,5.809,10407300,5.809
2016-10-11,5.69,5.799,5.662,5.754,11368100,5.754
2016-10-10,5.67,5.704,5.53,5.686,9883000,5.686
2016-10-07,5.731,5.85,5.634,5.689,12176600,5.689
2016-10-06,5.81,5.881,5.659,5.718,15130300,5.718
2016-10-05,5.725,5.82,5.654,5.805,11478000,5.805
2016-10-04,5.774,5.848,5.665,5.812,14188600,5.812
2016-10-03,5.738,5.738,5.738,5.738,000,5.738
2016-09-30,5.55,5.75,5.315,5.738,34203700,5.738
2016-09-29,6.089,6.146,5.79,5.808,20496100,5.808
2016-09-28,5.96,6.057,5.929,5.993,9016300,5.993
2016-09-27,6.03,6.088,5.84,5.914,14875000,5.914
2016-09-26,6.25,6.255,6.024,6.046,11993000,6.046
2016-09-23,6.315,6.337,6.265,6.303,6452000,6.303
2016-09-22,6.30,6.354,6.191,6.321,10291200,6.321
2016-09-21,6.086,6.258,6.086,6.211,9657000,6.211
2016-09-20,6.04,6.10,5.97,6.012,8323300,6.012
2016-09-19,6.12,6.146,6.053,6.065,6541100,6.065
2016-09-16,6.10,6.14,6.023,6.052,23055200,6.052
2016-09-15,6.135,6.213,6.10,6.168,6057300,6.168
2016-09-14,6.22,6.22,6.065,6.14,10406300,6.14
2016-09-13,6.34,6.365,6.169,6.173,8359400,6.173
2016-09-12,6.357,6.38,6.174,6.303,11715100,6.303
2016-09-09,6.424,6.563,6.391,6.473,11382700,6.473
2016-09-08,6.356,6.456,6.275,6.445,11280100,6.445
2016-09-07,6.31,6.44,6.21,6.376,10385000,6.376
2016-09-06,6.452,6.464,6.313,6.318,10168400,6.318
2016-09-05,6.58,6.594,6.435,6.448,11530900,6.448
2016-09-02,6.52,6.59,6.359,6.555,13326600,6.555
2016-09-01,6.395,6.704,6.395,6.446,24496200,6.446
2016-08-31,6.16,6.395,6.142,6.306,22568600,6.306
2016-08-30,6.00,6.105,5.98,6.10,8442200,6.10
2016-08-29,5.98,6.045,5.935,5.936,4780500,5.936
