Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,173.80,176.25,173.75,174.80,503700,174.80
2016-10-26,171.89999,174.00,170.80,173.89999,622300,173.89999
2016-10-25,175.00,175.55,173.05,174.50,498100,174.50
2016-10-24,173.35001,175.05,173.25,173.30,356400,173.30
2016-10-21,176.25,176.85001,171.20,173.10001,676700,173.10001
2016-10-20,172.39999,176.50,172.25,175.55,666900,175.55
2016-10-19,172.64999,174.20,171.60001,173.05,454900,173.05
2016-10-18,168.00,174.30,167.45,172.95,1405500,172.95
2016-10-17,175.00,176.35001,174.20,175.30,345700,175.30
2016-10-14,174.14999,176.10001,172.60001,175.20,560900,175.20
2016-10-13,175.89999,176.35001,174.55,175.00,539500,175.00
2016-10-12,180.85001,181.25,177.45,177.75,508400,177.75
2016-10-11,182.95,183.30,180.20,180.39999,339000,180.39999
2016-10-10,181.00,183.20,180.00,182.55,462700,182.55
2016-10-07,184.95,185.05,180.14999,180.55,703800,180.55
2016-10-06,186.70,187.30,184.80,185.25,495600,185.25
2016-10-05,187.30,188.05,185.39999,185.80,483900,185.80
2016-10-04,187.14999,189.89999,186.95,188.70,472100,188.70
2016-10-03,187.14999,187.14999,187.14999,187.14999,000,187.14999
2016-09-30,182.95,187.70,181.00,187.14999,483900,187.14999
2016-09-29,188.95,189.60001,185.45,185.95,283100,185.95
2016-09-28,186.70,188.75,186.64999,187.14999,290200,187.14999
2016-09-27,187.95,188.35001,184.05,186.20,326900,186.20
2016-09-26,190.14999,190.14999,186.05,186.50,356900,186.50
2016-09-23,192.39999,192.85001,190.70,191.10001,240400,191.10001
2016-09-22,189.10001,194.10001,188.89999,192.20,393200,192.20
2016-09-21,189.89999,190.80,188.70,188.75,251500,188.75
2016-09-20,188.00,190.14999,187.60001,188.64999,287700,188.64999
2016-09-19,186.00,188.75,185.64999,187.75,251900,187.75
2016-09-16,187.80,189.30,184.55,184.80,476500,184.80
2016-09-15,188.10001,189.05,186.50,188.35001,313400,188.35001
2016-09-14,188.95,189.80,187.55,188.50,258000,188.50
2016-09-13,189.00,189.80,186.75,188.35001,284200,188.35001
2016-09-12,188.60001,188.89999,185.35001,188.05,468500,188.05
2016-09-09,192.39999,194.45,191.39999,191.80,273200,191.80
2016-09-08,194.80,196.00,191.14999,192.85001,316200,192.85001
2016-09-07,193.35001,195.95,192.50,195.10001,334900,195.10001
2016-09-06,192.55,193.64999,191.50,193.39999,211000,193.39999
2016-09-05,193.50,193.85001,192.20,192.39999,165900,192.39999
2016-09-02,190.25,193.00,189.10001,192.80,337800,192.80
2016-09-01,188.50,192.60001,188.50,189.95,294100,189.95
2016-08-31,188.20,190.30,187.70,187.89999,288000,187.89999
2016-08-30,188.20,189.89999,188.20,188.75,215100,188.75
2016-08-29,187.35001,188.60001,186.25,187.85001,165400,187.85001
2016-08-26,188.89999,190.39999,187.50,188.60001,242900,188.60001
2016-08-25,190.10001,190.20,187.60001,188.70,282300,188.70
2016-08-24,189.95,192.30,189.14999,191.00,213600,191.00
2016-08-23,190.50,192.85001,190.20,190.75,245000,190.75
2016-08-22,190.45,194.00,188.85001,190.00,254300,190.00
2016-08-19,191.55,191.89999,188.35001,191.30,277400,191.30
2016-08-18,192.35001,192.89999,190.95,192.00,175100,192.00
2016-08-17,193.14999,193.95,189.80,190.50,227000,190.50
2016-08-16,193.25,194.35001,191.85001,193.05,214200,193.05
2016-08-15,194.25,197.00,193.55,193.70,214600,193.70
2016-08-12,194.60001,195.30,192.80,193.95,218000,193.95
2016-08-11,194.70,195.00,192.55,194.75,296600,194.75
2016-08-10,193.45,194.05,192.20,193.95,362500,193.95
2016-08-09,188.80,193.75,188.30,193.14999,381600,193.14999
2016-08-08,191.05,191.50,188.10001,188.89999,264200,188.89999
2016-08-05,184.45,190.39999,184.30,189.75,429100,189.75
2016-08-04,184.39999,186.10001,182.60001,183.55,370900,183.55
2016-08-03,180.00,183.64999,175.35001,182.80,646300,182.80
2016-08-02,188.00,188.55,182.39999,183.05,506500,183.05
2016-08-01,189.95,191.10001,186.70,187.85001,284800,187.85001
2016-07-29,187.60001,189.35001,186.85001,187.50,357900,187.50
2016-07-28,188.14999,189.50,186.10001,186.85001,504900,186.85001
2016-07-27,188.50,191.35001,188.50,189.00,425600,189.00
2016-07-26,184.14999,187.85001,183.00,186.70,379700,186.70
2016-07-25,182.80,185.70,180.80,183.50,275900,183.50
2016-07-22,182.75,183.25,180.70,182.35001,218400,182.35001
2016-07-21,183.50,184.80,181.14999,183.55,365400,183.55
2016-07-20,179.80,183.75,178.39999,182.50,346400,182.50
2016-07-19,181.20,181.89999,177.25,178.64999,351700,178.64999
2016-07-18,180.30,183.00,180.00,181.45,291000,181.45
2016-07-15,181.20,181.50,178.45,180.00,288100,180.00
2016-07-14,178.80,182.14999,178.64999,181.39999,456800,181.39999
2016-07-13,179.70,181.10001,175.95,176.35001,587000,176.35001
2016-07-12,173.80,180.55,173.70,179.64999,533300,179.64999
2016-07-11,174.20,176.20,172.25,174.45,400100,174.45
2016-07-08,167.20,173.25,166.85001,172.80,388400,172.80
2016-07-07,167.35001,169.75,166.39999,167.39999,420000,167.39999
2016-07-06,166.60001,166.80,162.05,165.89999,744300,165.89999
2016-07-05,170.05,170.39999,165.35001,166.35001,543900,166.35001
2016-07-04,176.00,176.39999,170.55,171.25,313500,171.25
2016-07-01,170.14999,176.20,169.85001,175.00,542500,175.00
2016-06-30,169.05,170.55,167.30,169.30,752400,169.30
2016-06-29,170.95,173.14999,168.10001,169.10001,809500,169.10001
2016-06-28,170.00,171.75,169.10001,170.00,603400,170.00
2016-06-27,179.20,179.85001,165.85001,166.60001,1164600,166.60001
2016-06-24,175.95,184.45,174.00,181.25,1415600,181.25
2016-06-23,192.64999,196.80,192.20,196.80,480200,196.80
2016-06-22,192.00,192.75,190.39999,191.25,269500,191.25
2016-06-21,189.10001,190.95,188.14999,189.95,260500,189.95
2016-06-20,185.85001,190.75,185.25,189.95,446200,189.95
2016-06-17,181.00,182.25,180.55,181.75,1165900,181.75
2016-06-16,177.85001,180.35001,177.64999,179.64999,436000,179.64999
2016-06-15,179.89999,182.00,177.60001,180.80,410200,180.80
2016-06-14,176.39999,180.14999,176.35001,178.89999,483100,178.89999
2016-06-13,180.00,181.25,178.89999,179.80,326400,179.80
2016-06-10,185.60001,185.64999,181.20,182.50,401700,182.50
2016-06-09,189.05,189.20,185.70,186.20,400700,186.20
2016-06-08,191.20,191.30,188.30,189.25,289500,189.25
2016-06-07,188.95,192.45,188.50,192.30,330100,192.30
2016-06-06,188.85001,189.45,187.55,187.85001,155500,187.85001
2016-06-03,191.50,192.55,186.60001,188.45,324800,188.45
2016-06-02,190.50,191.70,189.80,190.85001,351400,190.85001
2016-06-01,192.20,192.55,189.60001,190.70,305600,190.70
2016-05-31,193.05,193.89999,190.95,192.80,464600,192.80
2016-05-30,191.60001,193.45,191.39999,192.45,149700,192.45
2016-05-27,191.45,192.39999,190.60001,191.60001,311000,191.60001
2016-05-26,185.95,191.75,185.75,191.25,423500,191.25
2016-05-25,187.95,188.30,186.50,186.55,429500,186.55
2016-05-24,182.80,186.85001,181.60001,186.35001,328400,186.35001
2016-05-23,185.39999,185.60001,181.60001,183.30,423700,183.30
2016-05-20,184.00,185.50,182.95,185.05,798000,185.05
2016-05-19,181.60001,183.60001,180.05,182.85001,431800,182.85001
2016-05-18,182.55,183.20,179.95,182.25,387000,182.25
2016-05-17,190.00,191.00,182.30,183.45,603700,183.45
