Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,65.08,65.70,64.94,65.45,2605600,65.45
2016-10-26,64.70,65.43,64.17,65.22,3032900,65.22
2016-10-25,65.03,65.50,64.81,64.88,2668000,64.88
2016-10-24,64.63,65.61,64.55,64.89,3670700,64.89
2016-10-21,64.92,65.26,63.90,64.62,7106200,64.62
2016-10-20,65.79,66.50,65.34,66.00,4922900,66.00
2016-10-19,64.43,65.54,64.25,65.20,4148000,65.20
2016-10-18,64.12,64.65,63.89,64.34,2827800,64.34
2016-10-17,64.09,64.29,63.51,63.87,2740900,63.87
2016-10-14,63.52,64.65,63.40,64.16,3724600,64.16
2016-10-13,63.60,63.60,62.70,63.20,3737000,63.20
2016-10-12,64.46,64.75,63.87,64.12,2974000,64.12
2016-10-11,64.64,65.20,64.27,64.41,3449400,64.41
2016-10-10,63.85,65.07,63.60,64.62,3446900,64.62
2016-10-07,64.18,64.24,63.29,63.87,4060900,63.87
2016-10-06,64.90,65.16,64.04,64.35,2896300,64.35
2016-10-05,63.65,65.00,63.10,64.68,4118200,64.68
2016-10-04,62.85,64.59,62.74,64.37,6187100,64.37
2016-10-03,62.71,62.71,62.71,62.71,000,62.71
2016-09-30,61.18,63.00,60.60,62.71,4703700,62.71
2016-09-29,62.84,63.33,61.87,62.10,2577200,62.10
2016-09-28,61.74,62.69,61.63,62.06,2818300,62.06
2016-09-27,62.33,62.44,60.58,61.50,3483000,61.50
2016-09-26,63.15,63.20,61.74,61.88,3518600,61.88
2016-09-23,63.47,63.70,63.18,63.52,2629700,63.52
2016-09-22,62.30,63.88,62.13,63.42,5409300,63.42
2016-09-21,61.63,61.98,61.42,61.61,2253200,61.61
2016-09-20,61.37,61.65,61.10,61.10,2155300,61.10
2016-09-19,61.00,61.63,60.72,61.33,2670500,61.33
2016-09-16,61.85,61.96,60.14,60.41,8110000,60.41
2016-09-15,61.42,61.96,60.69,61.83,3270500,61.83
2016-09-14,62.15,62.23,61.21,61.53,3528900,61.53
2016-09-13,62.72,62.96,61.89,61.89,2970700,61.89
2016-09-12,62.09,62.56,61.52,62.40,4316300,62.40
2016-09-09,63.62,63.91,63.10,63.46,2424900,63.46
2016-09-08,64.22,64.59,62.79,63.75,4052000,63.75
2016-09-07,63.60,64.43,63.45,64.17,3274700,64.17
2016-09-06,63.22,63.79,62.87,63.29,3135000,63.29
2016-09-05,63.07,63.29,62.71,62.78,1794900,62.78
2016-09-02,61.95,62.91,61.28,62.86,3000600,62.86
2016-09-01,62.29,62.98,61.37,61.70,2969000,61.70
2016-08-31,62.26,62.60,62.00,62.08,2399000,62.08
2016-08-30,61.59,62.60,61.30,62.31,2858000,62.31
2016-08-29,61.19,61.57,60.65,61.23,1903500,61.23
2016-08-26,61.22,61.98,60.93,61.70,2295500,61.70
2016-08-25,61.60,61.67,60.59,61.17,3480800,61.17
2016-08-24,61.60,62.61,61.21,62.12,1973000,62.12
2016-08-23,61.64,62.24,61.30,61.86,1909000,61.86
2016-08-22,61.40,62.40,60.90,61.41,2470800,61.41
2016-08-19,62.19,62.19,60.93,61.41,2777200,61.41
2016-08-18,62.28,62.42,61.68,62.01,1728500,62.01
2016-08-17,62.55,62.72,61.44,61.77,2610300,61.77
2016-08-16,62.93,63.08,62.26,62.52,2818100,62.52
2016-08-15,63.09,63.80,62.94,63.30,1953400,63.30
2016-08-12,63.00,63.07,62.60,62.89,2340200,62.89
2016-08-11,63.00,63.12,62.12,63.08,2739500,63.08
2016-08-10,62.70,63.00,62.30,62.68,2815800,62.68
2016-08-09,61.24,62.96,60.91,62.87,4239600,62.87
2016-08-08,61.62,61.80,60.90,61.17,2817200,61.17
2016-08-05,59.64,61.28,59.49,61.03,3757600,61.03
2016-08-04,59.76,60.33,58.93,59.34,2527900,59.34
2016-08-03,59.00,59.57,58.01,59.35,3086400,59.35
2016-08-02,60.58,60.82,58.59,58.91,4624300,58.91
2016-08-01,61.40,61.63,60.52,60.71,2610800,60.71
2016-07-29,60.75,61.01,60.33,60.82,3614600,60.82
2016-07-28,62.03,62.43,60.31,60.31,5868500,60.31
2016-07-27,61.47,62.49,61.46,61.92,4694600,61.92
2016-07-26,59.98,61.06,59.68,60.76,3710700,60.76
2016-07-25,59.54,60.63,59.30,59.95,3399900,59.95
2016-07-22,59.37,59.82,58.91,59.51,2921400,59.51
2016-07-21,59.25,59.97,59.00,59.45,4759100,59.45
2016-07-20,58.22,59.20,57.56,58.68,3913700,58.68
2016-07-19,58.22,58.41,56.56,57.66,3938700,57.66
2016-07-18,58.60,59.33,58.08,58.31,3237400,58.31
2016-07-15,58.20,58.70,57.73,58.39,3546200,58.39
2016-07-14,58.20,58.89,58.01,58.49,4257300,58.49
2016-07-13,57.65,58.66,57.01,57.26,4447400,57.26
2016-07-12,57.10,58.07,56.86,57.65,7153100,57.65
2016-07-11,54.68,55.44,54.22,55.22,3635800,55.22
2016-07-08,52.14,54.47,51.98,54.15,4692800,54.15
2016-07-07,52.40,53.22,51.97,52.28,3782300,52.28
2016-07-06,52.00,52.19,50.83,51.97,5684600,51.97
2016-07-05,53.95,53.97,52.16,52.27,5866900,52.27
2016-07-04,55.10,55.25,53.92,54.24,2589200,54.24
2016-07-01,53.93,55.12,53.79,54.74,4738000,54.74
2016-06-30,53.84,53.85,52.92,53.52,5333000,53.52
2016-06-29,54.00,54.46,53.46,53.73,5021900,53.73
2016-06-28,54.73,54.80,53.42,53.68,5437700,53.68
2016-06-27,54.54,55.27,52.93,53.37,8546000,53.37
2016-06-24,52.56,56.48,52.00,55.06,18125800,55.06
2016-06-23,59.29,60.55,59.11,59.99,4228500,59.99
2016-06-22,59.18,59.77,58.81,59.00,3346700,59.00
2016-06-21,58.49,59.14,57.65,58.66,3298600,58.66
2016-06-20,57.70,58.53,57.48,58.35,4514800,58.35
2016-06-17,55.83,56.39,55.47,55.87,6692600,55.87
2016-06-16,54.36,55.51,54.15,55.31,4596200,55.31
2016-06-15,55.69,55.97,54.51,55.51,5651800,55.51
2016-06-14,56.00,56.02,54.80,55.05,5755400,55.05
2016-06-13,56.75,57.09,56.37,56.37,3832100,56.37
