Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,67.47,67.91,67.06,67.67,50700,67.67
2016-10-26,67.66,68.04,66.90,67.48,42600,67.48
2016-10-25,68.00,68.39,67.81,67.81,90800,67.81
2016-10-24,66.90,67.81,66.90,67.56,63200,67.56
2016-10-21,67.15,67.25,66.49,66.84,94000,66.84
2016-10-20,67.50,67.81,66.87,67.03,160900,67.03
2016-10-19,68.00,68.00,67.20,67.45,131800,67.45
2016-10-18,67.10,68.28,66.66,67.31,111400,67.31
2016-10-17,68.50,68.50,67.25,67.26,66800,67.26
2016-10-14,67.55,68.68,67.51,68.25,67500,68.25
2016-10-13,68.20,68.54,67.08,67.74,124900,67.74
2016-10-12,68.96,69.27,68.43,68.57,64700,68.57
2016-10-11,68.22,69.75,68.22,69.05,98100,69.05
2016-10-10,69.55,69.55,68.51,68.62,79800,68.62
2016-10-07,69.90,70.14,68.33,68.57,97300,68.57
2016-10-06,70.00,70.94,69.71,69.99,108900,69.99
2016-10-05,70.00,70.78,69.30,70.00,95900,70.00
2016-10-04,68.90,70.94,68.90,70.06,222000,70.06
2016-10-03,69.47,69.47,69.47,69.47,000,69.47
2016-09-30,70.51,70.71,69.11,69.47,169800,69.47
2016-09-29,72.36,72.36,70.95,71.28,65000,71.28
2016-09-28,71.64,72.25,70.51,71.05,112000,71.05
2016-09-27,72.49,72.49,70.60,71.22,158900,71.22
2016-09-26,72.01,72.70,71.06,71.90,157500,71.90
2016-09-23,73.73,74.59,72.31,72.52,115900,72.52
2016-09-22,73.22,74.56,73.22,73.79,109900,73.79
2016-09-21,73.10,75.00,72.68,73.11,124200,73.11
2016-09-20,71.26,73.67,71.26,72.52,136800,72.52
2016-09-19,70.72,71.85,70.12,71.19,97600,71.19
2016-09-16,71.99,72.16,70.16,70.16,249100,70.16
2016-09-15,70.50,71.59,70.46,71.12,108600,71.12
2016-09-14,71.98,72.19,70.90,70.90,138100,70.90
2016-09-13,71.99,71.99,70.35,71.94,99500,71.94
2016-09-12,71.50,71.99,70.80,71.68,104700,71.68
2016-09-09,72.39,72.91,71.50,71.94,69500,71.94
2016-09-08,72.12,73.25,72.12,72.70,80500,72.70
2016-09-07,73.18,73.46,71.84,72.33,94100,72.33
2016-09-06,73.00,74.00,73.00,73.25,49000,73.25
2016-09-05,73.73,74.20,73.43,73.54,66300,73.54
2016-09-02,73.16,73.94,73.16,73.91,46600,73.91
2016-09-01,71.99,73.65,71.76,73.06,93900,73.06
2016-08-31,73.10,73.40,71.63,71.63,175400,71.63
2016-08-30,72.95,74.25,72.53,73.31,68800,73.31
2016-08-29,73.07,74.01,72.42,73.00,91000,73.00
2016-08-26,73.74,73.80,72.61,73.15,61800,73.15
2016-08-25,73.58,74.07,72.07,73.61,80700,73.61
2016-08-24,75.20,76.40,73.86,73.86,80400,73.86
2016-08-23,74.32,75.65,73.70,75.65,67600,75.65
2016-08-22,75.82,76.61,74.22,74.33,115300,74.33
2016-08-19,76.00,76.50,75.14,76.18,104200,76.18
2016-08-18,75.10,76.99,74.24,76.99,270100,76.99
2016-08-17,75.08,75.89,74.70,75.67,190300,75.67
2016-08-16,74.98,75.25,73.71,74.84,176900,74.84
2016-08-15,74.12,75.99,73.66,75.49,238000,75.49
2016-08-12,75.37,75.91,74.98,75.65,315200,75.65
2016-08-11,75.25,75.90,75.19,75.78,280600,75.78
2016-08-10,75.50,75.80,74.84,75.35,374800,75.35
2016-08-09,74.00,75.61,73.58,75.61,492000,75.61
2016-08-08,74.10,74.39,73.80,74.11,276200,74.11
2016-08-05,73.73,74.25,73.30,74.10,330600,74.10
2016-08-04,74.10,74.36,73.48,73.67,281000,73.67
2016-08-03,74.00,74.50,73.71,74.01,245600,74.01
2016-08-02,74.95,74.95,74.32,74.32,185200,74.32
2016-08-01,74.64,75.55,73.98,75.00,245500,75.00
2016-07-29,74.94,75.22,74.27,75.11,247300,75.11
2016-07-28,74.04,75.92,74.01,74.50,328700,74.50
2016-07-27,73.65,75.00,73.47,74.00,178600,74.00
2016-07-26,73.40,73.70,73.00,73.46,161100,73.46
2016-07-25,73.56,74.15,73.08,73.96,240600,73.96
2016-07-22,73.64,73.86,73.11,73.32,245800,73.32
2016-07-21,75.14,75.31,73.24,73.94,524900,73.94
2016-07-20,75.30,76.35,75.09,75.24,504000,75.24
2016-07-19,76.04,76.53,75.24,75.27,467000,75.27
2016-07-18,75.24,76.95,75.08,76.63,470000,76.63
2016-07-15,75.31,76.20,74.42,75.43,523100,75.43
2016-07-14,75.45,76.08,75.32,76.04,426900,76.04
2016-07-13,74.36,75.75,74.30,74.88,445900,74.88
2016-07-12,73.24,74.90,73.20,74.81,465900,74.81
2016-07-11,72.90,73.80,72.14,73.73,530200,73.73
2016-07-08,69.78,72.16,69.33,71.96,634900,71.96
2016-07-07,70.99,71.39,70.39,70.50,489600,70.50
2016-07-06,69.72,70.67,69.60,70.43,614200,70.43
2016-07-05,71.81,71.83,69.76,70.00,735600,70.00
2016-07-04,73.43,73.55,72.32,72.32,363800,72.32
2016-07-01,74.10,74.27,72.00,73.19,505700,73.19
2016-06-30,73.90,74.19,72.49,73.54,570500,73.54
2016-06-29,74.53,74.84,73.61,73.91,499400,73.91
2016-06-28,72.00,74.31,71.71,73.67,625700,73.67
2016-06-27,74.50,75.30,70.24,70.63,1279800,70.63
2016-06-24,73.00,78.00,72.80,74.09,1781200,74.09
2016-06-23,80.39,82.14,79.62,81.65,758800,81.65
2016-06-22,79.59,80.78,79.07,80.32,837500,80.32
2016-06-21,77.56,79.48,77.39,79.26,695700,79.26
2016-06-20,75.76,77.78,75.67,77.78,584000,77.78
2016-06-17,72.85,74.19,72.85,74.19,788500,74.19
2016-06-16,71.68,72.44,70.93,72.25,734400,72.25
