Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,13.69,13.74,13.18,13.375,14925700,13.375
2016-10-26,13.02,13.35,13.015,13.295,10526300,13.295
2016-10-25,13.395,13.445,12.92,13.145,14498000,13.145
2016-10-24,13.19,13.47,13.165,13.36,10638900,13.36
2016-10-21,13.18,13.26,12.99,13.12,12505400,13.12
2016-10-20,12.625,13.08,12.57,13.03,18108700,13.03
2016-10-19,12.55,12.63,12.415,12.55,8522300,12.55
2016-10-18,12.305,12.50,12.285,12.445,8730000,12.445
2016-10-17,12.17,12.385,12.125,12.22,7920900,12.22
2016-10-14,12.01,12.44,11.92,12.235,12399100,12.235
2016-10-13,12.255,12.265,11.835,11.99,11474700,11.99
2016-10-12,12.30,12.47,12.11,12.35,7713100,12.35
2016-10-11,12.47,12.565,12.27,12.305,12075100,12.305
2016-10-10,12.01,12.50,11.635,12.50,24288700,12.50
2016-10-07,12.105,12.305,11.96,12.09,16415700,12.09
2016-10-06,12.20,12.395,11.925,12.035,17040900,12.035
2016-10-05,11.85,12.10,11.67,12.07,18733100,12.07
2016-10-04,11.585,11.98,11.455,11.745,27318500,11.745
2016-10-03,11.57,11.57,11.57,11.57,000,11.57
2016-09-30,10.05,11.71,9.898,11.57,56936600,11.57
2016-09-29,11.055,11.06,10.78,10.875,14638000,10.875
2016-09-28,10.88,11.01,10.655,10.765,24355000,10.765
2016-09-27,10.70,10.76,10.18,10.55,29500800,10.55
2016-09-26,11.265,11.265,10.54,10.55,30891200,10.55
2016-09-23,11.585,11.64,11.30,11.41,9501400,11.41
2016-09-22,11.305,11.745,11.305,11.64,12366200,11.64
2016-09-21,11.385,11.435,11.13,11.275,15248600,11.275
2016-09-20,11.62,11.70,11.25,11.255,15664000,11.255
2016-09-19,11.97,12.035,11.635,11.70,15486900,11.70
2016-09-16,12.20,12.36,11.935,11.99,39766200,11.99
2016-09-15,12.915,13.175,12.87,13.10,8382500,13.10
2016-09-14,13.04,13.085,12.80,12.945,10057900,12.945
2016-09-13,13.395,13.475,13.035,13.04,9634600,13.04
2016-09-12,13.45,13.555,13.055,13.30,13667700,13.30
2016-09-09,13.11,13.805,12.97,13.65,21027200,13.65
2016-09-08,12.945,13.14,12.715,13.11,10630600,13.11
2016-09-07,12.85,13.015,12.55,12.95,11551300,12.95
2016-09-06,13.14,13.33,12.90,12.90,8932300,12.90
2016-09-05,13.455,13.48,13.15,13.25,8069400,13.25
2016-09-02,13.155,13.375,12.83,13.32,15161000,13.32
2016-09-01,13.33,13.84,13.025,13.08,18623500,13.08
2016-08-31,12.88,13.43,12.815,13.21,16511400,13.21
2016-08-30,12.50,12.895,12.48,12.885,8933900,12.885
2016-08-29,12.515,12.655,12.38,12.415,4143500,12.415
2016-08-26,12.50,12.68,12.315,12.595,6581000,12.595
