Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,28.22,28.50,28.055,28.24,2304300,28.24
2016-10-26,28.18,28.40,28.115,28.29,2700100,28.29
2016-10-25,28.14,28.41,28.13,28.20,3121900,28.20
2016-10-24,28.07,28.295,28.025,28.025,2324200,28.025
2016-10-21,28.07,28.13,27.865,27.935,2611400,27.935
2016-10-20,27.95,28.19,27.855,28.00,2955200,28.00
2016-10-19,27.80,27.95,27.695,27.85,2517700,27.85
2016-10-18,27.84,27.93,27.675,27.74,3195200,27.74
2016-10-17,27.495,27.705,27.49,27.53,2065800,27.53
2016-10-14,27.405,27.685,27.395,27.60,3165300,27.60
2016-10-13,27.365,27.365,27.14,27.27,3605300,27.27
2016-10-12,27.56,27.785,27.405,27.575,2268600,27.575
2016-10-11,27.355,27.82,27.265,27.60,3559900,27.60
2016-10-10,27.08,27.405,27.055,27.335,2821100,27.335
2016-10-07,27.41,27.45,26.96,27.065,3483900,27.065
2016-10-06,27.78,27.82,27.435,27.50,2213500,27.50
2016-10-05,27.61,27.71,27.48,27.655,2241200,27.655
2016-10-04,27.88,27.995,27.725,27.85,3459300,27.85
2016-10-03,27.82,27.82,27.82,27.82,000,27.82
2016-09-30,27.20,27.92,27.03,27.82,4253200,27.82
2016-09-29,27.975,28.11,27.475,27.565,2255700,27.565
2016-09-28,27.70,27.96,27.655,27.69,1920300,27.69
2016-09-27,27.665,27.68,27.26,27.60,2581200,27.60
2016-09-26,27.945,27.945,27.345,27.43,3017600,27.43
2016-09-23,28.065,28.165,27.905,28.145,3060100,28.145
2016-09-22,27.75,28.185,27.65,28.00,3646900,28.00
2016-09-21,27.77,27.86,27.48,27.49,2272900,27.49
2016-09-20,27.495,27.685,27.40,27.55,1818100,27.55
2016-09-19,27.40,27.61,27.335,27.585,2373000,27.585
2016-09-16,27.40,27.47,26.975,27.16,6552500,27.16
2016-09-15,27.14,27.495,27.055,27.45,3620500,27.45
2016-09-14,27.75,27.83,27.01,27.27,5984500,27.27
2016-09-13,27.885,27.975,27.57,27.61,2788500,27.61
2016-09-12,27.515,27.735,27.325,27.705,3633300,27.705
2016-09-09,28.69,28.73,27.825,27.91,3736100,27.91
2016-09-08,29.00,29.00,28.515,28.74,3254200,28.74
2016-09-07,28.785,28.905,28.675,28.855,1854400,28.855
2016-09-06,28.905,28.975,28.68,28.805,1915300,28.805
2016-09-05,28.855,28.925,28.77,28.81,1271600,28.81
2016-09-02,28.535,28.81,28.345,28.81,2293900,28.81
2016-09-01,28.45,28.70,28.335,28.475,2256500,28.475
2016-08-31,28.495,28.56,28.365,28.40,2298800,28.40
2016-08-30,28.58,28.715,28.535,28.58,2002000,28.58
2016-08-29,28.285,28.45,28.115,28.43,1032200,28.43
2016-08-26,28.375,28.605,28.22,28.44,1611000,28.44
2016-08-25,28.76,28.76,28.335,28.45,1952600,28.45
2016-08-24,28.165,28.795,28.11,28.795,2634400,28.795
2016-08-23,28.245,28.435,28.05,28.345,2156800,28.345
2016-08-22,27.915,28.41,27.88,27.975,2038000,27.975
2016-08-19,28.20,28.20,27.885,28.01,2318600,28.01
2016-08-18,27.95,28.125,27.80,28.125,1859800,28.125
2016-08-17,28.125,28.245,27.76,27.76,2044800,27.76
2016-08-16,28.18,28.405,28.025,28.12,2054100,28.12
2016-08-15,28.415,28.65,28.305,28.375,1408500,28.375
2016-08-12,28.205,28.49,28.195,28.445,2079200,28.445
2016-08-11,28.265,28.385,28.115,28.33,1739800,28.33
2016-08-10,28.16,28.315,28.105,28.18,2272900,28.18
2016-08-09,27.745,28.29,27.70,28.25,3151600,28.25
2016-08-08,27.80,27.92,27.715,27.73,2159800,27.73
2016-08-05,27.40,27.66,27.295,27.62,2584800,27.62
2016-08-04,27.395,27.715,27.195,27.30,2955400,27.30
2016-08-03,27.115,27.515,27.07,27.32,5277900,27.32
2016-08-02,26.835,26.945,26.395,26.47,3316600,26.47
2016-08-01,26.855,27.075,26.635,26.80,2611300,26.80
2016-07-29,26.77,26.845,26.48,26.69,2579000,26.69
2016-07-28,26.35,26.70,26.35,26.62,3143100,26.62
2016-07-27,26.265,26.44,26.22,26.43,2073700,26.43
2016-07-26,26.035,26.195,25.905,26.10,1794100,26.10
2016-07-25,25.81,26.245,25.71,26.10,2244000,26.10
2016-07-22,25.89,25.925,25.62,25.855,2056900,25.855
2016-07-21,25.835,25.985,25.665,25.935,2290300,25.935
2016-07-20,25.585,25.865,25.425,25.83,2165600,25.83
2016-07-19,25.605,25.775,25.39,25.50,2270600,25.50
2016-07-18,25.75,25.955,25.475,25.625,2578900,25.625
2016-07-15,25.80,25.94,25.625,25.785,2137900,25.785
2016-07-14,25.80,25.96,25.58,25.82,2626800,25.82
2016-07-13,25.57,25.755,25.46,25.46,1876300,25.46
2016-07-12,25.27,25.78,25.22,25.655,2820200,25.655
2016-07-11,25.08,25.465,24.99,25.375,2745700,25.375
2016-07-08,24.315,24.85,24.29,24.77,2513500,24.77
2016-07-07,24.37,24.74,24.37,24.445,2545000,24.445
2016-07-06,24.49,24.735,24.175,24.335,3590900,24.335
2016-07-05,24.945,25.02,24.645,24.74,3091000,24.74
2016-07-04,25.49,25.545,25.115,25.16,1733800,25.16
2016-07-01,25.315,25.495,25.025,25.40,3187800,25.40
2016-06-30,24.85,25.23,24.68,25.175,4082700,25.175
2016-06-29,24.605,24.94,24.54,24.865,3498500,24.865
2016-06-28,24.05,24.545,24.03,24.255,4304300,24.255
2016-06-27,24.26,24.525,23.50,23.67,7623200,23.67
2016-06-24,24.03,25.325,24.00,24.555,10952500,24.555
2016-06-23,26.045,26.415,25.885,26.405,4409400,26.405
2016-06-22,26.215,26.265,25.88,25.88,2906100,25.88
2016-06-21,26.155,26.225,25.95,25.95,4415500,25.95
2016-06-20,25.785,26.485,25.70,26.285,4500000,26.285
2016-06-17,25.345,25.54,25.24,25.24,6350800,25.24
2016-06-16,24.885,25.24,24.84,25.17,3807700,25.17
2016-06-15,25.20,25.37,25.02,25.205,3109000,25.205
2016-06-14,25.10,25.305,25.00,25.05,3832400,25.05
2016-06-13,25.50,25.72,25.395,25.395,3577600,25.395
2016-06-10,26.475,26.51,25.855,25.905,4201100,25.905
2016-06-09,26.57,26.645,26.365,26.575,3520200,26.575
2016-06-08,26.54,26.63,26.425,26.52,1850000,26.52
2016-06-07,26.32,26.715,26.29,26.60,3854000,26.60
2016-06-06,26.00,26.18,25.955,26.09,2057300,26.09
2016-06-03,26.47,26.595,25.80,26.03,3554400,26.03
2016-06-02,26.24,26.51,26.20,26.465,2679800,26.465
2016-06-01,26.13,26.27,26.025,26.25,3063300,26.25
2016-05-31,26.595,26.68,26.215,26.215,4219000,26.215
2016-05-30,26.69,26.76,26.57,26.64,1598100,26.64
2016-05-27,26.36,26.745,26.285,26.675,3509400,26.675
2016-05-26,26.205,26.44,26.205,26.42,2548500,26.42
2016-05-25,25.99,26.32,25.88,26.165,4179100,26.165
2016-05-24,25.84,26.23,25.805,26.125,3678400,26.125
2016-05-23,25.90,26.12,25.72,25.945,3107100,25.945
2016-05-20,26.065,26.145,25.84,25.87,3494800,25.87
2016-05-19,26.08,26.39,25.73,25.74,5269000,25.74
2016-05-18,26.705,27.02,26.595,27.015,4641800,26.165
2016-05-17,26.875,27.00,26.60,26.81,4585700,25.966
2016-05-16,26.855,26.855,26.855,26.855,000,26.01
2016-05-13,26.185,26.875,26.14,26.855,3799100,26.01
2016-05-12,26.27,26.90,26.155,26.465,4138700,25.632
2016-05-11,26.22,26.72,26.19,26.415,6338400,25.584
2016-05-10,25.935,26.075,25.75,25.84,3925900,25.027
2016-05-09,25.71,26.00,25.58,25.665,2785800,24.857
2016-05-06,25.20,25.60,25.07,25.375,3645900,24.577
2016-05-05,25.30,25.475,25.13,25.24,1847200,24.446
2016-05-04,25.22,25.42,25.14,25.225,2981900,24.431
2016-05-03,25.745,25.745,25.22,25.26,4039700,24.465
2016-05-02,25.705,26.005,25.635,25.82,1706900,25.008
2016-04-29,25.915,26.035,25.495,25.64,4436300,24.833
2016-04-28,26.08,26.275,25.72,26.275,2668600,25.448
2016-04-27,25.97,26.315,25.91,26.15,2216100,25.327
2016-04-26,26.14,26.345,25.905,25.98,2291900,25.163
2016-04-25,26.085,26.20,25.81,26.04,2451500,25.221
2016-04-22,26.035,26.31,25.94,26.10,2661400,25.279
2016-04-21,26.01,26.12,25.825,26.07,3202100,25.25
2016-04-20,25.77,25.995,25.69,25.965,2780000,25.148
2016-04-19,25.35,25.915,25.33,25.88,4008100,25.066
2016-04-18,24.965,25.35,24.94,25.245,2314100,24.451
2016-04-15,25.195,25.365,25.115,25.225,3031300,24.431
2016-04-14,25.275,25.405,25.155,25.32,3511500,24.523
2016-04-13,24.715,25.20,24.645,25.17,5193900,24.378
2016-04-12,24.20,24.435,24.07,24.435,3276600,23.666
