Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,15.07,15.225,14.875,15.015,11229300,15.015
2016-10-26,15.13,15.20,14.945,15.07,8747300,15.07
2016-10-25,14.945,15.26,14.855,15.14,19092400,15.14
2016-10-24,14.555,14.83,14.55,14.685,11914000,14.685
2016-10-21,14.54,14.645,14.43,14.525,7519900,14.525
2016-10-20,14.47,14.58,14.395,14.485,7528500,14.485
2016-10-19,14.525,14.535,14.35,14.42,7621400,14.42
2016-10-18,14.415,14.575,14.355,14.525,11138200,14.525
2016-10-17,14.335,14.435,14.275,14.31,4627100,14.31
2016-10-14,14.275,14.445,14.245,14.35,8633200,14.35
2016-10-13,14.23,14.23,14.06,14.18,11655800,14.18
2016-10-12,14.51,14.56,14.275,14.32,8281300,14.32
2016-10-11,14.485,14.68,14.475,14.52,6025900,14.52
2016-10-10,14.34,14.55,14.305,14.52,8449500,14.52
2016-10-07,14.48,14.50,14.325,14.36,9593800,14.36
2016-10-06,14.815,14.815,14.355,14.455,13944700,14.455
2016-10-05,14.88,14.89,14.735,14.755,8306600,14.755
2016-10-04,14.90,15.10,14.86,15.025,11170400,15.025
2016-10-03,14.92,14.92,14.92,14.92,000,14.92
2016-09-30,14.75,14.945,14.665,14.92,11615500,14.92
2016-09-29,14.96,15.075,14.885,14.95,6455400,14.95
2016-09-28,14.945,15.125,14.87,14.87,7810100,14.87
2016-09-27,15.065,15.085,14.81,14.93,6354100,14.93
2016-09-26,15.18,15.185,14.935,14.97,7947400,14.97
2016-09-23,15.18,15.41,15.175,15.275,8793200,15.275
2016-09-22,14.95,15.325,14.92,15.325,15068100,15.325
2016-09-21,14.69,14.93,14.65,14.785,9250300,14.785
2016-09-20,14.50,14.665,14.47,14.50,6458400,14.50
2016-09-19,14.54,14.58,14.47,14.51,6628900,14.51
2016-09-16,14.40,14.64,14.36,14.435,21747600,14.435
2016-09-15,14.34,14.40,14.25,14.385,8856300,14.385
2016-09-14,14.475,14.51,14.27,14.36,8781300,14.36
2016-09-13,14.62,14.66,14.40,14.415,7538800,14.415
2016-09-12,14.565,14.675,14.455,14.55,10076800,14.55
2016-09-09,14.95,14.995,14.725,14.78,8209300,14.78
2016-09-08,15.01,15.13,14.89,15.02,7343900,15.02
2016-09-07,15.075,15.14,15.015,15.04,5556800,15.04
2016-09-06,15.075,15.16,15.025,15.04,5168800,15.04
2016-09-05,15.18,15.225,15.05,15.05,4240100,15.05
2016-09-02,14.96,15.09,14.88,15.07,7727900,15.07
2016-09-01,15.04,15.045,14.76,14.875,12259400,14.875
2016-08-31,15.06,15.115,14.97,14.97,6876500,14.97
2016-08-30,15.105,15.24,15.05,15.075,7498700,15.075
2016-08-29,14.99,15.115,14.885,15.05,3274100,15.05
2016-08-26,15.01,15.095,14.925,15.075,4354700,15.075
2016-08-25,15.015,15.08,14.925,14.995,4503600,14.995
2016-08-24,15.065,15.105,14.96,15.075,6756300,15.075
2016-08-23,15.195,15.24,15.025,15.12,9063100,15.12
2016-08-22,15.23,15.43,15.135,15.17,4647500,15.17
2016-08-19,15.41,15.455,15.155,15.205,6784600,15.205
2016-08-18,15.455,15.465,15.255,15.395,3841400,15.395
2016-08-17,15.54,15.58,15.305,15.305,6187500,15.305
2016-08-16,15.56,15.59,15.41,15.49,5629800,15.49
2016-08-15,15.64,15.76,15.59,15.60,4738100,15.60
2016-08-12,15.665,15.68,15.54,15.635,7409100,15.635
2016-08-11,15.77,15.78,15.535,15.755,7590100,15.755
2016-08-10,15.80,15.80,15.62,15.655,6490000,15.655
2016-08-09,15.51,15.795,15.51,15.76,8252700,15.76
2016-08-08,15.60,15.62,15.465,15.51,4734900,15.51
2016-08-05,15.25,15.60,15.245,15.515,6968300,15.515
2016-08-04,15.28,15.30,15.12,15.225,6440200,15.225
2016-08-03,15.195,15.285,15.01,15.20,6120300,15.20
2016-08-02,15.25,15.295,15.125,15.175,7138200,15.175
2016-08-01,15.295,15.405,15.15,15.28,6374800,15.28
2016-07-29,15.22,15.265,15.07,15.225,9149500,15.225
2016-07-28,15.14,15.28,15.09,15.175,8176700,15.175
2016-07-27,15.23,15.29,15.105,15.16,7129700,15.16
2016-07-26,15.23,15.29,15.085,15.14,7105000,15.14
2016-07-25,15.27,15.425,15.22,15.30,6306300,15.30
2016-07-22,15.20,15.44,15.17,15.30,7427500,15.30
2016-07-21,15.325,15.36,14.92,15.175,7409400,15.175
2016-07-20,15.285,15.35,15.175,15.245,6496200,15.245
2016-07-19,15.265,15.32,15.14,15.25,5172800,15.25
2016-07-18,15.43,15.575,15.275,15.315,6438200,15.315
2016-07-15,15.385,15.515,15.35,15.455,8532600,15.455
2016-07-14,15.305,15.395,15.18,15.395,11451800,15.395
2016-07-13,15.09,15.205,15.03,15.08,8797900,15.08
2016-07-12,14.90,15.175,14.84,15.11,9442800,15.11
2016-07-11,15.01,15.045,14.855,14.98,5165600,14.98
