Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,6.682,6.72,6.623,6.676,6734400,6.676
2016-10-26,6.655,6.728,6.653,6.697,6851600,6.697
2016-10-25,6.711,6.755,6.658,6.677,7662800,6.677
2016-10-24,6.83,6.899,6.70,6.70,10374400,6.70
2016-10-21,6.834,6.841,6.729,6.783,9236100,6.783
2016-10-20,6.806,6.842,6.717,6.813,10611500,6.813
2016-10-19,6.794,6.818,6.669,6.801,12186100,6.801
2016-10-18,6.734,6.88,6.714,6.78,12906500,6.78
2016-10-17,6.783,6.789,6.659,6.674,10103800,6.674
2016-10-14,6.616,6.88,6.606,6.826,22096400,6.826
2016-10-13,6.58,6.641,6.505,6.605,15623700,6.605
2016-10-12,6.621,6.69,6.433,6.554,15749000,6.554
2016-10-11,6.456,6.718,6.42,6.583,19315500,6.583
2016-10-10,6.317,6.478,6.235,6.472,16059500,6.472
2016-10-07,6.28,6.353,6.195,6.309,26696000,6.309
2016-10-06,6.18,6.187,6.045,6.08,14580100,6.08
2016-10-05,6.21,6.233,6.124,6.144,13022000,6.144
2016-10-04,6.36,6.39,6.182,6.263,15920300,6.263
2016-10-03,6.314,6.314,6.314,6.314,000,6.314
2016-09-30,6.247,6.34,6.125,6.314,16260100,6.314
2016-09-29,6.35,6.501,6.324,6.337,13330200,6.337
2016-09-28,6.302,6.368,6.248,6.275,12058800,6.275
2016-09-27,6.382,6.40,6.235,6.296,12823900,6.296
2016-09-26,6.396,6.411,6.287,6.36,11331400,6.36
2016-09-23,6.501,6.507,6.37,6.424,9609000,6.424
2016-09-22,6.295,6.532,6.29,6.494,13025300,6.494
2016-09-21,6.36,6.386,6.273,6.273,10566500,6.273
2016-09-20,6.449,6.46,6.31,6.31,9563300,6.31
2016-09-19,6.391,6.448,6.35,6.438,10864300,6.438
2016-09-16,6.56,6.56,6.311,6.35,33959200,6.35
2016-09-15,6.64,6.678,6.513,6.60,16165200,6.60
2016-09-14,6.763,6.772,6.568,6.652,17787400,6.652
2016-09-13,7.01,7.10,6.724,6.749,24555600,6.749
2016-09-12,7.39,7.39,6.92,6.95,42468000,6.95
2016-09-09,7.39544,7.51326,7.35737,7.39,22149300,7.39
2016-09-08,7.448,7.46975,7.28849,7.40359,18668300,7.40359
2016-09-07,7.52957,7.56673,7.42172,7.44891,15928300,7.44891
2016-09-06,7.55857,7.65011,7.51326,7.6202,10379500,7.6202
2016-09-05,7.56764,7.62564,7.51054,7.55495,8722600,7.55495
2016-09-02,7.29574,7.54135,7.29574,7.53048,10683700,7.53048
2016-09-01,7.4906,7.5332,7.23774,7.25677,12506600,7.25677
2016-08-31,7.53138,7.54498,7.44891,7.48335,9603400,7.48335
2016-08-30,7.48607,7.57307,7.47066,7.5341,9565400,7.5341
2016-08-29,7.45253,7.49694,7.361,7.42535,5902000,7.42535
2016-08-26,7.47791,7.53591,7.39362,7.50963,7399000,7.50963
2016-08-25,7.4181,7.47338,7.41175,7.47066,6523100,7.47066
2016-08-24,7.43441,7.53048,7.37006,7.44166,6761600,7.44166
2016-08-23,7.477,7.50419,7.42263,7.46885,4893300,7.46885
2016-08-22,7.41356,7.53773,7.37459,7.43622,7605100,7.43622
2016-08-19,7.55495,7.57126,7.37731,7.38637,7813200,7.38637
2016-08-18,7.52051,7.5477,7.44257,7.53048,9233100,7.53048
2016-08-17,7.73168,7.74799,7.4181,7.43169,13453200,7.43169
2016-08-16,7.75796,7.80599,7.70449,7.71264,10603700,7.71264
2016-08-15,7.97547,7.98907,7.88665,7.90387,5625800,7.90387
2016-08-12,7.9791,8.01082,7.87759,7.92019,8166600,7.92019
2016-08-11,7.81052,8.04979,7.73258,7.97819,13124000,7.97819
2016-08-10,8.25643,8.35974,7.80327,7.88212,28740800,7.88212
2016-08-09,8.44131,8.56457,8.40959,8.54826,7002300,8.54826
2016-08-08,8.35521,8.44222,8.33527,8.43316,5208800,8.43316
2016-08-05,8.37153,8.48391,8.29902,8.31987,9073500,8.31987
2016-08-04,8.33527,8.4395,8.28362,8.32621,6928900,8.32621
2016-08-03,8.39237,8.40959,8.27455,8.34252,5591400,8.34252
2016-08-02,8.49025,8.50747,8.31352,8.36518,7815800,8.36518
2016-08-01,8.75036,8.7848,8.46759,8.50022,7673000,8.50022
