Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,75.60,75.80,73.08,74.43,798800,74.43
2016-10-26,74.22,74.56,74.10,74.45,529900,74.45
2016-10-25,76.06,76.22,74.29,74.35,756200,74.35
2016-10-24,76.39,76.99,75.88,75.98,465200,75.98
2016-10-21,77.05,77.05,76.03,76.03,481800,76.03
2016-10-20,76.81,77.12,75.99,76.90,587800,76.90
2016-10-19,75.85,76.65,75.63,76.53,475900,76.53
2016-10-18,75.48,76.05,75.48,75.89,646400,75.89
2016-10-17,76.08,76.37,75.00,75.11,485200,75.11
2016-10-14,75.29,76.17,74.63,75.92,592900,75.92
2016-10-13,74.45,75.22,74.01,75.22,596400,75.22
2016-10-12,74.92,74.99,74.51,74.75,510100,74.75
2016-10-11,75.25,75.91,74.66,74.88,510800,74.88
2016-10-10,74.26,75.43,73.82,75.31,615200,75.31
2016-10-07,75.49,75.53,74.35,74.40,921800,74.40
2016-10-06,76.49,76.49,74.92,75.37,562900,75.37
2016-10-05,76.73,76.87,76.07,76.09,391200,76.09
2016-10-04,78.01,78.01,76.89,77.15,750900,77.15
2016-10-03,77.76,77.76,77.76,77.76,000,77.76
2016-09-30,76.26,77.83,75.31,77.76,755700,77.76
2016-09-29,78.41,78.54,76.89,77.11,512400,77.11
2016-09-28,78.34,78.94,78.09,78.16,346800,78.16
2016-09-27,78.64,78.91,77.59,78.23,570900,78.23
2016-09-26,80.00,80.14,78.32,78.32,575600,78.32
2016-09-23,80.21,81.12,80.00,80.53,450900,80.53
2016-09-22,79.45,80.48,79.11,80.36,948200,80.36
2016-09-21,79.75,79.75,78.80,78.80,411700,78.80
2016-09-20,78.35,79.49,78.32,79.07,508200,79.07
2016-09-19,78.33,78.54,77.67,78.54,610800,78.54
2016-09-16,78.24,78.75,77.82,77.82,1167500,77.82
2016-09-15,78.26,78.55,78.06,78.46,557600,78.46
2016-09-14,78.74,79.14,78.52,78.54,504900,78.54
2016-09-13,79.08,79.47,78.43,78.52,496400,78.52
2016-09-12,78.48,78.70,77.67,78.31,583900,78.31
2016-09-09,79.52,80.57,78.81,79.01,433300,79.01
2016-09-08,80.24,80.80,79.48,79.88,378900,79.88
2016-09-07,80.55,80.92,80.10,80.39,405700,80.39
2016-09-06,81.40,81.45,80.25,80.79,457800,80.79
2016-09-05,80.55,80.94,79.79,80.07,252300,80.07
2016-09-02,77.89,80.25,77.71,80.20,602500,80.20
2016-09-01,79.56,79.56,77.60,77.78,477000,77.78
2016-08-31,80.01,80.35,79.20,79.34,433900,79.34
2016-08-30,79.85,80.61,79.82,80.16,309300,80.16
2016-08-29,79.22,80.00,78.82,79.64,204400,79.64
2016-08-26,79.44,79.91,78.80,79.63,328400,79.63
2016-08-25,80.12,80.24,78.82,79.60,509700,79.60
2016-08-24,80.25,81.22,80.16,80.65,350300,80.65
2016-08-23,80.47,81.52,80.30,80.60,630600,80.60
2016-08-22,79.26,81.36,79.25,80.01,946500,80.01
2016-08-19,82.00,82.11,76.92,78.85,1801600,78.85
2016-08-18,82.48,82.53,81.32,81.86,429300,81.86
2016-08-17,83.46,83.64,81.79,81.79,398600,81.79
2016-08-16,84.03,84.44,82.79,83.38,542200,83.38
2016-08-15,84.69,85.55,84.34,84.34,297200,84.34
2016-08-12,84.99,85.00,84.20,84.67,269100,84.67
2016-08-11,84.44,85.24,84.21,84.95,410900,84.95
2016-08-10,84.97,85.12,84.04,84.04,600500,84.04
2016-08-09,83.00,85.65,82.70,85.65,581800,85.65
2016-08-08,83.45,83.47,82.90,83.20,336000,83.20
2016-08-05,82.50,83.25,82.20,83.17,426800,83.17
2016-08-04,81.55,82.64,81.05,82.54,458300,82.54
2016-08-03,82.20,82.89,81.32,81.62,687200,81.62
2016-08-02,82.82,83.79,82.45,82.45,724100,82.45
2016-08-01,82.39,82.73,81.72,81.93,435200,81.93
