Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,68.43,70.25,67.16,69.81,1305500,69.81
2016-10-26,68.29,68.64,67.91,68.37,986000,68.37
2016-10-25,70.29,70.49,68.39,68.44,1237500,68.44
2016-10-24,70.39,70.93,70.19,70.45,764300,70.45
2016-10-21,70.70,70.88,69.95,69.97,938400,69.97
2016-10-20,70.84,71.16,69.94,70.70,905000,70.70
2016-10-19,70.40,70.85,70.13,70.82,737100,70.82
2016-10-18,69.27,70.47,69.26,70.40,1208600,70.40
2016-10-17,69.49,69.69,68.80,68.81,791700,68.81
2016-10-14,69.18,70.12,68.95,69.86,808000,69.86
2016-10-13,68.93,69.00,68.18,68.89,878900,68.89
2016-10-12,70.15,70.37,69.03,69.11,954300,69.11
2016-10-11,71.14,71.39,70.31,70.35,775500,70.35
2016-10-10,69.75,71.36,69.48,71.36,894400,71.36
2016-10-07,70.26,70.33,69.35,69.53,1101500,69.53
2016-10-06,70.72,70.80,69.96,70.31,859500,70.31
2016-10-05,70.82,71.13,70.01,70.33,938600,70.33
2016-10-04,71.25,71.67,70.93,71.42,1100600,71.42
2016-10-03,71.01,71.01,71.01,71.01,000,71.01
2016-09-30,69.15,71.14,68.82,71.01,1605600,71.01
2016-09-29,71.58,71.77,69.86,70.11,802600,70.11
2016-09-28,71.00,72.17,70.95,71.35,659400,71.35
2016-09-27,71.25,71.45,70.29,70.89,703900,70.89
2016-09-26,72.50,72.50,70.78,70.78,1135600,70.78
2016-09-23,72.61,73.55,72.54,72.77,1019400,72.77
2016-09-22,71.41,72.87,71.36,72.87,1246700,72.87
2016-09-21,71.26,71.80,70.84,70.88,750400,70.88
2016-09-20,69.90,71.26,69.85,70.70,1024900,70.70
2016-09-19,69.47,70.07,69.20,69.99,830500,69.99
2016-09-16,70.02,70.48,69.07,69.16,3044500,69.16
2016-09-15,69.49,70.39,69.40,70.17,947600,70.17
2016-09-14,69.50,70.13,69.31,69.64,1009300,69.64
2016-09-13,69.51,70.38,69.21,69.35,986900,69.35
2016-09-12,68.66,69.36,68.12,69.17,936600,69.17
2016-09-09,70.12,70.47,69.24,69.31,866200,69.31
2016-09-08,70.69,71.44,70.09,70.52,1111700,70.52
2016-09-07,69.81,70.86,69.81,70.53,1320700,70.53
2016-09-06,69.92,70.43,68.19,70.43,3059900,70.43
2016-09-05,66.23,66.78,66.04,66.17,511400,66.17
2016-09-02,64.65,65.90,64.60,65.90,903600,65.90
2016-09-01,65.37,65.67,64.23,64.33,822500,64.33
2016-08-31,66.01,66.13,65.39,65.42,951800,65.42
2016-08-30,65.79,66.41,65.73,66.21,798400,66.21
2016-08-29,65.16,65.79,64.89,65.57,366300,65.57
2016-08-26,65.52,65.63,64.87,65.45,759100,65.45
2016-08-25,66.38,66.38,65.17,65.61,859800,65.61
2016-08-24,66.20,67.32,66.20,66.81,661400,66.81
2016-08-23,66.60,67.24,66.55,66.61,756500,66.61
2016-08-22,66.10,67.30,65.86,66.30,789500,66.30
2016-08-19,66.57,66.95,65.49,66.05,1364400,66.05
2016-08-18,66.95,67.00,65.91,66.28,1006800,66.28
2016-08-17,67.70,67.89,66.52,66.52,687000,66.52
2016-08-16,68.50,68.54,67.31,67.75,752200,67.75
2016-08-15,68.88,69.40,68.57,68.87,560900,68.87
2016-08-12,68.84,69.06,68.47,68.67,633300,68.67
2016-08-11,69.00,69.34,68.60,68.93,713600,68.93
2016-08-10,68.90,69.17,68.23,68.53,758500,68.53
2016-08-09,66.71,69.10,66.68,69.10,1094000,69.10
2016-08-08,67.53,67.53,66.77,66.80,697600,66.80
2016-08-05,66.60,67.26,65.93,67.21,996200,67.21
2016-08-04,66.32,66.42,65.38,66.33,921600,66.33
2016-08-03,66.61,66.81,65.89,65.95,1074400,65.95
2016-08-02,67.00,67.24,65.75,66.29,1363300,66.29
2016-08-01,67.81,67.95,66.63,67.05,995100,67.05
2016-07-29,67.76,67.86,66.34,66.79,1417300,66.79
2016-07-28,67.64,67.95,67.10,67.53,1284200,67.53
2016-07-27,68.28,68.67,67.49,67.75,755500,67.75
2016-07-26,67.05,68.02,67.05,67.99,939400,67.99
2016-07-25,67.06,67.58,66.89,67.11,623200,67.11
2016-07-22,66.73,67.38,66.33,67.15,571100,67.15
2016-07-21,67.17,67.35,66.49,66.89,685100,66.89
2016-07-20,66.84,67.30,66.68,67.21,717900,67.21
2016-07-19,66.72,66.84,66.04,66.35,639800,66.35
2016-07-18,66.92,67.18,66.42,66.75,580600,66.75
2016-07-15,66.70,67.10,66.18,66.92,837800,66.92
2016-07-14,67.74,67.89,66.61,66.83,893500,66.83
2016-07-13,67.35,67.54,66.96,67.15,962700,67.15
2016-07-12,67.29,68.09,67.20,67.57,1423900,67.57
2016-07-11,67.10,67.42,66.70,67.42,919400,67.42
2016-07-08,65.24,66.50,65.24,66.41,1024000,66.41
2016-07-07,65.30,65.72,65.08,65.41,840900,65.41
2016-07-06,64.98,65.52,64.21,65.07,1168600,65.07
2016-07-05,65.86,66.19,65.42,65.56,1108900,65.56
2016-07-04,66.23,66.88,65.89,66.20,666100,66.20
2016-07-01,66.20,66.55,65.58,66.23,1059600,66.23
2016-06-30,65.16,65.98,64.93,65.82,1338100,65.82
2016-06-29,64.14,65.24,63.90,65.24,1351700,65.24
2016-06-28,62.75,63.68,62.34,63.64,1916200,63.64
2016-06-27,62.91,64.25,61.49,61.94,2634000,61.94
2016-06-24,60.45,66.05,60.00,63.64,3890200,63.64
2016-06-23,65.84,66.95,64.98,65.82,1172400,65.82
2016-06-22,65.29,65.95,64.66,65.55,1012500,65.55
2016-06-21,63.76,64.83,63.67,64.62,739000,64.62
2016-06-20,63.24,64.32,63.24,64.06,981500,64.06
2016-06-17,62.46,62.74,61.72,62.03,1631400,62.03
2016-06-16,61.79,62.56,61.34,62.05,1189200,62.05
2016-06-15,62.69,63.21,62.34,62.57,972100,62.57
2016-06-14,61.79,62.91,61.60,62.36,1433900,62.36
2016-06-13,63.02,63.47,62.45,62.45,1183900,62.45
2016-06-10,65.38,65.55,64.00,64.00,1058200,64.00
2016-06-09,66.30,66.32,65.43,65.69,748000,65.69
2016-06-08,66.63,66.77,66.13,66.31,610700,66.31
2016-06-07,66.58,67.34,66.58,66.84,840400,66.84
2016-06-06,66.12,66.74,66.10,66.40,456100,66.40
2016-06-03,67.23,67.94,65.74,66.32,913200,66.32
2016-06-02,67.48,67.54,66.72,67.02,561700,67.02
2016-06-01,67.87,68.35,67.47,67.50,989300,67.50
2016-05-31,68.24,68.46,67.76,67.83,2777300,67.83
2016-05-30,68.10,68.35,67.72,68.30,450300,68.30
2016-05-27,67.51,68.27,67.28,68.03,989600,68.03
2016-05-26,67.00,67.65,66.97,67.44,664700,67.44
2016-05-25,67.26,67.95,66.60,67.32,1158900,67.32
2016-05-24,65.09,66.86,64.71,66.79,1380300,66.79
2016-05-23,65.20,65.71,64.54,64.97,789900,64.97
2016-05-20,63.89,65.20,63.89,64.99,1147900,64.99
2016-05-19,64.33,64.34,63.35,63.58,743900,63.58
2016-05-18,63.18,64.28,63.04,64.28,663800,64.28
2016-05-17,64.83,65.03,63.42,63.68,978800,63.68
2016-05-16,64.15,64.15,64.15,64.15,000,63.60
2016-05-13,63.50,64.42,63.26,64.15,1151700,63.60
2016-05-12,64.66,65.29,63.75,63.77,923500,63.22326
2016-05-11,64.25,65.28,63.96,64.77,770000,64.21468
2016-05-10,65.30,65.37,64.18,64.47,1087000,63.91726
2016-05-09,63.57,65.06,63.29,64.77,831900,64.21468
2016-05-06,63.10,63.75,62.33,63.12,987500,62.57883
2016-05-05,62.84,63.49,62.55,63.27,749300,62.72755
2016-05-04,63.80,64.80,62.72,62.77,1202000,62.23183
2016-05-03,65.00,65.10,63.50,64.47,1385100,63.91726
2016-05-02,63.12,64.61,62.91,64.59,766900,64.03622
2016-04-29,64.70,64.74,63.27,63.52,1350700,62.9754
2016-04-28,64.68,65.36,63.39,65.36,921400,64.79963
2016-04-27,65.11,65.34,64.29,64.97,852200,64.41297
2016-04-26,65.75,66.30,64.62,64.89,759200,64.33366
2016-04-25,65.41,65.77,64.76,65.71,814100,65.14662
2016-04-22,65.54,66.24,65.14,65.26,817100,64.70049
2016-04-21,65.85,65.99,64.65,65.53,973800,64.96817
2016-04-20,66.17,66.30,65.21,65.81,907800,65.24577
2016-04-19,65.39,66.96,65.01,66.42,1064100,65.85054
2016-04-18,63.54,65.37,63.34,65.19,830000,64.63109
2016-04-15,64.98,65.25,64.25,64.41,1151500,63.85777
2016-04-14,64.50,65.44,64.43,65.34,1082900,64.77979
2016-04-13,64.99,65.15,64.04,64.54,1039200,63.98666
2016-04-12,63.49,64.18,62.88,64.11,702100,63.56034
2016-04-11,63.62,64.39,62.70,63.51,998200,62.96549
2016-04-08,63.42,63.82,62.68,63.36,947000,62.81677
2016-04-07,64.15,64.45,63.01,63.35,984300,62.80686
2016-04-06,63.22,63.94,62.88,63.78,1014600,63.23317
2016-04-05,63.34,64.13,63.15,63.21,1115600,62.66806
2016-04-04,62.97,65.05,62.59,64.68,1136600,64.12546
2016-04-01,63.39,63.78,61.76,62.87,1651400,62.33097
2016-03-31,63.68,64.62,63.35,64.21,1092900,63.65948
2016-03-30,63.03,64.15,62.98,63.95,1141600,63.40172
2016-03-29,61.60,62.83,61.51,62.79,793200,62.25166
2016-03-28,61.77,61.77,61.77,61.77,000,61.24041
2016-03-25,61.77,61.77,61.77,61.77,000,61.24041
2016-03-24,62.36,62.49,61.69,61.77,812200,61.24041
2016-03-23,62.37,63.44,62.22,62.87,1035900,62.33097
2016-03-22,61.45,61.96,60.17,61.96,963500,61.42878
2016-03-21,61.30,62.80,61.12,61.69,813500,61.16109
2016-03-18,62.01,62.15,61.05,61.83,3346500,61.29989
2016-03-17,64.19,64.19,62.07,62.32,1466200,61.78569
2016-03-16,62.78,63.83,62.50,63.64,1253300,63.09437
2016-03-15,62.61,63.00,62.50,62.78,819300,62.24174
2016-03-14,62.85,63.42,62.59,62.87,965500,62.33097
2016-03-11,61.15,62.41,60.76,62.15,1399500,61.61715
2016-03-10,60.87,63.57,59.93,59.93,2510200,59.41618
2016-03-09,60.30,61.65,60.10,60.88,1543500,60.35804
