Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,85.08,85.53,84.54,84.90,424800,84.90
2016-10-26,85.38,85.47,84.71,85.37,358100,85.37
2016-10-25,86.40,86.86,85.52,85.61,432600,85.61
2016-10-24,86.31,87.17,86.10,86.25,341200,86.25
2016-10-21,85.32,86.31,85.23,85.92,502600,85.92
2016-10-20,86.52,86.56,84.99,85.44,511000,85.44
2016-10-19,85.83,86.42,85.23,86.42,391400,86.42
2016-10-18,84.65,86.20,84.65,86.04,528600,86.04
2016-10-17,84.58,85.08,84.20,84.92,345900,84.92
2016-10-14,83.71,85.27,83.65,84.88,347800,84.88
2016-10-13,84.11,84.11,82.97,83.32,659900,83.32
2016-10-12,84.44,85.00,84.02,84.59,536900,84.59
2016-10-11,85.15,85.38,84.48,84.58,421900,84.58
2016-10-10,83.88,85.28,83.68,85.20,427700,85.20
2016-10-07,84.92,84.95,83.84,84.03,503700,84.03
2016-10-06,84.33,84.99,83.88,84.80,454500,84.80
2016-10-05,84.23,84.67,83.80,84.00,382800,84.00
2016-10-04,84.02,85.01,83.89,84.67,684300,84.67
2016-10-03,84.09,84.09,84.09,84.09,000,84.09
2016-09-30,82.10,84.20,82.02,84.09,742900,84.09
2016-09-29,85.27,85.41,83.40,83.62,749800,83.62
2016-09-28,83.20,85.04,83.20,84.66,573300,84.66
2016-09-27,83.05,83.23,82.33,83.00,623900,83.00
2016-09-26,83.53,83.53,82.46,82.82,623300,82.82
2016-09-23,84.58,84.73,83.81,84.05,437200,84.05
2016-09-22,82.22,84.94,82.18,84.50,798100,84.50
2016-09-21,81.34,81.69,81.05,81.64,497900,81.64
2016-09-20,80.34,81.51,80.21,80.70,532600,80.70
2016-09-19,80.85,81.67,80.62,81.33,497900,81.33
2016-09-16,80.79,81.19,79.73,80.46,1326600,80.46
2016-09-15,79.37,80.95,79.10,80.82,643500,80.82
2016-09-14,78.97,79.78,78.78,79.31,542900,79.31
2016-09-13,79.14,79.41,78.33,78.55,488600,78.55
2016-09-12,78.27,78.96,77.47,78.96,619600,78.96
2016-09-09,81.77,82.00,79.03,79.26,809700,79.26
2016-09-08,83.33,83.58,81.91,82.24,477700,82.24
2016-09-07,82.40,83.30,82.02,83.21,340200,83.21
2016-09-06,82.70,83.08,81.92,82.31,398100,82.31
2016-09-05,82.51,83.17,82.38,82.81,533100,82.81
2016-09-02,82.75,82.77,80.98,82.55,832000,82.55
2016-09-01,83.42,84.22,82.93,83.42,624800,83.42
2016-08-31,83.02,84.08,82.77,83.27,799600,83.27
2016-08-30,82.76,83.51,82.69,83.23,344600,83.23
2016-08-29,82.25,82.63,81.50,82.35,250700,82.35
2016-08-26,82.05,83.08,81.74,83.02,322100,83.02
2016-08-25,81.64,82.48,81.52,82.10,329300,82.10
2016-08-24,81.10,82.46,80.60,82.28,402100,82.28
2016-08-23,80.72,81.53,80.39,81.45,434900,81.45
2016-08-22,80.28,81.97,80.13,80.50,369100,80.50
2016-08-19,80.70,80.74,79.66,80.40,626700,80.40
2016-08-18,80.51,80.99,80.14,80.50,441400,80.50
2016-08-17,80.93,81.16,79.75,79.95,551000,79.95
2016-08-16,81.21,81.46,80.57,81.14,399600,81.14
