Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,116.70,118.20,116.45,117.55,329700,117.55
2016-10-26,117.85,118.65,116.45,116.65,409800,116.65
2016-10-25,118.10,119.20,117.60,117.80,374600,117.80
2016-10-24,119.25,119.70,118.25,118.35,299700,118.35
2016-10-21,119.85,120.10,118.75,119.00,354500,119.00
2016-10-20,119.50,120.00,118.55,119.50,462500,119.50
2016-10-19,118.80,119.40,118.15,118.95,386800,118.95
2016-10-18,119.10,119.80,118.60,119.25,449700,119.25
2016-10-17,120.65,120.65,118.05,118.30,449600,118.30
2016-10-14,119.10,121.05,118.85,121.00,409200,121.00
2016-10-13,117.95,118.45,116.40,118.35,466500,118.35
2016-10-12,119.15,119.55,118.40,118.45,351800,118.45
2016-10-11,119.30,120.80,119.05,119.35,284000,119.35
2016-10-10,117.65,119.30,117.50,119.15,353300,119.15
2016-10-07,119.90,119.90,117.45,117.65,509100,117.65
2016-10-06,120.35,120.80,119.30,119.85,300100,119.85
2016-10-05,122.05,122.10,119.80,120.00,453800,120.00
2016-10-04,121.30,122.90,121.25,122.90,609400,122.90
2016-10-03,121.00,121.00,121.00,121.00,000,121.00
2016-09-30,119.20,121.20,118.60,121.00,541500,121.00
2016-09-29,122.00,122.25,119.85,120.40,335300,120.40
2016-09-28,121.85,122.40,120.60,121.00,314200,121.00
2016-09-27,120.85,121.90,120.15,120.90,410800,120.90
2016-09-26,121.65,121.80,120.15,120.25,372000,120.25
2016-09-23,122.65,122.80,122.05,122.40,225500,122.40
2016-09-22,121.45,123.00,120.90,122.85,446400,122.85
2016-09-21,122.05,122.05,120.10,120.25,359400,120.25
2016-09-20,120.30,122.00,120.05,121.45,363200,121.45
2016-09-19,118.55,120.25,118.50,120.05,344400,120.05
2016-09-16,120.05,120.25,118.55,118.75,712200,118.75
2016-09-15,117.95,120.25,117.35,120.20,499500,120.20
2016-09-14,118.20,119.30,117.85,118.00,705400,118.00
2016-09-13,117.00,118.05,116.90,117.10,421600,117.10
2016-09-12,117.00,117.35,115.80,116.80,494700,116.80
2016-09-09,118.05,119.60,116.75,117.65,586300,117.65
2016-09-08,119.50,120.15,118.60,118.70,542100,118.70
2016-09-07,119.25,119.75,118.50,119.75,403700,119.75
2016-09-06,119.15,119.50,117.70,118.60,329400,118.60
2016-09-05,119.05,119.70,118.70,118.95,324500,118.95
2016-09-02,116.05,118.75,115.85,118.75,382900,118.75
2016-09-01,117.60,118.25,115.20,115.60,462900,115.60
2016-08-31,118.35,118.35,117.35,117.65,286700,117.65
2016-08-30,118.40,119.00,117.80,118.30,258100,118.30
2016-08-29,117.40,117.90,116.45,117.90,141900,117.90
2016-08-26,117.95,118.55,116.90,118.10,222000,118.10
2016-08-25,116.55,118.20,116.55,117.95,252700,117.95
2016-08-24,117.10,118.05,116.75,117.50,325900,117.50
2016-08-23,117.35,118.15,116.75,117.20,299900,117.20
2016-08-22,117.90,118.30,115.90,116.45,397600,116.45
2016-08-19,116.85,117.60,116.40,117.50,420700,117.50
2016-08-18,116.90,117.65,116.15,116.45,374800,116.45
2016-08-17,116.90,117.65,114.85,116.30,282300,116.30
2016-08-16,117.50,118.25,116.95,117.25,322300,117.25
2016-08-15,117.00,118.60,116.25,118.05,278800,118.05
2016-08-12,118.65,118.75,117.45,117.80,318500,117.80
2016-08-11,116.00,119.20,116.00,118.70,692900,118.70
2016-08-10,114.95,115.20,113.00,113.00,473200,113.00
2016-08-09,111.35,114.65,111.20,114.50,403100,114.50
2016-08-08,111.65,112.10,111.35,111.75,297600,111.75
2016-08-05,111.40,112.30,110.75,111.60,255100,111.60
2016-08-04,111.20,111.20,109.60,110.90,268800,110.90
2016-08-03,110.75,111.25,110.15,110.40,254800,110.40
2016-08-02,111.90,112.15,110.65,110.65,314400,110.65
2016-08-01,112.10,112.45,111.25,111.70,396300,111.70
2016-07-29,110.85,111.70,109.80,111.40,486700,111.40
2016-07-28,110.00,111.30,109.40,110.60,477700,110.60
2016-07-27,111.40,111.40,109.60,109.90,245400,109.90
2016-07-26,109.80,111.10,109.80,110.50,213300,110.50
2016-07-25,109.85,110.80,109.45,109.90,255200,109.90
2016-07-22,108.35,109.55,107.85,109.55,225900,109.55
2016-07-21,109.00,109.40,107.95,108.75,252200,108.75
2016-07-20,107.75,109.30,107.55,108.85,354900,108.85
2016-07-19,109.40,109.40,107.55,107.75,348500,107.75
2016-07-18,109.70,110.10,109.10,109.40,228500,109.40
2016-07-15,108.80,109.70,108.65,109.70,353100,109.70
2016-07-14,110.30,110.40,108.80,108.85,371700,108.85
2016-07-13,109.00,109.75,108.50,109.45,358000,109.45
2016-07-12,110.15,110.65,109.05,109.45,427700,109.45
2016-07-11,110.00,110.75,108.90,110.65,347900,110.65
2016-07-08,108.30,109.20,106.90,109.15,417100,109.15
2016-07-07,108.55,109.75,108.40,108.65,363500,108.65
2016-07-06,108.95,111.10,107.55,108.10,588700,108.10
2016-07-05,110.40,111.10,109.05,110.00,464600,110.00
2016-07-04,110.80,111.65,110.40,110.45,321400,110.45
2016-07-01,110.00,111.45,109.70,110.80,526100,110.80
2016-06-30,108.45,109.70,108.00,109.55,713100,109.55
2016-06-29,106.50,107.95,105.70,107.95,455800,107.95
2016-06-28,107.70,107.95,105.30,105.40,648500,105.40
2016-06-27,104.80,107.55,104.80,105.85,881600,105.85
2016-06-24,96.81,106.95,96.25,104.70,1201700,104.70
2016-06-23,104.25,106.10,104.15,105.05,454200,105.05
2016-06-22,103.65,104.65,103.45,104.10,277000,104.10
2016-06-21,102.70,103.35,102.20,103.00,449600,103.00
2016-06-20,102.20,102.90,101.30,102.70,414200,102.70
2016-06-17,101.55,101.80,99.40,99.77,901900,99.77
2016-06-16,99.81,101.25,99.81,100.95,479200,100.95
2016-06-15,100.55,102.00,100.35,100.90,378100,100.90
2016-06-14,98.53,100.75,98.35,100.30,738300,100.30
2016-06-13,100.35,100.85,99.50,99.50,465500,99.50
2016-06-10,103.05,103.70,100.90,101.10,347900,101.10
2016-06-09,104.15,104.20,103.25,103.70,251800,103.70
2016-06-08,104.40,104.50,103.85,104.30,252200,104.30
2016-06-07,103.65,104.70,103.65,104.65,319300,104.65
2016-06-06,103.65,104.05,103.25,103.50,255300,103.50
2016-06-03,104.00,104.85,102.25,103.65,305200,103.65
2016-06-02,104.10,104.75,103.60,103.80,265100,103.80
2016-06-01,104.55,105.00,103.75,104.40,340300,104.40
2016-05-31,104.70,105.10,104.45,104.75,544300,104.75
2016-05-30,104.15,104.60,103.45,104.60,115000,104.60
2016-05-27,104.15,104.65,103.50,103.75,381200,103.75
2016-05-26,103.00,104.35,102.95,104.25,316700,104.25
2016-05-25,103.45,103.45,102.50,103.35,336400,103.35
2016-05-24,100.75,103.20,100.20,102.50,434400,102.50
2016-05-23,102.50,102.70,100.95,101.60,338600,101.60
2016-05-20,102.85,103.80,102.00,102.35,517700,102.35
2016-05-19,102.15,104.75,99.17,102.35,956700,102.35
2016-05-18,100.05,102.10,99.96,102.10,434300,102.10
2016-05-17,102.30,102.80,100.60,100.80,418600,100.80
2016-05-16,101.50,101.50,101.50,101.50,000,101.50
2016-05-13,101.40,102.25,100.70,101.50,484700,101.50
2016-05-12,101.60,103.70,101.00,102.20,378300,102.20
2016-05-11,102.10,102.45,101.10,102.05,285700,102.05
2016-05-10,102.45,103.55,102.00,102.25,393900,102.25
2016-05-09,101.00,102.40,100.40,101.65,329300,101.65
2016-05-06,99.74,100.75,99.41,100.15,411300,100.15
2016-05-05,99.95,101.20,99.83,100.30,353400,100.30
2016-05-04,99.55,100.10,99.23,99.61,513600,99.61
2016-05-03,99.34,100.40,98.70,99.81,555700,99.81
2016-05-02,99.31,100.40,99.01,99.82,217300,99.82
2016-04-29,100.80,101.15,99.55,99.68,543000,99.68
2016-04-28,101.35,101.80,99.94,101.80,374100,101.80
2016-04-27,101.90,102.00,100.65,101.35,270000,101.35
2016-04-26,102.50,103.10,100.95,101.40,299700,101.40
2016-04-25,102.20,102.75,101.40,101.75,296100,101.75
2016-04-22,103.20,103.70,102.05,102.40,357000,102.40
2016-04-21,103.90,104.25,101.75,103.50,494500,103.50
2016-04-20,103.75,104.25,102.90,103.90,371200,103.90
2016-04-19,101.35,104.25,101.10,104.05,611100,104.05
2016-04-18,99.50,100.95,99.36,100.70,334600,100.70
2016-04-15,100.00,100.30,99.32,100.05,449900,100.05
2016-04-14,99.32,100.30,98.57,100.00,353500,100.00
2016-04-13,99.44,99.48,98.50,98.96,520100,98.96
2016-04-12,97.34,98.25,96.50,98.15,454100,98.15
2016-04-11,98.63,99.75,97.81,98.48,569400,97.01
2016-04-08,98.53,99.35,98.24,98.35,473400,96.882
2016-04-07,98.18,98.58,97.42,97.81,558000,96.35
2016-04-06,96.92,98.04,96.37,98.04,538800,96.577
2016-04-05,95.31,97.09,95.31,96.70,673900,95.257
2016-04-04,95.87,97.32,95.65,96.63,381600,95.188
2016-04-01,95.79,96.12,93.50,95.94,632600,94.508
2016-03-31,98.82,98.82,96.85,96.90,425700,95.454
2016-03-30,98.33,99.65,97.90,98.93,552000,97.453
2016-03-29,97.54,98.03,96.78,97.52,359300,96.064
2016-03-28,96.80,96.80,96.80,96.80,000,95.355
2016-03-25,96.80,96.80,96.80,96.80,000,95.355
2016-03-24,97.17,97.70,96.59,96.80,497700,95.355
2016-03-23,96.64,97.96,96.64,97.75,529200,96.291
2016-03-22,95.47,96.11,93.75,96.10,452100,94.666
2016-03-21,95.61,97.00,95.07,96.48,449600,95.04
2016-03-18,95.44,95.95,94.55,95.95,958900,94.518
2016-03-17,96.28,96.28,94.11,95.02,524800,93.602
2016-03-16,96.45,96.60,95.73,95.81,341400,94.38
2016-03-15,95.70,96.63,95.50,96.04,384800,94.606
2016-03-14,95.34,96.22,95.06,95.83,466600,94.40
2016-03-11,94.00,95.03,93.44,94.56,574700,93.149
2016-03-10,94.63,96.60,93.10,93.10,935100,91.71
2016-03-09,94.69,96.39,94.28,95.04,580800,93.621
2016-03-08,94.18,95.37,93.15,94.18,597600,92.774
2016-03-07,94.67,95.08,94.03,94.55,305700,93.139
2016-03-04,94.44,96.40,93.83,94.97,525900,93.552
2016-03-03,94.73,94.83,93.54,93.89,424400,92.489
2016-03-02,95.19,95.47,93.83,94.55,567100,93.139
2016-03-01,92.81,95.10,92.35,94.87,532500,93.454
2016-02-29,93.07,93.11,91.19,92.84,816300,91.454
2016-02-26,95.99,96.48,92.25,93.51,1213200,92.114
2016-02-25,94.00,95.47,93.02,95.20,844300,93.779
2016-02-24,98.01,98.21,94.91,95.31,562500,93.887
2016-02-23,98.55,98.90,97.72,98.01,438600,96.547
2016-02-22,98.44,99.76,98.26,99.17,393500,97.69
2016-02-19,97.70,98.33,96.90,97.97,413600,96.508
2016-02-18,96.69,98.50,96.39,97.47,616200,96.015
2016-02-17,95.32,96.86,95.32,96.69,397900,95.247
2016-02-16,95.87,96.66,94.79,95.40,420500,93.976
2016-02-15,93.63,95.94,92.88,95.72,623400,94.291
2016-02-12,90.77,91.70,90.37,91.70,639300,90.331
2016-02-11,91.59,91.79,89.65,90.06,650400,88.716
