Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,15.90,16.47,15.89,16.28,5498800,16.28
2016-10-26,16.035,16.075,15.785,15.955,2784300,15.955
2016-10-25,16.04,16.135,15.815,16.04,3410400,16.04
2016-10-24,16.21,16.255,16.035,16.045,2556700,16.045
2016-10-21,15.995,16.25,15.96,16.18,3535100,16.18
2016-10-20,16.175,16.18,15.84,15.955,3035900,15.955
2016-10-19,16.015,16.175,15.99,16.125,3136100,16.125
2016-10-18,15.955,16.095,15.92,16.095,3381300,16.095
2016-10-17,15.845,15.865,15.745,15.79,2858500,15.79
2016-10-14,15.57,15.895,15.54,15.865,2868600,15.865
2016-10-13,15.585,15.715,15.50,15.51,4571500,15.51
2016-10-12,15.765,15.78,15.53,15.625,4478900,15.625
2016-10-11,16.23,16.25,15.825,15.85,3963300,15.85
2016-10-10,16.08,16.235,16.075,16.215,2104100,16.215
2016-10-07,16.23,16.23,16.00,16.04,3644100,16.04
2016-10-06,16.015,16.24,15.915,16.19,3226100,16.19
2016-10-05,15.885,16.015,15.78,15.93,3482900,15.93
2016-10-04,15.80,16.02,15.725,15.985,4585100,15.985
2016-10-03,15.88,15.88,15.88,15.88,000,15.88
2016-09-30,15.15,15.88,15.13,15.88,9522600,15.88
2016-09-29,15.545,15.585,15.19,15.215,3300300,15.215
2016-09-28,15.44,15.695,15.41,15.425,2761800,15.425
2016-09-27,15.45,15.465,15.00,15.315,3567500,15.315
2016-09-26,15.375,15.46,15.275,15.335,3244400,15.335
2016-09-23,15.58,15.70,15.50,15.505,3777100,15.505
2016-09-22,15.40,15.73,15.35,15.63,5568200,15.63
2016-09-21,15.025,15.215,15.025,15.155,3424000,15.155
2016-09-20,14.88,15.115,14.88,14.955,3025900,14.955
2016-09-19,14.785,14.925,14.735,14.915,2464400,14.915
2016-09-16,14.78,14.87,14.59,14.63,5075900,14.63
2016-09-15,14.485,14.835,14.485,14.82,3503500,14.82
2016-09-14,14.50,14.685,14.47,14.54,3119900,14.54
2016-09-13,14.455,14.73,14.45,14.505,4631300,14.505
2016-09-12,14.12,14.335,14.04,14.315,4126400,14.315
2016-09-09,14.36,14.56,14.31,14.415,3389900,14.415
2016-09-08,14.76,14.785,14.40,14.42,4954700,14.42
2016-09-07,14.76,14.90,14.74,14.82,2508100,14.82
2016-09-06,14.815,14.905,14.725,14.765,2772200,14.765
2016-09-05,14.805,15.015,14.80,14.80,2530100,14.80
2016-09-02,15.04,15.06,14.685,14.925,4064700,14.925
2016-09-01,15.08,15.17,14.95,15.005,4378900,15.005
2016-08-31,15.285,15.34,15.09,15.095,3161000,15.095
2016-08-30,15.17,15.31,15.135,15.24,2199000,15.24
2016-08-29,14.98,15.18,14.84,15.085,2050800,15.085
2016-08-26,15.125,15.25,15.035,15.10,1959300,15.10
2016-08-25,15.245,15.25,15.09,15.155,2841700,15.155
2016-08-24,15.30,15.35,15.105,15.30,3188900,15.30
2016-08-23,15.45,15.565,15.385,15.395,2317600,15.395
2016-08-22,15.32,15.44,15.195,15.32,2505600,15.32
2016-08-19,15.18,15.445,15.14,15.325,4471900,15.325
2016-08-18,15.10,15.17,14.99,15.10,4435100,15.10
2016-08-17,15.265,15.415,14.965,15.02,3744500,15.02
2016-08-16,15.40,15.485,15.28,15.28,2209300,15.28
2016-08-15,15.29,15.515,15.285,15.44,2566300,15.44
2016-08-12,15.245,15.38,15.215,15.29,2686400,15.29
2016-08-11,15.04,15.325,14.95,15.325,4026800,15.325
2016-08-10,15.12,15.18,14.92,14.935,4052900,14.935
2016-08-09,14.47,15.15,14.47,15.135,4820800,15.135
2016-08-08,14.57,14.585,14.47,14.54,2847000,14.54
2016-08-05,14.395,14.55,14.355,14.495,3856800,14.495
2016-08-04,14.00,14.33,13.91,14.305,3890200,14.305
2016-08-03,13.895,13.99,13.56,13.905,5116600,13.905
2016-08-02,13.91,14.26,13.88,13.975,8697100,13.975
2016-08-01,14.985,14.99,14.64,14.695,5726900,14.695
2016-07-29,14.90,14.995,14.785,14.80,5598400,14.80
2016-07-28,14.80,14.97,14.73,14.89,4041300,14.89
2016-07-27,14.95,15.11,14.785,14.92,5313700,14.92
2016-07-26,14.39,14.595,14.315,14.54,3148900,14.54
2016-07-25,14.165,14.46,14.115,14.30,3299100,14.30
2016-07-22,14.14,14.21,13.98,14.155,3690300,14.155
2016-07-21,14.15,14.315,14.09,14.26,5178100,14.26
2016-07-20,13.96,14.225,13.95,14.155,5341600,14.155
2016-07-19,13.825,13.95,13.735,13.915,3509200,13.915
2016-07-18,13.845,13.925,13.77,13.85,4841400,13.85
2016-07-15,13.60,13.60,13.33,13.56,4124400,13.56
2016-07-14,13.405,13.675,13.26,13.605,5807000,13.605
2016-07-13,13.545,13.62,13.165,13.29,4874900,13.29
2016-07-12,13.40,13.74,13.32,13.595,6080000,13.595
2016-07-11,12.92,13.36,12.91,13.305,5983600,13.305
2016-07-08,12.25,12.805,12.25,12.785,5443000,12.785
2016-07-07,12.11,12.33,12.09,12.22,3469000,12.22
2016-07-06,12.41,12.44,11.635,12.01,9451200,12.01
2016-07-05,12.815,12.845,12.60,12.64,4707700,12.64
2016-07-04,13.07,13.11,12.75,12.875,2968500,12.875
2016-07-01,13.095,13.15,12.74,13.075,4297300,13.075
2016-06-30,12.795,13.06,12.735,12.975,4700100,12.975
2016-06-29,12.74,12.81,12.52,12.805,4347500,12.805
2016-06-28,12.58,12.795,12.42,12.625,4973900,12.625
2016-06-27,12.88,12.92,12.26,12.355,7404800,12.355
2016-06-24,12.11,13.23,12.00,12.995,12046000,12.995
2016-06-23,13.53,13.85,13.50,13.70,5041800,13.70
2016-06-22,13.22,13.63,13.22,13.51,5948000,13.51
