Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,11.59,11.645,11.29,11.50,5822000,11.50
2016-10-26,11.465,11.83,11.46,11.675,8268200,11.675
2016-10-25,11.50,11.50,11.415,11.475,3905700,11.475
2016-10-24,11.305,11.495,11.305,11.405,4724400,11.405
2016-10-21,11.235,11.40,11.16,11.29,6585100,11.29
2016-10-20,11.51,11.545,11.05,11.285,22569000,11.285
2016-10-19,10.40,10.50,10.345,10.46,4877200,10.46
2016-10-18,10.07,10.445,10.065,10.395,6054300,10.395
2016-10-17,10.15,10.315,10.07,10.075,4124200,10.075
2016-10-14,9.90,10.255,9.848,10.235,7097600,10.235
2016-10-13,10.025,10.07,9.86,9.936,7000200,9.936
2016-10-12,9.904,10.29,9.89,10.235,11944800,10.235
2016-10-11,9.379,9.864,9.336,9.814,10558900,9.814
2016-10-10,9.344,9.361,9.103,9.35,7871200,9.35
2016-10-07,9.502,9.504,9.274,9.30,10395600,9.30
2016-10-06,9.58,9.583,9.41,9.502,11133500,9.502
2016-10-05,9.64,9.778,9.624,9.639,8754700,9.639
2016-10-04,9.836,9.885,9.573,9.70,10170800,9.70
2016-10-03,9.905,9.905,9.905,9.905,000,9.905
2016-09-30,9.605,9.934,9.484,9.905,11247300,9.905
2016-09-29,10.10,10.10,9.716,9.778,12864600,9.778
2016-09-28,10.00,10.13,9.963,10.05,4436600,10.05
2016-09-27,10.33,10.335,9.815,9.966,11822000,9.966
2016-09-26,10.41,10.41,10.215,10.285,5532000,10.285
2016-09-23,10.405,10.505,10.36,10.485,3224500,10.485
2016-09-22,10.39,10.535,10.37,10.46,3373900,10.46
2016-09-21,10.41,10.465,10.225,10.32,4907200,10.32
2016-09-20,10.475,10.525,10.265,10.33,4439800,10.33
2016-09-19,10.56,10.605,10.46,10.465,2668800,10.465
2016-09-16,10.60,10.60,10.39,10.46,9192000,10.46
2016-09-15,10.63,10.775,10.54,10.675,4628800,10.675
2016-09-14,11.00,11.045,10.685,10.745,4870100,10.745
2016-09-13,11.00,11.115,10.96,10.97,3547100,10.97
2016-09-12,10.98,11.00,10.73,10.955,4951200,10.955
2016-09-09,10.915,11.24,10.885,11.13,6529600,11.13
2016-09-08,10.565,10.99,10.53,10.97,8636700,10.97
2016-09-07,10.42,10.60,10.325,10.59,8148400,10.59
2016-09-06,10.785,10.91,10.765,10.79,2878500,10.79
2016-09-05,10.795,10.855,10.67,10.80,3235200,10.80
2016-09-02,10.65,10.76,10.525,10.72,3148400,10.72
2016-09-01,10.495,10.72,10.47,10.615,4443900,10.615
2016-08-31,10.505,10.655,10.445,10.445,3712200,10.445
2016-08-30,10.475,10.57,10.445,10.515,2833000,10.515
2016-08-29,10.35,10.425,10.29,10.42,2277700,10.42
2016-08-26,10.425,10.47,10.365,10.385,2748400,10.385
2016-08-25,10.725,10.76,10.415,10.415,4111800,10.415
2016-08-24,10.46,10.74,10.40,10.715,3969400,10.715
2016-08-23,10.475,10.58,10.40,10.48,2387500,10.48
2016-08-22,10.40,10.565,10.365,10.43,2887900,10.43
2016-08-19,10.505,10.54,10.335,10.40,3692100,10.40
2016-08-18,10.345,10.505,10.31,10.505,2647400,10.505
2016-08-17,10.515,10.545,10.305,10.305,4042000,10.305
2016-08-16,10.65,10.685,10.46,10.465,5020800,10.465
2016-08-15,10.95,11.00,10.72,10.775,3613300,10.775
2016-08-12,10.79,11.05,10.75,11.03,3688400,11.03
2016-08-11,10.93,10.96,10.77,10.81,2835200,10.81
2016-08-10,10.98,11.02,10.835,10.855,3829900,10.855
2016-08-09,10.57,11.11,10.57,11.035,5474800,11.035
2016-08-08,10.56,10.66,10.515,10.56,2407400,10.56
2016-08-05,10.37,10.51,10.33,10.48,3427400,10.48
2016-08-04,10.38,10.51,10.285,10.31,3320500,10.31
2016-08-03,10.325,10.405,10.195,10.285,4783200,10.285
2016-08-02,10.75,10.79,10.175,10.39,7542800,10.39
2016-08-01,10.82,10.84,10.46,10.73,4469500,10.73
2016-07-29,10.49,10.78,10.48,10.63,5065400,10.63
2016-07-28,10.50,10.635,10.435,10.49,4015900,10.49
2016-07-27,10.36,10.58,10.35,10.49,4875400,10.49
2016-07-26,10.255,10.305,10.20,10.275,3594500,10.275
2016-07-25,10.25,10.31,10.18,10.28,4965500,10.28
2016-07-22,10.38,10.40,10.235,10.31,5898100,10.31
2016-07-21,10.50,10.52,10.115,10.435,17315900,10.435
2016-07-20,11.17,11.18,10.865,11.095,4614600,11.095
2016-07-19,11.38,11.44,11.045,11.105,4064700,11.105
2016-07-18,11.375,11.585,11.31,11.415,2970700,11.415
2016-07-15,11.46,11.515,11.31,11.40,3509500,11.40
2016-07-14,11.38,11.555,11.265,11.495,4569300,11.495
2016-07-13,11.375,11.475,11.225,11.245,4368600,11.245
2016-07-12,11.10,11.44,11.09,11.395,5273200,11.395
2016-07-11,10.99,11.145,10.735,11.115,4365100,11.115
2016-07-08,10.485,10.87,10.435,10.845,4588600,10.845
2016-07-07,10.45,10.63,10.35,10.505,5298500,10.505
2016-07-06,10.765,10.815,10.255,10.395,6442200,10.395
2016-07-05,11.05,11.105,10.81,10.86,4368100,10.86
2016-07-04,11.00,11.37,10.865,11.04,7406800,11.04
2016-07-01,10.65,10.935,10.56,10.905,4881600,10.905
2016-06-30,10.40,10.605,10.30,10.53,6344500,10.53
2016-06-29,10.56,10.575,10.25,10.435,6045600,10.435
2016-06-28,10.29,10.575,10.225,10.40,7134900,10.40
2016-06-27,10.925,10.97,9.897,10.05,16550900,10.05
2016-06-24,10.90,11.10,10.50,10.955,19510400,10.955
2016-06-23,11.76,12.085,11.745,12.06,4792900,12.06
2016-06-22,11.78,11.825,11.65,11.71,3463800,11.71
2016-06-21,11.67,11.745,11.595,11.725,3305400,11.725
2016-06-20,11.44,11.69,11.40,11.65,4225100,11.65
2016-06-17,11.08,11.26,10.955,11.25,7916500,11.25
2016-06-16,10.91,11.035,10.80,11.00,3828500,11.00
2016-06-15,11.09,11.12,10.955,11.01,4618900,11.01
2016-06-14,11.02,11.22,10.93,10.995,8151700,10.995
2016-06-13,11.215,11.40,11.155,11.29,5027800,11.29
2016-06-10,11.57,11.625,11.315,11.33,11174500,11.33
2016-06-09,12.175,12.205,11.76,12.00,5665200,12.00
2016-06-08,12.275,12.29,12.12,12.175,2915600,12.175
2016-06-07,12.165,12.34,12.11,12.34,4512500,12.34
2016-06-06,12.415,12.435,12.035,12.125,4547700,12.125
2016-06-03,12.53,12.65,12.335,12.435,2932500,12.435
2016-06-02,12.375,12.56,12.28,12.46,3027000,12.46
2016-06-01,12.60,12.63,12.32,12.355,4191000,12.355
2016-05-31,12.68,12.75,12.57,12.595,4291800,12.595
2016-05-30,12.705,12.85,12.625,12.65,2019900,12.65
2016-05-27,12.67,12.68,12.46,12.66,2600500,12.66
2016-05-26,12.67,12.805,12.59,12.715,1746300,12.715
2016-05-25,12.585,12.78,12.50,12.70,3024500,12.70
2016-05-24,12.41,12.535,12.30,12.495,3425300,12.495
2016-05-23,12.37,12.58,12.35,12.45,3106800,12.45
2016-05-20,12.44,12.445,12.225,12.35,3242400,12.35
2016-05-19,12.33,12.51,12.25,12.31,3959800,12.31
2016-05-18,12.26,12.51,12.225,12.465,3580200,12.465
2016-05-17,12.395,12.40,12.205,12.295,4347000,12.295
2016-05-16,12.335,12.335,12.335,12.335,000,12.335
2016-05-13,12.36,12.475,12.31,12.335,4050300,12.335
2016-05-12,12.47,12.685,12.355,12.425,4868300,12.425
2016-05-11,12.71,12.765,12.45,12.525,3902000,12.525
2016-05-10,12.525,12.845,12.48,12.67,4155300,12.67
2016-05-09,12.53,12.57,12.38,12.49,5030100,12.49
2016-05-06,12.50,12.69,12.445,12.47,4562900,12.47
2016-05-05,12.735,12.735,12.435,12.54,4056200,12.54
2016-05-04,12.89,12.915,12.66,12.695,5449600,12.695
2016-05-03,13.45,13.54,12.625,13.025,13723900,13.025
2016-05-02,13.615,13.86,13.60,13.725,3411500,13.725
2016-04-29,13.77,13.775,13.48,13.56,6833400,13.56
2016-04-28,14.085,14.365,13.945,14.365,4964900,14.015
2016-04-27,13.935,14.16,13.875,14.115,3810900,13.771
2016-04-26,13.86,13.935,13.765,13.935,3011000,13.595
2016-04-25,13.96,13.985,13.725,13.855,3161200,13.517
2016-04-22,13.745,14.035,13.68,13.94,4063600,13.60
2016-04-21,14.095,14.13,13.805,13.875,4232100,13.537
2016-04-20,14.075,14.145,13.96,14.09,2998200,13.747
2016-04-19,14.03,14.19,13.98,14.07,4157500,13.727
2016-04-18,14.08,14.325,13.925,13.935,3838500,13.595
2016-04-15,14.13,14.34,14.11,14.195,3463200,13.849
2016-04-14,14.08,14.235,14.00,14.13,3327100,13.786
2016-04-13,14.09,14.16,13.925,13.995,3693600,13.654
2016-04-12,14.015,14.03,13.775,13.955,2719500,13.615
2016-04-11,13.88,14.115,13.745,14.03,3178900,13.688
2016-04-08,13.815,13.95,13.78,13.85,2333000,13.513
2016-04-07,13.79,14.00,13.70,13.805,4577800,13.469
2016-04-06,13.805,13.845,13.59,13.69,4102700,13.356
2016-04-05,13.79,13.82,13.60,13.775,3504500,13.439
2016-04-04,14.02,14.245,13.895,13.91,3003700,13.571
2016-04-01,14.065,14.15,13.93,14.05,3468600,13.708
2016-03-31,14.075,14.385,14.05,14.205,4019800,13.859
2016-03-30,14.165,14.23,14.04,14.065,2722300,13.722
2016-03-29,14.005,14.14,13.945,14.105,2330100,13.761
2016-03-28,14.015,14.015,14.015,14.015,000,13.674
2016-03-25,14.015,14.015,14.015,14.015,000,13.674
2016-03-24,14.28,14.305,13.975,14.015,3092800,13.674
2016-03-23,14.17,14.385,14.065,14.315,3904300,13.966
2016-03-22,13.805,14.165,13.75,14.13,7667600,13.786
2016-03-21,14.375,14.62,14.24,14.32,4586000,13.971
2016-03-18,14.73,14.76,14.405,14.52,7356500,14.166
2016-03-17,14.475,14.86,14.175,14.59,13533500,14.235
2016-03-16,15.085,15.385,15.085,15.285,5756000,14.913
2016-03-15,14.90,15.095,14.58,15.075,4505500,14.708
2016-03-14,15.085,15.175,14.865,14.985,3747400,14.62
2016-03-11,14.35,14.98,14.27,14.98,5775600,14.615
2016-03-10,14.45,14.715,14.15,14.175,4469900,13.83
2016-03-09,14.365,14.545,14.33,14.47,2714500,14.117
2016-03-08,14.42,14.46,14.255,14.37,3422200,14.02
2016-03-07,14.375,14.645,14.325,14.55,4004000,14.195
2016-03-04,13.98,14.565,13.905,14.49,5114100,14.137
2016-03-03,14.035,14.07,13.81,13.90,2667000,13.561
2016-03-02,14.15,14.285,13.97,14.04,3654200,13.698
2016-03-01,13.78,14.14,13.715,14.12,3742800,13.776
2016-02-29,13.545,13.83,13.40,13.785,3289400,13.449
2016-02-26,13.815,13.845,13.47,13.65,2823800,13.317
2016-02-25,13.42,13.855,13.41,13.745,3577700,13.41
2016-02-24,13.58,13.655,13.075,13.275,3911900,12.952
2016-02-23,13.46,13.795,13.42,13.57,2935900,13.239
2016-02-22,13.745,13.865,13.43,13.54,3826600,13.21
2016-02-19,13.495,13.665,13.355,13.605,3406500,13.274
2016-02-18,13.14,13.695,13.085,13.50,6028600,13.171
2016-02-17,12.535,13.095,12.535,12.995,4306500,12.678
2016-02-16,12.62,12.65,12.38,12.545,3887700,12.239
2016-02-15,12.65,12.755,12.555,12.555,3007100,12.249
2016-02-12,12.39,12.53,12.275,12.395,3228700,12.093
2016-02-11,12.49,12.49,12.06,12.24,5594600,11.942
2016-02-10,12.29,12.79,12.23,12.575,4108800,12.269
2016-02-09,12.15,12.305,11.85,12.175,5780000,11.878
2016-02-08,12.95,12.975,12.23,12.24,5994100,11.942
2016-02-05,12.935,13.28,12.82,12.88,4125000,12.566
2016-02-04,13.44,13.465,12.665,12.94,5655400,12.625
2016-02-03,13.78,13.83,13.155,13.25,4945300,12.927
2016-02-02,13.86,13.945,13.725,13.78,2728200,13.444
2016-02-01,13.535,13.935,13.45,13.875,4672600,13.537
2016-01-29,13.61,13.735,13.33,13.465,4952500,13.137
2016-01-28,14.12,14.12,13.31,13.465,6921100,13.137
2016-01-27,14.185,14.27,13.94,14.165,3573800,13.82
2016-01-26,13.94,14.25,13.835,14.16,3185500,13.815
2016-01-25,14.345,14.38,14.025,14.10,2887300,13.756
2016-01-22,14.115,14.44,13.925,14.21,7450400,13.864
2016-01-21,13.40,13.885,13.345,13.855,7140300,13.517
2016-01-20,13.35,13.55,13.205,13.275,4811800,12.952
2016-01-19,13.65,13.775,13.58,13.67,3562400,13.337
2016-01-18,13.595,13.78,13.31,13.415,4061000,13.088
2016-01-15,13.80,13.99,13.51,13.61,5069400,13.278
2016-01-14,14.02,14.02,13.53,13.83,7579800,13.493
2016-01-13,14.50,14.66,14.225,14.32,4490200,13.971
2016-01-12,14.785,14.89,14.35,14.35,5222400,14.00
2016-01-11,14.85,14.995,14.64,14.655,6880700,14.298
2016-01-08,15.06,15.14,14.84,14.92,5900800,14.556
2016-01-07,14.80,15.15,14.615,15.01,8073000,14.644
2016-01-06,14.91,15.41,14.90,15.16,8036200,14.791
2016-01-05,14.67,14.995,14.625,14.925,6522100,14.561
2016-01-04,14.275,14.725,14.175,14.475,6379500,14.122
2016-01-01,14.565,14.565,14.565,14.565,000,14.21
2015-12-31,14.565,14.565,14.565,14.565,000,14.21
2015-12-30,14.72,14.82,14.525,14.565,2567000,14.21
2015-12-29,14.63,14.78,14.615,14.735,2989400,14.376
2015-12-28,14.425,14.64,14.425,14.57,2499700,14.215
2015-12-25,14.48,14.48,14.48,14.48,000,14.127
2015-12-24,14.48,14.48,14.48,14.48,000,14.127
2015-12-23,14.47,14.555,14.385,14.48,3441900,14.127
2015-12-22,14.57,14.59,14.28,14.37,4034300,14.02
2015-12-21,14.11,14.62,14.065,14.48,6065500,14.127
2015-12-18,14.035,14.20,13.905,14.105,7631000,13.761
2015-12-17,14.05,14.27,13.96,14.14,6616500,13.795
2015-12-16,13.825,13.985,13.56,13.855,4211400,13.517
2015-12-15,13.21,13.835,13.09,13.78,6148500,13.444
2015-12-14,13.44,13.48,13.08,13.115,3991200,12.795
2015-12-11,13.60,13.65,13.255,13.325,3971500,13.00
2015-12-10,13.45,13.81,13.325,13.65,4072500,13.317
2015-12-09,13.785,13.87,13.39,13.515,5098900,13.186
2015-12-08,13.92,14.065,13.61,13.70,4457000,13.366
2015-12-07,13.91,13.99,13.785,13.95,3972000,13.61
2015-12-04,13.46,13.925,13.43,13.855,4794700,13.517
2015-12-03,13.77,13.975,13.45,13.52,6506100,13.191
2015-12-02,13.73,13.90,13.685,13.725,4119600,13.391
2015-12-01,13.64,13.755,13.545,13.73,4218000,13.395
2015-11-30,13.665,13.745,13.52,13.565,5529800,13.234
2015-11-27,13.35,13.575,13.295,13.375,2692800,13.049
2015-11-26,13.31,13.52,13.285,13.39,3300300,13.064
2015-11-25,12.985,13.37,12.785,13.26,7932100,12.937
2015-11-24,13.445,13.485,12.76,12.91,7677200,12.595
2015-11-23,13.745,13.745,13.41,13.445,3472100,13.117
2015-11-20,13.73,13.89,13.625,13.735,3410400,13.40
2015-11-19,13.35,13.75,13.29,13.69,5644700,13.356
2015-11-18,13.25,13.32,13.115,13.195,3658900,12.874
2015-11-17,13.16,13.385,13.13,13.37,3444700,13.044
2015-11-16,12.85,13.135,12.76,13.05,5831700,12.732
2015-11-13,13.40,13.48,13.225,13.355,4099800,13.03
2015-11-12,13.43,13.53,13.19,13.42,4702800,13.093
2015-11-11,13.40,13.625,13.39,13.47,3533700,13.142
2015-11-10,13.52,13.545,13.205,13.385,6018400,13.059
2015-11-09,13.805,13.88,13.515,13.515,5255600,13.186
2015-11-06,13.53,14.04,13.50,13.95,5603300,13.61
2015-11-05,14.00,14.195,13.30,13.51,9616300,13.181
2015-11-04,13.82,14.24,13.79,14.05,8454700,13.708
2015-11-03,13.50,13.845,13.47,13.805,4972400,13.469
2015-11-02,13.27,13.605,13.215,13.52,5986200,13.191
2015-10-30,13.20,13.43,12.95,13.43,8191300,13.103
2015-10-29,14.50,14.55,12.90,13.085,21817500,12.766
2015-10-28,14.16,14.325,14.145,14.28,5947500,13.932
2015-10-27,14.09,14.165,13.985,14.11,3360400,13.766
2015-10-26,13.94,14.18,13.88,14.10,4543000,13.756
2015-10-23,13.69,13.965,13.68,13.915,6270300,13.576
2015-10-22,13.78,13.845,13.47,13.625,6451500,13.293
2015-10-21,13.71,13.91,13.58,13.835,4685500,13.498
2015-10-20,13.77,13.86,13.495,13.685,6263200,13.352
2015-10-19,13.62,13.885,13.595,13.84,4942500,13.503
2015-10-16,13.60,13.76,13.44,13.61,5936700,13.278
2015-10-15,13.615,13.66,13.455,13.53,5724800,13.20
2015-10-14,13.52,13.805,13.505,13.62,5509600,13.288
2015-10-13,13.65,13.805,13.435,13.575,4940200,13.244
2015-10-12,13.405,13.635,13.375,13.54,4817900,13.21
2015-10-09,13.74,13.91,13.22,13.445,8383200,13.117
2015-10-08,13.265,13.75,13.255,13.74,8498400,13.405
2015-10-07,13.36,13.385,12.775,13.185,9467300,12.864
2015-10-06,13.32,13.54,13.115,13.425,6530300,13.098
2015-10-05,13.085,13.38,12.99,13.335,8564600,13.01
2015-10-02,12.65,12.935,12.52,12.675,11169500,12.366
2015-10-01,12.535,12.575,12.105,12.18,6121600,11.883
2015-09-30,11.995,12.51,11.95,12.425,9398600,12.122
2015-09-29,11.60,11.82,11.52,11.695,4066300,11.41
2015-09-28,11.81,12.07,11.65,11.71,4519600,11.425
2015-09-25,11.845,11.965,11.735,11.83,5354100,11.542
2015-09-24,11.91,12.085,11.65,11.69,6504600,11.405
2015-09-23,11.45,12.075,11.43,11.88,6958800,11.591
2015-09-22,11.755,11.795,11.42,11.43,4094100,11.152
2015-09-21,11.72,11.905,11.675,11.76,2972900,11.473
2015-09-18,11.84,11.89,11.61,11.745,6800800,11.459
2015-09-17,12.065,12.075,11.805,11.87,4944600,11.581
2015-09-16,12.05,12.17,11.905,12.005,5246800,11.713
2015-09-15,11.855,11.99,11.795,11.94,2860300,11.649
2015-09-14,11.77,11.975,11.735,11.87,3516800,11.581
2015-09-11,11.80,11.84,11.685,11.77,2746400,11.483
2015-09-10,11.665,11.90,11.64,11.765,4076500,11.478
2015-09-09,11.92,11.98,11.62,11.695,6289400,11.41
2015-09-08,11.495,11.865,11.485,11.73,4266300,11.444
2015-09-07,11.47,11.65,11.375,11.47,3396300,11.191
2015-09-04,10.85,11.87,10.82,11.46,13752400,11.181
2015-09-03,10.835,11.04,10.81,10.915,4693100,10.649
