Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,146.15,147.00,144.70,146.50,497700,146.50
2016-10-26,146.85,147.20,145.50,146.15,407700,146.15
2016-10-25,149.75,150.45,146.80,147.35,540200,147.35
2016-10-24,149.15,150.75,149.15,149.70,336500,149.70
2016-10-21,148.80,149.55,147.85,148.35,361700,148.35
2016-10-20,149.15,149.65,147.05,148.45,446700,148.45
2016-10-19,149.65,149.90,148.45,149.40,288700,149.40
2016-10-18,148.90,150.65,148.35,149.80,408100,149.80
2016-10-17,148.25,148.85,147.55,147.85,317100,147.85
2016-10-14,146.40,148.75,146.35,148.30,361800,148.30
2016-10-13,146.00,146.90,144.70,146.00,486900,146.00
2016-10-12,148.25,148.55,146.45,146.90,301500,146.90
2016-10-11,149.05,150.35,148.10,148.10,270700,148.10
2016-10-10,148.20,149.95,147.30,149.55,331100,149.55
2016-10-07,152.30,152.45,147.30,147.80,737800,147.80
2016-10-06,152.95,153.00,150.90,152.25,392900,152.25
2016-10-05,153.05,153.35,151.90,152.55,344300,152.55
2016-10-04,150.60,154.30,150.10,153.85,645300,153.85
2016-10-03,151.30,151.30,151.30,151.30,000,151.30
2016-09-30,146.95,151.40,145.60,151.30,930500,151.30
2016-09-29,150.00,150.40,147.60,148.00,528000,148.00
2016-09-28,143.90,150.70,143.70,148.55,1097000,148.55
2016-09-27,143.55,144.05,141.30,143.00,472300,143.00
2016-09-26,144.50,146.00,142.25,143.15,503000,143.15
2016-09-23,146.00,146.00,144.45,145.10,305100,145.10
2016-09-22,144.60,146.25,144.10,145.90,448700,145.90
2016-09-21,145.80,146.00,143.55,143.80,439700,143.80
2016-09-20,144.50,146.15,144.40,144.80,613400,144.80
2016-09-19,143.50,144.20,142.60,144.20,443200,144.20
2016-09-16,142.65,144.20,142.30,143.15,798600,143.15
2016-09-15,143.00,144.30,142.40,143.10,551100,143.10
2016-09-14,142.50,144.00,142.00,143.00,1037100,143.00
2016-09-13,138.00,146.25,137.65,144.85,1735500,144.85
2016-09-12,137.00,138.90,135.65,138.45,1770300,138.45
2016-09-09,150.00,150.85,148.35,148.85,462000,148.85
2016-09-08,154.05,154.05,148.95,150.00,671800,150.00
2016-09-07,153.05,155.50,151.85,154.25,412400,154.25
2016-09-06,155.30,155.70,152.85,153.05,541400,153.05
2016-09-05,156.95,158.00,155.40,155.70,353800,155.70
