Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,95.00,97.14,94.43,96.67,491100,96.67
2016-10-26,95.88,96.04,94.45,95.36,479900,95.36
2016-10-25,98.39,98.62,95.76,95.85,443900,95.85
2016-10-24,98.87,99.27,98.41,98.42,346300,98.42
2016-10-21,99.48,99.48,97.84,98.76,439200,98.76
2016-10-20,99.15,99.32,97.71,99.25,280300,99.25
2016-10-19,98.73,98.88,98.53,98.79,259700,98.79
2016-10-18,97.89,99.12,97.81,98.90,546900,98.90
2016-10-17,97.21,97.89,97.06,97.12,447000,97.12
2016-10-14,95.36,97.99,95.35,97.54,661800,97.54
2016-10-13,94.83,96.18,93.90,95.28,625900,95.28
2016-10-12,96.55,96.55,95.29,95.31,321600,95.31
2016-10-11,97.44,97.74,96.65,96.77,237400,96.77
2016-10-10,96.40,97.56,95.81,97.45,265100,97.45
2016-10-07,96.20,96.80,95.73,96.12,334700,96.12
2016-10-06,96.57,96.57,95.46,96.39,264400,96.39
2016-10-05,95.97,96.32,95.52,96.05,323500,96.05
2016-10-04,96.23,97.30,95.87,96.45,395500,96.45
2016-10-03,95.91,95.91,95.91,95.91,000,95.91
2016-09-30,94.71,96.04,93.93,95.91,591000,95.91
2016-09-29,97.48,97.78,95.58,95.88,362200,95.88
2016-09-28,95.77,96.98,95.76,96.24,265400,96.24
2016-09-27,95.78,96.60,92.94,95.66,519200,95.66
2016-09-26,97.38,97.38,95.12,95.15,394800,95.15
2016-09-23,97.87,98.08,97.15,97.89,256700,97.89
2016-09-22,97.50,98.09,96.99,97.83,296900,97.83
2016-09-21,98.10,98.11,96.71,96.73,292400,96.73
2016-09-20,95.88,97.99,95.85,97.30,378100,97.30
2016-09-19,95.72,96.28,95.31,96.12,296600,96.12
2016-09-16,95.32,96.06,94.22,94.99,683300,94.99
2016-09-15,94.57,95.27,94.13,95.21,262500,95.21
2016-09-14,94.78,95.40,94.41,94.75,441300,94.75
2016-09-13,95.10,95.90,94.06,94.29,343700,94.29
2016-09-12,93.47,94.53,92.73,94.52,357900,94.52
2016-09-09,95.91,96.05,94.28,94.35,315400,94.35
2016-09-08,96.50,97.38,95.56,96.25,309400,96.25
2016-09-07,95.65,96.40,95.47,96.30,253600,96.30
2016-09-06,95.70,96.38,95.45,95.79,293700,95.79
2016-09-05,96.00,96.50,95.66,95.77,220900,95.77
2016-09-02,93.30,95.89,93.24,95.89,426800,95.89
2016-09-01,94.87,94.87,92.99,93.03,387800,93.03
2016-08-31,94.78,94.86,94.04,94.34,394400,94.34
2016-08-30,95.32,95.86,95.09,95.19,280500,95.19
2016-08-29,94.94,95.40,94.50,95.09,156700,95.09
2016-08-26,95.08,95.84,94.77,95.43,241100,95.43
2016-08-25,96.40,96.52,94.52,95.34,393300,95.34
2016-08-24,96.67,97.36,96.67,96.94,192200,96.94
2016-08-23,96.99,97.52,96.78,97.01,199500,97.01
2016-08-22,96.61,97.62,95.40,96.66,320100,96.66
2016-08-19,96.77,96.86,95.75,96.84,350600,96.84
2016-08-18,96.93,97.09,95.85,96.42,314200,96.42
2016-08-17,97.79,97.87,96.21,96.45,356700,96.45
2016-08-16,99.01,99.27,97.62,97.83,367500,97.83
2016-08-15,99.15,99.85,98.91,99.50,214200,99.50
2016-08-12,99.25,99.57,98.23,98.91,448800,98.91
2016-08-11,99.70,100.05,99.30,100.05,352700,100.05
2016-08-10,99.43,99.70,98.78,99.10,386300,99.10
2016-08-09,97.80,99.53,97.27,99.52,486400,99.52
2016-08-08,99.21,99.69,97.60,97.70,390400,97.70
2016-08-05,98.94,99.15,97.74,98.90,591800,98.90
2016-08-04,98.10,98.44,95.21,98.30,717100,98.30
2016-08-03,99.02,99.19,98.07,98.28,311700,98.28
2016-08-02,99.50,99.84,98.41,98.50,293900,98.50
2016-08-01,100.00,100.35,98.46,99.48,359900,99.48
2016-07-29,98.96,99.18,97.66,98.76,370600,98.76
2016-07-28,98.00,99.11,97.58,98.79,503000,98.79
2016-07-27,98.52,98.84,97.27,98.18,340300,98.18
2016-07-26,96.81,98.22,96.69,98.02,391500,98.02
2016-07-25,97.82,98.13,96.65,96.95,371100,96.95
2016-07-22,97.27,98.25,97.01,97.46,355300,97.46
2016-07-21,96.68,97.31,96.12,97.31,402300,97.31
2016-07-20,94.53,96.90,94.51,96.39,451900,96.39
2016-07-19,94.75,94.93,93.87,94.23,280100,94.23
2016-07-18,94.02,95.37,93.95,94.77,359300,94.77
2016-07-15,93.68,94.58,93.39,94.15,394000,94.15
2016-07-14,95.19,95.51,93.78,93.88,279200,93.88
2016-07-13,94.55,94.80,94.05,94.37,574500,94.37
2016-07-12,94.00,95.03,94.00,94.71,512900,94.71
2016-07-11,93.76,94.43,93.14,94.20,435800,94.20
2016-07-08,91.25,93.05,91.25,92.72,396300,92.72
2016-07-07,90.50,92.00,90.31,91.33,340300,91.33
2016-07-06,89.65,90.76,89.27,90.08,437500,90.08
2016-07-05,91.19,91.46,89.64,90.56,292100,90.56
2016-07-04,91.01,91.62,90.85,91.15,196800,91.15
2016-07-01,91.42,91.65,90.87,91.05,285500,91.05
2016-06-30,90.25,91.32,89.30,91.05,434500,91.05
2016-06-29,89.02,90.43,88.82,90.36,353100,90.36
2016-06-28,87.23,88.63,86.76,88.16,454300,88.16
2016-06-27,87.20,88.87,85.46,85.84,569900,85.84
2016-06-24,83.80,89.45,82.00,87.60,1234700,87.60
2016-06-23,89.87,91.24,89.32,90.09,477000,90.09
2016-06-22,90.02,90.31,89.13,89.74,349900,89.74
2016-06-21,89.12,89.53,88.57,89.18,308800,89.18
2016-06-20,88.49,89.31,88.37,89.11,352200,89.11
2016-06-17,86.40,87.36,86.23,87.01,1377600,87.01
2016-06-16,85.37,86.57,84.79,85.34,455600,85.34
2016-06-15,87.22,87.93,86.48,86.48,493900,86.48
2016-06-14,86.57,88.06,86.31,86.85,454900,86.85
2016-06-13,87.47,88.62,87.16,87.85,519900,87.85
2016-06-10,90.51,90.52,88.93,89.05,449800,89.05
2016-06-09,90.57,90.71,89.61,90.21,281400,90.21
2016-06-08,91.26,91.44,90.35,90.67,236400,90.67
2016-06-07,90.92,91.97,90.73,91.45,359700,91.45
2016-06-06,89.47,90.69,89.47,90.11,235900,90.11
2016-06-03,90.38,91.22,88.34,89.54,395000,89.54
2016-06-02,91.18,91.28,89.79,90.42,383200,90.42
2016-06-01,89.85,91.49,89.85,91.00,631000,91.00
2016-05-31,90.05,90.34,89.41,89.95,511500,89.95
2016-05-30,90.26,90.57,89.79,90.01,143500,90.01
2016-05-27,90.00,90.40,89.64,89.96,351100,89.96
2016-05-26,89.85,90.25,89.25,89.87,313900,89.87
