Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,178.35,179.40,177.30,179.15,618400,179.15
2016-10-26,178.00,179.10,177.10,177.95,530600,177.95
2016-10-25,178.05,179.40,177.55,178.65,477300,178.65
2016-10-24,176.50,178.95,176.25,177.70,466300,177.70
2016-10-21,176.00,176.90,175.35,176.10,506600,176.10
2016-10-20,174.95,176.15,173.65,175.40,495300,175.40
2016-10-19,173.95,175.40,172.90,174.40,412400,174.40
2016-10-18,172.05,174.25,171.45,173.95,652000,173.95
2016-10-17,170.30,172.15,170.20,170.50,532200,170.50
2016-10-14,168.20,171.80,168.20,171.10,592900,171.10
2016-10-13,167.95,167.95,165.85,167.35,630800,167.35
2016-10-12,168.60,169.30,167.30,169.10,476500,169.10
2016-10-11,167.75,169.45,167.40,168.70,476000,168.70
2016-10-10,164.40,168.95,163.15,168.15,716400,168.15
2016-10-07,164.70,166.20,163.40,164.80,760900,164.80
2016-10-06,166.95,167.15,164.00,165.10,659000,165.10
2016-10-05,163.70,166.95,162.45,165.85,492800,165.85
2016-10-04,166.20,166.30,163.85,165.00,732900,165.00
2016-10-03,166.00,166.00,166.00,166.00,000,166.00
2016-09-30,160.20,166.65,159.20,166.00,956400,166.00
2016-09-29,167.35,167.95,164.10,164.60,412500,164.60
2016-09-28,165.85,166.90,165.15,165.60,560000,165.60
2016-09-27,168.30,168.55,164.35,165.85,547200,165.85
2016-09-26,169.65,169.80,166.40,166.75,621200,166.75
2016-09-23,170.50,170.95,169.65,170.45,481300,170.45
2016-09-22,168.50,171.85,168.20,171.00,771100,171.00
2016-09-21,167.45,170.05,167.05,167.20,693300,167.20
2016-09-20,163.85,166.30,163.05,165.60,503400,165.60
2016-09-19,162.05,163.85,161.30,163.80,390400,163.80
2016-09-16,163.30,163.80,160.65,160.65,1117600,160.65
2016-09-15,162.00,163.50,161.30,163.15,518300,163.15
2016-09-14,163.40,163.60,161.80,161.95,377200,161.95
2016-09-13,164.65,165.25,162.55,162.60,391900,162.60
2016-09-12,164.15,165.35,163.25,164.15,561900,164.15
2016-09-09,165.20,167.40,165.10,166.80,666100,166.80
2016-09-08,164.15,165.30,162.55,165.10,589500,165.10
2016-09-07,164.25,165.55,163.30,164.75,435200,164.75
2016-09-06,165.00,165.60,163.35,163.65,355700,163.65
2016-09-05,165.00,166.05,164.50,164.55,435600,164.55
2016-09-02,162.95,164.95,161.60,164.95,546400,164.95
2016-09-01,162.50,164.35,161.35,161.80,672300,161.80
2016-08-31,160.55,162.85,160.35,162.05,946500,162.05
2016-08-30,160.00,161.40,159.45,160.40,454900,160.40
2016-08-29,158.70,159.90,157.95,159.00,247200,159.00
2016-08-26,159.55,160.45,158.25,159.50,409600,159.50
2016-08-25,160.25,160.75,158.85,159.90,367000,159.90
2016-08-24,160.25,162.10,159.75,161.10,376100,161.10
2016-08-23,159.05,161.75,159.05,161.40,379400,161.40
2016-08-22,159.15,161.35,157.85,158.65,405800,158.65
2016-08-19,159.80,160.05,157.05,159.10,557000,159.10
2016-08-18,160.35,160.35,159.00,159.55,348800,159.55
2016-08-17,161.35,161.55,158.55,158.80,375200,158.80
2016-08-16,160.10,161.60,159.75,160.75,527200,160.75
2016-08-15,160.95,161.20,160.05,160.05,268700,160.05
2016-08-12,159.95,160.60,159.30,160.40,435700,160.40
2016-08-11,160.50,160.60,158.80,160.45,378300,160.45
2016-08-10,161.40,162.05,159.05,159.65,576800,159.65
2016-08-09,155.80,161.65,155.50,161.30,1275800,161.30
2016-08-08,151.60,153.25,151.30,152.60,533800,152.60
2016-08-05,148.90,150.90,148.15,150.90,487300,150.90
2016-08-04,149.00,149.75,148.10,148.60,472900,148.60
2016-08-03,148.55,149.40,147.30,148.40,497300,148.40
2016-08-02,148.55,148.90,146.35,147.70,519300,147.70
2016-08-01,150.75,151.45,147.90,148.65,442600,148.65
2016-07-29,149.00,150.55,148.65,149.20,623800,149.20
2016-07-28,147.80,148.85,147.10,148.25,541000,148.25
2016-07-27,148.15,149.15,147.25,148.65,446800,148.65
2016-07-26,147.75,148.15,146.50,146.95,480000,146.95
2016-07-25,147.00,148.35,145.75,147.70,381200,147.70
2016-07-22,146.95,147.70,146.20,146.60,437000,146.60
2016-07-21,148.70,148.90,145.75,147.05,561600,147.05
2016-07-20,147.10,148.70,146.35,148.40,430000,148.40
2016-07-19,148.45,148.80,146.20,146.95,502500,146.95
2016-07-18,148.60,149.95,147.90,148.70,350300,148.70
2016-07-15,148.95,150.35,147.15,148.20,594400,148.20
2016-07-14,150.25,150.65,146.95,149.15,706000,149.15
2016-07-13,148.10,149.30,148.10,148.70,618500,148.70
2016-07-12,146.10,149.60,145.45,148.35,587200,148.35
2016-07-11,146.00,146.35,143.85,146.35,528200,146.35
2016-07-08,142.90,145.80,142.00,145.10,574900,145.10
2016-07-07,141.55,144.00,141.55,142.30,699200,142.30
2016-07-06,144.30,145.15,140.90,141.20,1242100,141.20
2016-07-05,149.80,150.05,146.45,146.45,767700,146.45
2016-07-04,152.30,152.40,150.05,150.50,375700,150.50
2016-07-01,151.65,152.40,149.45,152.25,625500,152.25
2016-06-30,148.60,150.85,147.75,150.25,742900,150.25
2016-06-29,146.25,149.95,145.75,149.10,841700,149.10
2016-06-28,146.75,148.35,144.60,145.10,1095000,145.10
2016-06-27,149.25,150.40,142.80,143.75,1574700,143.75
2016-06-24,149.45,152.90,146.65,149.35,2503900,149.35
2016-06-23,159.25,160.85,157.90,160.80,821300,160.80
2016-06-22,157.75,159.25,157.45,158.00,588900,158.00
2016-06-21,155.40,156.95,154.50,156.45,601600,156.45
2016-06-20,154.45,156.30,154.00,155.20,669700,155.20
2016-06-17,150.20,152.55,150.00,150.45,1688700,150.45
2016-06-16,148.55,149.60,147.45,149.15,891800,149.15
2016-06-15,150.95,152.50,150.15,150.30,872200,150.30
2016-06-14,150.10,151.40,148.95,149.40,960900,149.40
2016-06-13,153.00,154.25,151.65,151.65,914800,151.65
2016-06-10,158.55,159.05,154.60,155.40,796000,155.40
2016-06-09,160.00,160.45,158.10,159.50,637300,159.50
2016-06-08,161.40,161.50,159.30,160.45,497400,160.45
2016-06-07,162.10,163.20,161.65,162.15,408200,162.15
2016-06-06,160.85,162.10,160.45,161.65,323200,161.65
2016-06-03,163.80,163.85,159.55,160.65,739200,160.65
2016-06-02,166.40,166.85,161.75,163.45,914300,163.45
2016-06-01,168.00,169.90,165.25,167.10,843000,167.10
2016-05-31,169.70,170.20,168.20,168.85,604400,168.85
2016-05-30,170.00,170.10,168.75,169.70,218400,169.70
2016-05-27,168.30,169.80,167.70,169.45,438300,169.45
2016-05-26,169.00,169.40,167.55,168.95,610300,168.95
2016-05-25,166.50,168.15,165.40,166.85,647400,166.85
2016-05-24,160.00,165.20,159.95,165.00,809200,165.00
2016-05-23,160.00,162.05,158.65,160.50,532700,160.50
2016-05-20,159.95,160.65,159.25,159.75,817100,159.75
2016-05-19,160.15,161.40,159.00,159.00,529500,159.00
2016-05-18,158.75,160.15,158.20,160.15,598600,160.15
2016-05-17,159.40,160.90,158.30,158.55,498300,158.55
2016-05-16,158.40,158.40,158.40,158.40,000,158.40
2016-05-13,156.00,159.25,154.65,158.40,647300,158.40
2016-05-12,158.10,160.20,156.80,156.95,781400,156.95
