Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,38.875,39.84,38.71,39.46,976200,39.46
2016-10-26,39.015,39.225,38.605,38.82,669800,38.82
2016-10-25,38.60,39.22,38.44,39.04,805300,39.04
2016-10-24,38.03,38.835,38.025,38.38,683400,38.38
2016-10-21,38.31,38.505,38.03,38.50,680100,38.50
2016-10-20,38.75,38.75,37.87,38.14,812900,38.14
2016-10-19,38.365,38.79,37.945,38.67,747700,38.67
2016-10-18,38.065,38.665,38.025,38.43,796000,38.43
2016-10-17,38.01,38.14,37.595,37.79,675300,37.79
2016-10-14,37.44,38.41,37.44,38.145,1238500,38.145
2016-10-13,38.455,39.365,36.455,37.24,2335600,37.24
2016-10-12,39.01,39.18,38.325,38.375,802600,38.375
2016-10-11,38.325,39.97,38.325,38.97,1342700,38.97
2016-10-10,37.38,38.355,37.35,38.32,816800,38.32
2016-10-07,37.99,37.99,36.985,37.045,769200,37.045
2016-10-06,38.485,38.55,37.73,37.92,435500,37.92
2016-10-05,38.325,38.445,38.005,38.26,687300,38.26
2016-10-04,37.80,38.845,37.80,38.675,1027200,38.675
2016-10-03,38.12,38.12,38.12,38.12,000,38.12
2016-09-30,37.595,38.295,37.375,38.12,898900,38.12
2016-09-29,38.255,38.34,37.995,38.18,794000,38.18
2016-09-28,37.405,37.945,37.295,37.945,815600,37.945
2016-09-27,37.095,37.28,36.65,37.125,1218400,37.125
2016-09-26,38.41,38.41,36.925,36.925,1119200,36.925
2016-09-23,39.00,39.03,38.515,38.525,473900,38.525
2016-09-22,38.785,39.10,38.755,38.92,593700,38.92
2016-09-21,39.235,39.30,38.645,38.715,452000,38.715
2016-09-20,38.555,39.015,38.45,38.80,492600,38.80
2016-09-19,38.545,38.865,38.47,38.59,513000,38.59
2016-09-16,38.935,39.05,38.355,38.355,1582100,38.355
2016-09-15,38.62,39.04,38.62,38.965,512400,38.965
2016-09-14,38.71,39.08,38.645,38.82,662600,38.82
2016-09-13,38.555,38.96,38.55,38.615,679700,38.615
2016-09-12,38.48,38.665,38.32,38.45,661400,38.45
2016-09-09,39.00,39.30,38.87,39.005,500700,39.005
2016-09-08,39.23,39.615,38.77,39.125,791900,39.125
2016-09-07,39.20,39.40,38.87,39.315,473600,39.315
2016-09-06,39.255,39.435,39.10,39.135,577800,39.135
2016-09-05,39.50,39.75,38.945,39.065,536000,39.065
2016-09-02,38.78,39.27,38.575,39.27,710000,39.27
2016-09-01,38.515,38.95,38.405,38.76,979400,38.76
2016-08-31,38.05,38.95,38.03,38.56,1274500,38.56
2016-08-30,39.91,40.02,39.67,39.755,493900,39.755
2016-08-29,39.555,39.865,39.52,39.69,245600,39.69
2016-08-26,39.88,40.03,39.415,39.955,563700,39.955
2016-08-25,40.545,40.66,39.74,39.955,601800,39.955
2016-08-24,40.235,40.875,40.07,40.865,343200,40.865
2016-08-23,40.515,40.515,40.22,40.475,383700,40.475
2016-08-22,40.24,40.57,40.02,40.285,451400,40.285
2016-08-19,40.365,40.365,39.78,40.16,629800,40.16
2016-08-18,40.46,40.63,40.125,40.24,536800,40.24
2016-08-17,41.13,41.13,40.15,40.15,660700,40.15
2016-08-16,41.115,41.18,40.71,41.00,564000,41.00
2016-08-15,41.245,41.50,41.085,41.305,544600,41.305
2016-08-12,41.00,41.11,40.75,41.10,639100,41.10
2016-08-11,41.365,41.485,40.84,41.16,635300,41.16
2016-08-10,41.19,41.61,40.835,41.045,685800,41.045
2016-08-09,39.75,40.675,39.74,40.61,519700,40.61
2016-08-08,39.95,40.435,39.87,39.90,709500,39.90
2016-08-05,40.195,40.47,39.405,39.705,1179100,39.705
2016-08-04,40.75,40.97,39.95,40.245,645000,40.245
2016-08-03,40.75,40.75,39.98,40.11,534200,40.11
2016-08-02,41.125,41.21,40.39,40.57,583700,40.57
2016-08-01,41.35,41.35,40.65,41.07,387800,41.07
2016-07-29,40.77,41.075,40.71,40.89,523300,40.89
2016-07-28,40.81,41.155,40.66,40.755,711500,40.755
2016-07-27,41.045,41.28,40.845,40.94,498200,40.94
2016-07-26,41.00,41.075,40.465,40.745,586600,40.745
2016-07-25,40.64,41.01,40.45,40.83,521200,40.83
2016-07-22,40.585,40.64,40.275,40.505,502800,40.505
2016-07-21,40.395,40.84,40.37,40.615,1111300,40.615
2016-07-20,39.975,40.295,39.76,40.22,770700,40.22
2016-07-19,40.225,40.48,39.755,40.00,710900,40.00
2016-07-18,39.75,40.55,39.71,40.30,782300,40.30
2016-07-15,40.035,40.215,39.835,40.06,918700,40.06
2016-07-14,40.36,40.39,39.805,40.25,1155700,40.25
2016-07-13,39.415,39.91,39.375,39.74,1252600,39.74
