Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,14.265,14.37,14.14,14.20,2204900,14.20
2016-10-26,14.05,14.36,14.05,14.305,3429600,14.305
2016-10-25,14.02,14.18,14.015,14.09,3044100,14.09
2016-10-24,14.05,14.275,13.97,14.00,2406800,14.00
2016-10-21,14.17,14.215,13.895,14.045,2544500,14.045
2016-10-20,14.305,14.305,13.985,14.18,3311400,14.18
2016-10-19,14.245,14.49,14.115,14.23,3650000,14.23
2016-10-18,13.995,14.385,13.94,14.25,4606700,14.25
2016-10-17,13.95,14.03,13.82,13.835,2461500,13.835
2016-10-14,13.445,14.245,13.43,13.955,6713300,13.955
2016-10-13,13.48,13.525,13.27,13.385,3442700,13.385
2016-10-12,13.72,13.865,13.47,13.585,5545800,13.585
2016-10-11,13.35,13.655,13.26,13.595,6791900,13.595
2016-10-10,13.495,13.57,12.96,13.36,6821700,13.36
2016-10-07,14.50,14.54,13.31,13.395,12188200,13.395
2016-10-06,14.80,14.86,14.355,14.46,6335200,14.46
2016-10-05,15.10,15.145,14.705,14.71,5333300,14.71
2016-10-04,15.64,15.70,14.965,15.27,9457400,15.27
2016-10-03,15.335,15.335,15.335,15.335,000,15.335
2016-09-30,15.035,15.345,14.82,15.335,5405700,15.335
2016-09-29,15.15,15.75,15.135,15.35,7035900,15.35
2016-09-28,14.54,14.935,14.335,14.935,4504100,14.935
2016-09-27,14.90,14.925,14.375,14.53,3928200,14.53
2016-09-26,14.865,14.89,14.61,14.735,3241200,14.735
2016-09-23,15.085,15.085,14.74,15.005,4455000,15.005
2016-09-22,14.645,15.155,14.615,15.095,3385600,15.095
2016-09-21,14.71,14.78,14.415,14.51,3229900,14.51
2016-09-20,14.795,14.845,14.595,14.595,2724900,14.595
2016-09-19,14.43,14.83,14.43,14.77,4008100,14.77
2016-09-16,14.61,14.61,14.295,14.35,4830400,14.35
2016-09-15,14.70,14.75,14.52,14.61,2992900,14.61
2016-09-14,14.605,14.80,14.475,14.725,3447700,14.725
2016-09-13,14.70,14.79,14.42,14.505,3499200,14.505
2016-09-12,14.505,14.645,14.275,14.645,4212900,14.645
2016-09-09,15.095,15.25,14.835,14.90,3305000,14.90
2016-09-08,15.16,15.31,14.965,15.18,3054300,15.18
2016-09-07,15.10,15.24,14.77,15.195,3327600,15.195
2016-09-06,15.22,15.35,15.105,15.155,2083200,15.155
2016-09-05,14.955,15.295,14.91,15.22,2871600,15.22
2016-09-02,14.31,15.095,14.30,15.03,4178900,15.03
2016-09-01,14.71,14.83,14.165,14.23,2932300,14.23
2016-08-31,14.71,14.765,14.54,14.665,2673900,14.665
2016-08-30,14.77,14.94,14.685,14.75,1777800,14.75
2016-08-29,14.675,14.77,14.515,14.71,1216300,14.71
2016-08-26,14.63,14.905,14.55,14.785,1690800,14.785
2016-08-25,14.69,14.72,14.52,14.645,1803000,14.645
2016-08-24,14.55,14.77,14.35,14.675,1585500,14.675
2016-08-23,14.68,14.73,14.50,14.605,1951700,14.605
2016-08-22,14.47,14.775,14.42,14.605,2874600,14.605
2016-08-19,14.95,15.00,14.435,14.505,3256600,14.505
2016-08-18,15.05,15.16,14.815,14.935,2507200,14.935
2016-08-17,15.25,15.25,14.71,14.795,3012800,14.795
2016-08-16,15.21,15.355,15.095,15.215,2108000,15.215
2016-08-15,15.50,15.57,15.365,15.37,2070900,15.37
2016-08-12,15.63,15.82,15.25,15.46,4096200,15.46
2016-08-11,14.35,15.655,14.25,15.655,6884100,15.655
2016-08-10,15.55,15.555,14.98,15.045,4634400,15.045
2016-08-09,15.40,15.695,15.355,15.615,2464100,15.615
2016-08-08,15.105,15.42,15.055,15.41,2618300,15.41
2016-08-05,15.385,15.56,15.035,15.075,4158900,15.075
2016-08-04,15.24,15.495,15.24,15.34,2203500,15.34
2016-08-03,15.145,15.255,14.91,15.19,2145800,15.19
2016-08-02,15.24,15.30,14.855,15.045,3551500,15.045
2016-08-01,16.00,16.12,15.13,15.305,5012100,15.305
2016-07-29,15.785,15.98,15.73,15.905,3861000,15.905
2016-07-28,15.95,16.265,15.76,15.76,3880000,15.76
2016-07-27,16.03,16.17,15.85,15.89,1816900,15.89
2016-07-26,15.75,15.98,15.615,15.925,2438700,15.925
2016-07-25,15.83,16.005,15.64,15.775,2221100,15.775
2016-07-22,15.78,15.97,15.695,15.795,2522400,15.795
2016-07-21,15.685,16.035,15.685,15.845,3248600,15.845
2016-07-20,15.645,16.04,15.42,15.665,3433000,15.665
2016-07-19,15.755,15.88,15.515,15.565,2536900,15.565
2016-07-18,15.685,16.055,15.675,15.785,3625900,15.785
2016-07-15,15.65,15.895,15.51,15.64,5613800,15.64
2016-07-14,16.145,16.49,15.745,15.745,6091900,15.745
2016-07-13,15.18,16.06,15.15,15.945,6995600,15.945
2016-07-12,15.085,15.355,15.04,15.255,3291100,15.255
2016-07-11,15.13,15.42,14.945,15.12,3651200,15.12
2016-07-08,14.60,14.915,14.55,14.885,3396800,14.885
2016-07-07,14.25,14.82,14.19,14.615,5255200,14.615
2016-07-06,14.345,14.71,13.82,13.99,6286200,13.99
2016-07-05,14.81,14.945,14.33,14.52,5482200,14.52
2016-07-04,14.425,15.035,14.425,14.91,6868200,14.91
2016-07-01,14.27,14.57,13.89,14.40,6693500,14.40
2016-06-30,13.23,14.31,13.07,14.19,9423700,14.19
2016-06-29,13.00,13.285,12.87,13.285,5798900,13.285
2016-06-28,12.57,12.98,12.535,12.705,5545000,12.705
2016-06-27,12.48,12.60,12.07,12.13,6171300,12.13
2016-06-24,12.06,12.87,11.875,12.495,9782900,12.495
2016-06-23,13.555,14.195,13.52,13.795,6044100,13.795
2016-06-22,13.225,13.53,13.105,13.385,4179800,13.385
2016-06-21,13.095,13.40,12.975,13.155,3576100,13.155
2016-06-20,12.765,13.145,12.69,13.125,3766300,13.125
2016-06-17,12.015,12.675,11.995,12.43,6409500,12.43
2016-06-16,11.825,12.01,11.745,11.95,3035800,11.95
2016-06-15,11.915,12.265,11.845,12.095,3773200,12.095
2016-06-14,12.39,12.39,11.795,11.845,5311300,11.845
2016-06-13,12.705,12.74,12.42,12.485,3437100,12.485
2016-06-10,13.185,13.20,12.82,12.86,4362100,12.86
2016-06-09,13.315,13.50,13.22,13.305,5005800,13.305
2016-06-08,12.85,13.40,12.85,13.275,5194800,13.275
2016-06-07,12.70,12.98,12.66,12.91,4086700,12.91
2016-06-06,12.10,12.645,12.085,12.62,3939500,12.62
2016-06-03,11.985,12.42,11.955,12.12,6854900,12.12
2016-06-02,11.435,11.74,11.41,11.575,2896100,11.575
2016-06-01,11.755,11.79,11.305,11.42,4674700,11.42
2016-05-31,12.02,12.115,11.72,11.765,4207500,11.765
2016-05-30,12.035,12.195,11.975,12.035,1430800,12.035
2016-05-27,11.98,12.055,11.875,12.00,2308800,12.00
2016-05-26,11.65,12.07,11.615,12.025,3191600,12.025
2016-05-25,11.57,11.72,11.51,11.67,2988100,11.67
2016-05-24,11.325,11.465,11.25,11.405,3546200,11.405
2016-05-23,11.52,11.54,11.25,11.32,2782200,11.32
2016-05-20,11.51,11.63,11.36,11.49,3088400,11.49
2016-05-19,11.66,11.685,11.345,11.375,3116500,11.375
2016-05-18,11.71,11.77,11.52,11.70,3613900,11.70
2016-05-17,12.205,12.405,11.635,11.81,7021200,11.81
2016-05-16,12.35,12.35,12.35,12.35,000,12.35
2016-05-13,12.10,12.435,12.015,12.35,3977700,12.35
2016-05-12,11.69,12.525,11.625,12.22,8606800,12.22
2016-05-11,11.855,11.965,11.245,11.445,4910400,11.445
2016-05-10,11.645,11.94,11.63,11.86,3139800,11.86
2016-05-09,11.92,11.97,11.53,11.575,3323300,11.575
2016-05-06,11.74,11.96,11.53,11.88,2903800,11.88
2016-05-05,11.645,11.92,11.58,11.79,3609200,11.79
2016-05-04,12.04,12.105,11.575,11.585,7521000,11.585
2016-05-03,12.72,12.765,11.98,12.025,4975000,12.025
2016-05-02,13.025,13.05,12.63,12.795,2668400,12.795
2016-04-29,12.80,13.345,12.77,13.045,4973600,13.045
2016-04-28,13.13,13.13,12.64,13.005,4732800,13.005
2016-04-27,12.40,13.47,12.25,13.175,10842900,13.175
2016-04-26,12.59,12.735,12.32,12.395,4795300,12.395
2016-04-25,12.74,12.78,12.38,12.49,2743600,12.49
2016-04-22,12.60,12.915,12.49,12.78,3604800,12.78
2016-04-21,12.565,12.995,12.345,12.68,5493000,12.68
2016-04-20,12.40,12.575,12.095,12.54,4362400,12.04
2016-04-19,12.095,12.565,11.99,12.53,5223500,12.0304
2016-04-18,12.075,12.09,11.545,11.97,3889000,11.4927
2016-04-15,11.985,12.195,11.92,12.13,4136900,11.6463
2016-04-14,11.94,12.065,11.83,11.98,2887200,11.5023
2016-04-13,11.915,12.07,11.78,11.935,3820300,11.4591
2016-04-12,11.855,12.07,11.58,11.78,3825900,11.3103
2016-04-11,11.65,11.945,11.505,11.875,4489600,11.4015
2016-04-08,11.22,11.72,11.185,11.645,5176900,11.1807
2016-04-07,11.025,11.085,10.84,11.075,4702200,10.6334
2016-04-06,11.24,11.345,10.735,11.015,5372200,10.5758
2016-04-05,11.52,11.52,11.02,11.13,4247700,10.6862
2016-04-04,11.50,11.84,11.40,11.695,4762500,11.2287
2016-04-01,11.22,11.465,11.195,11.345,3448400,10.8926
2016-03-31,11.38,11.475,11.28,11.375,3736600,10.9215
2016-03-30,10.89,11.455,10.875,11.385,6404200,10.9311
2016-03-29,10.90,10.97,10.595,10.80,3534800,10.3694
2016-03-28,10.85,10.85,10.85,10.85,000,10.4174
2016-03-25,10.85,10.85,10.85,10.85,000,10.4174
2016-03-24,10.75,10.92,10.665,10.85,3144300,10.4174
2016-03-23,10.93,10.95,10.69,10.775,2904300,10.3454
2016-03-22,10.55,10.955,10.55,10.835,5122200,10.403
2016-03-21,10.89,10.89,10.535,10.62,4187000,10.1966
2016-03-18,10.75,11.175,10.74,11.005,7803400,10.5662
2016-03-17,10.655,10.81,10.43,10.70,3493000,10.2734
2016-03-16,10.76,10.90,10.59,10.61,3761800,10.187
2016-03-15,11.05,11.065,10.69,10.71,3733300,10.283
2016-03-14,10.835,11.11,10.785,11.055,4546700,10.6142
2016-03-11,10.58,10.85,10.345,10.79,6438400,10.3598
2016-03-10,10.55,10.965,10.445,10.445,7517900,10.0285
2016-03-09,10.715,10.985,10.585,10.68,5102200,10.2542
2016-03-08,11.00,11.54,10.69,10.79,5889500,10.3598
2016-03-07,11.06,11.355,10.92,11.29,4828200,10.8398
2016-03-04,11.385,11.485,11.10,11.295,4456800,10.8446
2016-03-03,11.195,11.485,11.14,11.315,4105800,10.8638
2016-03-02,11.195,11.255,10.725,11.22,6875500,10.7726
2016-03-01,10.53,11.195,10.495,11.175,5973200,10.7294
2016-02-29,10.595,10.645,10.315,10.54,4803600,10.1197
2016-02-26,10.47,10.82,10.425,10.665,4945300,10.2398
2016-02-25,10.325,10.535,10.28,10.38,4123500,9.9661
2016-02-24,10.32,10.32,9.985,10.165,5229200,9.7597
2016-02-23,10.655,10.73,10.255,10.305,6436200,9.8941
2016-02-22,10.49,11.195,10.49,10.875,6949800,10.4414
2016-02-19,10.70,10.72,10.24,10.295,6147800,9.8845
2016-02-18,10.335,11.005,10.205,10.57,10542900,10.1485
2016-02-17,11.82,11.92,10.11,10.335,20532900,9.9229
2016-02-16,12.00,12.075,11.52,11.80,4005600,11.3295
2016-02-15,11.77,11.995,11.60,11.915,4417400,11.4399
2016-02-12,11.075,11.51,10.925,11.41,5284500,10.9551
2016-02-11,11.01,11.07,10.485,10.755,6242900,10.3262
2016-02-10,11.70,11.865,11.225,11.26,4865500,10.811
2016-02-09,12.165,12.32,11.50,11.62,5271100,11.1567
2016-02-08,12.845,12.88,12.05,12.165,4509000,11.68
2016-02-05,12.61,13.06,12.365,12.83,5996200,12.3184
2016-02-04,12.575,12.85,12.285,12.70,4218900,12.1936
2016-02-03,12.27,12.555,11.955,12.29,4809300,11.80
2016-02-02,12.705,12.775,12.17,12.30,3912800,11.8096
2016-02-01,12.935,13.055,12.52,12.795,3836800,12.2848
2016-01-29,13.205,13.33,12.64,12.87,5629600,12.3568
2016-01-28,12.85,13.26,12.71,13.03,6579400,12.5105
2016-01-27,12.845,13.03,12.60,12.88,5392700,12.3664
2016-01-26,11.84,12.915,11.75,12.80,6459900,12.2896
2016-01-25,12.05,12.275,11.86,12.04,4219300,11.5599
2016-01-22,12.035,12.295,11.785,11.985,5500700,11.5071
2016-01-21,11.13,11.86,10.955,11.785,7157500,11.3151
2016-01-20,11.545,11.63,11.065,11.11,6749600,10.667
2016-01-19,11.19,11.985,11.14,11.86,9090700,11.3871
2016-01-18,10.86,11.15,10.765,10.915,4228600,10.4798
2016-01-15,11.42,11.44,10.735,10.825,6367100,10.3934
2016-01-14,11.295,11.445,10.985,11.345,4777700,10.8926
2016-01-13,11.21,11.75,11.16,11.425,5555100,10.9695
2016-01-12,11.42,11.44,10.965,11.03,6578000,10.5902
2016-01-11,10.64,11.155,10.62,10.95,4929300,10.5134
2016-01-08,10.955,11.135,10.64,10.64,3601100,10.2158
2016-01-07,10.84,10.98,10.51,10.86,4931600,10.427
2016-01-06,11.135,11.265,10.905,11.165,3531900,10.7198
2016-01-05,11.205,11.22,10.84,11.11,4021300,10.667
2016-01-04,11.385,11.385,10.84,10.88,5676300,10.4462
2016-01-01,11.71,11.71,11.71,11.71,000,11.2431
2015-12-31,11.71,11.71,11.71,11.71,000,11.2431
2015-12-30,11.62,11.965,11.485,11.71,2416000,11.2431
2015-12-29,11.755,11.865,11.515,11.62,2918400,11.1567
2015-12-28,12.06,12.16,11.56,11.66,2245100,11.1951
2015-12-25,11.985,11.985,11.985,11.985,000,11.5071
2015-12-24,11.985,11.985,11.985,11.985,000,11.5071
2015-12-23,11.40,12.155,11.40,11.985,4104100,11.5071
2015-12-22,11.45,11.59,11.155,11.305,2840400,10.8542
2015-12-21,11.075,11.65,11.075,11.395,4153500,10.9407
2015-12-18,11.10,11.415,11.005,11.16,8193400,10.715
2015-12-17,11.23,11.55,11.09,11.18,5454800,10.7342
2015-12-16,10.64,11.18,10.425,11.03,6423000,10.5902
2015-12-15,10.375,10.81,10.37,10.665,3942800,10.2398
2015-12-14,10.785,10.825,10.265,10.275,4244300,9.8653
2015-12-11,11.05,11.215,10.595,10.735,5855100,10.307
2015-12-10,11.035,11.67,10.91,10.98,7402300,10.5422
2015-12-09,10.845,11.205,10.48,11.01,5200200,10.571
2015-12-08,11.325,11.37,10.75,10.78,4551200,10.3502
2015-12-07,11.73,11.745,11.285,11.35,3811500,10.8974
2015-12-04,12.12,12.36,11.615,11.655,5198900,11.1903
2015-12-03,12.46,12.895,12.17,12.18,6669600,11.6944
2015-12-02,13.00,13.25,12.125,12.47,10393800,11.9728
2015-12-01,10.905,12.95,10.775,12.695,21543500,12.1888
2015-11-30,10.89,11.105,10.68,10.89,6384400,10.4558
2015-11-27,11.22,11.22,10.82,10.87,3864400,10.4366
2015-11-26,10.84,11.305,10.805,11.255,3688100,10.8062
2015-11-25,10.705,10.935,10.57,10.905,3419100,10.4702
2015-11-24,10.83,11.015,10.59,10.665,4622000,10.2398
2015-11-23,11.25,11.25,10.685,10.895,5899100,10.4606
2015-11-20,11.585,11.70,11.405,11.465,3282600,11.0079
2015-11-19,11.49,11.665,11.46,11.61,3961000,11.1471
2015-11-18,11.32,11.53,11.25,11.38,3255800,10.9263
2015-11-17,11.245,11.455,11.05,11.40,4450500,10.9455
2015-11-16,11.105,11.53,11.07,11.22,4033100,10.7726
2015-11-13,11.165,11.525,11.04,11.235,7765100,10.787
2015-11-12,12.525,12.59,10.965,11.265,15222700,10.8158
2015-11-11,12.335,13.13,12.335,12.46,5355400,11.9632
2015-11-10,12.865,12.945,12.21,12.375,5947200,11.8816
2015-11-09,13.365,13.635,12.85,12.865,4396900,12.352
2015-11-06,13.24,13.54,13.185,13.395,3580100,12.8609
2015-11-05,13.69,13.735,13.115,13.25,4488600,12.7217
2015-11-04,13.40,14.06,13.36,13.58,6079200,13.0385
2015-11-03,13.15,13.395,12.91,13.35,5951500,12.8177
2015-11-02,12.57,13.315,12.445,13.155,5334200,12.6305
2015-10-30,12.125,12.665,12.045,12.655,4855300,12.1504
2015-10-29,12.635,12.635,11.97,12.045,5212600,11.5647
2015-10-28,12.49,12.685,12.06,12.62,5758300,12.1168
2015-10-27,13.13,13.145,12.465,12.485,4707400,11.9872
2015-10-26,13.00,13.285,12.885,13.12,3692500,12.5969
2015-10-23,12.885,13.12,12.70,12.925,4950900,12.4096
2015-10-22,12.23,12.93,12.08,12.78,5404100,12.2704
2015-10-21,12.51,12.56,12.125,12.25,3923400,11.7616
2015-10-20,12.29,12.61,12.175,12.48,2868700,11.9824
2015-10-19,12.535,12.63,12.13,12.23,3365300,11.7424
2015-10-16,12.30,12.64,12.16,12.56,5750400,12.0592
2015-10-15,12.795,12.975,12.055,12.195,6014800,11.7088
2015-10-14,12.53,13.055,12.025,12.635,7248200,12.1312
2015-10-13,13.38,13.405,12.315,12.625,9024400,12.1216
2015-10-12,13.60,14.085,13.12,13.395,16661000,12.8609
2015-10-09,11.66,12.48,11.63,12.25,8027600,11.7616
2015-10-08,11.545,11.65,11.20,11.53,5219600,11.0703
2015-10-07,11.28,11.905,11.13,11.565,8135600,11.1039
2015-10-06,11.29,11.295,10.42,11.025,10030500,10.5854
2015-10-05,10.75,11.255,10.67,11.235,6196200,10.787
2015-10-02,10.05,10.59,9.999,10.43,7926000,10.0141
2015-10-01,10.295,10.34,9.701,9.763,6495100,9.3737
2015-09-30,10.00,10.265,9.85,10.15,7590300,9.7453
2015-09-29,9.135,9.92,9.126,9.74,10659600,9.3516
2015-09-28,9.568,9.85,9.148,9.204,8715700,8.837
2015-09-25,9.922,9.998,9.50,9.602,9673000,9.2191
2015-09-24,10.05,10.135,9.65,9.704,7869800,9.3171
2015-09-23,9.886,10.445,9.885,10.03,6056400,9.6301
2015-09-22,10.425,10.425,9.873,9.873,8520800,9.4793
2015-09-21,10.86,11.30,10.305,10.355,11027600,9.9421
2015-09-18,11.955,12.245,10.89,10.89,41881100,10.4558
2015-09-17,10.92,12.13,10.60,11.845,18688500,11.3727
2015-09-16,11.51,11.66,10.55,10.865,10979900,10.4318
2015-09-15,11.72,11.73,10.18,11.41,17864600,10.9551
2015-09-14,12.10,12.15,11.78,11.80,5339600,11.3295
2015-09-11,12.48,12.51,12.06,12.06,5191100,11.5791
2015-09-10,12.845,12.845,12.43,12.48,5734800,11.9824
2015-09-09,13.485,13.53,13.025,13.035,5094400,12.5153
2015-09-08,12.88,13.54,12.88,13.285,7173300,12.7553
2015-09-07,12.615,12.885,12.55,12.57,3544000,12.0688
2015-09-04,13.12,13.175,12.575,12.595,6501900,12.0928
2015-09-03,13.04,13.365,12.97,13.295,5811500,12.7649
2015-09-02,13.15,13.22,12.885,12.895,5687800,12.3808
2015-09-01,13.285,13.345,13.02,13.105,6060300,12.5825
2015-08-31,13.87,13.87,13.225,13.395,5386700,12.8609
2015-08-28,14.00,14.06,13.835,14.015,4243600,13.4562
2015-08-27,13.82,14.135,13.765,14.035,4257300,13.4754
2015-08-26,13.65,13.76,13.425,13.53,5005800,12.9905
2015-08-25,13.49,13.93,13.355,13.86,9033700,13.3074
2015-08-24,14.105,14.235,13.10,13.22,11575700,12.6929
2015-08-21,15.01,15.235,14.545,14.545,6574800,13.9651
2015-08-20,15.21,15.595,15.15,15.265,5398600,14.6563
2015-08-19,15.63,15.75,15.28,15.295,5366300,14.6852
2015-08-18,16.20,16.205,15.76,15.76,5591700,15.1316
2015-08-17,16.51,16.67,16.20,16.295,4046400,15.6453
2015-08-14,16.85,16.865,16.36,16.425,5501200,15.7701
2015-08-13,18.395,18.50,16.795,16.825,11122300,16.1541
2015-08-12,18.51,18.655,18.21,18.27,3792000,17.5415
2015-08-11,19.26,19.28,18.535,18.63,4057000,17.8872
2015-08-10,19.29,19.37,18.98,19.27,2471900,18.5017
2015-08-07,19.265,19.36,19.105,19.215,2033100,18.4489
2015-08-06,19.335,19.56,19.23,19.265,2292000,18.4969
2015-08-05,19.02,19.385,18.94,19.325,2769300,18.5545
2015-08-04,19.095,19.20,18.945,18.995,1627500,18.2376
2015-08-03,18.935,19.18,18.82,19.095,2072400,18.3336
2015-07-31,18.825,18.965,18.59,18.95,2702100,18.1944
2015-07-30,18.74,18.99,18.70,18.84,2592800,18.0888
2015-07-29,18.645,18.695,18.445,18.57,2557300,17.8296
2015-07-28,18.645,18.745,18.515,18.605,2787700,17.8632
2015-07-27,18.89,18.94,18.55,18.55,3366800,17.8104
2015-07-24,19.105,19.22,18.905,18.93,2412800,18.1752
2015-07-23,19.315,19.315,19.08,19.165,1791000,18.4008
2015-07-22,19.32,19.37,19.155,19.205,2168300,18.4393
2015-07-21,19.93,19.965,19.345,19.385,3468400,18.6121
2015-07-20,19.825,20.065,19.73,19.87,2214300,19.0777
2015-07-17,20.15,20.23,19.77,19.775,3004200,18.9865
2015-07-16,19.915,20.25,19.82,20.14,2729500,19.337
2015-07-15,19.85,19.99,19.805,19.83,2544200,19.0393
2015-07-14,19.75,19.915,19.515,19.845,4663600,19.0537
2015-07-13,20.17,20.26,19.98,20.205,3457100,19.3994
2015-07-10,19.725,19.985,19.56,19.91,3632400,19.1161
2015-07-09,19.22,19.50,19.075,19.40,3563400,18.6265
2015-07-08,19.00,19.35,18.94,19.16,3454600,18.396
2015-07-07,19.255,19.36,18.925,19.005,4252200,18.2472
2015-07-06,19.37,19.66,19.195,19.24,4129900,18.4729
2015-07-03,20.41,20.41,19.58,19.705,4441900,18.9193
2015-07-02,20.00,20.58,19.855,20.295,7207200,19.4858
2015-07-01,19.45,19.665,19.195,19.335,5194500,18.5641
2015-06-30,19.37,19.55,19.19,19.285,5989700,18.5161
2015-06-29,19.12,19.725,19.115,19.395,5331000,18.6217
2015-06-26,19.81,20.02,19.745,19.89,2895000,19.0969
2015-06-25,20.20,20.335,19.77,19.935,4196100,19.1401
2015-06-24,20.42,20.895,20.065,20.31,6758600,19.5002
2015-06-23,20.24,20.26,19.875,19.92,3216100,19.1257
2015-06-22,19.985,20.115,19.62,20.04,4490700,19.241
2015-06-19,19.545,19.95,19.475,19.585,7211300,18.8041
2015-06-18,19.40,19.595,19.11,19.555,3704200,18.7753
2015-06-17,19.565,19.67,19.385,19.415,2719200,18.6409
2015-06-16,19.49,19.65,19.295,19.575,3046400,18.7945
2015-06-15,19.75,19.88,19.39,19.61,3643700,18.8281
2015-06-12,20.10,20.25,19.715,19.975,3368900,19.1785
2015-06-11,20.29,20.55,20.155,20.23,3290900,19.4234
2015-06-10,19.795,20.45,19.70,20.365,4455400,19.553
2015-06-09,20.01,20.09,19.65,19.835,4944700,19.0441
2015-06-08,20.505,20.54,20.00,20.095,3968500,19.2938
2015-06-05,20.74,20.86,20.415,20.47,4149400,19.6538
2015-06-04,21.435,21.63,20.775,20.845,7168400,20.0139
2015-06-03,21.15,21.58,20.965,21.475,3922500,20.6187
2015-06-02,21.285,21.285,20.785,21.12,4105400,20.2779
2015-06-01,21.38,21.43,21.11,21.195,2474500,20.3499
2015-05-29,21.845,21.89,21.175,21.26,5492000,20.4123
2015-05-28,21.825,22.06,21.65,21.85,2999400,20.9788
2015-05-27,21.80,22.055,21.705,21.975,4072700,21.0988
2015-05-26,22.49,22.605,21.86,21.90,4343500,21.0268
2015-05-25,22.535,22.535,22.535,22.535,000,21.6365
2015-05-22,22.59,22.86,22.50,22.535,3800900,21.6365
2015-05-21,22.15,22.605,22.15,22.43,2989500,21.5357
2015-05-20,22.17,22.38,22.055,22.30,3174700,21.4108
2015-05-19,21.80,22.23,21.72,22.115,4884000,21.2332
2015-05-18,21.93,21.975,21.455,21.655,5722400,20.7916
2015-05-15,22.365,22.375,21.855,21.975,3817800,21.0988
2015-05-14,22.12,22.40,21.80,22.285,2955300,21.3964
2015-05-13,22.87,22.95,22.105,22.185,5767500,21.3004
2015-05-12,23.02,23.08,22.57,22.735,4170000,21.8285
2015-05-11,23.31,23.575,23.14,23.255,2759900,22.3278
2015-05-08,22.92,23.365,22.595,23.295,5549400,22.3662
2015-05-07,22.255,22.47,22.145,22.41,3224000,21.5165
2015-05-06,22.08,22.50,22.06,22.335,3126600,21.4444
2015-05-05,22.615,22.80,22.035,22.08,3858300,21.1996
2015-05-04,22.295,22.65,22.105,22.615,2394200,21.7133
2015-05-01,22.29,22.29,22.29,22.29,000,21.4012
2015-04-30,22.445,22.615,22.05,22.29,3668400,21.4012
2015-04-29,23.065,23.325,22.38,22.525,3525500,21.6269
2015-04-28,23.02,23.19,23.01,23.09,2723400,22.1693
2015-04-27,22.75,23.215,22.445,23.07,3503600,22.1501
2015-04-24,22.87,22.87,22.30,22.69,7353200,21.7853
2015-04-23,23.84,24.005,23.20,23.645,6786200,21.7421
2015-04-22,24.33,24.495,23.70,23.875,4746000,21.9536
2015-04-21,24.69,24.77,24.20,24.30,3740600,22.3444
2015-04-20,24.30,24.57,24.085,24.545,4112100,22.5697
