Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,80.63,81.69,80.53,80.70,2027900,80.70
2016-10-26,81.28,81.37,79.78,80.82,1792800,80.82
2016-10-25,81.39,81.65,80.93,81.07,1623300,81.07
2016-10-24,82.06,82.57,81.29,81.43,2334800,81.43
2016-10-21,79.00,82.20,79.00,81.98,4704700,81.98
2016-10-20,79.41,79.56,78.10,79.31,2314200,79.31
2016-10-19,79.44,79.84,79.13,79.47,1783300,79.47
2016-10-18,79.05,80.28,78.81,79.87,2450100,79.87
2016-10-17,78.75,79.00,78.02,78.57,1785900,78.57
2016-10-14,78.60,79.46,78.49,78.96,2084800,78.96
2016-10-13,78.69,78.77,78.05,78.60,2107000,78.60
2016-10-12,80.13,80.31,79.08,79.14,1924600,79.14
2016-10-11,80.70,81.16,80.30,80.41,1369800,80.41
2016-10-10,80.03,80.83,79.78,80.82,1545000,80.82
2016-10-07,81.30,81.41,80.13,80.13,2342600,80.13
2016-10-06,81.40,81.94,81.09,81.09,1635300,81.09
2016-10-05,80.82,81.54,80.51,81.28,1535900,81.28
2016-10-04,80.63,81.71,80.34,81.47,2450300,81.47
2016-10-03,80.92,80.92,80.92,80.92,000,80.92
2016-09-30,79.63,81.12,79.20,80.92,3164200,80.92
2016-09-29,82.01,82.11,80.52,80.74,1895000,80.74
2016-09-28,81.44,81.99,81.11,81.36,1853500,81.36
2016-09-27,80.91,80.93,79.87,80.85,1873100,80.85
2016-09-26,81.24,81.33,80.46,80.46,2446000,80.46
2016-09-23,82.50,82.60,81.62,81.63,2107600,81.63
2016-09-22,80.88,82.50,80.80,82.36,3401700,82.36
2016-09-21,80.39,81.05,79.97,80.19,1824700,80.19
2016-09-20,79.32,80.29,79.07,79.77,1894900,79.77
2016-09-19,78.34,79.13,78.32,79.05,1700500,79.05
2016-09-16,78.66,78.90,77.23,77.81,5086600,77.81
2016-09-15,78.56,78.95,77.92,78.81,2464900,78.81
2016-09-14,78.68,79.06,78.31,78.54,1729500,78.54
2016-09-13,78.94,79.16,78.12,78.23,2013100,78.23
2016-09-12,77.75,78.44,76.91,78.38,2624800,78.38
2016-09-09,79.51,79.78,78.47,78.85,2267700,78.85
2016-09-08,80.88,80.98,79.61,80.05,2214600,80.05
2016-09-07,80.70,81.15,80.44,80.66,1596400,80.66
2016-09-06,80.80,80.89,80.25,80.36,1264300,80.36
2016-09-05,80.39,80.85,80.33,80.70,1333000,80.70
2016-09-02,79.10,80.44,78.85,80.40,2254300,80.40
2016-09-01,78.60,79.37,78.56,78.80,1561100,78.80
2016-08-31,79.50,79.60,78.76,78.76,1764100,78.76
2016-08-30,78.49,79.75,78.38,79.68,2541500,79.68
2016-08-29,77.67,78.18,77.02,77.85,858800,77.85
2016-08-26,77.51,78.18,77.01,78.08,1075500,78.08
2016-08-25,77.77,77.80,77.04,77.50,1018700,77.50
2016-08-24,77.25,78.11,77.04,77.86,1186400,77.86
2016-08-23,77.49,78.00,77.38,77.78,1452200,77.78
2016-08-22,77.92,78.53,76.70,77.31,1716100,77.31
2016-08-19,77.58,78.35,77.45,78.01,2037900,78.01
2016-08-18,77.96,78.11,77.50,77.68,1557400,77.68
2016-08-17,77.89,78.33,77.47,77.70,1427700,77.70
2016-08-16,78.11,78.62,77.71,77.99,1607500,77.99
2016-08-15,78.50,79.22,78.40,78.77,1016500,78.77
2016-08-12,78.48,79.06,78.28,78.56,1135600,78.56
2016-08-11,79.19,79.34,78.51,78.92,1663100,78.92
2016-08-10,78.74,79.11,78.48,78.65,1800600,78.65
2016-08-09,77.15,79.09,77.15,78.84,2246000,78.84
2016-08-08,78.17,78.17,76.94,77.43,1766700,77.43
2016-08-05,77.38,78.02,76.87,77.65,1825800,77.65
2016-08-04,77.23,77.46,76.48,77.20,1932700,77.20
2016-08-03,77.14,77.36,76.64,77.14,1630700,77.14
2016-08-02,78.00,78.38,76.81,77.05,2726800,77.05
2016-08-01,78.93,79.15,78.01,78.41,1865300,78.41
2016-07-29,78.33,78.66,77.67,78.41,2582200,78.41
2016-07-28,77.86,78.72,77.83,78.25,2678300,78.25
2016-07-27,78.27,78.73,77.83,78.20,2663900,78.20
2016-07-26,76.86,77.81,76.71,77.71,2124500,77.71
2016-07-25,76.84,77.17,76.53,77.09,1985800,77.09
2016-07-22,76.36,76.64,75.43,76.64,2527300,76.64
2016-07-21,76.80,77.06,76.26,76.67,4058000,76.67
2016-07-20,74.00,76.08,73.41,75.72,5498900,75.72
2016-07-19,71.47,72.06,70.94,71.65,2152400,71.65
2016-07-18,71.48,72.00,71.27,71.73,1710600,71.73
2016-07-15,70.94,71.28,70.59,71.19,2277500,71.19
2016-07-14,71.23,71.54,70.52,71.32,2088100,71.32
2016-07-13,70.52,70.87,70.25,70.40,2579800,70.40
2016-07-12,70.38,71.21,70.25,70.86,2072300,70.86
2016-07-11,70.08,70.69,69.73,70.60,1949700,70.60
2016-07-08,67.39,69.49,67.33,69.37,3475000,69.37
2016-07-07,67.24,67.71,67.00,67.40,2693300,67.40
2016-07-06,66.37,67.26,66.19,66.70,2976500,66.70
2016-07-05,66.59,67.35,66.52,67.01,2612600,67.01
2016-07-04,67.46,67.94,67.04,67.26,1156000,67.26
2016-07-01,67.44,67.83,66.28,67.40,2630900,67.40
2016-06-30,66.97,67.58,66.46,67.16,3525800,67.16
