Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,21.325,21.70,20.995,21.46,2686300,21.46
2016-10-26,21.83,21.845,21.09,21.35,2917100,21.35
2016-10-25,22.415,22.68,21.73,21.91,3951200,21.91
2016-10-24,22.44,22.99,22.44,22.62,1667100,22.62
2016-10-21,22.085,22.445,22.00,22.315,1975100,22.315
2016-10-20,22.23,22.29,21.70,21.995,2166200,21.995
2016-10-19,22.025,22.235,21.945,22.10,1231300,22.10
2016-10-18,22.06,22.315,21.94,22.06,1299600,22.06
2016-10-17,21.90,22.06,21.745,21.85,1148100,21.85
2016-10-14,21.63,22.125,21.605,21.925,1652300,21.925
2016-10-13,21.99,21.99,21.385,21.48,2048100,21.48
2016-10-12,22.14,22.375,22.06,22.235,1348700,22.235
2016-10-11,22.40,22.67,22.07,22.145,2428800,22.145
2016-10-10,21.925,22.57,21.88,22.44,2856000,22.44
2016-10-07,21.50,22.025,21.43,21.825,2901500,21.825
2016-10-06,21.72,21.75,21.385,21.43,1621400,21.43
2016-10-05,21.25,21.73,21.09,21.595,1780400,21.595
2016-10-04,21.17,21.63,21.12,21.445,2307700,21.445
2016-10-03,21.22,21.22,21.22,21.22,000,21.22
2016-09-30,20.85,21.27,20.615,21.22,2132200,21.22
2016-09-29,21.39,21.71,21.165,21.265,1239900,21.265
2016-09-28,20.87,21.35,20.87,21.10,1235300,21.10
2016-09-27,21.20,21.25,20.68,20.83,1383100,20.83
2016-09-26,20.935,21.08,20.695,21.08,2007300,21.08
2016-09-23,21.25,21.305,21.09,21.135,1440600,21.135
2016-09-22,21.00,21.465,20.94,21.245,2096300,21.245
2016-09-21,20.675,20.785,20.515,20.665,1315900,20.665
2016-09-20,20.78,20.895,20.435,20.47,1572900,20.47
2016-09-19,20.40,20.92,20.385,20.825,1795700,20.825
2016-09-16,20.55,20.565,20.085,20.285,4108900,20.285
2016-09-15,20.42,20.705,20.255,20.615,2472400,20.615
2016-09-14,20.495,20.765,20.325,20.435,1755300,20.435
2016-09-13,20.93,20.945,20.355,20.395,1942900,20.395
2016-09-12,21.05,21.08,20.515,20.775,2470300,20.775
2016-09-09,21.89,21.925,21.385,21.45,1356900,21.45
2016-09-08,22.215,22.35,21.90,22.01,2163300,22.01
2016-09-07,21.925,22.395,21.875,22.265,1526600,22.265
2016-09-06,21.95,22.175,21.785,21.835,1882400,21.835
2016-09-05,21.75,22.065,21.73,21.90,1539700,21.90
2016-09-02,21.26,21.68,20.955,21.635,1544300,21.635
2016-09-01,20.925,21.41,20.92,21.145,1608800,21.145
2016-08-31,21.02,21.195,20.825,20.895,1496200,20.895
2016-08-30,21.185,21.385,21.02,21.05,1047500,21.05
2016-08-29,21.13,21.165,20.87,21.075,815500,21.075
2016-08-26,21.11,21.45,20.975,21.34,1127600,21.34
2016-08-25,21.14,21.215,20.84,21.15,1399700,21.15
2016-08-24,21.25,21.445,20.95,21.215,1150500,21.215
