Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,32.13,32.475,31.295,31.445,1637300,31.445
2016-10-26,32.90,32.915,32.075,32.20,1072300,32.20
2016-10-25,32.78,33.13,32.74,32.935,1102400,32.935
2016-10-24,32.805,32.98,32.615,32.76,1195600,32.76
2016-10-21,32.67,32.73,32.48,32.645,1458400,32.645
2016-10-20,32.00,32.705,31.90,32.59,1665000,32.59
2016-10-19,32.085,32.085,31.885,32.015,970700,32.015
2016-10-18,31.51,32.055,31.51,32.04,1293000,32.04
2016-10-17,31.655,31.71,31.365,31.405,1001600,31.405
2016-10-14,31.73,31.805,31.34,31.68,1274400,31.68
2016-10-13,31.12,31.615,31.04,31.60,1603300,31.60
2016-10-12,31.70,31.70,31.15,31.185,2035700,31.185
2016-10-11,32.175,32.34,31.665,31.665,1514200,31.665
2016-10-10,31.915,32.22,31.785,32.145,1331100,32.145
2016-10-07,31.685,32.22,31.50,31.82,1990000,31.82
2016-10-06,32.395,32.515,31.44,31.60,2600200,31.60
2016-10-05,33.05,33.175,32.23,32.265,2500200,32.265
2016-10-04,33.795,33.935,33.085,33.305,1860200,33.305
2016-10-03,33.705,33.705,33.705,33.705,000,33.705
2016-09-30,33.34,33.87,33.285,33.705,1718300,33.705
2016-09-29,34.585,34.72,33.665,33.75,927100,33.75
2016-09-28,34.50,34.59,34.235,34.295,657200,34.295
2016-09-27,34.285,34.485,33.925,34.485,1117300,34.485
2016-09-26,34.16,34.28,33.945,34.115,843400,34.115
2016-09-23,34.43,34.50,34.22,34.345,839900,34.345
2016-09-22,33.99,34.395,33.79,34.395,1143500,34.395
2016-09-21,34.43,34.445,33.69,33.75,1014800,33.75
2016-09-20,33.915,34.50,33.765,34.22,1068400,34.22
2016-09-19,34.365,34.475,33.575,33.865,1330600,33.865
2016-09-16,33.72,34.19,33.675,34.165,2670100,34.165
2016-09-15,33.55,33.605,33.36,33.45,831900,33.45
2016-09-14,33.475,33.70,33.30,33.53,1514900,33.53
2016-09-13,33.835,33.845,33.32,33.40,1426700,33.40
2016-09-12,32.73,33.565,32.63,33.55,2102700,33.55
2016-09-09,34.26,34.33,33.03,33.075,2305300,33.075
2016-09-08,34.95,35.11,34.34,34.40,1899400,34.40
2016-09-07,34.71,34.975,34.625,34.945,1376100,34.945
2016-09-06,34.70,34.795,34.40,34.655,1808000,34.655
2016-09-05,35.50,35.755,34.485,34.62,1936900,34.62
2016-09-02,35.155,35.50,34.985,35.40,995200,35.40
2016-09-01,35.00,35.37,34.83,34.985,1031600,34.985
2016-08-31,35.16,35.18,34.885,34.885,1176900,34.885
2016-08-30,35.675,35.795,35.13,35.185,757000,35.185
2016-08-29,35.20,35.615,34.93,35.565,457700,35.565
2016-08-26,35.50,35.65,35.155,35.425,745400,35.425
2016-08-25,35.53,35.605,35.20,35.58,798700,35.58
2016-08-24,35.965,36.05,35.595,35.66,629300,35.66
2016-08-23,36.06,36.225,35.925,36.08,602600,36.08
2016-08-22,36.185,36.335,35.54,35.915,693700,35.915
2016-08-19,36.16,36.435,35.895,36.12,900700,36.12
2016-08-18,36.025,36.165,35.875,36.00,1019200,36.00
2016-08-17,36.235,36.29,35.715,35.77,875000,35.77
2016-08-16,36.545,36.81,36.045,36.25,810400,36.25
2016-08-15,36.90,37.00,36.62,36.81,373400,36.81
2016-08-12,36.885,36.92,36.30,36.795,790700,36.795
2016-08-11,36.50,36.81,36.305,36.81,914800,36.81
2016-08-10,36.325,36.41,35.965,36.34,868700,36.34
2016-08-09,35.35,36.305,35.26,36.265,1259400,36.265
2016-08-08,35.62,35.725,35.01,35.44,1060100,35.44
2016-08-05,35.80,35.90,35.44,35.455,1197200,35.455
2016-08-04,35.55,35.69,34.765,35.69,1369500,35.69
2016-08-03,35.305,35.48,35.09,35.235,916200,35.235
2016-08-02,36.00,36.105,34.855,35.135,1432900,35.135
2016-08-01,35.84,36.185,35.365,35.56,1378700,35.56
2016-07-29,34.95,35.45,34.885,35.45,1454100,35.45
2016-07-28,34.185,34.96,34.045,34.92,1349800,34.92
2016-07-27,34.43,34.535,34.21,34.295,792400,34.295
2016-07-26,33.94,34.32,33.90,34.185,632800,34.185
2016-07-25,33.68,34.005,33.52,34.005,858500,34.005
2016-07-22,33.08,33.69,33.00,33.61,731700,33.61
2016-07-21,33.33,33.405,33.04,33.23,1242600,33.23
2016-07-20,33.455,33.69,33.355,33.56,881500,33.56
2016-07-19,33.33,33.525,33.205,33.49,633300,33.49
2016-07-18,33.40,33.565,33.135,33.37,823600,33.37
2016-07-15,33.11,33.57,32.955,33.275,1127000,33.275
2016-07-14,33.125,33.18,32.81,33.00,1096000,33.00
2016-07-13,32.485,32.81,32.335,32.765,926800,32.765
2016-07-12,32.905,33.115,32.485,32.485,1285700,32.485
2016-07-11,32.535,33.155,32.475,33.00,919300,33.00
2016-07-08,31.765,32.67,31.705,32.60,1018800,32.60
2016-07-07,32.48,32.52,31.835,31.915,1292500,31.915
2016-07-06,32.325,32.63,32.245,32.275,1225000,32.275
2016-07-05,32.48,32.625,32.245,32.565,1196300,32.565
2016-07-04,32.71,32.885,32.29,32.56,1026600,32.56
2016-07-01,33.00,33.08,32.57,32.615,1612200,32.615
2016-06-30,32.65,33.03,32.525,32.75,2133900,32.75
2016-06-29,32.44,32.73,32.305,32.685,1401600,32.685
2016-06-28,32.90,33.10,32.035,32.14,1798600,32.14
2016-06-27,32.48,32.78,32.02,32.245,2603700,32.245
2016-06-24,30.00,31.90,29.75,31.50,2749500,31.50
2016-06-23,31.875,32.65,31.595,31.795,1381600,31.795
2016-06-22,31.515,32.02,31.445,31.78,1015300,31.78
2016-06-21,31.295,31.56,31.28,31.365,1030700,31.365
2016-06-20,31.00,31.45,30.955,31.43,910300,31.43
2016-06-17,30.77,30.835,30.36,30.495,1562400,30.495
2016-06-16,30.20,30.795,30.20,30.625,1357800,30.625
2016-06-15,30.62,30.765,30.25,30.555,1035600,30.555
2016-06-14,30.875,31.085,30.345,30.405,1214900,30.405
2016-06-13,31.01,31.24,30.935,30.97,981700,30.97
2016-06-10,31.995,32.13,31.37,31.415,973800,31.415
2016-06-09,32.095,32.38,31.85,32.205,967400,32.205
2016-06-08,31.88,32.25,31.82,32.12,1261200,32.12
2016-06-07,31.425,31.96,31.365,31.96,1337800,31.96
2016-06-06,31.225,31.545,30.98,31.325,670000,31.325
2016-06-03,30.99,31.54,30.875,31.25,962000,31.25
2016-06-02,31.12,31.12,30.575,30.90,824800,30.90
2016-06-01,30.86,31.075,30.685,31.075,1082800,31.075
2016-05-31,31.195,31.25,30.795,30.805,1549300,30.805
2016-05-30,31.075,31.335,31.05,31.195,441700,31.195
2016-05-27,30.845,31.135,30.72,31.10,796100,31.10
2016-05-26,30.60,30.945,30.575,30.945,662200,30.945
2016-05-25,31.005,31.03,30.50,30.66,994400,30.66
2016-05-24,30.02,30.755,29.90,30.72,1068300,30.72
2016-05-23,30.415,30.47,30.105,30.165,973600,30.165
2016-05-20,30.105,30.38,30.00,30.265,973500,30.265
2016-05-19,30.385,30.385,29.875,29.90,900800,29.90
2016-05-18,29.895,30.425,29.705,30.40,1413200,30.40
2016-05-17,30.275,30.56,30.005,30.08,1055100,30.08
2016-05-16,29.975,29.975,29.975,29.975,000,29.975
2016-05-13,29.35,30.01,29.24,29.975,1816000,29.975
2016-05-12,30.78,30.78,29.92,30.15,1748900,29.21
2016-05-11,30.23,30.39,30.045,30.39,1007400,29.4425
2016-05-10,30.50,30.68,30.135,30.21,729400,29.2681
2016-05-09,29.785,30.685,29.745,30.32,1443000,29.3747
2016-05-06,29.575,29.745,29.475,29.63,836700,28.7062
2016-05-05,29.375,29.81,29.375,29.695,850000,28.7692
2016-05-04,29.40,29.62,29.28,29.365,841100,28.4495
2016-05-03,29.68,29.735,29.29,29.45,985700,28.5318
2016-05-02,29.315,29.83,29.315,29.81,776100,28.8806
2016-04-29,29.48,29.81,29.385,29.385,1172400,28.4689
2016-04-28,29.54,29.865,29.30,29.835,808100,28.9048
2016-04-27,29.71,29.82,29.485,29.605,883400,28.682
2016-04-26,29.625,29.88,29.42,29.585,1127100,28.6626
2016-04-25,29.52,29.82,29.395,29.45,1322200,28.5318
2016-04-22,29.695,29.82,29.345,29.40,1386600,28.4834
2016-04-21,30.63,30.69,29.625,29.675,2092800,28.7498
2016-04-20,30.91,31.085,30.635,30.635,1187300,29.6799
2016-04-19,31.155,31.185,30.895,30.975,1535000,30.0093
2016-04-18,30.765,31.12,30.755,30.945,802700,29.9802
2016-04-15,30.96,31.085,30.71,31.015,1251400,30.048
2016-04-14,31.605,31.665,30.845,30.955,1326400,29.9899
2016-04-13,31.93,31.93,31.285,31.435,1514300,30.4549
2016-04-12,32.295,32.295,31.515,31.515,1458700,30.5324
2016-04-11,32.085,32.50,31.765,32.305,1088000,31.2978
2016-04-08,31.94,32.235,31.855,32.17,1183100,31.167
2016-04-07,31.88,32.105,31.71,31.86,1187100,30.8667
2016-04-06,31.60,31.85,31.385,31.81,900500,30.8182
2016-04-05,31.015,31.68,31.01,31.44,1173400,30.4598
2016-04-04,31.205,31.645,31.08,31.455,976500,30.4743
2016-04-01,31.34,31.74,31.255,31.355,1729300,30.3774
2016-03-31,31.70,31.815,31.37,31.625,1198900,30.639
2016-03-30,31.61,31.875,31.545,31.76,1490900,30.7698
2016-03-29,30.84,31.445,30.80,31.445,1125100,30.4646
2016-03-28,30.70,30.70,30.70,30.70,000,29.7429
2016-03-25,30.70,30.70,30.70,30.70,000,29.7429
2016-03-24,31.23,31.265,30.70,30.70,1281600,29.7429
2016-03-23,31.495,31.705,31.15,31.305,1231900,30.329
2016-03-22,31.24,31.24,30.72,31.205,1259000,30.2321
2016-03-21,31.065,31.70,31.00,31.45,856900,30.4695
2016-03-18,32.075,32.31,30.99,31.285,3157100,30.3096
2016-03-17,31.69,32.125,31.32,32.125,1458200,31.1234
2016-03-16,31.00,31.57,31.00,31.50,1113300,30.5179
2016-03-15,30.765,30.98,30.73,30.93,1467000,29.9657
2016-03-14,30.57,30.85,30.395,30.85,1562200,29.8882
2016-03-11,29.535,30.27,29.41,30.26,1549100,29.3166
2016-03-10,28.935,30.09,28.885,29.15,2020800,28.2412
2016-03-09,29.10,29.46,28.86,28.95,1181700,28.0474
2016-03-08,29.06,29.15,28.56,29.00,1027500,28.0959
2016-03-07,29.10,29.34,28.98,29.165,684800,28.2557
2016-03-04,29.41,29.69,29.06,29.235,1033500,28.3235
2016-03-03,29.30,29.465,28.915,29.20,1252000,28.2896
2016-03-02,29.31,29.565,28.78,29.00,1369700,28.0959
2016-03-01,28.82,29.39,28.555,29.18,1473300,28.2702
2016-02-29,28.25,28.78,27.85,28.72,1457200,27.8246
2016-02-26,28.53,28.78,28.25,28.37,634600,27.4855
2016-02-25,27.975,28.375,27.945,28.235,837400,27.3547
2016-02-24,28.405,28.59,27.44,27.55,1012200,26.6911
2016-02-23,28.575,28.735,28.415,28.475,769200,27.5872
2016-02-22,28.50,28.845,28.50,28.725,679200,27.8294
2016-02-19,27.79,28.30,27.66,28.265,1183100,27.3838
2016-02-18,27.55,27.92,27.50,27.745,1015200,26.88
2016-02-17,26.78,27.54,26.78,27.50,866600,26.6426
2016-02-16,27.235,27.255,26.625,26.74,1198700,25.9063
2016-02-15,27.175,27.34,26.945,27.12,1080500,26.2745
2016-02-12,26.33,26.615,26.255,26.49,1125500,25.6641
2016-02-11,26.55,26.82,26.21,26.21,1609700,25.3928
2016-02-10,25.74,27.245,25.695,26.855,2203400,26.0177
2016-02-09,25.53,25.715,25.09,25.60,1864700,24.8019
2016-02-08,27.005,27.105,25.50,25.64,1715000,24.8406
2016-02-05,27.805,27.92,26.89,26.89,1456900,26.0516
2016-02-04,28.47,28.625,27.795,27.825,1430600,26.9575
2016-02-03,28.245,28.28,27.595,28.00,1287400,27.127
2016-02-02,27.975,28.26,27.875,28.20,1371400,27.3208
2016-02-01,27.985,28.11,27.705,28.03,1123300,27.1561
2016-01-29,27.145,28.11,27.03,28.01,1952000,27.1367
2016-01-28,26.945,27.37,26.785,26.835,1081100,25.9984
2016-01-27,27.48,27.705,26.88,27.07,1177900,26.226
2016-01-26,27.24,27.435,26.83,27.35,1883900,26.4973
2016-01-25,27.36,27.755,27.20,27.63,1338300,26.7686
2016-01-22,26.40,27.88,26.40,27.37,2991100,26.5167
2016-01-21,25.03,26.01,24.95,25.94,2139200,25.1313
2016-01-20,25.435,25.70,24.92,24.99,1886100,24.2109
2016-01-19,25.875,26.06,25.785,26.00,1501400,25.1894
2016-01-18,25.41,25.82,25.32,25.39,1229100,24.5984
2016-01-15,26.00,26.20,25.15,25.415,2030400,24.6226
2016-01-14,26.485,26.60,26.015,26.10,1628500,25.2863
2016-01-13,26.94,27.18,26.58,26.605,1087200,25.7755
2016-01-12,26.40,27.27,26.25,26.715,1255000,25.8821
2016-01-11,26.25,26.895,26.15,26.385,1633400,25.5624
2016-01-08,26.715,26.935,26.28,26.28,1270000,25.4607
2016-01-07,26.70,26.94,26.185,26.705,2185300,25.8724
2016-01-06,27.63,27.65,27.015,27.215,1384500,26.3665
2016-01-05,28.065,28.145,27.60,27.79,1151900,26.9236
2016-01-04,27.695,27.955,27.20,27.605,2015700,26.7443
2016-01-01,28.55,28.55,28.55,28.55,000,27.6599
2015-12-31,28.55,28.55,28.55,28.55,000,27.6599
2015-12-30,28.59,28.75,28.32,28.55,577500,27.6599
