Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,52.24,53.44,51.69,53.40,701200,53.40
2016-10-26,52.30,52.42,50.61,52.05,503900,52.05
2016-10-25,54.55,54.69,50.56,52.10,751300,52.10
2016-10-24,53.71,54.37,53.32,53.36,448500,53.36
2016-10-21,53.28,54.13,52.88,53.37,621000,53.37
2016-10-20,54.62,54.62,52.57,53.23,596300,53.23
2016-10-19,54.74,55.65,53.37,54.50,709600,54.50
2016-10-18,54.40,55.42,54.15,54.96,295200,54.96
2016-10-17,53.44,54.20,53.06,53.90,434500,53.90
2016-10-14,53.12,54.32,53.12,53.92,530800,53.92
2016-10-13,54.11,54.34,52.47,52.79,781500,52.79
2016-10-12,52.53,54.37,52.32,53.44,362800,53.44
2016-10-11,52.40,53.21,51.91,52.41,369400,52.41
2016-10-10,51.50,52.97,51.42,52.57,497400,52.57
2016-10-07,53.77,53.77,50.89,51.30,1086300,51.30
2016-10-06,54.03,54.53,53.34,53.68,422800,53.68
2016-10-05,52.21,53.70,52.00,53.30,580900,53.30
2016-10-04,54.00,54.00,52.35,52.40,756200,52.40
2016-10-03,52.63,52.63,52.63,52.63,000,52.63
2016-09-30,50.51,52.80,50.34,52.63,636200,52.63
2016-09-29,51.53,51.63,50.97,51.20,313900,51.20
2016-09-28,50.06,51.32,50.02,50.93,435600,50.93
2016-09-27,48.40,49.89,48.40,49.89,556300,49.89
2016-09-26,48.00,48.68,47.44,48.255,415900,48.255
2016-09-23,48.28,48.35,47.605,48.155,484500,48.155
2016-09-22,48.30,48.56,47.725,48.425,447300,48.425
2016-09-21,46.50,48.10,46.175,47.585,554300,47.585
2016-09-20,46.40,46.535,45.825,46.00,491100,46.00
2016-09-19,45.00,46.715,44.665,46.605,697600,46.605
2016-09-16,43.955,44.725,43.575,44.69,932500,44.69
2016-09-15,43.05,44.56,42.88,44.55,680000,44.55
2016-09-14,42.755,43.265,42.565,43.005,416700,43.005
2016-09-13,42.40,42.705,42.145,42.57,383700,42.57
2016-09-12,42.28,42.49,41.725,42.025,614600,42.025
2016-09-09,43.77,43.85,42.645,42.665,601700,42.665
2016-09-08,45.03,45.225,43.755,43.82,360000,43.82
2016-09-07,45.00,45.45,44.735,44.90,413900,44.90
2016-09-06,45.125,45.305,44.545,44.86,351200,44.86
2016-09-05,44.25,45.235,44.25,44.90,396300,44.90
2016-09-02,44.95,44.95,42.86,44.25,1171100,44.25
2016-09-01,46.85,47.14,46.07,46.195,402700,46.195
2016-08-31,47.255,47.38,46.555,46.68,443200,46.68
2016-08-30,47.34,48.15,47.195,47.22,377600,47.22
2016-08-29,46.93,47.21,46.315,47.015,148400,47.015
2016-08-26,46.415,47.265,46.125,46.995,230800,46.995
2016-08-25,46.12,46.745,46.05,46.40,224800,46.40
2016-08-24,46.275,46.53,45.975,46.32,264700,46.32
2016-08-23,45.965,46.49,45.49,46.45,220100,46.45
2016-08-22,46.165,46.36,45.38,45.85,258500,45.85
2016-08-19,46.26,46.33,45.645,46.09,264300,46.09
2016-08-18,45.845,46.43,45.495,46.275,324900,46.275
2016-08-17,44.80,45.64,44.52,45.425,423100,45.425
2016-08-16,45.16,45.565,44.89,44.945,331300,44.945
2016-08-15,45.20,45.525,44.79,44.895,300000,44.895
2016-08-12,45.635,45.775,44.745,45.20,251800,45.20
2016-08-11,44.80,45.625,44.625,45.58,248500,45.58
2016-08-10,44.86,45.155,44.26,44.55,473700,44.55
2016-08-09,43.43,44.855,43.265,44.85,401300,44.85
2016-08-08,43.10,43.68,43.095,43.32,262200,43.32
2016-08-05,42.675,43.315,42.675,43.00,257300,43.00
2016-08-04,42.75,43.27,42.29,42.65,339800,42.65
2016-08-02,42.04,42.385,41.585,41.98,303200,41.98
2016-08-01,41.945,42.58,41.78,42.42,422700,42.42
2016-07-29,41.275,42.00,40.90,41.78,799700,41.78
2016-07-28,41.38,42.39,40.935,40.995,616900,40.995
2016-07-27,40.90,41.865,40.465,41.245,979300,41.245
2016-07-26,42.22,42.74,39.965,41.745,1010700,41.745
2016-07-25,40.935,41.33,40.64,41.055,430900,41.055
2016-07-22,40.52,41.245,40.205,40.84,277200,40.84
2016-07-21,40.925,41.17,40.05,40.68,379800,40.68
2016-07-20,41.45,41.555,40.91,41.555,225700,41.555
2016-07-19,41.07,41.39,40.505,41.24,347600,41.24
2016-07-18,40.85,41.315,40.665,41.065,344000,41.065
2016-07-15,40.675,41.00,40.055,40.66,333400,40.66
2016-07-14,40.715,41.53,40.42,40.95,564400,40.95
2016-07-13,41.035,41.805,40.70,41.30,427000,41.30
2016-07-12,40.985,41.66,40.775,40.895,349700,40.895
2016-07-11,39.24,40.995,39.24,40.995,548900,40.995
2016-07-08,39.105,39.185,38.29,38.95,405500,38.95
