Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,91.78,92.03,91.61,91.61,600,91.61
2016-10-26,92.44,92.45,92.08,92.10,500,92.10
2016-10-25,54.67,54.67,52.93,53.35,131500,53.35
2016-10-24,54.38,54.86,54.34,54.75,72500,54.75
2016-10-21,93.45,93.45,93.17,93.17,4100,93.17
2016-10-20,92.63,93.29,92.63,93.29,100,93.29
2016-10-19,53.70,54.25,53.66,54.18,72500,54.18
2016-10-18,53.15,53.80,53.04,53.53,60900,53.53
2016-10-17,93.13,93.13,93.11,93.11,000,93.11
2016-10-14,92.80,92.90,92.80,92.90,100,92.90
2016-10-13,52.14,52.42,51.77,52.36,66400,52.36
2016-10-12,52.91,52.91,52.15,52.48,112900,52.48
2016-10-11,93.12,93.69,92.72,92.72,300,92.72
2016-10-10,90.91,93.48,90.91,93.48,800,93.48
2016-10-07,93.48,93.79,93.40,93.68,400,93.68
2016-10-06,94.27,94.31,93.55,93.65,1700,93.65
2016-10-05,96.22,96.22,96.22,96.22,000,96.22
2016-10-04,96.61,97.75,96.61,97.75,800,97.75
2016-10-03,94.76,94.76,94.76,94.76,000,94.76
2016-09-30,94.17,94.76,94.14,94.76,200,94.76
2016-09-29,96.88,96.88,95.43,95.43,1400,95.43
2016-09-28,94.49,96.10,94.49,95.25,300,95.25
2016-09-27,94.00,94.00,93.50,93.50,100,93.50
2016-09-26,95.55,95.55,94.48,94.48,200,94.48
2016-09-23,96.80,96.80,96.36,96.38,300,96.38
2016-09-22,96.94,96.97,96.94,96.97,400,96.97
2016-09-21,96.00,96.00,96.00,96.00,700,96.00
2016-09-20,96.99,96.99,96.18,96.18,800,96.18
2016-09-19,96.55,96.67,96.55,96.67,400,96.67
2016-09-16,97.02,97.02,96.49,96.49,000,96.49
2016-09-15,97.84,97.84,97.23,97.23,600,97.23
2016-09-14,98.25,98.25,97.74,97.74,400,97.74
2016-09-13,94.77,99.22,94.49,99.22,2300,99.22
2016-09-12,94.80,94.80,94.00,94.00,600,94.00
2016-09-09,97.09,97.10,95.62,95.94,600,95.94
2016-09-08,54.65,55.52,54.54,55.39,226500,55.39
2016-09-07,98.96,99.14,98.90,98.90,000,98.90
2016-09-06,98.89,98.89,98.89,98.89,000,98.89
2016-09-05,99.03,99.11,98.71,98.81,400,98.81
2016-09-02,98.48,98.48,98.48,98.48,000,98.48
2016-09-01,99.39,99.39,97.73,97.73,1200,97.73
2016-08-31,51.81,52.90,51.80,52.30,127400,52.30
2016-08-30,51.47,52.01,51.43,51.50,86800,51.50
2016-08-29,50.90,51.31,50.64,51.30,67800,51.30
2016-08-26,97.14,98.91,97.14,98.74,1000,98.74
2016-08-25,97.00,97.39,97.00,97.39,200,97.39
2016-08-24,50.21,51.42,50.04,51.23,90300,51.23
2016-08-23,97.26,97.26,97.26,97.26,000,97.26
2016-08-22,98.82,98.82,97.26,97.26,600,97.26
2016-08-19,98.25,98.47,98.00,98.00,300,98.00
2016-08-18,99.01,99.01,99.01,99.01,000,99.01
2016-08-17,99.44,99.44,98.40,98.47,300,98.47
2016-08-16,97.64,99.84,97.64,99.84,6600,99.84
2016-08-15,97.19,97.54,96.86,97.01,400,97.01
2016-08-12,97.06,97.15,97.01,97.01,200,97.01
2016-08-11,96.78,96.78,96.78,96.78,000,96.78
2016-08-10,95.80,96.12,95.80,96.12,400,96.12
2016-08-09,93.82,93.82,93.82,93.82,000,93.82
2016-08-08,93.69,93.93,93.69,93.82,2100,93.82
2016-08-05,92.11,92.81,92.00,92.80,400,92.80
2016-08-04,92.24,92.24,91.31,91.31,100,91.31
2016-08-03,91.50,92.31,91.50,92.31,1100,92.31
2016-08-02,93.15,93.15,91.51,91.99,800,91.99
2016-08-01,94.19,94.19,92.10,92.10,600,92.10
2016-07-29,95.46,95.59,94.69,95.59,000,95.59
2016-07-28,96.56,96.56,95.55,95.55,200,95.55
2016-07-27,96.16,97.65,96.16,97.65,1900,97.65
2016-07-26,95.65,95.65,95.65,95.65,200,95.65
2016-07-25,96.62,96.62,95.94,95.94,100,95.94
2016-07-22,95.36,95.36,95.36,95.36,000,95.36
2016-07-21,95.09,95.09,95.09,95.09,000,95.09
2016-07-20,95.69,95.69,95.69,95.69,000,95.69
2016-07-19,94.50,94.50,94.50,94.50,000,94.50
2016-07-18,96.58,96.58,95.78,95.78,300,95.78
2016-07-15,95.10,95.91,95.10,95.91,900,95.91
2016-07-14,94.18,94.90,94.18,94.90,300,94.90
2016-07-13,93.70,93.70,93.70,93.70,000,93.70
2016-07-12,93.31,93.55,93.31,93.50,600,93.50
2016-07-11,90.81,92.21,90.81,92.21,800,92.21
2016-07-08,89.50,90.96,89.50,90.08,800,90.08
2016-07-07,89.92,90.48,89.00,89.94,1800,89.94
2016-07-06,92.23,92.23,90.29,90.30,300,90.30
2016-07-05,92.77,92.85,92.67,92.85,000,92.85
2016-07-04,94.44,94.44,94.44,94.44,000,94.44
2016-07-01,94.25,94.25,94.25,94.25,000,94.25
2016-06-30,93.44,93.44,93.06,93.06,000,93.06
2016-06-29,92.21,92.21,92.21,92.21,000,92.21
2016-06-28,90.11,90.68,90.00,90.00,1600,90.00
2016-06-27,90.85,91.52,88.41,88.66,1400,88.66
2016-06-24,95.52,104.90,89.57,90.95,4900,90.95
2016-06-23,94.95,96.16,94.95,95.66,500,95.66
2016-06-22,94.56,94.56,94.56,94.56,000,94.56
2016-06-21,93.85,94.54,93.85,94.54,500,94.54
2016-06-20,93.47,94.05,93.47,94.05,100,94.05
2016-06-17,92.29,92.29,91.00,91.00,500,91.00
2016-06-16,91.42,91.42,90.83,90.83,400,90.83
2016-06-15,91.75,92.18,91.72,91.72,300,91.72
2016-06-14,91.00,91.18,90.90,90.94,1200,90.94
2016-06-13,92.54,92.54,92.10,92.44,400,92.44
2016-06-10,93.79,93.79,92.65,93.25,1800,93.25
2016-06-09,94.14,94.45,94.14,94.45,200,94.45
2016-06-08,95.09,95.09,94.75,94.75,100,94.75
2016-06-07,95.53,95.75,95.46,95.46,100,95.46
2016-06-06,95.39,95.39,94.84,94.84,200,94.84
2016-06-03,97.34,97.34,95.80,95.80,100,95.80
2016-06-02,96.72,96.72,96.72,96.72,000,96.72
2016-06-01,96.70,96.72,96.09,96.72,1100,96.72
2016-05-31,97.70,97.70,96.70,96.70,200,96.70
2016-05-30,97.83,98.67,97.51,98.67,1700,98.67
2016-05-27,97.88,97.88,97.73,97.73,000,97.73
2016-05-26,97.73,97.73,97.70,97.70,000,97.70
2016-05-25,97.31,97.31,97.23,97.24,900,97.24
2016-05-24,95.73,97.11,95.73,97.11,200,97.11
2016-05-23,94.85,95.00,94.22,94.41,400,94.41
2016-05-20,97.10,97.15,96.70,96.88,1400,94.28
2016-05-19,96.15,96.15,95.64,95.64,000,93.0733
