Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,11.825,11.86,11.585,11.67,292600,11.67
2016-10-26,11.90,11.94,11.72,11.815,289600,11.815
2016-10-25,11.95,12.00,11.915,11.955,366700,11.955
2016-10-24,12.00,12.055,11.92,11.965,276000,11.965
2016-10-21,12.055,12.055,11.895,11.965,298300,11.965
2016-10-20,11.985,12.05,11.935,12.03,228800,12.03
2016-10-19,12.09,12.09,11.92,11.985,183100,11.985
2016-10-18,12.01,12.11,11.985,12.09,468500,12.09
2016-10-17,11.95,12.005,11.87,11.95,375100,11.95
2016-10-14,11.915,11.97,11.82,11.96,412100,11.96
2016-10-13,11.64,11.83,11.605,11.825,272500,11.825
2016-10-12,11.63,11.68,11.59,11.645,367900,11.645
2016-10-11,11.55,11.83,11.52,11.65,624500,11.65
2016-10-10,11.485,11.59,11.43,11.55,465600,11.55
2016-10-07,11.45,11.46,11.24,11.44,503700,11.44
2016-10-06,11.65,11.65,11.35,11.40,652500,11.40
2016-10-05,11.88,11.89,11.55,11.56,456000,11.56
2016-10-04,12.155,12.245,11.785,11.865,671100,11.865
2016-10-03,12.22,12.22,12.22,12.22,000,12.22
2016-09-30,12.17,12.23,12.07,12.22,447900,12.22
2016-09-29,12.445,12.465,12.205,12.205,221400,12.205
2016-09-28,12.445,12.445,12.305,12.35,268200,12.35
2016-09-27,12.59,12.59,12.30,12.435,258100,12.435
2016-09-26,12.48,12.57,12.46,12.50,211400,12.50
2016-09-23,12.55,12.745,12.525,12.55,249300,12.55
2016-09-22,12.40,12.59,12.385,12.565,355400,12.565
2016-09-21,12.535,12.57,12.23,12.29,193200,12.29
2016-09-20,12.45,12.48,12.35,12.45,216200,12.45
2016-09-19,12.365,12.46,12.36,12.455,259900,12.455
2016-09-16,12.34,12.40,12.27,12.40,1368200,12.40
2016-09-15,12.50,12.50,12.315,12.405,436900,12.405
2016-09-14,12.535,12.56,12.44,12.50,284400,12.50
2016-09-13,12.63,12.63,12.46,12.52,346000,12.52
2016-09-12,12.505,12.555,12.43,12.515,472200,12.515
2016-09-09,12.55,12.645,12.515,12.59,572700,12.59
2016-09-08,12.75,12.815,12.61,12.665,207900,12.665
2016-09-07,12.70,12.765,12.66,12.75,270200,12.75
2016-09-06,12.80,12.80,12.595,12.695,605600,12.695
2016-09-05,12.65,12.70,12.59,12.595,208700,12.595
2016-09-02,12.675,12.675,12.55,12.65,219000,12.65
2016-09-01,12.585,12.615,12.50,12.60,215200,12.60
2016-08-31,12.59,12.74,12.50,12.50,765400,12.50
2016-08-30,12.73,12.74,12.595,12.595,253300,12.595
2016-08-29,12.565,12.72,12.50,12.69,132900,12.69
2016-08-26,12.595,12.655,12.50,12.55,262400,12.55
2016-08-25,12.645,12.675,12.58,12.65,185100,12.65
2016-08-24,12.635,12.715,12.59,12.68,217300,12.68
2016-08-23,12.64,12.74,12.615,12.655,165500,12.655
2016-08-22,12.565,12.60,12.47,12.575,171900,12.575
2016-08-19,12.60,12.67,12.54,12.585,239100,12.585
2016-08-18,12.40,12.595,12.40,12.575,256600,12.575
2016-08-17,12.58,12.58,12.405,12.41,189100,12.41
2016-08-16,12.63,12.63,12.445,12.515,175000,12.515
2016-08-15,12.60,12.725,12.555,12.62,214300,12.62
2016-08-12,12.45,12.64,12.38,12.64,210000,12.64
2016-08-11,12.52,12.52,12.39,12.45,163700,12.45
2016-08-10,12.40,12.48,12.30,12.48,348600,12.48
2016-08-09,12.55,12.55,12.315,12.41,202800,12.41
2016-08-08,12.55,12.55,12.35,12.45,138100,12.45
2016-08-05,12.41,12.495,12.375,12.495,120000,12.495
2016-08-04,12.305,12.435,12.21,12.35,268100,12.35
2016-08-03,12.425,12.475,12.235,12.265,168800,12.265
2016-08-02,12.475,12.54,12.365,12.445,238100,12.445
2016-08-01,12.485,12.675,12.45,12.53,252500,12.53
2016-07-29,12.465,12.48,12.37,12.45,271800,12.45
2016-07-28,12.455,12.53,12.41,12.44,821300,12.44
2016-07-27,12.48,12.48,12.37,12.45,248300,12.45
2016-07-26,12.51,12.52,12.40,12.435,367900,12.435
2016-07-25,12.46,12.52,12.415,12.49,247400,12.49
2016-07-22,12.21,12.475,12.21,12.435,658300,12.435
2016-07-21,12.40,12.455,12.21,12.27,1341100,12.27
