Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,32.465,33.005,32.385,32.87,360900,32.87
2016-10-26,32.305,32.74,32.245,32.45,291400,32.45
2016-10-25,32.30,32.50,32.08,32.44,328200,32.44
2016-10-24,31.865,32.445,31.865,32.115,313200,32.115
2016-10-21,31.63,31.94,31.51,31.675,136900,31.675
2016-10-20,31.25,31.775,31.22,31.70,289000,31.70
2016-10-19,30.925,31.325,30.825,31.23,210300,31.23
2016-10-18,30.25,31.14,30.25,30.905,405600,30.905
2016-10-17,30.00,30.28,29.785,30.055,238300,30.055
2016-10-14,29.50,30.315,29.50,30.025,286100,30.025
2016-10-13,29.725,29.74,29.36,29.41,257400,29.41
2016-10-12,29.945,30.245,29.765,29.975,228400,29.975
2016-10-11,30.15,30.195,29.90,29.97,182600,29.97
2016-10-10,30.00,30.435,29.685,30.30,285600,30.30
2016-10-07,29.92,30.34,29.765,30.08,302500,30.08
2016-10-06,29.94,30.09,29.745,29.94,249700,29.94
2016-10-05,29.14,29.88,29.035,29.84,274700,29.84
2016-10-04,29.38,29.59,29.11,29.27,253300,29.27
2016-10-03,29.39,29.39,29.39,29.39,000,29.39
2016-09-30,28.545,29.43,27.75,29.39,410300,29.39
2016-09-29,29.40,29.55,28.95,29.05,245100,29.05
2016-09-28,29.025,29.515,29.005,29.065,163400,29.065
2016-09-27,29.205,29.305,28.575,28.89,231400,28.89
2016-09-26,29.31,29.34,28.53,29.06,288500,29.06
2016-09-23,30.035,30.035,29.365,29.455,256200,29.455
2016-09-22,29.985,30.25,29.78,30.06,200800,30.06
2016-09-21,29.625,30.03,29.55,29.665,175100,29.665
2016-09-20,29.815,29.815,29.20,29.365,163900,29.365
2016-09-19,29.335,29.835,29.335,29.705,197100,29.705
2016-09-16,29.65,29.65,29.06,29.305,248200,29.305
2016-09-15,29.40,29.765,29.40,29.745,194200,29.745
2016-09-14,29.76,29.855,29.27,29.445,335900,29.445
2016-09-13,30.35,30.35,29.66,29.705,175400,29.705
2016-09-12,30.44,30.44,29.515,30.14,267900,30.14
2016-09-09,30.67,30.91,30.395,30.585,285200,30.585
2016-09-08,30.58,30.94,30.23,30.705,218800,30.705
2016-09-07,30.405,30.61,30.105,30.50,149100,30.50
2016-09-06,30.85,30.85,30.345,30.38,199000,30.38
2016-09-05,30.91,31.13,30.52,30.835,221700,30.835
2016-09-02,30.55,30.81,30.055,30.81,184100,30.81
2016-09-01,30.19,30.91,30.19,30.495,349300,30.495
2016-08-31,29.77,30.44,29.77,30.20,289100,30.20
2016-08-30,29.49,30.00,29.40,29.935,389800,29.935
2016-08-29,28.95,29.285,28.85,29.195,170900,29.195
2016-08-26,29.085,29.35,28.90,29.125,159800,29.125
2016-08-25,29.09,29.265,28.90,29.185,276200,29.185
2016-08-24,29.06,29.605,28.865,29.375,149700,29.375
2016-08-23,28.80,29.22,28.71,29.175,187300,29.175
2016-08-22,28.56,29.05,28.455,28.685,198700,28.685
2016-08-19,28.78,28.855,28.365,28.48,281700,28.48
2016-08-18,29.09,29.31,28.69,28.84,245900,28.84
2016-08-17,29.555,29.565,28.905,28.905,195100,28.905
2016-08-16,29.375,29.77,29.31,29.505,268700,29.505
2016-08-15,29.865,29.97,29.495,29.675,185100,29.675
2016-08-12,29.76,29.95,29.54,29.895,283300,29.895
2016-08-11,30.73,30.80,29.11,29.59,561200,29.59
2016-08-10,29.93,30.51,29.755,30.49,551500,30.49
2016-08-09,28.795,29.915,28.795,29.915,359400,29.915
2016-08-08,28.50,29.225,28.50,28.955,202900,28.955
2016-08-05,27.855,28.45,27.855,28.415,281700,28.415
2016-08-04,27.895,28.43,27.895,28.16,247100,28.16
2016-08-03,27.775,27.96,27.38,27.84,257600,27.84
2016-08-02,28.555,28.555,27.185,27.58,484000,27.58
2016-08-01,29.50,29.645,28.62,28.62,333200,28.62
2016-07-29,29.155,29.455,29.075,29.36,329000,29.36
2016-07-28,29.17,29.395,28.97,29.19,288300,29.19
2016-07-27,29.075,29.39,29.045,29.22,170900,29.22
2016-07-26,29.19,29.29,28.60,29.065,190700,29.065
