Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,48.27,49.09,48.07,48.835,205800,48.835
2016-10-26,48.21,48.545,47.70,48.32,218300,48.32
2016-10-25,48.785,49.785,48.335,48.475,465000,48.475
2016-10-24,51.37,51.72,50.73,50.80,203300,50.80
2016-10-21,50.74,51.11,50.58,50.98,208200,50.98
2016-10-20,50.92,50.95,50.55,50.81,141200,50.81
2016-10-19,50.43,50.83,49.95,50.70,224900,50.70
2016-10-18,51.09,51.28,50.12,50.36,337400,50.36
2016-10-17,51.31,51.37,51.02,51.09,254500,51.09
2016-10-14,50.49,51.56,50.49,51.45,209500,51.45
2016-10-13,49.825,50.44,49.60,50.37,176400,50.37
2016-10-12,49.74,50.44,49.555,50.18,220500,50.18
2016-10-11,50.03,50.47,49.705,49.735,231900,49.735
2016-10-10,49.55,50.02,49.33,49.90,269600,49.90
2016-10-07,49.90,49.905,49.305,49.505,286800,49.505
2016-10-06,49.85,50.10,49.645,49.96,262200,49.96
2016-10-05,49.53,49.77,49.20,49.705,230700,49.705
2016-10-04,48.585,50.14,48.585,49.93,335800,49.93
2016-10-03,48.605,48.605,48.605,48.605,000,48.605
2016-09-30,48.21,48.725,47.725,48.605,371700,48.605
2016-09-29,48.89,49.355,48.43,48.825,265800,48.825
2016-09-28,47.48,48.255,47.48,48.195,247600,48.195
2016-09-27,47.485,47.595,46.62,47.21,187300,47.21
2016-09-26,47.725,47.89,47.31,47.40,139300,47.40
2016-09-23,48.21,48.305,47.74,47.98,194600,47.98
2016-09-22,47.55,48.525,47.55,48.26,157000,48.26
2016-09-21,47.75,47.915,47.19,47.26,121900,47.26
2016-09-20,47.585,47.82,47.405,47.405,132900,47.405
2016-09-19,47.425,47.60,47.04,47.555,153800,47.555
2016-09-16,47.355,47.50,46.70,47.12,234100,47.12
2016-09-15,47.435,47.605,47.10,47.435,247800,47.435
2016-09-14,47.88,47.88,47.21,47.42,347200,47.42
2016-09-13,47.655,47.785,47.17,47.58,234300,47.58
2016-09-12,46.82,47.44,46.38,47.415,215400,47.415
2016-09-09,48.35,48.51,47.285,47.425,382000,47.425
2016-09-08,49.435,49.555,48.685,48.965,223300,48.965
2016-09-07,49.29,49.45,49.015,49.29,183400,49.29
2016-09-06,49.58,49.58,49.195,49.26,150000,49.26
2016-09-05,49.535,49.945,49.41,49.415,107300,49.415
2016-09-02,49.635,49.635,48.91,49.37,216300,49.37
2016-09-01,48.875,49.98,48.865,49.50,353300,49.50
2016-08-31,49.16,49.45,48.70,48.79,295900,48.79
2016-08-30,48.98,49.53,48.745,49.245,244800,49.245
2016-08-29,48.58,48.82,48.08,48.78,58100,48.78
2016-08-26,48.59,49.02,48.32,48.815,135900,48.815
2016-08-25,48.965,48.965,48.105,48.555,245000,48.555
2016-08-24,49.10,49.42,48.53,49.39,259300,49.39
2016-08-23,48.61,49.315,48.61,48.845,275900,48.845
2016-08-22,48.79,49.17,48.385,48.50,210600,48.50
2016-08-19,49.06,49.26,48.56,48.855,193600,48.855
2016-08-18,48.585,48.99,48.47,48.93,311900,48.93
2016-08-17,48.38,48.625,48.215,48.41,273600,48.41
2016-08-16,48.125,48.72,48.00,48.58,326200,48.58
2016-08-15,47.885,48.65,47.885,48.36,270400,48.36
2016-08-12,47.965,48.145,47.62,47.915,321500,47.915
2016-08-11,47.75,48.04,46.82,48.00,346800,48.00
2016-08-10,44.86,48.755,44.755,47.475,670200,47.475
2016-08-09,44.745,45.95,44.655,45.915,387600,45.915
2016-08-08,44.97,45.07,44.60,44.655,166800,44.655
2016-08-05,44.57,44.805,44.46,44.695,253900,44.695
2016-08-04,44.92,45.12,44.365,44.42,186900,44.42
2016-08-03,44.585,44.675,44.16,44.57,209900,44.57
2016-08-02,45.105,45.23,44.425,44.49,238800,44.49
2016-08-01,44.935,45.65,44.745,45.19,314600,45.19
2016-07-29,44.795,44.89,44.185,44.41,521600,44.41
2016-07-28,46.065,46.18,44.685,44.685,273600,44.685
2016-07-27,46.02,46.415,45.855,46.095,182400,46.095
2016-07-26,46.175,46.175,45.60,45.685,189000,45.685
2016-07-25,46.00,46.335,45.695,46.07,187000,46.07
2016-07-22,45.67,46.02,45.445,45.91,175100,45.91
2016-07-21,45.49,45.96,45.055,45.83,259900,45.83
2016-07-20,45.64,45.64,44.94,45.34,239900,45.34
2016-07-19,45.61,45.765,44.985,45.61,230400,45.61
2016-07-18,45.40,45.82,45.325,45.515,164600,45.515
2016-07-15,47.155,47.37,45.105,45.40,459800,45.40
2016-07-14,45.13,45.345,44.80,45.00,186700,45.00
2016-07-13,44.335,44.80,44.115,44.665,186600,44.665
