Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,56.33,58.86,56.33,57.98,853400,57.98
2016-10-26,53.96,56.58,53.85,56.50,662300,56.50
2016-10-25,54.81,55.00,53.85,53.94,264400,53.94
2016-10-24,55.00,55.24,54.32,54.50,419600,54.50
2016-10-21,54.64,55.15,53.98,55.00,427600,55.00
2016-10-20,55.00,55.00,53.75,54.50,653200,54.50
2016-10-19,53.31,54.71,53.20,54.16,464600,54.16
2016-10-18,53.50,53.69,53.07,53.24,365300,53.24
2016-10-17,52.90,53.39,52.89,53.24,391100,53.24
2016-10-14,52.71,53.77,52.26,53.35,557700,53.35
2016-10-13,50.68,51.25,50.15,51.25,284500,51.25
2016-10-12,50.43,51.54,50.30,51.02,332600,51.02
2016-10-11,49.49,50.76,49.385,50.42,485300,50.42
2016-10-10,49.00,49.29,48.645,48.995,261800,48.995
2016-10-07,50.40,50.40,48.305,48.86,372200,48.86
2016-10-06,50.96,51.04,50.30,50.35,258300,50.35
2016-10-05,50.00,50.99,49.96,50.66,292000,50.66
2016-10-04,48.85,50.53,48.85,50.30,343300,50.30
2016-10-03,49.225,49.225,49.225,49.225,000,49.225
2016-09-30,48.07,49.35,47.49,49.225,424500,49.225
2016-09-29,49.88,49.89,48.42,48.68,232600,48.68
2016-09-28,49.40,49.90,49.03,49.30,192400,49.30
2016-09-27,49.535,49.565,48.155,49.18,304200,49.18
2016-09-26,50.05,50.07,48.96,49.18,293600,49.18
2016-09-23,51.09,51.09,49.92,50.23,218400,50.23
2016-09-22,50.50,51.48,50.45,51.04,251700,51.04
2016-09-21,50.64,50.93,50.15,50.25,213400,50.25
2016-09-20,50.40,50.48,49.965,50.12,224500,50.12
2016-09-19,50.95,51.20,50.20,50.39,219500,50.39
2016-09-16,50.51,50.94,50.02,50.37,493800,50.37
2016-09-15,50.39,51.20,49.82,50.55,361900,50.55
2016-09-14,51.45,51.45,50.24,50.28,290300,50.28
2016-09-13,51.31,51.83,51.13,51.22,223000,51.22
2016-09-12,51.66,51.66,50.51,51.09,332800,51.09
2016-09-09,52.89,53.45,52.11,52.13,234200,52.13
2016-09-08,53.24,53.75,52.75,53.26,360900,53.26
2016-09-07,54.55,54.79,53.06,53.25,390900,53.25
2016-09-06,54.27,54.76,54.24,54.29,276900,54.29
2016-09-05,54.01,54.75,53.10,54.11,544400,54.11
2016-09-02,54.96,55.31,54.35,55.30,212700,55.30
2016-09-01,55.06,55.25,54.37,54.68,212800,54.68
2016-08-31,54.80,55.02,54.09,54.75,358300,54.75
2016-08-30,54.80,55.02,54.50,54.90,195500,54.90
2016-08-29,55.43,55.69,54.24,54.38,240800,54.38
2016-08-26,56.18,56.29,54.04,55.62,420200,55.62
2016-08-25,56.97,56.99,55.57,56.25,275300,56.25
2016-08-24,57.48,57.80,56.96,57.53,245900,57.53
2016-08-23,57.43,57.93,57.18,57.68,217300,57.68
2016-08-22,57.41,57.86,56.63,57.01,292300,57.01
2016-08-19,57.85,57.85,56.64,57.24,210300,57.24
2016-08-18,57.45,57.91,57.01,57.71,286900,57.71
2016-08-17,57.89,58.15,56.86,57.15,349800,57.15
2016-08-16,56.40,58.20,56.10,57.95,570300,57.95
2016-08-15,56.35,56.92,55.96,56.52,311600,56.52
2016-08-12,54.88,56.31,54.03,56.15,377200,56.15
2016-08-11,55.00,55.00,53.50,54.90,233600,54.90
2016-08-10,53.50,54.41,53.18,54.36,323900,54.36
2016-08-09,53.60,53.76,52.68,53.70,501500,53.70
2016-08-08,55.75,55.75,52.80,53.86,827400,53.86
2016-08-05,53.94,57.15,52.64,56.14,1453000,56.14
2016-08-04,53.10,53.68,52.07,52.25,430800,52.25
2016-08-03,52.57,53.14,52.21,53.14,235000,53.14
2016-08-02,53.10,53.10,51.86,52.71,281600,52.71
2016-08-01,53.20,53.52,52.87,53.25,279300,53.25
2016-07-29,52.74,53.05,52.37,53.05,302400,53.05
2016-07-28,52.49,53.25,52.16,52.47,295300,52.47
2016-07-27,50.90,52.73,50.84,52.60,401600,52.60
2016-07-26,50.50,50.59,50.01,50.34,278600,50.34
2016-07-25,50.36,51.07,50.03,50.62,274700,50.62
2016-07-22,50.52,50.86,50.03,50.19,217500,50.19
2016-07-21,50.35,51.24,50.25,50.74,340700,50.74
2016-07-20,49.84,50.38,49.37,50.30,222000,50.30
2016-07-19,49.80,50.10,49.12,49.525,227200,49.525
2016-07-18,49.12,50.02,48.92,49.79,279000,49.79
2016-07-15,49.90,49.905,48.365,48.86,390900,48.86
2016-07-14,49.94,50.26,49.105,50.06,277100,50.06
2016-07-13,49.20,49.915,48.875,49.375,343600,49.375
2016-07-12,48.445,50.27,48.445,49.22,397700,49.22
2016-07-11,47.99,48.78,47.07,48.605,359200,48.605
2016-07-08,47.625,48.375,47.295,48.075,368400,48.075
2016-07-07,46.525,47.885,46.115,47.53,542200,47.53
2016-07-06,46.90,47.375,46.00,46.44,588600,46.44
2016-07-05,48.10,48.15,46.60,47.20,497300,47.20
2016-07-04,50.29,50.29,48.52,48.59,261100,48.59
2016-07-01,51.01,51.29,49.13,50.21,446500,50.21
2016-06-30,50.00,51.17,49.525,50.90,804900,50.90
2016-06-29,49.25,49.89,47.80,49.89,663500,49.89
2016-06-28,48.00,49.635,47.81,48.725,695200,48.725
2016-06-27,50.40,50.42,46.38,46.725,851100,46.725
2016-06-24,51.72,52.12,50.00,50.09,1553300,50.09
2016-06-23,56.42,57.36,55.80,56.37,344200,56.37
2016-06-22,55.56,56.43,55.04,55.99,283700,55.99
2016-06-21,55.55,55.69,54.81,55.40,269300,55.40
2016-06-20,53.36,55.89,53.36,55.64,388600,55.64
2016-06-17,53.51,54.11,53.09,53.13,677900,53.13
2016-06-16,53.57,53.93,52.23,52.77,476000,52.77
2016-06-15,52.90,54.64,52.25,54.25,489200,54.25
2016-06-14,52.96,53.43,52.35,52.52,369600,52.52
2016-06-13,52.99,53.52,52.66,53.25,338700,53.25
2016-06-10,55.26,55.31,53.47,53.62,406600,53.62
2016-06-09,56.85,56.92,55.55,55.75,349800,55.75
2016-06-08,56.66,57.38,56.34,57.09,316300,57.09
2016-06-07,56.08,57.43,56.08,56.75,501400,56.75
2016-06-06,54.64,56.00,54.64,55.90,444400,55.90
2016-06-03,55.23,55.55,54.10,54.54,345500,54.54
2016-06-02,54.31,55.05,54.29,54.97,270000,54.97
2016-06-01,55.29,55.44,54.30,54.51,411000,54.51
2016-05-31,55.29,55.56,54.72,55.23,620800,55.23
2016-05-30,55.50,55.84,54.95,55.37,348400,55.37
2016-05-27,55.49,55.84,54.83,55.39,336200,55.39
2016-05-26,56.15,56.34,55.30,55.56,328600,55.56
2016-05-25,56.48,56.84,55.60,56.19,403200,56.19
2016-05-24,55.40,56.37,55.15,56.09,381900,56.09
2016-05-23,55.75,56.05,55.11,55.61,444000,55.61
2016-05-20,54.75,55.71,54.67,55.52,509400,55.52
2016-05-19,57.75,58.25,57.36,58.08,516800,54.46
2016-05-18,57.10,57.90,56.85,57.80,428200,54.197
2016-05-17,56.00,57.35,56.00,57.02,476200,53.466
2016-05-16,55.71,55.71,55.71,55.71,000,52.238
2016-05-13,55.80,55.85,54.56,55.71,624100,52.238
2016-05-12,55.84,56.77,55.15,55.65,348300,52.181
2016-05-11,57.50,57.50,55.46,55.89,465000,52.406
2016-05-10,54.92,56.50,54.74,56.42,480100,52.903
2016-05-09,54.60,54.79,53.57,54.18,376700,50.803
2016-05-06,55.29,55.34,53.50,53.97,483900,50.606
2016-05-05,55.89,56.25,55.24,55.39,305900,51.938
2016-05-04,56.80,57.15,55.05,55.66,475200,52.191
2016-05-03,55.40,58.23,54.85,57.65,817800,54.057
2016-05-02,55.01,56.79,55.01,56.10,225400,52.603
2016-04-29,56.05,56.30,55.33,55.69,363700,52.219
2016-04-28,56.44,56.87,55.67,56.40,338100,52.885
2016-04-27,56.96,56.99,56.34,56.61,303300,53.082
2016-04-26,56.93,57.15,56.24,56.62,311700,53.091
2016-04-25,57.05,57.14,56.14,56.38,365400,52.866
2016-04-22,57.62,57.86,55.90,56.68,510300,53.147
2016-04-21,60.00,60.00,57.78,58.16,679000,54.535
2016-04-20,60.80,61.03,60.03,60.86,352800,57.067
2016-04-19,60.00,61.86,60.00,61.04,431300,57.236
2016-04-18,58.80,59.84,58.50,59.75,268600,56.026
2016-04-15,58.50,59.85,58.06,59.40,387800,55.698
2016-04-14,58.98,59.00,57.73,58.60,445500,54.948
2016-04-13,58.08,59.25,57.68,58.88,548100,55.21
2016-04-12,56.50,57.49,55.89,57.29,320300,53.719
2016-04-11,56.39,57.50,55.81,56.47,501900,52.95
2016-04-08,56.13,56.98,55.86,56.30,495300,52.791
2016-04-07,55.12,56.24,54.75,55.76,359200,52.285
2016-04-06,54.30,55.15,53.91,54.88,352500,51.459
2016-04-05,55.05,55.12,53.87,53.91,433400,50.55
2016-04-04,56.16,56.25,55.12,55.43,357100,51.975
2016-04-01,56.90,57.73,55.81,56.05,466700,52.557
2016-03-31,57.00,58.11,55.66,57.64,493300,54.047
2016-03-30,55.01,57.41,55.01,57.00,431000,53.447
2016-03-29,54.46,55.55,54.07,54.69,480700,51.281
2016-03-28,54.02,54.02,54.02,54.02,000,50.653
2016-03-25,54.02,54.02,54.02,54.02,000,50.653
2016-03-24,55.30,55.53,53.81,54.02,427900,50.653
2016-03-23,55.97,56.80,55.46,55.84,312300,52.36
2016-03-22,56.68,56.68,55.11,55.58,384900,52.116
2016-03-21,58.00,58.37,56.35,56.95,441100,53.40
2016-03-18,56.55,58.30,56.29,57.94,586500,54.329
2016-03-17,57.50,57.50,55.76,56.45,354900,52.932
2016-03-16,56.91,57.13,56.52,56.72,263600,53.185
2016-03-15,58.27,58.30,56.13,56.65,419600,53.119
2016-03-14,57.60,59.07,56.78,58.63,608100,54.976
2016-03-11,55.16,57.62,55.16,56.57,749400,53.044
2016-03-10,56.10,56.85,54.12,54.12,644200,50.747
2016-03-09,54.89,55.48,53.84,54.01,423400,50.644
2016-03-08,53.81,55.77,53.40,54.69,504900,51.281
2016-03-07,53.54,53.92,52.39,53.87,481000,50.512
2016-03-04,54.26,54.57,53.11,53.50,855800,50.165
2016-03-03,52.00,53.97,51.60,53.84,882500,50.484
2016-03-02,51.22,52.53,50.76,51.67,834300,48.45
2016-03-01,52.74,52.75,51.10,51.74,571900,48.515
2016-02-29,51.48,52.80,51.17,52.54,494000,49.265
2016-02-26,52.50,52.94,51.57,51.60,611600,48.384
2016-02-25,52.97,53.50,51.07,51.68,1483100,48.459
2016-02-24,54.00,54.65,49.905,51.29,2408300,48.093
2016-02-23,69.64,70.14,54.92,56.00,1177600,52.51
2016-02-22,69.72,70.89,69.16,69.82,196100,65.468
2016-02-19,69.94,70.26,68.31,69.19,264500,64.878
2016-02-18,70.11,70.15,69.07,69.30,197800,64.981
2016-02-17,67.11,69.60,66.92,69.49,280100,65.159
2016-02-16,66.93,67.13,65.68,66.57,259500,62.421
2016-02-15,65.99,66.84,65.63,66.44,261200,62.299
2016-02-12,63.88,64.75,63.74,64.30,388200,60.292
2016-02-11,65.39,65.41,63.28,63.28,334200,59.336
2016-02-10,66.81,67.84,65.78,66.14,335300,62.018
2016-02-09,67.83,68.39,65.93,66.00,304600,61.886
2016-02-08,70.73,70.87,67.56,67.83,293300,63.602
2016-02-05,70.48,71.00,69.88,70.25,367300,65.871
2016-02-04,71.76,71.79,69.29,70.54,272300,66.143
2016-02-03,71.98,72.04,69.91,70.47,324300,66.078
2016-02-02,72.76,72.76,70.55,70.96,259000,66.537
2016-02-01,73.74,73.89,71.99,73.17,203000,68.609
2016-01-29,73.88,73.94,72.04,73.36,358400,68.788
2016-01-28,72.35,74.40,72.30,72.55,406900,68.028
2016-01-27,72.48,73.00,71.66,72.85,272300,68.309
2016-01-26,72.29,72.85,71.08,72.48,295300,67.962
2016-01-25,71.44,73.25,70.08,72.91,578900,68.366
2016-01-22,67.52,72.15,67.52,70.81,583000,66.397
2016-01-21,65.46,66.61,65.14,66.38,413700,62.243
2016-01-20,67.08,67.18,64.46,64.65,475200,60.621
2016-01-19,68.00,69.30,67.31,68.06,473600,63.818
2016-01-18,72.46,72.71,67.35,67.74,612200,63.518
2016-01-15,71.03,74.12,67.66,72.74,877800,68.206
2016-01-14,69.50,71.13,68.25,70.91,383500,66.49
2016-01-13,70.31,70.62,68.92,69.49,253500,65.159
2016-01-12,69.11,71.02,69.07,70.14,397900,65.768
2016-01-11,69.90,70.77,69.09,69.09,231900,64.784
2016-01-08,70.00,72.06,69.85,69.96,402100,65.60
2016-01-07,69.36,70.20,68.50,69.50,582200,65.168
2016-01-06,71.87,71.87,70.33,71.04,228400,66.612
2016-01-05,73.87,74.15,71.69,72.02,332200,67.531
2016-01-04,75.11,75.63,73.45,73.68,296400,69.088
2016-01-01,76.60,76.60,76.60,76.60,000,71.826
2015-12-31,76.60,76.60,76.60,76.60,000,71.826
2015-12-30,77.83,77.86,76.28,76.60,99100,71.826
2015-12-29,77.13,77.86,76.79,77.86,111700,73.007
2015-12-28,77.85,77.85,76.35,76.55,101700,71.779
2015-12-25,77.44,77.44,77.44,77.44,000,72.613
2015-12-24,77.44,77.44,77.44,77.44,000,72.613
2015-12-23,77.00,77.99,76.63,77.44,194600,72.613
2015-12-22,74.95,77.07,74.64,76.54,270300,71.769
2015-12-21,76.30,76.65,74.38,74.38,199200,69.744
2015-12-18,76.55,76.93,75.52,76.19,302800,71.441
2015-12-17,77.95,78.09,76.29,76.91,381500,72.116
2015-12-16,75.15,77.18,75.11,76.65,436700,71.873
2015-12-15,75.31,77.60,74.95,75.33,534300,70.635
2015-12-14,75.90,76.00,74.40,74.51,354100,69.866
2015-12-11,77.90,78.00,74.63,75.28,369300,70.588
2015-12-10,77.50,78.58,76.72,77.90,241800,73.045
2015-12-09,78.10,78.69,77.53,77.71,340400,72.867
2015-12-08,80.10,80.51,77.68,78.04,249800,73.176
2015-12-07,79.77,80.29,78.80,79.84,325400,74.864
2015-12-04,79.80,80.63,78.75,79.77,341200,74.798
2015-12-03,81.22,82.07,79.80,79.80,348300,74.826
2015-12-02,82.10,82.89,81.37,81.40,253100,76.327
2015-12-01,82.12,82.90,81.42,81.64,253200,76.552
2015-11-30,81.59,82.15,80.98,81.98,474300,76.87
2015-11-27,82.23,82.23,80.83,81.59,309400,76.505
2015-11-26,81.00,83.99,80.84,82.85,325100,77.686
2015-11-25,81.00,81.54,79.87,80.77,497900,75.736
2015-11-24,84.43,85.04,80.35,80.81,547600,75.773
2015-11-23,86.60,86.60,85.29,85.43,310500,80.105
2015-11-20,87.28,87.71,86.37,86.61,329900,81.212
2015-11-19,87.50,88.47,86.68,86.98,247900,81.559
2015-11-18,86.05,87.01,85.70,86.96,228500,81.54
2015-11-17,86.29,86.50,85.58,86.42,255300,81.034
2015-11-16,85.30,86.42,84.67,85.46,266800,80.133
2015-11-13,88.94,88.95,85.59,86.22,533700,80.846
2015-11-12,90.90,91.50,88.23,89.03,270300,83.481
2015-11-11,90.66,92.62,90.28,90.83,311800,85.169
2015-11-10,91.59,91.85,89.31,90.28,304200,84.653
2015-11-09,92.32,92.89,91.36,91.60,189000,85.891
2015-11-06,92.90,92.95,91.50,92.15,302400,86.406
2015-11-05,92.88,93.29,91.72,92.97,345900,87.175
2015-11-04,93.86,93.90,91.18,92.66,273100,86.885
2015-11-03,95.00,95.50,92.31,93.54,337900,87.71
2015-11-02,93.44,94.88,93.15,93.68,232900,87.841
2015-10-30,93.62,93.98,92.86,93.59,211400,87.757
2015-10-29,94.70,95.00,92.91,93.16,177600,87.354
2015-10-28,92.35,94.54,91.65,94.19,176500,88.319
2015-10-27,93.48,93.49,91.50,91.74,338000,86.022
2015-10-26,95.99,95.99,94.18,94.63,249300,88.732
2015-10-23,94.68,96.52,94.30,96.06,331700,90.073
2015-10-22,90.19,93.64,89.48,93.50,400200,87.672
2015-10-21,88.50,90.99,88.26,90.07,368000,84.456
2015-10-20,88.35,88.52,87.30,88.27,327200,82.768
2015-10-19,90.52,90.61,86.95,88.24,841300,82.74
2015-10-16,92.62,95.12,89.50,90.89,1501800,85.225
2015-10-15,103.00,104.00,102.15,102.20,251100,95.83
2015-10-14,104.45,104.70,103.00,103.90,140000,97.424
2015-10-13,106.55,106.55,103.75,104.50,174300,97.987
2015-10-12,106.40,106.90,105.80,106.50,150200,99.862
2015-10-09,107.00,107.70,105.90,105.95,161900,99.346
2015-10-08,105.65,106.55,105.10,106.05,129300,99.44
2015-10-07,104.95,106.90,104.80,105.95,175800,99.346
2015-10-06,103.50,105.20,103.10,104.70,132900,98.174
2015-10-05,101.00,103.35,101.00,102.85,159100,96.44
2015-10-02,100.15,101.30,98.25,99.80,147000,93.58
2015-10-01,101.35,101.60,99.02,99.71,166100,93.495
2015-09-30,99.32,100.90,99.13,100.40,207800,94.142
2015-09-29,96.22,97.94,95.40,97.47,372800,91.395
2015-09-28,99.63,100.15,97.07,97.07,227900,91.02
2015-09-25,97.59,100.15,97.45,99.76,261500,93.542
2015-09-24,98.35,98.56,95.29,96.00,262900,90.017
2015-09-23,97.82,98.96,96.80,98.06,220700,91.948
2015-09-22,100.90,100.95,97.32,97.92,191200,91.817
2015-09-21,99.81,101.40,98.88,100.60,167100,94.33
2015-09-18,101.45,101.55,99.00,99.90,239500,93.673
2015-09-17,102.15,102.35,101.45,101.70,112400,95.361
2015-09-16,101.85,103.15,101.50,101.75,191000,95.408
2015-09-15,101.10,101.25,99.20,100.85,161100,94.564
2015-09-14,101.15,102.10,100.25,100.85,123400,94.564
2015-09-11,102.05,102.05,100.10,101.00,151600,94.705
2015-09-10,100.80,102.15,100.25,101.75,101800,95.408
2015-09-09,103.60,103.60,101.00,101.30,107200,94.986
2015-09-08,100.00,101.80,99.95,100.85,117500,94.564
2015-09-07,100.30,100.60,98.80,99.52,107400,93.317
2015-09-04,101.45,101.70,99.24,99.63,141800,93.42
2015-09-03,102.05,102.95,101.35,102.55,170000,96.158
2015-09-02,100.75,101.70,99.85,101.15,152100,94.846
2015-09-01,101.00,101.00,98.85,100.15,164500,93.908
2015-08-31,101.90,102.35,100.80,101.90,141300,95.549
2015-08-28,103.70,104.15,101.40,102.35,162500,95.971
2015-08-27,102.85,104.05,101.75,103.35,208300,96.908
2015-08-26,100.70,101.05,98.90,99.68,208400,93.467
2015-08-25,98.69,101.70,97.99,100.95,261100,94.658
2015-08-24,98.16,98.90,95.63,97.59,391900,91.507
2015-08-21,100.35,103.30,100.15,100.70,217500,94.424
2015-08-20,105.25,105.55,101.80,101.85,191700,95.502
2015-08-19,106.20,106.90,105.65,105.85,107800,99.253
2015-08-18,107.80,108.15,106.95,106.95,79400,100.284
2015-08-17,108.80,109.30,106.55,107.80,85200,101.081
2015-08-14,108.10,108.40,107.30,107.90,77500,101.175
2015-08-13,107.00,108.65,107.00,107.85,171200,101.128
2015-08-12,107.70,107.70,104.80,105.35,232700,98.784
2015-08-11,112.85,112.85,108.20,109.45,251700,102.628
2015-08-10,112.65,113.55,111.85,113.40,125100,106.332
2015-08-07,113.00,113.00,111.75,112.00,105200,105.019
2015-08-06,112.15,113.55,112.00,112.95,145800,105.91
2015-08-05,113.90,113.90,111.85,112.40,217900,105.394
2015-08-04,109.20,113.75,109.20,113.75,245400,106.66
2015-08-03,110.05,110.95,109.25,110.15,170400,103.285
2015-07-31,108.55,110.25,108.40,109.80,165800,102.956
2015-07-30,108.25,108.50,107.45,108.25,115100,101.503
2015-07-29,108.35,108.75,107.15,107.65,175500,100.94
2015-07-28,107.10,107.90,106.45,107.60,169600,100.894
2015-07-27,107.35,107.60,105.80,106.10,130400,99.487
2015-07-24,108.30,109.00,107.35,107.55,103100,100.847
2015-07-23,109.30,109.30,108.00,108.30,156900,101.55
2015-07-22,108.50,109.15,107.15,108.40,282800,101.644
2015-07-21,107.30,107.40,106.40,106.95,136400,100.284
2015-07-20,106.10,107.55,106.10,106.80,148600,100.143
2015-07-17,105.55,106.30,105.20,106.20,189500,99.581
2015-07-16,104.40,106.25,104.15,105.60,151200,99.018
2015-07-15,103.80,104.45,103.50,104.05,160800,97.565
2015-07-14,103.50,104.15,102.60,104.15,169600,97.659
2015-07-13,103.25,103.70,102.50,103.30,197200,96.862
2015-07-10,103.10,103.10,101.25,102.35,250400,95.971
2015-07-09,98.89,100.50,98.39,100.20,276800,93.955
2015-07-08,99.21,99.44,97.81,98.13,246600,92.014
2015-07-07,100.75,100.75,98.02,98.06,169400,91.948
2015-07-06,99.30,100.75,99.30,100.00,149200,93.767
2015-07-03,101.20,102.00,100.60,100.90,169900,94.611
2015-07-02,101.90,101.90,100.85,100.95,137300,94.658
2015-07-01,101.25,102.65,100.45,101.35,208800,95.033
2015-06-30,101.00,101.50,99.81,100.25,397900,94.002
2015-06-29,100.00,103.45,99.50,102.00,229000,95.643
2015-06-26,103.35,104.75,103.00,104.20,169000,97.705
2015-06-25,104.05,105.00,102.70,103.65,135300,97.19
2015-06-24,104.65,104.65,103.55,104.30,130000,97.799
2015-06-23,104.25,105.25,104.05,104.30,200800,97.799
2015-06-22,103.50,103.75,102.50,103.75,213000,97.283
2015-06-19,101.75,102.80,100.75,100.75,407800,94.47
2015-06-18,101.35,101.75,99.54,101.75,269600,95.408
2015-06-17,103.25,103.35,101.60,101.80,193700,95.455
2015-06-16,101.40,102.90,100.25,102.65,224400,96.252
2015-06-15,103.00,103.40,101.30,101.75,209300,95.408
2015-06-12,105.20,106.00,103.50,103.60,198900,97.143
2015-06-11,104.60,106.95,104.35,105.70,211500,99.112
2015-06-10,101.10,104.65,100.90,104.60,376700,98.081
2015-06-09,101.95,102.40,100.60,101.15,224100,94.846
2015-06-08,103.10,103.40,101.50,101.75,161500,95.408
2015-06-05,104.40,104.90,103.00,103.05,161100,96.627
2015-06-04,104.30,105.65,103.20,104.50,229800,97.987
2015-06-03,105.20,105.30,103.90,104.50,297800,97.987
2015-06-02,105.00,105.00,103.20,103.50,178200,97.049
2015-06-01,104.45,104.65,103.65,104.30,120900,97.799
2015-05-29,105.55,105.55,103.30,103.95,256200,97.471
2015-05-28,106.30,107.10,104.65,105.35,131100,98.784
2015-05-27,105.95,106.60,105.20,106.40,171200,99.768
2015-05-26,107.10,107.60,105.50,105.95,112800,99.346
2015-05-25,106.70,106.70,106.70,106.70,000,100.05
2015-05-22,106.85,107.40,106.30,106.70,98900,100.05
2015-05-21,107.55,108.05,106.75,107.10,137100,100.425
2015-05-20,109.00,109.10,107.60,108.10,173900,101.362
2015-05-19,105.80,109.10,105.80,108.80,277400,102.019
2015-05-18,105.00,106.30,103.65,104.80,144700,98.268
2015-05-15,105.00,106.50,104.85,105.00,215700,98.456
2015-05-14,102.85,104.70,102.05,104.45,108500,97.94
2015-05-13,103.85,105.40,102.80,103.10,354600,96.674
2015-05-12,107.10,107.60,105.60,107.00,243100,96.937
