Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,39.505,39.555,38.52,38.745,108400,38.745
2016-10-26,40.115,40.145,39.12,39.37,134300,39.37
2016-10-25,39.855,40.11,39.795,39.99,96700,39.99
2016-10-24,39.85,40.035,39.725,39.85,112300,39.85
2016-10-21,39.94,39.94,39.48,39.61,99400,39.61
2016-10-20,39.66,40.055,39.425,39.82,124800,39.82
2016-10-19,39.585,39.585,39.355,39.485,65400,39.485
2016-10-18,39.13,39.72,39.12,39.575,140300,39.575
2016-10-17,39.01,39.30,38.92,38.985,128300,38.985
2016-10-14,39.44,39.575,38.985,39.045,148400,39.045
2016-10-13,38.70,39.49,38.65,39.42,174200,39.42
2016-10-12,38.81,38.925,38.70,38.70,194300,38.70
2016-10-11,39.04,39.055,38.74,38.75,197000,38.75
2016-10-10,39.11,39.275,38.75,38.97,191000,38.97
2016-10-07,38.805,38.965,38.58,38.785,209300,38.785
2016-10-06,39.955,39.955,38.52,38.75,232100,38.75
2016-10-05,40.465,40.465,39.60,39.615,186100,39.615
2016-10-04,41.33,41.47,40.515,40.575,196600,40.575
2016-10-03,41.35,41.35,41.35,41.35,000,41.35
2016-09-30,40.805,41.365,40.58,41.35,172600,41.35
2016-09-29,41.50,41.87,40.99,41.05,114600,41.05
2016-09-28,41.24,41.50,40.86,41.385,143200,41.385
2016-09-27,41.10,41.13,40.645,40.985,96700,40.985
2016-09-26,40.94,41.17,40.635,40.88,95900,40.88
2016-09-23,40.92,41.20,40.775,41.04,126700,41.04
2016-09-22,40.77,40.995,40.395,40.905,101100,40.905
2016-09-21,41.205,41.225,40.15,40.28,131300,40.28
2016-09-20,40.44,41.095,40.35,40.955,170300,40.955
2016-09-19,40.70,40.76,40.28,40.465,86600,40.465
2016-09-16,40.295,40.48,40.215,40.33,224400,40.33
2016-09-15,40.695,40.695,40.185,40.32,177300,40.32
2016-09-14,40.565,40.60,40.235,40.37,214800,40.37
2016-09-13,40.60,40.855,40.22,40.28,94800,40.28
2016-09-12,40.60,40.665,40.125,40.555,141500,40.555
2016-09-09,41.535,41.785,40.895,40.895,157800,40.895
2016-09-08,41.875,42.00,41.495,41.68,102800,41.68
2016-09-07,41.68,41.975,41.635,41.785,69800,41.785
2016-09-06,41.92,42.005,41.70,41.78,143000,41.78
2016-09-05,41.70,42.145,41.63,41.755,118900,41.755
2016-09-02,41.275,41.69,41.195,41.675,112100,41.675
2016-09-01,41.49,41.525,41.19,41.25,129300,41.25
2016-08-31,41.15,41.455,41.15,41.265,93500,41.265
2016-08-30,41.435,41.655,41.22,41.255,81900,41.255
2016-08-29,40.995,41.50,40.77,41.375,54400,41.375
2016-08-26,41.125,41.22,40.90,41.08,72100,41.08
2016-08-25,40.90,41.29,40.90,41.22,131400,41.22
2016-08-24,40.90,41.44,40.85,41.18,97600,41.18
2016-08-23,41.055,41.15,40.845,41.045,139200,41.045
2016-08-22,41.06,41.325,40.565,40.955,129500,40.955
2016-08-19,40.92,41.09,40.60,40.935,103800,40.935
2016-08-18,41.115,41.15,40.83,40.97,104300,40.97
2016-08-17,41.08,41.53,40.44,40.70,287400,40.70
2016-08-16,41.49,41.49,40.295,41.00,253100,41.00
2016-08-15,41.685,41.815,41.505,41.73,66200,41.73
2016-08-12,41.425,41.64,41.09,41.60,134100,41.60
2016-08-11,41.42,41.705,41.23,41.445,129900,41.445
2016-08-10,41.325,41.635,41.175,41.555,100200,41.555
2016-08-09,41.50,41.56,41.22,41.43,110100,41.43
2016-08-08,42.00,42.00,41.305,41.44,92400,41.44
2016-08-05,41.545,41.90,41.41,41.68,138100,41.68
2016-08-04,41.405,41.725,40.95,41.60,82200,41.60
2016-08-03,41.96,42.035,41.27,41.36,81700,41.36
2016-08-02,42.385,42.41,41.82,42.05,101800,42.05
2016-08-01,42.54,42.57,41.985,42.36,134600,42.36
2016-07-29,42.08,42.415,41.655,42.415,121400,42.415
2016-07-28,41.90,42.25,41.59,42.05,103700,42.05
2016-07-27,41.785,41.915,41.34,41.805,93000,41.805
2016-07-26,41.79,41.90,41.455,41.67,93800,41.67
2016-07-25,41.555,41.84,41.50,41.645,80000,41.645
2016-07-22,41.285,41.67,41.03,41.57,94300,41.57
2016-07-21,41.75,41.75,40.92,41.30,110700,41.30
2016-07-20,41.34,41.605,40.98,41.48,107700,41.48
2016-07-19,40.985,41.15,40.845,41.015,75800,41.015
2016-07-18,40.96,41.19,40.85,40.985,87200,40.985
2016-07-15,41.13,41.27,40.845,40.96,84000,40.96
2016-07-14,41.59,41.605,41.215,41.27,72600,41.27
2016-07-13,40.905,41.32,40.75,41.16,75000,41.16
2016-07-12,41.50,41.825,40.99,41.015,135800,41.015
2016-07-11,40.83,41.455,40.78,41.375,130900,41.375
2016-07-08,39.705,40.61,39.60,40.56,98300,40.56
2016-07-07,39.93,40.27,39.62,39.685,129900,39.685
2016-07-06,40.06,40.375,39.74,39.805,228500,39.805
2016-07-05,40.75,40.825,40.195,40.34,140400,40.34
2016-07-04,41.16,41.35,40.57,40.89,125000,40.89
2016-07-01,41.525,41.525,41.015,41.17,182000,41.17
2016-06-30,41.125,41.445,40.44,41.095,282600,41.095
2016-06-29,40.95,41.24,40.755,40.99,173700,40.99
2016-06-28,40.165,40.80,40.165,40.46,252200,40.46
2016-06-27,40.415,40.905,39.455,39.455,256000,39.455
2016-06-24,38.90,40.97,38.90,40.54,323000,40.54
2016-06-23,41.77,42.35,41.55,42.02,132000,42.02
2016-06-22,41.41,41.885,41.41,41.585,146700,41.585
2016-06-21,41.205,41.405,41.10,41.225,161600,41.225
2016-06-20,41.005,41.655,41.00,41.24,179400,41.24
2016-06-17,40.27,40.70,40.25,40.59,335600,40.59
2016-06-16,39.65,40.375,39.50,40.08,288400,40.08
2016-06-15,41.45,41.65,40.95,40.95,178800,40.32
2016-06-14,41.40,41.595,41.15,41.33,190900,40.6942
2016-06-13,41.90,42.06,41.46,41.635,119100,40.9945
2016-06-10,42.42,42.505,42.18,42.255,138500,41.6049
2016-06-09,42.275,42.605,42.07,42.52,150900,41.8658
2016-06-08,42.10,42.46,42.00,42.315,127000,41.664
2016-06-07,41.515,42.015,41.41,42.015,109200,41.3686
2016-06-06,41.68,41.80,41.335,41.495,107200,40.8566
2016-06-03,41.60,41.98,40.99,41.475,268400,40.8369
2016-06-02,40.585,40.585,40.13,40.335,110100,39.7145
2016-06-01,41.01,41.17,40.425,40.64,132800,40.0148
2016-05-31,42.05,42.05,41.07,41.18,192300,40.5465
2016-05-30,42.15,42.285,41.955,42.02,43000,41.3735
2016-05-27,41.80,42.175,41.605,42.105,84000,41.4572
2016-05-26,41.725,41.86,41.46,41.805,85500,41.1618
2016-05-25,41.30,41.585,41.255,41.46,94100,40.8222
2016-05-24,40.40,41.20,40.23,41.19,70600,40.5563
2016-05-23,40.495,40.705,40.34,40.435,97300,39.8129
2016-05-20,40.325,40.63,40.185,40.63,84500,40.0049
2016-05-19,40.595,40.595,40.00,40.055,82600,39.4388
2016-05-18,40.50,40.745,40.195,40.675,79900,40.0492
2016-05-17,40.695,41.05,40.605,40.69,106100,40.064
2016-05-16,40.465,40.465,40.465,40.465,000,39.8425
2016-05-13,41.06,41.175,40.085,40.465,158600,39.8425
2016-05-12,41.255,41.49,40.50,40.735,131600,40.1083
2016-05-11,41.67,41.795,41.055,41.20,80600,40.5662
2016-05-10,42.00,42.14,41.615,41.67,105200,41.0289
2016-05-09,41.52,42.005,41.52,41.775,115900,41.1323
2016-05-06,41.185,41.63,41.185,41.35,109000,40.7138
2016-05-05,41.085,41.43,41.085,41.35,67900,40.7138
2016-05-04,41.14,41.34,40.855,41.10,89400,40.4677
2016-05-03,41.29,41.32,40.65,41.19,118300,40.5563
2016-05-02,40.21,41.435,40.21,41.39,99900,40.7532
2016-04-29,40.70,41.06,40.485,40.695,100900,40.0689
2016-04-28,41.00,41.10,40.59,41.10,70100,40.4677
2016-04-27,40.80,41.155,40.675,40.955,82700,40.3249
2016-04-26,40.805,41.035,40.47,40.805,94600,40.1772
2016-04-25,40.015,40.55,39.865,40.515,114200,39.8917
2016-04-22,40.36,40.36,39.655,39.835,107500,39.2222
2016-04-21,41.115,41.115,40.06,40.34,79800,39.7194
2016-04-20,41.065,41.28,40.93,41.045,83500,40.4135
2016-04-19,40.74,41.215,40.40,41.15,102900,40.5169
2016-04-18,40.77,40.92,40.51,40.51,91500,39.8868
2016-04-15,41.28,41.35,40.835,41.005,128300,40.3742
2016-04-14,41.70,41.73,40.97,41.23,125600,40.5957
2016-04-13,41.325,41.715,41.325,41.615,132700,40.9748
2016-04-12,41.20,41.275,40.655,41.06,95300,40.4283
2016-04-11,41.17,41.48,40.955,41.15,75100,40.5169
2016-04-08,40.80,41.42,40.715,41.28,72000,40.6449
2016-04-07,40.905,41.165,40.58,40.74,99300,40.1132
2016-04-06,40.84,40.99,40.565,40.975,118900,40.3446
2016-04-05,40.16,40.81,40.16,40.605,149200,39.9803
2016-04-04,40.80,41.02,40.29,40.64,127400,40.0148
2016-04-01,40.80,40.895,40.40,40.815,131500,40.1871
2016-03-31,41.06,41.31,40.94,41.28,124100,40.6449
2016-03-30,40.795,41.24,40.775,41.185,98400,40.5514
2016-03-29,40.10,40.605,39.835,40.575,131900,39.9508
2016-03-28,39.93,39.93,39.93,39.93,000,39.3157
2016-03-25,39.93,39.93,39.93,39.93,000,39.3157
2016-03-24,40.30,40.67,39.93,39.93,133500,39.3157
2016-03-23,40.85,40.85,40.04,40.46,148000,39.8375
2016-03-22,40.22,40.575,39.92,40.575,233800,39.9508
2016-03-21,40.74,41.155,40.42,40.485,192600,39.8622
2016-03-18,41.46,41.77,40.835,40.855,322000,40.2265
2016-03-17,41.47,41.505,40.89,41.455,114700,40.8172
2016-03-16,41.19,41.395,41.00,41.305,151200,40.6695
2016-03-15,40.745,41.20,40.745,40.985,151800,40.3545
2016-03-14,40.50,40.915,40.365,40.86,137700,40.2314
2016-03-11,39.71,40.44,39.545,40.395,90400,39.7735
2016-03-10,38.88,40.20,38.775,39.255,130100,38.6511
2016-03-09,38.81,39.21,38.755,38.88,70200,38.2818
2016-03-08,39.02,39.09,38.61,38.78,88400,38.1834
2016-03-07,39.285,39.47,39.18,39.30,86800,38.6954
2016-03-04,38.98,39.65,38.98,39.20,141900,38.5969
2016-03-03,39.25,39.325,39.05,39.16,125000,38.5575
2016-03-02,39.295,39.30,38.81,39.00,175800,38.40
2016-03-01,39.08,39.715,38.895,39.23,112300,38.6265
2016-02-29,38.865,38.995,38.36,38.935,134300,38.336
2016-02-26,38.96,39.30,38.83,38.92,119800,38.3212
2016-02-25,38.58,38.95,38.42,38.67,158300,38.0751
2016-02-24,38.485,38.765,38.05,38.20,102000,37.6123
2016-02-23,38.935,39.10,38.61,38.645,118100,38.0505
2016-02-22,39.05,39.45,38.95,39.11,92400,38.5083
2016-02-19,38.38,38.80,38.38,38.79,140800,38.1932
2016-02-18,38.36,38.785,38.225,38.505,87900,37.9126
2016-02-17,37.56,38.525,37.54,38.235,143200,37.6468
2016-02-16,37.595,37.68,37.18,37.385,170500,36.8098
2016-02-15,37.14,37.845,37.075,37.435,141600,36.8591
2016-02-12,36.125,36.715,36.025,36.60,195100,36.0369
2016-02-11,36.185,36.685,35.82,35.86,211700,35.3083
2016-02-10,36.23,37.16,36.065,36.65,149100,36.0862
2016-02-09,36.695,36.845,35.755,36.105,205100,35.5495
2016-02-08,37.96,38.18,36.70,36.83,296200,36.2634
2016-02-05,38.155,38.62,37.815,37.89,137700,37.3071
2016-02-04,38.605,38.865,37.745,37.965,121400,37.3809
2016-02-03,38.215,38.78,37.965,38.265,131900,37.6763
2016-02-02,38.715,38.85,38.225,38.28,134700,37.6911
2016-02-01,38.35,39.07,38.105,38.84,214800,38.2425
2016-01-29,39.20,39.55,38.545,39.405,195000,38.7988
2016-01-28,38.085,38.895,38.085,38.235,119300,37.6468
2016-01-27,39.185,39.33,38.06,38.335,150300,37.7452
2016-01-26,38.53,39.365,38.53,39.325,126100,38.72
2016-01-25,39.02,39.20,38.645,39.075,103300,38.4738
2016-01-22,38.065,39.025,38.065,38.925,134700,38.3262
2016-01-21,36.855,37.60,36.665,37.305,226800,36.7311
2016-01-20,37.25,37.385,36.58,36.695,168900,36.1305
2016-01-19,38.105,38.28,37.635,37.74,127300,37.1594
2016-01-18,38.00,38.33,37.405,37.525,248700,36.9477
2016-01-15,38.215,38.35,37.585,37.99,303400,37.4055
2016-01-14,38.60,38.69,38.08,38.18,151800,37.5926
2016-01-13,39.10,39.38,38.86,38.92,121200,38.3212
2016-01-12,38.60,39.26,38.60,38.70,178300,38.1046
2016-01-11,38.62,38.995,38.45,38.52,144700,37.9274
2016-01-08,39.02,39.895,38.59,38.665,223800,38.0702
2016-01-07,38.795,39.345,38.135,38.98,339000,38.3803
2016-01-06,39.61,39.75,39.11,39.27,123000,38.6658
2016-01-05,39.695,40.00,39.29,39.935,132100,39.3206
2016-01-04,39.53,39.83,39.085,39.575,147000,38.9662
2016-01-01,40.46,40.46,40.46,40.46,000,39.8375
2015-12-31,40.46,40.46,40.46,40.46,000,39.8375
2015-12-30,40.725,41.005,40.04,40.46,71600,39.8375
2015-12-29,39.845,40.735,39.805,40.735,80800,40.1083
2015-12-28,40.145,40.285,39.635,39.76,43900,39.1483
2015-12-25,40.155,40.155,40.155,40.155,000,39.5372
2015-12-24,40.155,40.155,40.155,40.155,000,39.5372
2015-12-23,39.74,40.155,39.44,40.155,108400,39.5372
2015-12-22,39.645,39.825,39.06,39.53,109400,38.9218
2015-12-21,39.935,40.35,39.47,39.47,93900,38.8628
2015-12-18,39.86,40.495,39.77,39.995,247500,39.3797
2015-12-17,40.105,40.595,40.085,40.095,153800,39.4782
2015-12-16,39.365,40.055,39.30,39.695,153500,39.0843
2015-12-15,39.285,39.52,38.95,39.34,194400,38.7348
2015-12-14,38.975,39.015,38.77,38.80,380700,38.2031
2015-12-11,38.96,38.96,38.60,38.80,325100,38.2031
2015-12-10,38.85,39.52,38.75,39.085,110200,38.4837
2015-12-09,39.445,39.535,38.74,38.835,144500,38.2375
2015-12-08,40.18,40.495,39.295,39.325,105200,38.72
2015-12-07,39.735,40.60,39.71,40.16,116200,39.5422
2015-12-04,39.58,39.685,39.00,39.46,128700,38.8529
2015-12-03,40.565,41.395,39.60,39.68,195900,39.0695
2015-12-02,40.71,41.355,40.585,40.63,144300,40.0049
2015-12-01,40.345,40.87,40.14,40.705,174800,40.0788
2015-11-30,41.105,41.12,39.94,40.155,219400,39.5372
2015-11-27,40.60,41.08,40.58,41.08,89600,40.448
2015-11-26,40.62,40.885,40.40,40.70,129100,40.0738
2015-11-25,39.825,40.815,39.825,40.795,128200,40.1674
2015-11-24,40.20,40.24,39.295,39.865,177000,39.2517
2015-11-23,40.80,40.89,40.415,40.415,124600,39.7932
2015-11-20,40.33,40.83,40.27,40.825,185800,40.1969
2015-11-19,40.135,40.565,39.78,40.33,173400,39.7095
2015-11-18,40.005,40.115,39.31,39.84,167300,39.2271
2015-11-17,39.90,40.89,39.78,40.105,323000,39.488
2015-11-16,38.70,39.00,38.185,38.43,300300,37.8388
2015-11-13,39.85,40.195,38.665,38.765,563900,38.1686
2015-11-12,41.725,42.005,41.125,41.125,79100,40.4923
2015-11-11,41.55,42.04,41.54,41.715,154100,41.0732
2015-11-10,41.82,41.82,41.305,41.445,135300,40.8074
2015-11-09,42.90,42.90,41.54,41.645,162900,41.0043
2015-11-06,42.885,43.19,42.795,42.90,116800,42.24
2015-11-05,43.005,43.21,42.74,42.895,108800,42.2351
2015-11-04,43.10,43.235,42.72,42.795,157700,42.1366
2015-11-03,43.56,43.70,42.74,42.955,148500,42.2942
2015-11-02,43.865,44.055,43.70,43.85,125000,43.1754
2015-10-30,43.40,43.89,43.40,43.87,160000,43.1951
2015-10-29,43.175,43.455,43.11,43.42,108700,42.752
2015-10-28,42.94,43.24,42.92,43.165,176600,42.5009
2015-10-27,43.23,43.23,42.875,42.945,90200,42.2843
2015-10-26,43.40,43.62,43.075,43.20,140000,42.5354
2015-10-23,42.99,43.49,42.835,43.415,122800,42.7471
