Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,67.80,68.46,67.14,68.41,125300,68.41
2016-10-26,69.26,69.26,67.31,67.74,174400,67.74
2016-10-25,70.86,70.99,69.14,69.29,106500,69.29
2016-10-24,70.00,71.45,70.00,70.63,195000,70.63
2016-10-21,69.87,70.60,69.36,69.60,95900,69.60
2016-10-20,69.90,70.20,68.94,69.93,110900,69.93
2016-10-19,69.77,69.89,69.15,69.84,105200,69.84
2016-10-18,69.33,70.10,69.03,69.75,121500,69.75
2016-10-17,68.51,69.06,68.00,68.79,107000,68.79
2016-10-14,68.70,69.19,68.55,68.64,100800,68.64
2016-10-13,69.85,69.91,68.01,68.77,178200,68.77
2016-10-12,70.55,71.00,69.86,70.40,163500,70.40
2016-10-11,71.08,71.28,70.67,70.75,124300,70.75
2016-10-10,71.43,71.89,71.14,71.32,135300,71.32
2016-10-07,71.55,72.35,71.38,71.45,163700,71.45
2016-10-06,71.90,71.90,69.68,71.59,410200,71.59
2016-10-05,73.25,73.80,72.62,73.47,154400,73.47
2016-10-04,74.60,75.16,72.75,73.83,234500,73.83
2016-10-03,74.72,74.72,74.72,74.72,000,74.72
2016-09-30,74.40,75.04,72.61,74.72,221900,74.72
2016-09-29,75.95,76.15,74.88,75.19,84200,75.19
2016-09-28,75.05,76.04,74.89,75.13,103300,75.13
2016-09-27,76.64,76.92,73.42,74.35,177100,74.35
2016-09-26,77.94,77.94,75.96,76.06,113300,76.06
2016-09-23,77.51,78.63,77.21,78.33,117300,78.33
2016-09-22,75.99,78.00,75.73,77.73,135500,77.73
2016-09-21,75.29,75.99,74.99,75.29,65700,75.29
2016-09-20,75.10,75.21,74.49,74.49,48500,74.49
2016-09-19,74.41,75.00,74.18,74.94,69500,74.94
2016-09-16,74.85,75.04,73.44,74.00,100200,74.00
2016-09-15,74.28,75.03,73.77,74.90,74100,74.90
2016-09-14,74.85,74.95,74.25,74.25,73900,74.25
2016-09-13,75.50,75.78,74.40,74.44,79000,74.44
2016-09-12,74.20,75.00,73.12,74.87,119200,74.87
2016-09-09,77.00,77.19,75.28,75.44,60300,75.44
2016-09-08,78.23,78.31,76.70,77.45,60100,77.45
2016-09-07,77.65,78.69,77.65,78.08,73500,78.08
2016-09-06,77.66,78.10,77.22,77.39,76500,77.39
2016-09-05,77.25,77.94,77.11,77.76,75800,77.76
2016-09-02,76.35,76.57,75.41,76.50,86100,76.50
2016-09-01,76.02,77.34,75.88,76.21,72400,76.21
2016-08-31,76.35,76.62,75.73,75.80,67900,75.80
2016-08-30,76.50,77.20,76.04,76.38,115900,76.38
2016-08-29,76.23,76.44,75.23,76.21,50500,76.21
