Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,29.625,30.08,28.95,29.195,938400,29.195
2016-10-26,30.56,30.56,29.48,29.615,719500,29.615
2016-10-25,30.48,30.755,30.395,30.575,617300,30.575
2016-10-24,30.48,30.56,30.315,30.44,785300,30.44
2016-10-21,30.52,30.725,30.265,30.33,793600,30.33
2016-10-20,30.105,30.545,29.93,30.46,888400,30.46
2016-10-19,30.14,30.14,29.89,29.97,636300,29.97
2016-10-18,29.72,30.135,29.70,30.105,809700,30.105
2016-10-17,29.915,29.985,29.63,29.63,708100,29.63
2016-10-14,29.88,30.075,29.71,29.915,910000,29.915
2016-10-13,29.235,29.75,29.175,29.71,1245800,29.71
2016-10-12,30.00,30.085,29.305,29.34,973500,29.34
2016-10-11,30.40,30.56,29.88,29.98,734600,29.98
2016-10-10,29.89,30.54,29.86,30.45,1141200,30.45
2016-10-07,29.96,30.24,29.905,29.98,1106800,29.98
2016-10-06,30.29,30.50,29.77,29.925,1212200,29.925
2016-10-05,31.20,31.38,30.215,30.215,1830300,30.215
2016-10-04,32.405,32.455,31.47,31.60,1462900,31.60
2016-10-03,32.355,32.355,32.355,32.355,000,32.355
2016-09-30,32.05,32.43,32.01,32.355,1159700,32.355
2016-09-29,33.15,33.30,32.275,32.33,857300,32.33
2016-09-28,33.13,33.255,32.86,33.085,425600,33.085
2016-09-27,32.995,33.07,32.61,33.02,711700,33.02
2016-09-26,32.64,32.915,32.575,32.80,668200,32.80
2016-09-23,32.80,32.865,32.605,32.80,589200,32.80
2016-09-22,32.33,32.92,32.21,32.88,857200,32.88
2016-09-21,32.56,32.59,31.94,32.00,610700,32.00
2016-09-20,32.05,32.665,31.93,32.265,888800,32.265
2016-09-19,31.98,32.35,31.81,31.95,969300,31.95
2016-09-16,32.21,32.48,32.01,32.425,2465400,32.425
2016-09-15,32.365,32.515,32.10,32.24,914500,32.24
2016-09-14,32.39,32.70,32.145,32.42,848100,32.42
2016-09-13,32.765,32.915,32.22,32.265,798700,32.265
2016-09-12,31.965,32.665,31.545,32.555,1382500,32.555
2016-09-09,33.82,33.885,32.13,32.345,1579700,32.345
2016-09-08,34.68,34.825,33.945,33.945,673700,33.945
2016-09-07,34.445,34.755,34.39,34.71,542300,34.71
2016-09-06,34.275,34.375,34.165,34.375,501900,34.375
2016-09-05,34.45,34.60,34.16,34.335,552600,34.335
2016-09-02,34.025,34.30,33.87,34.23,668000,34.23
2016-09-01,33.82,34.07,33.68,33.845,784600,33.845
2016-08-31,33.855,33.985,33.63,33.70,941800,33.70
2016-08-30,34.345,34.47,33.79,33.88,636500,33.88
2016-08-29,34.00,34.22,33.725,34.18,289400,34.18
2016-08-26,33.85,34.07,33.67,34.00,555000,34.00
2016-08-25,34.00,34.14,33.655,33.955,583600,33.955
2016-08-24,34.415,34.46,34.05,34.10,425200,34.10
2016-08-23,34.495,34.665,34.345,34.54,586200,34.54
2016-08-22,34.325,34.38,33.925,34.34,689300,34.34
2016-08-19,34.37,34.51,34.055,34.385,645100,34.385
2016-08-18,34.14,34.455,34.06,34.215,506400,34.215
2016-08-17,34.10,34.315,33.75,33.93,781800,33.93
2016-08-16,34.72,34.73,34.135,34.135,708500,34.135
2016-08-15,34.855,35.06,34.72,34.83,498100,34.83
2016-08-12,35.40,35.40,33.93,34.775,986000,34.775
2016-08-11,34.50,34.945,34.44,34.77,894700,34.77
2016-08-10,34.30,34.44,34.05,34.34,732900,34.34
2016-08-09,33.89,34.375,33.855,34.25,661300,34.25
2016-08-08,34.15,34.275,33.75,33.92,686500,33.92
2016-08-05,33.935,34.165,33.895,34.05,707700,34.05
2016-08-04,33.335,34.02,33.04,33.93,882100,33.93
