Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,32.28,32.575,32.14,32.42,48500,32.42
2016-10-26,32.61,32.61,32.075,32.435,66900,32.435
2016-10-25,32.68,32.92,32.50,32.54,50700,32.54
2016-10-24,32.405,32.81,32.395,32.545,84300,32.545
2016-10-21,32.565,32.625,32.145,32.405,53600,32.405
2016-10-20,32.765,32.765,32.38,32.54,74000,32.54
2016-10-19,32.695,32.825,32.425,32.655,68200,32.655
2016-10-18,32.65,32.875,32.50,32.645,55300,32.645
2016-10-17,32.64,32.66,32.145,32.59,86000,32.59
2016-10-14,32.32,32.66,32.245,32.615,55300,32.615
2016-10-13,32.22,32.36,31.84,32.205,92500,32.205
2016-10-12,32.57,32.57,32.26,32.325,53500,32.325
2016-10-11,32.355,32.545,32.185,32.495,85000,32.495
2016-10-10,32.27,32.345,32.07,32.32,77000,32.32
2016-10-07,32.28,32.415,31.805,32.10,111900,32.10
2016-10-06,32.40,32.40,32.16,32.235,87300,32.235
2016-10-05,31.775,32.335,31.68,32.22,105100,32.22
2016-10-04,31.695,32.25,31.695,31.92,123100,31.92
2016-10-03,31.69,31.69,31.69,31.69,000,31.69
2016-09-30,31.265,31.74,30.97,31.69,125200,31.69
2016-09-29,31.315,31.59,31.175,31.385,86200,31.385
2016-09-28,31.04,31.10,30.73,31.10,83900,31.10
2016-09-27,30.955,30.955,30.20,30.82,150800,30.82
2016-09-26,31.565,31.565,30.73,30.855,114000,30.855
2016-09-23,31.20,31.77,30.945,31.67,141400,31.67
2016-09-22,30.64,30.73,30.185,30.73,104700,30.73
2016-09-21,30.605,30.63,30.22,30.40,65300,30.40
2016-09-20,30.19,30.57,29.97,30.365,94400,30.365
2016-09-19,30.02,30.42,29.915,30.37,93800,30.37
2016-09-16,29.88,30.02,29.58,30.02,121500,30.02
2016-09-15,29.755,29.925,29.54,29.91,66200,29.91
2016-09-14,29.74,30.00,29.56,29.96,91500,29.96
2016-09-13,29.76,29.945,29.445,29.445,70000,29.445
2016-09-12,29.81,29.81,29.25,29.67,105900,29.67
2016-09-09,30.655,30.655,30.005,30.005,84300,30.005
2016-09-08,30.67,31.17,30.385,30.64,175400,30.64
2016-09-07,29.20,30.535,28.50,30.445,387600,30.445
2016-09-06,30.81,30.845,30.255,30.69,96000,30.69
2016-09-05,31.77,31.77,30.78,30.785,96300,30.785
2016-09-02,31.53,31.635,31.20,31.59,60300,31.59
2016-09-01,30.95,31.535,30.95,31.30,78900,31.30
2016-08-31,31.11,31.24,30.95,31.11,86000,31.11
2016-08-30,31.12,31.63,31.115,31.26,70600,31.26
2016-08-29,31.38,31.38,30.545,31.105,46200,31.105
2016-08-26,31.245,31.35,30.465,31.325,81900,31.325
2016-08-25,31.365,31.655,31.08,31.37,68900,31.37
2016-08-24,31.265,31.79,31.255,31.775,74000,31.775
2016-08-23,31.43,31.67,31.33,31.60,48100,31.60
2016-08-22,31.14,31.675,31.015,31.375,75000,31.375
2016-08-19,31.09,31.43,30.67,31.375,87500,31.375
2016-08-18,30.98,31.335,30.98,31.31,106800,31.31
2016-08-17,31.30,31.33,30.75,30.785,66200,30.785
2016-08-16,31.525,31.645,31.31,31.375,48900,31.375
2016-08-15,31.925,31.995,31.59,31.70,31600,31.70
2016-08-12,31.57,31.84,31.475,31.83,42500,31.83
2016-08-11,31.705,31.735,31.25,31.57,41400,31.57
2016-08-10,31.565,31.80,31.49,31.66,53500,31.66
2016-08-09,31.45,31.565,31.30,31.555,75800,31.555
2016-08-08,31.75,31.75,31.35,31.39,51500,31.39
2016-08-05,31.195,31.555,30.955,31.47,74200,31.47
2016-08-04,30.44,31.035,30.395,31.035,106600,31.035
2016-08-03,30.85,30.85,30.28,30.39,53600,30.39
2016-08-02,31.00,31.00,30.44,30.74,55400,30.74
2016-08-01,31.50,31.50,30.925,30.965,78000,30.965
2016-07-29,31.40,31.46,30.995,31.13,85500,31.13
2016-07-28,31.075,31.60,30.965,31.36,190000,31.36
2016-07-27,30.685,31.18,30.685,31.025,70700,31.025
2016-07-26,30.81,30.885,30.495,30.605,84000,30.605
2016-07-25,30.87,31.085,30.54,30.86,140600,30.86
2016-07-22,30.37,31.14,30.285,30.725,179400,30.725
2016-07-21,30.285,30.695,29.905,30.405,221800,30.405
2016-07-20,29.80,30.16,29.58,30.025,196600,30.025
2016-07-19,29.03,29.54,29.00,29.505,163500,29.505
2016-07-18,28.77,29.24,28.77,29.045,157200,29.045
2016-07-15,28.59,29.21,28.35,28.93,189000,28.93
2016-07-14,28.495,28.85,28.255,28.815,134100,28.815
2016-07-13,28.055,28.345,27.86,28.20,72800,28.20
2016-07-12,27.73,28.12,27.63,28.005,89300,28.005
2016-07-11,27.05,27.645,26.83,27.53,88000,27.53
2016-07-08,26.675,27.255,26.645,27.03,100600,27.03
2016-07-07,26.285,27.025,26.285,26.665,75100,26.665
2016-07-06,27.255,27.39,26.10,26.19,122800,26.19
2016-07-05,27.70,27.70,27.39,27.435,82100,27.435
2016-07-04,27.655,27.775,27.335,27.65,107400,27.65
2016-07-01,27.425,27.715,27.315,27.525,182100,27.525
2016-06-30,27.52,27.825,27.37,27.425,145600,27.425
2016-06-29,27.825,28.125,27.645,27.695,163000,27.695
2016-06-28,28.24,28.555,27.81,27.825,99300,27.825
2016-06-27,28.28,28.335,27.60,27.785,196700,27.785
2016-06-24,27.12,29.04,25.30,28.345,286600,28.345
2016-06-23,29.415,30.52,29.415,30.20,117200,30.20
2016-06-22,29.56,29.66,29.20,29.49,74100,29.49
2016-06-21,29.50,29.54,29.31,29.50,49500,29.50
2016-06-20,29.10,30.10,29.025,29.625,152100,29.625
2016-06-17,28.305,28.60,28.25,28.50,222300,28.50
2016-06-16,27.89,28.145,27.575,28.085,166000,28.085
2016-06-15,28.31,28.56,28.21,28.39,88300,28.39
2016-06-14,28.44,28.50,27.775,28.29,120300,28.29
2016-06-13,28.52,28.94,28.185,28.845,123800,28.845
2016-06-10,29.555,29.925,28.875,29.00,162200,29.00
2016-06-09,29.71,30.00,29.17,29.865,143400,29.865
2016-06-08,29.785,29.87,29.355,29.715,101700,29.715
2016-06-07,29.805,29.975,29.55,29.795,65600,29.795
2016-06-06,30.205,30.205,29.845,29.915,39800,29.915
2016-06-03,30.485,30.60,29.555,30.04,71100,30.04
2016-06-02,30.55,30.79,30.015,30.34,78800,30.34
2016-06-01,30.80,30.995,30.35,30.62,62400,30.62
2016-05-31,31.81,31.865,30.945,31.00,151400,31.00
2016-05-30,32.185,32.185,31.77,31.87,32300,31.87
2016-05-27,32.335,32.335,31.84,32.045,69000,32.045
2016-05-26,33.03,33.03,31.965,32.335,86300,32.335
2016-05-25,31.95,32.505,31.865,32.475,116700,32.475
2016-05-24,31.45,31.87,31.255,31.81,79300,31.81
2016-05-23,31.40,31.615,31.17,31.57,54400,31.57
2016-05-20,31.75,31.75,30.98,31.325,97000,31.325
2016-05-19,30.00,31.49,29.82,31.445,149700,31.445
2016-05-18,30.33,30.33,29.80,30.095,100500,30.095
2016-05-17,30.63,30.695,30.295,30.405,92800,30.405
2016-05-16,30.50,30.50,30.50,30.50,000,30.50
2016-05-13,30.19,30.60,29.93,30.50,74000,30.50
2016-05-12,30.30,30.57,29.695,30.42,80100,30.42
2016-05-11,30.43,30.43,29.815,29.985,53500,29.985
2016-05-10,30.795,30.795,30.035,30.33,62600,30.33
2016-05-09,30.19,30.695,30.075,30.35,75000,29.89
2016-05-06,30.365,30.555,30.085,30.135,49800,29.67826
2016-05-05,30.135,30.49,29.845,30.48,55600,30.01803
2016-05-04,30.275,30.275,29.53,30.15,85900,29.69303
2016-05-03,30.61,30.635,30.27,30.275,78900,29.81614
2016-05-02,30.50,30.745,30.375,30.56,50400,30.09682
2016-04-29,29.835,30.645,29.835,30.59,136600,30.12636
2016-04-28,30.085,30.395,29.855,30.38,88700,29.91954
2016-04-27,30.20,30.525,29.915,30.385,66600,29.92447
2016-04-26,30.25,30.36,29.875,30.075,59400,29.61917
2016-04-25,30.37,30.37,29.835,29.995,104900,29.54038
2016-04-22,30.205,30.61,29.78,29.95,75400,29.49606
2016-04-21,30.95,30.95,30.32,30.51,78400,30.04758
2016-04-20,30.75,30.81,30.37,30.755,105400,30.28886
2016-04-19,30.30,30.775,30.21,30.755,75200,30.28886
2016-04-18,29.76,30.395,29.705,30.17,53800,29.71273
2016-04-15,30.585,30.705,30.26,30.275,55100,29.81614
2016-04-14,30.82,30.865,30.435,30.60,51700,30.13621
2016-04-13,30.905,31.05,30.50,30.64,86000,30.1756
2016-04-12,30.65,30.97,30.155,30.70,122800,30.2347
2016-04-11,30.61,30.795,30.44,30.50,57700,30.03773
2016-04-08,30.10,30.57,29.835,30.505,102100,30.04265
2016-04-07,29.90,30.41,29.655,30.235,259400,29.77674
2016-04-06,29.30,29.43,28.20,29.315,178800,28.87069
2016-04-05,30.05,30.055,28.965,29.30,156100,28.85591
2016-04-04,30.585,30.95,30.315,30.53,91400,30.06727
2016-04-01,31.16,31.22,30.57,30.89,153800,30.42181
2016-03-31,32.01,32.01,31.21,31.225,89900,30.75174
2016-03-30,32.385,32.72,31.92,32.065,79800,31.57901
2016-03-29,31.605,32.285,31.40,32.215,59300,31.72673
2016-03-28,31.40,31.40,31.40,31.40,000,30.92409
2016-03-25,31.40,31.40,31.40,31.40,000,30.92409
2016-03-24,31.99,31.99,31.265,31.40,55600,30.92409
2016-03-23,31.50,32.05,31.21,31.935,110900,31.45098
2016-03-22,31.435,31.56,30.785,31.31,91400,30.83545
2016-03-21,31.44,31.87,31.375,31.59,69400,31.11121
2016-03-18,31.59,31.84,30.94,31.29,136500,30.81575
2016-03-17,32.06,32.095,31.20,31.415,56000,30.93886
2016-03-16,31.565,32.19,31.485,32.005,100000,31.51992
2016-03-15,31.07,31.30,30.92,31.30,114600,30.8256
2016-03-14,31.215,31.67,31.03,31.35,118600,30.87484
2016-03-11,31.17,31.67,31.17,31.215,115800,30.74189
2016-03-10,31.70,31.83,30.80,30.90,149100,30.43166
2016-03-09,31.675,32.14,31.15,31.635,183300,31.15552
2016-03-08,31.755,32.06,31.33,31.555,103400,31.07674
