Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,27.735,28.22,27.40,28.18,1324700,28.18
2016-10-26,27.715,27.945,27.575,27.715,785900,27.715
2016-10-25,27.72,27.86,27.595,27.72,740800,27.72
2016-10-24,27.60,28.045,27.515,27.68,1112600,27.68
2016-10-21,28.54,28.54,27.73,28.025,1210600,28.025
2016-10-20,28.14,28.665,27.95,28.465,942100,28.465
2016-10-19,28.505,28.515,27.935,28.16,1212600,28.16
2016-10-18,28.46,28.765,28.34,28.485,865800,28.485
2016-10-17,29.00,29.08,28.30,28.415,1393100,28.415
2016-10-14,29.185,29.81,29.05,29.475,979900,29.475
2016-10-13,29.31,29.31,28.74,29.015,1499800,29.015
2016-10-12,30.00,30.04,29.42,29.45,935400,29.45
2016-10-11,30.085,30.16,29.82,29.90,529000,29.90
2016-10-10,29.73,30.17,29.47,30.11,806100,30.11
2016-10-07,30.08,30.28,29.49,29.61,2510300,29.61
2016-10-06,30.74,31.02,30.695,30.915,724600,30.915
2016-10-05,30.465,30.81,30.32,30.595,929600,30.595
2016-10-04,30.695,30.925,30.435,30.745,1167300,30.745
2016-10-03,30.095,30.095,30.095,30.095,000,30.095
2016-09-30,29.62,30.095,29.45,30.095,754800,30.095
2016-09-29,30.48,30.605,29.88,29.985,542400,29.985
2016-09-28,29.97,30.40,29.84,30.175,652000,30.175
2016-09-27,30.18,30.18,29.52,29.80,669900,29.80
2016-09-26,30.235,30.26,29.885,29.955,520400,29.955
2016-09-23,30.465,30.535,30.225,30.385,614000,30.385
2016-09-22,30.23,30.74,30.105,30.535,948600,30.535
2016-09-21,30.015,30.175,29.885,29.96,537500,29.96
2016-09-20,29.80,29.92,29.545,29.745,636800,29.745
2016-09-19,29.50,29.675,29.32,29.385,525900,29.385
2016-09-16,29.20,29.355,28.90,29.27,1526200,29.27
2016-09-15,29.72,29.725,29.27,29.455,929300,29.455
2016-09-14,29.50,29.77,29.325,29.665,747100,29.665
2016-09-13,29.475,29.865,29.355,29.355,821400,29.355
2016-09-12,29.34,29.44,29.01,29.41,585600,29.41
2016-09-09,30.01,30.20,29.47,29.635,638300,29.635
2016-09-08,30.37,30.64,29.965,30.05,582400,30.05
2016-09-07,30.40,30.40,30.085,30.335,783300,30.335
2016-09-06,30.415,30.415,30.03,30.285,657600,30.285
2016-09-05,30.70,30.70,30.195,30.345,528000,30.345
2016-09-02,30.43,30.72,30.195,30.545,693900,30.545
2016-09-01,30.05,30.49,30.05,30.40,720500,30.40
2016-08-31,30.50,30.615,30.135,30.135,2275000,30.135
2016-08-30,30.56,30.77,30.44,30.53,705300,30.53
2016-08-29,30.22,30.54,30.055,30.455,425200,30.455
2016-08-26,30.21,30.515,29.97,30.36,520800,30.36
2016-08-25,29.885,30.265,29.87,30.185,500400,30.185
2016-08-24,29.72,30.205,29.665,29.98,493300,29.98
2016-08-23,29.82,30.065,29.73,29.85,412200,29.85
2016-08-22,30.00,30.12,29.56,29.65,652400,29.65
2016-08-19,30.14,30.14,29.74,29.96,285200,29.96
2016-08-18,30.05,30.365,29.87,30.07,501900,30.07
2016-08-17,29.925,30.155,29.835,29.915,700000,29.915
2016-08-16,30.00,30.18,29.875,29.935,620200,29.935
2016-08-15,30.045,30.125,29.805,30.00,426600,30.00
2016-08-12,30.00,30.31,29.78,30.09,904300,30.09
2016-08-11,29.75,29.965,29.49,29.78,863500,29.78
2016-08-10,29.74,29.975,29.41,29.665,677400,29.665
2016-08-09,29.08,29.83,29.08,29.71,1316700,29.71
2016-08-08,29.05,29.34,28.915,29.08,788600,29.08
2016-08-05,28.685,29.18,28.415,29.01,1691500,29.01
2016-08-04,27.81,27.905,27.45,27.665,641300,27.665
2016-08-03,27.60,27.705,27.31,27.705,391400,27.705
2016-08-02,27.81,27.915,27.19,27.56,617000,27.56
2016-08-01,27.955,28.165,27.565,27.745,458300,27.745
2016-07-29,27.83,27.88,27.55,27.88,634800,27.88
2016-07-28,27.925,28.125,27.685,27.685,473600,27.685
2016-07-27,28.20,28.25,27.87,27.91,576300,27.91
2016-07-26,27.58,28.195,27.535,28.13,644000,28.13
2016-07-25,27.89,28.015,27.605,27.62,497900,27.62
2016-07-22,27.84,27.90,27.635,27.80,530800,27.80
2016-07-21,28.09,28.17,27.695,27.815,769100,27.815
2016-07-20,27.995,28.015,27.705,27.95,575200,27.95
2016-07-19,27.935,27.935,27.535,27.765,683200,27.765
2016-07-18,27.89,28.105,27.75,27.93,578700,27.93
2016-07-15,27.51,27.91,27.51,27.855,597600,27.855
2016-07-14,27.205,27.85,27.205,27.69,787000,27.69
2016-07-13,27.275,27.38,27.015,27.23,667800,27.23
