Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,67.10,67.10,65.10,65.90,305800,65.90
2016-10-26,69.82,69.82,67.67,67.87,153100,67.87
2016-10-25,69.95,70.35,69.50,69.76,118500,69.76
2016-10-24,73.43,73.43,69.43,69.43,177400,69.43
2016-10-21,74.29,74.29,71.74,72.93,181900,72.93
2016-10-20,74.26,74.90,74.00,74.49,96600,74.49
2016-10-19,73.65,74.36,73.65,74.20,40500,74.20
2016-10-18,73.04,74.15,73.04,73.83,61900,73.83
2016-10-17,73.19,73.29,72.40,73.21,59400,73.21
2016-10-14,72.64,73.08,72.33,72.92,25800,72.92
2016-10-13,72.00,72.73,71.78,72.46,49600,72.46
2016-10-12,72.99,73.21,72.38,72.51,33800,72.51
2016-10-11,72.67,73.25,72.34,72.95,43900,72.95
2016-10-10,72.74,72.74,71.84,72.62,55700,72.62
2016-10-07,72.65,72.88,72.08,72.33,53100,72.33
2016-10-06,72.80,73.07,72.21,72.75,49500,72.75
2016-10-05,73.03,73.42,72.55,72.61,46700,72.61
2016-10-04,72.91,73.49,72.57,73.30,73000,73.30
2016-10-03,72.55,72.55,72.55,72.55,000,72.55
2016-09-30,71.92,72.87,71.44,72.55,102300,72.55
2016-09-29,72.96,73.02,72.04,72.36,49800,72.36
2016-09-28,72.80,73.03,72.19,72.61,36000,72.61
2016-09-27,72.31,72.73,71.83,72.73,57000,72.73
2016-09-26,72.17,72.64,71.63,72.07,68800,72.07
2016-09-23,72.34,72.45,71.98,72.27,29900,72.27
2016-09-22,72.34,72.69,72.09,72.36,51600,72.36
2016-09-21,72.70,72.80,71.59,71.73,60800,71.73
2016-09-20,71.99,73.07,71.83,72.53,102900,72.53
2016-09-19,71.40,71.98,71.33,71.90,91400,71.90
2016-09-16,70.74,71.33,70.10,71.33,137200,71.33
2016-09-15,70.25,70.70,69.61,70.61,61000,70.61
2016-09-14,70.02,70.71,69.78,70.25,76700,70.25
2016-09-13,70.43,70.50,69.82,70.00,65400,70.00
2016-09-12,70.09,70.24,69.05,70.17,73300,70.17
2016-09-09,70.80,70.96,70.12,70.40,43900,70.40
2016-09-08,71.41,71.83,70.68,70.88,68500,70.88
2016-09-07,71.51,71.63,71.34,71.54,75300,71.54
2016-09-06,71.64,71.66,71.17,71.61,44700,71.61
2016-09-05,70.92,71.60,70.90,71.38,43100,71.38
2016-09-02,70.54,71.39,70.42,71.14,74800,71.14
2016-09-01,70.27,71.21,70.17,70.47,74600,70.47
2016-08-31,70.00,70.48,69.70,70.12,80300,70.12
2016-08-30,71.66,71.85,69.87,70.17,134900,70.17
2016-08-29,69.21,71.44,68.69,71.37,164200,71.37
2016-08-26,71.60,71.60,67.62,69.30,288600,69.30
2016-08-25,72.40,72.40,70.50,71.44,63000,71.44
2016-08-24,71.61,71.75,71.13,71.55,60000,71.55
2016-08-23,71.68,71.77,71.25,71.37,47200,71.37
2016-08-22,72.00,72.13,70.98,71.42,79100,71.42
2016-08-19,71.05,72.37,70.96,71.93,57600,71.93
2016-08-18,70.65,71.48,70.65,70.99,42300,70.99
2016-08-17,70.66,70.76,70.21,70.39,40300,70.39
2016-08-16,70.88,71.16,70.55,70.73,37900,70.73
2016-08-15,70.95,71.57,70.85,71.10,41800,71.10
2016-08-12,70.85,70.99,70.61,70.92,40600,70.92
2016-08-11,70.00,71.00,69.64,70.68,92300,70.68
2016-08-10,69.68,70.00,69.61,69.85,37600,69.85
2016-08-09,69.20,69.94,69.20,69.92,37900,69.92
2016-08-08,69.72,69.75,69.30,69.33,44200,69.33
2016-08-05,68.99,69.59,68.94,69.59,37300,69.59
2016-08-04,68.69,68.95,67.91,68.91,93100,68.91
2016-08-03,68.69,68.72,68.20,68.55,36700,68.55
2016-08-02,69.30,69.49,68.51,68.51,56200,68.51
2016-08-01,69.51,69.98,68.93,69.32,50100,69.32
2016-07-29,68.55,69.12,67.88,69.12,108400,69.12
2016-07-28,68.25,69.00,68.14,68.83,86900,68.83
2016-07-27,68.20,68.59,68.08,68.48,60700,68.48
2016-07-26,68.34,68.44,67.94,67.95,52200,67.95
2016-07-25,67.73,68.42,67.50,68.09,82700,68.09
2016-07-22,66.56,67.76,66.40,67.49,75100,67.49
2016-07-21,67.10,67.27,66.43,66.62,131200,66.62
2016-07-20,67.60,67.82,66.99,67.15,96100,67.15
2016-07-19,68.10,68.30,66.96,67.09,93600,67.09
2016-07-18,67.04,67.87,66.82,67.41,112700,67.41
2016-07-15,66.41,67.75,66.06,66.80,221500,66.80
2016-07-14,69.43,70.01,67.61,68.59,214200,66.83999
2016-07-13,68.72,70.99,68.23,70.39,172500,68.59407
2016-07-12,67.27,68.14,67.10,67.39,94200,65.67061
2016-07-11,66.50,67.50,66.50,67.25,64200,65.53419
2016-07-08,65.93,66.75,65.50,66.43,56700,64.73511
2016-07-07,65.76,66.94,65.76,66.06,54000,64.37455
2016-07-06,65.59,66.19,65.07,65.68,59300,64.00424
2016-07-05,66.50,66.70,65.45,65.99,54000,64.30633
2016-07-04,67.03,67.17,66.72,66.90,56800,65.19312
2016-07-01,65.86,67.17,65.73,67.07,88900,65.35878
2016-06-30,65.19,65.82,64.84,65.63,81200,63.95552
2016-06-29,63.60,65.13,63.38,65.13,66400,63.46827
2016-06-28,63.19,63.47,62.65,62.84,83300,61.2367
2016-06-27,63.38,63.72,62.07,62.50,87600,60.90538
2016-06-24,62.40,64.40,62.00,63.14,170800,61.52905
2016-06-23,65.10,65.20,64.01,64.43,48500,62.78614
2016-06-22,64.79,65.16,64.00,64.91,72500,63.25389
2016-06-21,64.22,64.87,63.97,64.55,53300,62.90308
2016-06-20,62.21,64.50,62.21,64.20,91200,62.562
2016-06-17,63.26,63.26,61.60,62.12,415400,60.53507
2016-06-16,63.38,63.61,62.75,63.09,70700,61.48033
2016-06-15,62.34,64.69,62.23,63.77,133000,62.14298
2016-06-14,61.80,61.93,61.13,61.87,86700,60.29145
2016-06-13,63.70,63.70,61.55,62.26,134800,60.6715
2016-06-10,64.62,64.86,63.79,64.13,59900,62.49379
2016-06-09,65.46,65.46,64.57,64.78,29500,63.12721
2016-06-08,65.46,65.81,65.24,65.51,35800,63.83858
2016-06-07,65.67,65.67,65.08,65.57,35700,63.89705
2016-06-06,65.78,66.00,65.24,65.43,30900,63.76062
2016-06-03,65.61,66.33,65.24,65.54,48800,63.86782
2016-06-02,65.05,65.50,64.57,65.37,57000,63.70216
2016-06-01,65.60,65.70,64.74,64.99,40900,63.33185
2016-05-31,65.31,65.83,65.07,65.49,58800,63.81909
2016-05-30,66.37,66.46,65.19,65.53,36500,63.85807
2016-05-27,65.90,66.35,65.88,66.35,76600,64.65715
2016-05-26,65.25,66.00,65.19,65.78,71000,64.10169
2016-05-25,65.23,65.55,64.91,65.09,54400,63.42929
2016-05-24,64.00,65.00,63.90,64.95,49700,63.29287
2016-05-23,64.86,64.86,63.98,64.22,62900,62.5815
2016-05-20,64.36,64.70,64.22,64.37,68800,62.72767
2016-05-19,64.49,65.16,64.01,64.35,102800,62.70818
2016-05-18,64.98,65.54,64.80,65.54,54900,63.86782
2016-05-17,64.81,65.22,64.49,65.03,64300,63.37083
2016-05-16,64.62,64.62,64.62,64.62,000,62.97129
2016-05-13,64.16,64.67,64.05,64.62,44900,62.97129
2016-05-12,64.15,64.68,63.79,64.46,80700,62.81537
2016-05-11,65.30,65.30,64.26,64.39,39800,62.74716
2016-05-10,64.64,65.35,64.57,65.26,70600,63.59496
2016-05-09,64.63,64.93,64.19,64.55,87000,62.90308
2016-05-06,64.67,64.90,64.09,64.17,53900,62.53277
2016-05-05,64.50,64.92,64.36,64.76,33400,63.10772
2016-05-04,64.70,64.74,63.92,64.53,58300,62.88358
2016-05-03,64.92,65.01,64.27,64.52,87900,62.87384
2016-05-02,64.51,65.01,64.47,65.01,33500,63.35134
2016-04-29,64.92,64.93,64.00,64.39,74200,62.74716
2016-04-28,64.92,64.93,63.84,64.78,62800,63.12721
2016-04-27,64.44,64.90,63.68,64.79,71100,63.13695
2016-04-26,64.41,64.66,63.40,64.09,100600,62.45481
2016-04-25,64.10,64.76,63.90,64.15,100300,62.51328
2016-04-22,64.10,65.17,63.68,64.15,114100,62.51328
2016-04-21,65.00,65.00,63.32,64.49,232100,62.8446
2016-04-20,65.77,66.96,63.83,64.57,388800,62.92256
2016-04-19,67.73,68.58,67.38,67.85,57500,66.11888
2016-04-18,67.20,67.75,66.99,67.50,35400,65.77781
2016-04-15,67.33,67.60,66.94,67.32,41000,65.6024
2016-04-14,67.63,67.90,67.34,67.54,34700,65.81679
2016-04-13,67.49,67.68,66.89,67.38,50300,65.66087
2016-04-12,67.28,67.28,66.10,66.98,54000,65.27108
2016-04-11,66.50,67.30,66.08,67.03,35800,65.3198
2016-04-08,67.13,67.39,66.68,66.85,36000,65.14439
2016-04-07,67.60,67.71,67.19,67.37,33000,65.65113
2016-04-06,67.25,67.81,66.88,67.74,40100,66.01168
2016-04-05,67.67,67.77,67.09,67.50,52800,65.77781
2016-04-04,67.67,68.05,67.45,67.92,55600,66.18709
2016-04-01,66.47,67.63,65.80,67.57,70600,65.84602
2016-03-31,66.83,66.93,66.51,66.70,49900,64.99822
2016-03-30,65.68,66.87,65.68,66.56,48000,64.86179
2016-03-29,66.05,66.39,65.21,65.86,55900,64.17965
2016-03-28,65.74,65.74,65.74,65.74,000,64.06271
2016-03-25,65.74,65.74,65.74,65.74,000,64.06271
2016-03-24,66.28,66.66,65.61,65.74,36600,64.06271
2016-03-23,66.27,66.60,66.12,66.51,41000,64.81307
2016-03-22,65.85,66.17,64.80,66.03,79500,64.34531
2016-03-21,65.93,66.28,65.47,66.04,44400,64.35506
2016-03-18,66.16,66.39,65.07,65.48,132100,63.80935
2016-03-17,66.42,66.43,65.45,66.00,35800,64.31608
2016-03-16,66.50,66.53,65.88,66.18,61300,64.49149
2016-03-15,66.48,66.48,66.12,66.35,30500,64.65715
2016-03-14,66.00,66.36,65.86,66.25,56900,64.5597
2016-03-11,65.18,65.80,65.08,65.51,58100,63.83858
2016-03-10,65.44,66.15,64.42,64.51,76300,62.8641
2016-03-09,64.61,65.90,64.41,65.35,63600,63.68266
2016-03-08,64.66,64.80,64.02,64.54,75200,62.89333
2016-03-07,64.58,64.89,64.10,64.83,54200,63.17593
2016-03-04,64.78,65.09,64.32,64.66,56700,63.01027
2016-03-03,64.61,64.73,63.87,64.70,110800,63.04924
2016-03-02,65.24,65.30,63.95,64.31,116300,62.6692
2016-03-01,63.70,64.81,63.39,64.52,86200,62.87384
2016-02-29,64.40,64.40,62.78,63.61,114100,61.98706
2016-02-26,65.00,66.11,64.55,64.64,93100,62.99078
2016-02-25,66.30,66.84,63.84,64.48,176700,62.83486
