Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,40.70,41.185,40.525,40.90,111300,40.90
2016-10-26,41.03,41.03,40.655,40.715,152600,40.715
2016-10-25,41.41,41.565,40.98,41.04,144300,41.04
2016-10-24,41.30,41.36,41.12,41.25,191700,41.25
2016-10-21,40.935,41.185,40.86,40.97,148500,40.97
2016-10-20,40.975,41.015,40.62,40.825,189700,40.825
2016-10-19,40.705,40.855,40.47,40.775,115600,40.775
2016-10-18,40.665,41.00,40.495,40.665,187000,40.665
2016-10-17,40.43,40.54,40.12,40.415,201900,40.415
2016-10-14,40.495,40.75,40.435,40.47,116300,40.47
2016-10-13,39.96,40.25,39.785,40.195,160500,40.195
2016-10-12,40.545,40.67,40.075,40.265,108500,40.265
2016-10-11,40.81,41.00,40.48,40.52,112900,40.52
2016-10-10,40.315,41.005,40.225,40.86,124200,40.86
2016-10-07,41.00,41.055,40.305,40.335,129600,40.335
2016-10-06,41.50,41.50,40.935,41.085,136700,41.085
2016-10-05,40.655,41.315,40.62,41.30,171700,41.30
2016-10-04,40.68,41.28,40.53,41.065,152200,41.065
2016-10-03,40.61,40.61,40.61,40.61,000,40.61
2016-09-30,39.965,40.785,39.82,40.61,198100,40.61
2016-09-29,40.90,41.105,40.305,40.355,134700,40.355
2016-09-28,40.145,40.925,40.145,40.65,108800,40.65
2016-09-27,39.97,40.065,39.735,40.00,148600,40.00
2016-09-26,40.40,40.40,39.84,39.96,126300,39.96
2016-09-23,40.84,40.84,40.335,40.485,109700,40.485
2016-09-22,40.65,41.01,40.485,40.90,111300,40.90
2016-09-21,40.45,40.54,40.175,40.315,93600,40.315
2016-09-20,40.07,40.59,40.07,40.215,145000,40.215
2016-09-19,39.99,40.35,39.965,40.17,108900,40.17
2016-09-16,40.00,40.31,39.68,39.87,157300,39.87
2016-09-15,39.90,40.165,39.90,40.165,126100,40.165
2016-09-14,39.595,40.145,39.505,39.955,205000,39.955
2016-09-13,39.595,39.87,39.46,39.545,138600,39.545
2016-09-12,39.20,39.61,38.97,39.485,151300,39.485
2016-09-09,40.205,40.38,39.62,39.72,148300,39.72
2016-09-08,40.89,41.16,40.33,40.405,135100,40.405
2016-09-07,41.04,41.07,40.75,40.955,86300,40.955
2016-09-06,40.95,41.16,40.75,40.86,80100,40.86
2016-09-05,41.555,41.65,40.95,41.02,108900,41.02
2016-09-02,41.195,41.335,40.79,41.325,133600,41.325
2016-09-01,40.78,41.44,40.70,40.895,165700,40.895
2016-08-31,41.21,41.45,40.78,40.78,257100,40.78
2016-08-30,40.95,41.555,40.76,41.45,278100,41.45
2016-08-29,40.615,40.815,40.215,40.675,153300,40.675
2016-08-26,40.525,40.845,40.335,40.745,102800,40.745
2016-08-25,40.88,40.88,40.25,40.635,197000,40.635
2016-08-24,40.15,40.74,39.905,40.685,187800,40.685
2016-08-23,40.245,40.68,40.21,40.38,126600,40.38
2016-08-22,40.435,40.895,40.015,40.215,142800,40.215
2016-08-19,40.68,40.68,40.20,40.46,111600,40.46
2016-08-18,40.50,40.72,40.44,40.58,156400,40.58
2016-08-17,40.615,40.825,40.30,40.30,159600,40.30
2016-08-16,40.58,40.925,40.32,40.505,125800,40.505
2016-08-15,40.81,40.995,40.615,40.71,82300,40.71
2016-08-12,40.80,40.905,40.49,40.785,100400,40.785
2016-08-11,40.79,40.98,40.34,40.735,146300,40.735
2016-08-10,40.525,40.795,40.395,40.675,178400,40.675
2016-08-09,40.37,40.785,40.31,40.71,157000,40.71
2016-08-08,40.50,40.785,40.27,40.37,144800,40.37
2016-08-05,39.785,40.315,39.625,40.295,230900,40.295
2016-08-04,39.42,39.77,39.18,39.595,182900,39.595
2016-08-03,39.25,39.305,38.815,39.20,190900,39.20
2016-08-02,39.00,39.295,38.585,39.125,235500,39.125
2016-08-01,38.15,39.35,38.15,38.825,287900,38.825
2016-07-29,37.75,37.78,37.36,37.745,191300,37.745
2016-07-28,37.85,37.93,37.52,37.625,212000,37.625
2016-07-27,37.70,37.93,37.36,37.78,149800,37.78
2016-07-26,37.42,37.63,37.20,37.465,130000,37.465
2016-07-25,37.28,37.57,37.02,37.355,134800,37.355
2016-07-22,36.885,37.225,36.795,37.22,125500,37.22
2016-07-21,37.05,37.155,36.555,37.04,125400,37.04
2016-07-20,37.22,37.26,36.715,37.00,165600,37.00
2016-07-19,37.155,37.16,36.52,36.95,164700,36.95
2016-07-18,36.845,37.285,36.695,37.175,241500,37.175
2016-07-15,36.28,36.62,36.105,36.575,132900,36.575
2016-07-14,36.595,36.84,36.05,36.53,179200,36.53
2016-07-13,36.32,36.54,36.125,36.355,74400,36.355
2016-07-12,36.245,36.52,36.03,36.37,97700,36.37
2016-07-11,35.80,36.285,35.495,36.20,145800,36.20
2016-07-08,34.66,35.605,34.525,35.53,221100,35.53
2016-07-07,34.52,34.835,34.385,34.615,147600,34.615
2016-07-06,34.67,34.835,33.90,34.245,198400,34.245
2016-07-05,35.23,35.23,34.615,34.79,182100,34.79
2016-07-04,36.25,36.25,35.275,35.275,117600,35.275
2016-07-01,35.60,36.05,35.29,35.91,134000,35.91
2016-06-30,35.08,35.60,34.845,35.285,272800,35.285
2016-06-29,34.86,35.235,34.355,35.17,170000,35.17
2016-06-28,33.98,34.535,33.695,34.23,252300,34.23
2016-06-27,35.635,35.74,33.20,33.285,316300,33.285
2016-06-24,35.50,36.21,34.735,35.72,439800,35.72
2016-06-23,36.34,37.26,36.20,36.875,216600,36.875
2016-06-22,36.32,36.385,35.82,36.16,127800,36.16
2016-06-21,35.54,36.295,35.455,36.06,175100,36.06
2016-06-20,35.43,35.855,35.235,35.49,140000,35.49
2016-06-17,34.65,34.995,34.325,34.46,293300,34.46
2016-06-16,34.325,34.74,34.105,34.33,212200,34.33
