Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,54.76,55.26,54.60,54.76,206500,54.76
2016-10-26,54.24,54.84,54.24,54.65,133500,54.65
2016-10-25,54.66,54.76,54.12,54.15,177800,54.15
2016-10-24,54.70,55.99,54.24,54.43,297200,54.43
2016-10-21,52.60,53.10,52.57,52.87,166100,52.87
2016-10-20,51.90,52.97,51.82,52.55,209600,52.55
2016-10-19,51.87,52.36,51.64,51.97,162700,51.97
2016-10-18,51.22,51.88,51.22,51.80,206400,51.80
2016-10-17,51.18,51.55,51.03,51.15,124300,51.15
2016-10-14,50.63,51.74,50.63,51.38,134400,51.38
2016-10-13,50.92,51.31,50.51,50.99,225100,50.99
2016-10-12,49.865,51.64,49.81,51.21,303900,51.21
2016-10-11,48.75,50.95,48.53,49.83,431500,49.83
2016-10-10,47.80,48.865,47.55,48.78,213900,48.78
2016-10-07,47.86,48.23,47.76,47.87,163900,47.87
2016-10-06,48.575,48.60,47.825,47.855,110800,47.855
2016-10-05,48.65,48.69,48.115,48.30,80800,48.30
2016-10-04,48.78,49.455,48.735,48.93,155000,48.93
2016-10-03,48.685,48.685,48.685,48.685,000,48.685
2016-09-30,48.30,48.835,48.035,48.685,182200,48.685
2016-09-29,49.05,49.065,48.545,48.685,97800,48.685
2016-09-28,48.94,49.40,48.52,48.63,125600,48.63
2016-09-27,48.73,48.945,48.435,48.945,137700,48.945
2016-09-26,48.95,48.95,48.395,48.69,103600,48.69
2016-09-23,49.48,49.485,48.94,49.035,63500,49.035
2016-09-22,48.995,49.575,48.995,49.42,69500,49.42
2016-09-21,49.74,49.74,48.71,48.78,81800,48.78
2016-09-20,49.165,49.90,49.135,49.36,127900,49.36
2016-09-19,49.00,49.455,48.915,49.45,129400,49.45
2016-09-16,48.975,49.275,48.65,48.75,207100,48.75
2016-09-15,48.865,49.38,48.865,49.175,121000,49.175
2016-09-14,48.73,49.71,48.11,49.035,430100,49.035
2016-09-13,50.15,50.22,48.67,48.72,271000,48.72
2016-09-12,50.15,50.15,49.12,49.94,182500,49.94
2016-09-09,51.32,51.60,50.95,51.00,134200,51.00
2016-09-08,51.03,51.49,50.96,51.40,127900,51.40
2016-09-07,51.14,51.44,51.03,51.30,75600,51.30
2016-09-06,51.04,51.43,50.93,51.11,100700,51.11
2016-09-05,51.18,51.35,50.73,51.14,81700,51.14
2016-09-02,50.37,51.07,50.34,51.04,87800,51.04
2016-09-01,49.81,50.56,49.81,50.37,119900,50.37
2016-08-31,49.725,50.37,49.535,50.01,163000,50.01
2016-08-30,50.00,50.41,50.00,50.03,85300,50.03
2016-08-29,49.815,49.96,49.49,49.96,58900,49.96
2016-08-26,50.16,50.16,49.43,50.02,91100,50.02
2016-08-25,49.975,50.32,49.91,50.15,131400,50.15
2016-08-24,49.97,50.78,49.97,50.63,89700,50.63
2016-08-23,50.18,50.53,50.08,50.22,117100,50.22
2016-08-22,50.24,50.93,49.98,50.05,152300,50.05
2016-08-19,49.945,50.09,49.645,50.01,122700,50.01
2016-08-18,49.96,49.995,49.59,49.845,114500,49.845
2016-08-17,49.96,50.02,49.425,49.51,95400,49.51
2016-08-16,50.15,50.23,49.73,49.965,106100,49.965
2016-08-15,50.76,50.89,50.27,50.35,60500,50.35
2016-08-12,50.08,50.66,50.08,50.58,95000,50.58
2016-08-11,49.92,50.23,49.535,50.23,91000,50.23
2016-08-10,49.685,50.32,49.565,49.66,170200,49.66
2016-08-09,49.205,50.03,49.085,49.985,131000,49.985
2016-08-08,48.385,49.67,48.37,49.125,212000,49.125
2016-08-05,48.35,48.425,46.785,48.15,249800,48.15
2016-08-04,48.10,48.975,48.00,48.305,178300,48.305
2016-08-03,48.95,48.97,48.02,48.045,160700,48.045
2016-08-02,49.13,49.13,48.50,48.825,128400,48.825
2016-08-01,48.70,50.03,48.64,49.025,238800,49.025
2016-07-29,48.30,48.92,47.755,48.90,208000,48.90
2016-07-28,48.525,49.26,48.305,48.305,101100,48.305
2016-07-27,48.355,49.02,48.17,48.805,134400,48.805
2016-07-26,48.665,48.77,48.19,48.225,109400,48.225
2016-07-25,48.58,48.83,48.335,48.545,117700,48.545
2016-07-22,47.99,48.54,47.92,48.42,133000,48.42
2016-07-21,47.71,48.245,47.12,48.02,254200,48.02
2016-07-20,48.345,48.345,47.65,48.01,118900,48.01
2016-07-19,47.90,48.46,47.86,48.12,115600,48.12
2016-07-18,48.25,48.845,47.96,48.235,197100,48.235
2016-07-15,48.345,48.595,48.095,48.455,87400,48.455
2016-07-14,48.655,48.715,47.845,48.315,140100,48.315
2016-07-13,48.48,48.925,48.16,48.305,139200,48.305
2016-07-12,48.65,48.995,48.40,48.635,131600,48.635
2016-07-11,48.35,48.775,48.075,48.675,132000,48.675
2016-07-08,47.31,48.185,47.135,47.695,166200,47.695
2016-07-07,47.385,48.10,47.385,47.635,96900,47.635
2016-07-06,47.35,47.66,47.095,47.29,124200,47.29
2016-07-05,48.315,48.675,47.465,47.88,234000,47.88
2016-07-04,48.80,48.88,48.035,48.33,106500,48.33
2016-07-01,48.585,48.585,47.935,48.475,116400,48.475
2016-06-30,48.195,48.605,47.685,48.025,276500,48.025
2016-06-29,46.225,48.035,46.09,47.94,350500,47.94
2016-06-28,45.60,46.70,45.58,45.915,265800,45.915
2016-06-27,47.50,47.505,44.695,45.25,222200,45.25
2016-06-24,46.32,47.18,45.205,47.00,300100,47.00
2016-06-23,48.00,48.935,48.00,48.77,110800,48.77
2016-06-22,48.575,48.625,47.89,47.89,168800,47.89
2016-06-21,48.01,48.62,47.98,48.25,187100,48.25
2016-06-20,47.925,48.565,47.77,48.19,197600,48.19
2016-06-17,47.925,47.955,47.27,47.27,446100,47.27
2016-06-16,49.17,49.17,47.05,47.59,265600,47.59
2016-06-15,47.20,47.355,46.84,47.04,206300,47.04
2016-06-14,47.295,47.41,46.55,46.735,204500,46.735
2016-06-13,47.09,47.72,46.845,47.36,208300,47.36
2016-06-10,49.65,49.80,47.75,47.965,242200,47.965
2016-06-09,50.29,50.45,49.945,50.29,117400,50.29
2016-06-08,50.72,50.82,50.32,50.41,64900,50.41
2016-06-07,50.42,50.99,50.13,50.92,148600,50.92
2016-06-06,50.00,50.41,50.00,50.30,110700,50.30
2016-06-03,50.77,50.91,49.77,50.19,150100,50.19
2016-06-02,50.61,50.86,50.45,50.78,92200,50.78
2016-06-01,51.38,51.38,50.50,50.62,105400,50.62
2016-05-31,51.26,51.54,51.13,51.45,198700,51.45
2016-05-30,51.82,51.82,51.17,51.29,45700,51.29
2016-05-27,50.85,51.58,50.83,51.57,128100,51.57
2016-05-26,50.73,50.94,50.49,50.94,117400,50.94
2016-05-25,51.30,51.34,50.51,50.51,175700,50.51
2016-05-24,50.08,51.04,49.90,50.82,121700,50.82
2016-05-23,50.09,50.65,49.78,50.29,121500,50.29
2016-05-20,51.65,52.06,50.80,51.13,265300,49.78
2016-05-19,51.54,51.71,51.18,51.29,98500,49.936
2016-05-18,50.25,51.71,50.25,51.70,131500,50.335
2016-05-17,51.48,51.76,50.98,51.03,147700,49.683
2016-05-16,51.10,51.10,51.10,51.10,000,49.751
2016-05-13,50.37,51.17,50.12,51.10,245300,49.751
2016-05-12,50.60,50.94,49.96,50.46,214500,49.128
2016-05-11,50.75,51.11,50.56,50.70,120400,49.361
2016-05-10,50.38,51.10,50.32,50.72,166600,49.381
2016-05-09,50.38,50.78,50.01,50.06,147800,48.738
2016-05-06,50.73,50.83,49.96,50.15,127100,48.826
2016-05-05,50.30,51.19,50.24,50.99,233300,49.644
2016-05-04,50.75,51.02,49.51,50.23,680700,48.904
2016-05-03,53.50,53.69,52.69,53.50,185300,52.087
2016-05-02,53.17,53.69,52.78,53.29,76300,51.883
2016-04-29,52.96,53.68,52.86,52.86,133700,51.464
2016-04-28,52.97,53.46,52.67,53.43,130900,52.019
2016-04-27,52.60,53.24,52.37,52.89,111900,51.494
2016-04-26,52.45,52.79,52.33,52.38,149700,50.997
2016-04-25,52.35,52.64,52.22,52.24,101700,50.861
2016-04-22,51.50,52.92,50.92,52.22,175800,50.841
2016-04-21,53.67,53.84,52.38,52.55,158900,51.163
2016-04-20,53.71,54.10,53.58,53.73,118800,52.311
2016-04-19,53.37,54.30,53.22,53.86,234900,52.438
2016-04-18,53.00,53.30,52.80,53.09,151400,51.688
2016-04-15,53.54,54.04,53.36,53.45,213700,52.039
2016-04-14,53.95,54.25,53.37,53.41,150400,52.00
2016-04-13,53.39,54.04,53.03,53.93,194700,52.506
2016-04-12,53.20,53.20,51.31,52.93,144700,51.532
2016-04-11,52.48,52.93,51.50,52.72,220900,51.328
2016-04-08,51.40,52.48,51.11,52.39,196300,51.007
2016-04-07,51.84,51.97,50.86,51.33,218000,49.975
2016-04-06,51.17,51.27,50.69,51.27,190400,49.916
2016-04-05,52.20,52.56,50.98,51.07,297700,49.722
2016-04-04,51.23,52.60,51.02,52.45,269600,51.065
2016-04-01,52.68,53.08,52.55,52.70,141800,51.309
2016-03-31,53.48,53.49,52.75,53.31,222300,51.902
2016-03-30,53.10,53.77,53.10,53.47,145800,52.058
2016-03-29,53.23,53.31,52.71,53.05,187700,51.649
2016-03-28,52.78,52.78,52.78,52.78,000,51.386
2016-03-25,52.78,52.78,52.78,52.78,000,51.386
2016-03-24,52.37,52.93,52.05,52.78,164100,51.386
2016-03-23,52.54,53.02,52.23,52.97,199800,51.571
2016-03-22,52.78,52.78,51.83,52.34,262700,50.958
2016-03-21,53.07,54.00,52.90,53.56,176000,52.146
2016-03-18,53.53,53.59,52.70,53.24,377000,51.834
2016-03-17,52.80,54.09,52.61,53.60,488400,52.185
2016-03-16,55.00,55.00,51.34,51.86,765800,50.491
2016-03-15,56.00,56.49,55.83,56.32,165100,54.833
2016-03-14,55.22,56.31,55.22,56.27,161400,54.784
2016-03-11,53.00,55.00,52.91,54.81,250000,53.363
2016-03-10,51.75,53.58,51.74,52.52,261900,51.133
2016-03-09,51.50,52.27,51.30,51.87,170600,50.50
2016-03-08,52.33,52.33,51.19,51.48,262300,50.121
2016-03-07,53.07,53.09,52.41,52.67,74300,51.279
2016-03-04,53.25,53.55,52.99,53.12,86400,51.717
2016-03-03,52.88,53.17,52.51,53.05,82700,51.649
2016-03-02,53.59,53.90,52.70,52.80,198000,51.406
2016-03-01,53.20,53.64,53.03,53.42,153700,52.01
2016-02-29,53.40,53.40,52.59,53.29,140000,51.883
2016-02-26,52.95,53.37,52.72,53.20,124900,51.795
2016-02-25,52.05,52.67,51.84,52.35,127200,50.968
2016-02-24,53.09,53.09,51.30,51.48,186300,50.121
2016-02-23,52.99,53.59,52.63,53.08,108700,51.679
2016-02-22,52.29,53.18,52.29,52.98,110500,51.581
2016-02-19,52.79,52.80,51.82,52.23,115200,50.851
2016-02-18,52.45,52.84,51.98,52.59,124500,51.201
2016-02-17,51.55,52.24,51.51,52.01,123600,50.637
2016-02-16,51.41,51.57,50.79,51.41,97100,50.053
2016-02-15,50.65,51.41,50.65,51.26,109300,49.907
2016-02-12,49.86,50.13,48.89,50.10,191800,48.777
2016-02-11,50.88,50.91,49.65,49.65,185400,48.339
2016-02-10,50.51,51.80,50.01,51.22,163400,49.868
2016-02-09,50.40,50.59,49.295,50.33,234700,49.001
2016-02-08,52.22,52.22,50.02,50.21,215400,48.884
2016-02-05,52.54,53.27,51.80,52.00,299100,50.627
2016-02-04,54.37,54.49,53.43,53.79,151200,52.37
2016-02-03,54.87,55.02,53.80,54.11,217100,52.681
2016-02-02,55.17,55.57,54.69,55.05,158800,53.596
2016-02-01,55.80,56.04,55.10,55.42,142800,53.957
2016-01-29,54.87,55.80,54.87,55.79,143200,54.317
2016-01-28,54.99,55.47,54.38,54.56,119600,53.119
2016-01-27,55.50,55.81,54.74,55.50,103700,54.035
2016-01-26,54.43,55.46,54.21,55.41,158100,53.947
2016-01-25,55.60,55.81,55.04,55.27,85000,53.811
2016-01-22,54.61,55.92,54.59,55.43,181200,53.966
2016-01-21,52.77,55.01,52.71,53.91,266500,52.487
2016-01-20,52.97,53.54,52.58,52.79,210700,51.396
2016-01-19,53.40,54.30,53.38,53.61,209700,52.195
2016-01-18,52.77,53.55,52.76,52.93,185600,51.532
2016-01-15,53.73,54.62,52.63,52.93,199300,51.532
2016-01-14,55.14,55.29,53.15,53.64,283100,52.224
2016-01-13,56.17,56.38,55.24,55.42,118800,53.957
2016-01-12,55.89,56.42,55.70,55.76,111800,54.288
2016-01-11,56.04,56.39,55.26,55.90,114100,54.424
2016-01-08,56.77,57.15,56.04,56.04,115200,54.56
2016-01-07,56.86,57.00,55.90,56.73,198700,55.232
2016-01-06,58.58,58.58,57.66,58.00,112100,56.469
2016-01-05,58.93,59.30,58.32,58.72,107800,57.17
2016-01-04,57.85,58.66,57.05,58.61,176800,57.063
2016-01-01,58.94,58.94,58.94,58.94,000,57.384
2015-12-31,58.94,58.94,58.94,58.94,000,57.384
2015-12-30,59.89,59.89,58.80,58.94,114400,57.384
2015-12-29,59.71,60.05,59.52,60.02,63500,58.435
2015-12-28,59.46,59.86,59.32,59.43,53100,57.861
2015-12-25,59.49,59.49,59.49,59.49,000,57.919
2015-12-24,59.49,59.49,59.49,59.49,000,57.919
2015-12-23,59.40,59.62,59.09,59.49,75600,57.919
2015-12-22,59.37,59.61,58.90,59.03,75600,57.471
2015-12-21,59.06,59.57,58.91,59.00,123300,57.442
2015-12-18,58.38,59.18,58.38,59.18,258800,57.617
2015-12-17,59.25,59.25,58.39,58.94,171700,57.384
2015-12-16,58.40,59.22,57.89,58.69,190000,57.14
2015-12-15,56.12,58.32,56.05,57.94,164800,56.41
2015-12-14,56.82,57.04,55.89,55.97,145600,54.492
2015-12-11,57.91,57.91,56.49,56.73,118300,55.232
2015-12-10,58.00,58.04,57.34,57.89,98700,56.362
2015-12-09,57.66,58.03,56.99,57.70,156400,56.177
2015-12-08,58.02,58.20,57.06,57.61,132700,56.089
2015-12-07,57.17,58.16,57.16,58.16,152200,56.624
2015-12-04,57.14,57.24,56.44,57.12,128700,55.612
2015-12-03,57.69,58.35,56.80,57.06,155800,55.553
2015-12-02,57.76,57.90,57.47,57.76,102300,56.235
2015-12-01,58.09,58.10,57.26,57.50,129300,55.982
2015-11-30,57.37,57.94,57.27,57.89,151200,56.362
2015-11-27,57.24,57.37,56.97,57.30,79400,55.787
2015-11-26,56.96,57.41,56.95,57.28,118400,55.768
2015-11-25,56.52,57.26,56.39,56.84,124300,55.339
2015-11-24,56.77,56.92,55.99,56.44,192200,54.95
2015-11-23,57.85,57.94,56.90,56.97,122400,55.466
2015-11-20,58.50,58.50,57.65,57.98,103900,56.449
2015-11-19,58.43,58.85,58.08,58.28,97000,56.741
2015-11-18,58.11,58.21,57.79,57.90,102600,56.371
2015-11-17,57.59,58.23,57.59,58.14,101000,56.605
2015-11-16,56.70,57.27,56.42,57.17,148000,55.661
2015-11-13,57.57,57.63,56.58,56.99,164500,55.485
