Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,37.445,37.445,36.53,37.23,990800,37.23
2016-10-26,37.245,37.345,36.72,37.345,670900,37.345
2016-10-25,37.53,37.55,36.91,37.06,985800,37.06
2016-10-24,37.46,37.64,36.95,37.44,1113100,37.44
2016-10-21,37.91,38.00,37.15,37.25,1860400,37.25
2016-10-20,39.41,39.50,37.22,37.90,4561500,37.90
2016-10-19,47.50,47.54,47.11,47.52,346200,47.52
2016-10-18,47.68,47.81,47.33,47.44,402300,47.44
2016-10-17,47.635,47.765,47.335,47.475,194100,47.475
2016-10-14,47.84,47.88,47.505,47.635,283100,47.635
2016-10-13,47.50,47.82,47.185,47.555,418000,47.555
2016-10-12,48.52,48.62,47.665,47.70,259200,47.70
2016-10-11,48.52,48.795,48.06,48.45,299600,48.45
2016-10-10,48.02,48.51,47.93,48.43,265300,48.43
2016-10-07,48.695,48.745,47.86,47.86,457400,47.86
2016-10-06,48.585,49.225,48.385,48.63,463000,48.63
2016-10-05,49.375,49.825,47.64,48.155,861500,48.155
2016-10-04,49.225,49.775,48.66,49.775,601200,49.775
2016-10-03,49.41,49.41,49.41,49.41,000,49.41
2016-09-30,48.60,49.56,48.585,49.41,452700,49.41
2016-09-29,50.07,50.09,49.22,49.34,259600,49.34
2016-09-28,49.535,50.03,49.395,49.48,197200,49.48
2016-09-27,49.70,49.70,48.685,49.19,336400,49.19
2016-09-26,49.525,49.71,49.20,49.425,240100,49.425
2016-09-23,49.86,50.06,49.65,49.785,258000,49.785
2016-09-22,49.535,50.13,49.395,49.995,231500,49.995
2016-09-21,49.38,49.38,48.86,49.045,242300,49.045
2016-09-20,48.65,49.135,48.65,49.015,310100,49.015
2016-09-19,47.90,48.615,47.805,48.56,222500,48.56
2016-09-16,47.65,47.855,47.00,47.665,369700,47.665
2016-09-15,47.255,47.745,46.975,47.665,324900,47.665
2016-09-14,47.365,47.78,47.20,47.255,319800,47.255
2016-09-13,47.45,47.665,47.12,47.20,251800,47.20
2016-09-12,46.725,47.32,46.365,47.32,285700,47.32
2016-09-09,47.885,47.895,47.105,47.40,257100,47.40
2016-09-08,48.94,49.04,47.965,48.02,306300,48.02
2016-09-07,49.34,49.415,48.60,48.845,421800,48.845
2016-09-06,49.945,50.00,49.125,49.225,337200,49.225
2016-09-05,49.195,49.55,49.02,49.12,145200,49.12
2016-09-02,48.255,49.12,47.915,49.105,404900,49.105
2016-09-01,48.38,48.64,47.865,48.00,192400,48.00
2016-08-31,48.15,48.45,47.955,48.115,399900,48.115
2016-08-30,48.82,48.885,48.195,48.20,229200,48.20
2016-08-29,48.045,48.53,47.81,48.465,164300,48.465
2016-08-26,47.975,48.415,47.85,48.305,206700,48.305
2016-08-25,48.35,48.49,48.005,48.18,269900,48.18
2016-08-24,48.365,48.675,47.975,48.48,198200,48.48
2016-08-23,48.435,48.995,48.30,48.465,302300,48.465
2016-08-22,49.20,49.255,47.55,48.025,439400,48.025
2016-08-19,49.56,49.56,48.855,49.26,249700,49.26
2016-08-18,48.58,50.17,48.58,49.345,549600,49.345
2016-08-17,48.39,48.44,47.87,48.025,259800,48.025
2016-08-16,48.90,48.90,48.215,48.425,347400,48.425
2016-08-15,49.05,49.315,48.78,49.125,177300,49.125
2016-08-12,49.245,49.26,48.92,49.11,198900,49.11
2016-08-11,48.755,49.265,48.325,49.265,295900,49.265
2016-08-10,48.87,48.87,48.33,48.665,414700,48.665
2016-08-09,48.43,48.975,48.32,48.975,405900,48.975
2016-08-08,48.50,48.605,48.125,48.52,215200,48.52
2016-08-05,47.65,48.365,47.59,48.315,250500,48.315
2016-08-04,47.40,47.63,46.895,47.625,213900,47.625
2016-08-03,47.31,47.37,46.775,47.095,317800,47.095
2016-08-02,47.50,47.59,47.105,47.31,325700,47.31
2016-08-01,47.75,48.55,47.27,47.525,347500,47.525
2016-07-29,47.35,47.735,47.095,47.735,432500,47.735
2016-07-28,46.74,47.75,46.305,46.915,515000,46.915
2016-07-27,46.875,47.405,46.72,47.13,435300,47.13
2016-07-26,46.90,47.15,46.47,46.58,447300,46.58
2016-07-25,46.26,46.675,46.045,46.435,283600,46.435
2016-07-22,46.005,46.31,45.78,46.265,185800,46.265
2016-07-21,46.405,46.78,45.745,46.015,244200,46.015
2016-07-20,45.84,46.525,45.705,46.185,407700,46.185
2016-07-19,45.225,45.73,44.955,45.675,256100,45.675
2016-07-18,45.96,46.21,45.345,45.525,474100,45.525
2016-07-15,45.975,46.165,45.65,46.025,271200,46.025
2016-07-14,45.70,46.105,45.53,46.02,306800,46.02
2016-07-13,44.76,45.51,44.57,45.36,295400,45.36
2016-07-12,45.005,45.05,44.54,44.695,318400,44.695
2016-07-11,44.615,45.11,44.30,45.11,337700,45.11
2016-07-08,42.615,44.27,42.595,44.27,589900,44.27
2016-07-07,42.34,43.165,42.34,42.70,388800,42.70
2016-07-06,41.66,42.355,41.66,42.175,373100,42.175
2016-07-05,42.345,42.46,41.805,41.96,330300,41.96
2016-07-04,43.045,43.125,42.45,42.54,236900,42.54
2016-07-01,42.665,43.17,42.47,43.04,344900,43.04
2016-06-30,41.245,42.39,41.075,42.275,559500,42.275
2016-06-29,40.635,41.385,40.26,41.385,392900,41.385
2016-06-28,40.33,40.585,39.99,40.285,372800,40.285
2016-06-27,41.55,41.585,39.305,39.465,527300,39.465
2016-06-24,40.32,42.415,40.32,41.825,488200,41.825
2016-06-23,43.21,43.925,43.17,43.85,274300,43.85
2016-06-22,43.385,43.44,42.83,43.055,228100,43.055
2016-06-21,42.715,43.17,42.485,43.04,271500,43.04
2016-06-20,42.425,42.965,42.125,42.575,280400,42.575
2016-06-17,41.14,41.765,40.98,41.635,684700,41.635
2016-06-16,40.955,41.15,40.67,40.73,495700,40.73
2016-06-15,41.225,41.605,41.225,41.355,422500,41.355
2016-06-14,41.575,41.705,40.95,41.08,510400,41.08
2016-06-13,42.165,42.385,41.87,41.87,338600,41.87
2016-06-10,42.68,42.775,42.345,42.65,325000,42.65
2016-06-09,42.98,43.06,42.70,42.945,265200,42.945
2016-06-08,43.60,43.60,42.925,43.285,346800,43.285
2016-06-07,42.50,43.00,42.44,43.00,350900,43.00
2016-06-06,42.245,42.41,42.08,42.255,198300,42.255
2016-06-03,41.75,42.285,41.70,42.065,420700,42.065
2016-06-02,41.565,41.745,41.47,41.605,189400,41.605
2016-06-01,41.75,41.75,41.455,41.695,209400,41.695
2016-05-31,41.17,41.715,41.095,41.665,503800,41.665
2016-05-30,41.11,41.30,41.10,41.225,124700,41.225
2016-05-27,41.12,41.175,40.95,41.165,275900,41.165
2016-05-26,41.345,41.515,41.065,41.18,256300,41.18
2016-05-25,41.735,41.735,41.33,41.405,317800,41.405
2016-05-24,40.845,41.46,40.83,41.285,340100,41.285
2016-05-23,41.235,41.39,40.895,41.005,211700,41.005
2016-05-20,41.245,41.605,41.235,41.325,243100,41.325
2016-05-19,40.87,41.215,40.785,41.025,292500,41.025
2016-05-18,40.635,41.215,40.625,41.20,264200,41.20
2016-05-17,41.08,41.495,40.68,40.89,307700,40.89
2016-05-16,40.91,40.91,40.91,40.91,000,40.91
2016-05-13,40.10,41.055,40.005,40.91,383200,40.91
2016-05-12,40.155,40.93,40.125,40.25,389100,40.25
2016-05-11,40.395,40.575,40.13,40.315,398100,40.315
2016-05-10,40.405,40.79,40.20,40.705,511100,40.705
2016-05-09,39.00,40.625,39.00,39.88,773700,39.88
2016-05-06,40.20,40.465,39.76,40.37,454800,40.37
2016-05-05,39.885,40.34,39.885,40.25,306500,40.25
2016-05-04,40.415,40.755,39.90,39.90,584700,39.90
2016-05-03,40.695,40.75,40.225,40.515,381600,40.515
2016-05-02,40.59,41.00,40.41,40.835,232200,40.835
2016-04-29,39.35,40.785,39.35,40.49,906700,40.49
2016-04-28,42.15,42.255,41.895,42.115,233700,42.115
2016-04-27,42.41,42.41,42.115,42.285,274400,42.285
2016-04-26,42.465,42.665,41.975,42.26,349200,42.26
2016-04-25,42.47,42.52,42.16,42.40,346000,42.40
2016-04-22,42.15,42.46,42.035,42.40,301900,42.40
2016-04-21,41.845,42.535,41.725,42.485,603900,42.485
2016-04-20,42.71,42.885,41.73,42.10,659600,41.30
2016-04-19,41.835,42.745,41.64,42.67,406000,41.859
