Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,32.615,32.685,32.00,32.165,112800,32.165
2016-10-26,32.49,32.58,31.53,32.55,338600,32.55
2016-10-25,33.70,33.75,32.31,32.58,285500,32.58
2016-10-24,33.42,33.98,33.42,33.465,157000,33.465
2016-10-21,33.20,33.81,33.00,33.305,222700,33.305
2016-10-20,32.995,33.28,32.875,33.18,264800,33.18
2016-10-19,32.55,32.985,32.55,32.90,262800,32.90
2016-10-18,32.00,32.935,32.00,32.33,293200,32.33
2016-10-17,31.885,32.09,31.73,31.84,165900,31.84
2016-10-14,32.00,32.30,31.875,32.005,193900,32.005
2016-10-13,31.525,31.90,31.345,31.825,256400,31.825
2016-10-12,31.54,31.875,31.54,31.72,249800,31.72
2016-10-11,31.29,31.75,31.125,31.59,304300,31.59
2016-10-10,30.80,31.47,30.80,31.17,320000,31.17
2016-10-07,30.50,31.07,30.495,30.77,302500,30.77
2016-10-06,29.50,31.135,29.37,30.87,686600,30.87
2016-10-05,29.55,29.555,29.175,29.21,238000,29.21
2016-10-04,29.285,29.77,29.115,29.695,250500,29.695
2016-10-03,29.37,29.37,29.37,29.37,000,29.37
2016-09-30,28.925,29.53,28.70,29.37,287200,29.37
2016-09-29,29.095,29.575,28.96,29.20,376000,29.20
2016-09-28,28.38,29.005,28.38,28.70,223700,28.70
2016-09-27,29.295,29.295,27.97,28.30,289800,28.30
2016-09-26,29.20,29.905,28.965,29.025,332100,29.025
2016-09-23,28.67,29.44,28.445,29.23,234300,29.23
2016-09-22,28.00,29.125,27.92,28.80,425200,28.80
2016-09-21,28.135,28.24,27.775,27.805,148600,27.805
2016-09-20,28.45,28.47,27.905,27.915,152000,27.915
2016-09-19,27.86,28.90,27.775,28.47,253600,28.47
2016-09-16,27.92,27.945,27.705,27.78,359700,27.78
2016-09-15,28.15,28.185,27.88,28.13,167900,28.13
2016-09-14,28.50,28.65,28.07,28.085,244800,28.085
2016-09-13,28.20,29.035,28.055,28.20,291600,28.20
2016-09-12,27.70,28.065,27.59,28.00,228100,28.00
2016-09-09,28.185,28.54,28.035,28.125,273400,28.125
2016-09-08,28.355,28.61,27.705,28.22,285700,28.22
2016-09-07,27.61,28.70,27.61,28.55,410900,28.55
2016-09-06,26.65,27.825,26.65,27.595,499000,27.595
2016-09-05,26.52,26.665,26.18,26.615,145500,26.615
2016-09-02,26.38,26.43,25.785,26.40,204300,26.40
2016-09-01,25.94,26.66,25.83,26.20,333900,26.20
2016-08-31,25.94,26.50,25.775,25.975,186700,25.975
2016-08-30,26.22,26.295,25.89,25.95,153600,25.95
2016-08-29,25.96,26.06,25.38,25.995,164400,25.995
2016-08-26,25.885,26.02,25.45,25.98,316800,25.98
2016-08-25,26.815,26.815,25.67,25.835,340000,25.835
2016-08-24,26.52,27.00,26.36,26.885,132400,26.885
2016-08-23,26.79,26.865,26.39,26.66,175200,26.66
2016-08-22,26.70,26.885,26.215,26.605,219400,26.605
2016-08-19,27.10,27.16,26.525,26.725,182300,26.725
2016-08-18,26.89,27.17,26.60,26.995,249200,26.995
2016-08-17,28.01,28.03,26.50,26.70,346300,26.70
2016-08-16,28.12,28.15,27.65,27.835,284900,27.835
2016-08-15,29.755,29.84,28.00,28.11,511500,28.11
2016-08-12,29.17,29.995,29.10,29.82,394400,29.82
2016-08-11,29.00,29.09,28.57,28.765,205500,28.765
2016-08-10,28.81,29.80,27.62,29.12,411700,29.12
2016-08-09,28.20,28.715,28.20,28.535,139800,28.535
2016-08-08,28.46,28.66,28.17,28.26,147400,28.26
2016-08-05,27.79,28.865,27.545,28.35,393000,28.35
2016-08-04,26.065,27.63,26.025,27.63,436200,27.63
2016-08-03,26.385,26.44,25.59,25.905,194200,25.905
2016-08-02,26.685,26.685,26.00,26.195,175600,26.195
2016-08-01,27.395,27.48,26.305,26.65,189200,26.65
2016-07-29,26.80,27.46,26.80,27.225,159000,27.225
2016-07-28,26.90,27.36,26.59,26.60,133300,26.60
2016-07-27,27.155,27.565,26.79,26.85,142500,26.85
2016-07-26,27.20,27.275,26.80,26.94,83800,26.94
2016-07-25,27.415,27.415,26.945,27.08,125200,27.08
2016-07-22,27.095,28.36,27.045,27.355,270800,27.355
2016-07-21,26.47,27.285,26.335,27.19,346300,27.19
2016-07-20,26.15,26.415,25.85,26.415,168600,26.415
2016-07-19,26.35,26.54,25.745,25.955,156400,25.955
2016-07-18,26.485,26.90,26.435,26.545,114600,26.545
2016-07-15,27.28,27.54,26.425,26.48,184900,26.48
2016-07-14,26.935,27.405,26.62,27.32,198600,27.32
2016-07-13,27.035,27.335,26.55,26.735,177400,26.735
2016-07-12,27.05,27.30,26.815,27.13,169100,27.13
2016-07-11,27.475,27.70,26.77,27.015,289200,27.015
2016-07-08,25.705,27.115,25.705,26.985,278800,26.985
2016-07-07,25.66,26.235,25.545,25.83,191300,25.83
2016-07-06,25.60,25.72,25.06,25.405,216000,25.405
2016-07-05,26.145,26.37,25.52,25.645,241100,25.645
2016-07-04,26.845,26.915,26.15,26.37,173800,26.37
2016-07-01,26.53,26.825,26.24,26.655,250000,26.655
2016-06-30,25.46,26.48,25.05,26.335,401800,26.335
2016-06-29,26.35,26.35,25.375,25.56,522100,25.56
2016-06-28,26.25,26.485,25.885,26.18,266700,26.18
2016-06-27,27.12,27.21,25.605,25.76,335900,25.76
2016-06-24,26.88,27.74,26.50,27.095,438800,27.095
2016-06-23,28.60,28.91,28.175,28.74,231000,28.74
2016-06-22,29.05,29.05,28.25,28.495,305400,28.495
2016-06-21,29.695,29.77,28.66,28.755,307400,28.755
2016-06-20,28.795,29.455,28.455,29.105,281800,29.105
2016-06-17,28.40,28.72,28.01,28.365,327900,28.365
2016-06-16,28.25,28.50,27.80,28.245,367200,28.245
2016-06-15,29.485,29.685,28.55,28.665,366700,28.665
2016-06-14,29.72,30.075,29.225,29.28,332800,29.28
2016-06-13,31.20,31.21,29.595,29.80,613400,29.80
2016-06-10,32.55,32.74,31.40,31.83,412000,31.83
2016-06-09,33.30,33.335,32.585,32.86,347800,32.86
2016-06-08,34.60,34.72,33.14,33.335,570100,33.335
2016-06-07,34.185,35.075,34.01,35.005,295000,35.005
2016-06-06,36.00,36.10,33.53,34.08,727500,34.08
2016-06-03,39.29,39.505,35.535,35.885,882000,35.885
2016-06-02,37.70,41.00,37.70,39.48,653400,39.48
2016-06-01,37.985,38.225,37.09,37.885,126000,37.885
2016-05-31,38.015,38.41,37.895,38.165,93600,38.165
2016-05-30,38.07,38.41,38.00,38.195,76000,38.195
2016-05-27,38.11,38.11,37.65,37.985,61500,37.985
2016-05-26,37.90,38.50,37.90,38.115,62900,38.115
2016-05-25,37.93,38.20,37.70,37.95,112600,37.95
2016-05-24,37.335,37.66,37.055,37.555,105900,37.555
2016-05-23,37.255,37.69,37.00,37.545,71300,37.545
2016-05-20,37.20,37.63,37.20,37.365,107900,37.365
2016-05-19,37.21,37.43,36.72,36.92,101600,36.92
2016-05-18,36.895,37.435,36.895,37.435,143100,37.435
2016-05-17,37.69,37.845,36.915,37.10,184000,37.10
2016-05-16,37.89,37.89,37.89,37.89,000,37.89
2016-05-13,37.59,38.405,37.37,37.89,137200,37.89
2016-05-12,38.73,38.95,37.705,37.76,198600,37.76
2016-05-11,39.00,39.21,37.915,38.76,236600,38.26
2016-05-10,38.90,39.99,38.745,39.45,207700,38.9411
2016-05-09,39.265,39.425,38.51,38.56,165400,38.0626
2016-05-06,39.395,39.865,39.145,39.565,129400,39.0546
2016-05-05,38.555,39.725,38.555,39.385,170700,38.8769
2016-05-04,37.545,39.255,37.545,38.625,207200,38.1267
2016-05-03,38.30,38.47,37.235,37.625,225400,37.1396
2016-05-02,38.00,38.66,37.75,38.535,71000,38.0379
2016-04-29,39.085,39.085,38.065,38.065,150000,37.574
2016-04-28,38.92,39.50,38.785,39.30,87500,38.793
2016-04-27,38.64,39.205,38.525,39.095,100700,38.5907
