Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,42.995,43.19,42.45,42.50,38900,42.50
2016-10-26,43.69,43.69,42.485,43.055,87200,43.055
2016-10-25,43.55,43.55,43.325,43.325,25600,43.325
2016-10-24,43.545,43.59,43.395,43.41,35100,43.41
2016-10-21,43.42,43.68,43.42,43.46,29200,43.46
2016-10-20,43.46,43.57,43.35,43.53,80200,43.53
2016-10-19,43.42,43.685,43.355,43.565,73200,43.565
2016-10-18,43.515,43.725,43.485,43.515,34200,43.515
2016-10-17,43.40,43.645,43.375,43.45,67300,43.45
2016-10-14,43.71,43.925,43.455,43.475,31400,43.475
2016-10-13,43.50,43.705,43.46,43.63,48200,43.63
2016-10-12,43.76,43.90,43.59,43.69,90600,43.69
2016-10-11,43.615,43.905,43.615,43.815,42000,43.815
2016-10-10,43.70,43.86,43.51,43.635,39800,43.635
2016-10-07,44.00,44.15,43.79,43.79,39600,43.79
2016-10-06,44.35,44.545,43.94,44.175,59300,44.175
2016-10-05,44.41,44.855,44.255,44.49,108900,44.49
2016-10-04,43.06,44.945,43.06,44.76,140900,44.76
2016-10-03,43.34,43.34,43.34,43.34,000,43.34
2016-09-30,42.51,43.34,42.51,43.34,105300,43.34
2016-09-29,42.80,43.07,42.78,42.88,101200,42.88
2016-09-28,42.85,42.885,42.505,42.505,63200,42.505
2016-09-27,42.85,42.85,42.415,42.615,52300,42.615
2016-09-26,43.00,43.00,42.515,42.60,63900,42.60
2016-09-23,42.825,43.025,42.81,42.87,50300,42.87
2016-09-22,42.50,43.00,42.50,42.93,87200,42.93
2016-09-21,42.70,42.70,42.47,42.50,41200,42.50
2016-09-20,42.215,42.675,42.135,42.50,48800,42.50
2016-09-19,42.45,42.66,42.285,42.49,66300,42.49
2016-09-16,42.595,42.75,42.455,42.54,121100,42.54
2016-09-15,42.29,42.72,42.29,42.64,100700,42.64
2016-09-14,42.475,42.57,42.43,42.43,72400,42.43
2016-09-13,42.555,42.60,42.335,42.425,66600,42.425
2016-09-12,42.01,42.54,41.83,42.50,120800,42.50
2016-09-09,42.145,42.60,42.12,42.60,140300,42.60
2016-09-08,42.53,42.575,42.275,42.36,120000,42.36
2016-09-07,42.39,42.70,42.39,42.62,77500,42.62
2016-09-06,42.65,42.73,42.485,42.49,75800,42.49
2016-09-05,42.11,42.64,42.11,42.455,70100,42.455
2016-09-02,42.26,42.63,42.21,42.505,131300,42.505
2016-09-01,42.40,42.58,42.395,42.45,246200,42.45
2016-08-31,42.50,42.73,42.48,42.535,93800,42.535
2016-08-30,42.485,42.81,42.485,42.525,35100,42.525
2016-08-29,42.50,42.59,42.315,42.55,25800,42.55
