Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,69.25,70.16,68.42,69.24,73000,69.24
2016-10-26,70.20,70.24,69.07,69.42,72500,69.42
2016-10-25,70.40,70.79,70.12,70.32,59400,70.32
2016-10-24,70.81,71.19,70.32,70.40,59200,70.40
2016-10-21,70.70,70.90,70.30,70.54,58300,70.54
2016-10-20,71.27,71.27,70.14,70.62,91600,70.62
2016-10-19,71.74,71.74,71.17,71.47,62200,71.47
2016-10-18,70.98,71.78,70.91,71.64,118600,71.64
2016-10-17,70.76,71.05,70.51,70.65,93700,70.65
2016-10-14,70.90,71.21,70.30,70.83,108900,70.83
2016-10-13,70.37,70.85,69.38,70.84,113800,70.84
2016-10-12,71.25,71.43,70.59,70.71,120500,70.71
2016-10-11,71.70,71.70,70.67,71.27,212200,71.27
2016-10-10,73.58,74.27,73.05,74.10,58800,74.10
2016-10-07,74.05,74.06,73.07,73.33,93200,73.33
2016-10-06,76.80,76.90,72.21,74.36,168800,74.36
2016-10-05,75.80,75.80,74.48,75.10,101800,75.10
2016-10-04,75.00,76.22,75.00,76.15,96500,76.15
2016-10-03,75.63,75.63,75.63,75.63,000,75.63
2016-09-30,74.80,75.74,74.46,75.63,109900,75.63
2016-09-29,76.80,76.92,74.82,75.12,71700,75.12
2016-09-28,75.87,76.68,75.84,76.33,55000,76.33
2016-09-27,76.12,76.12,74.92,75.69,47700,75.69
2016-09-26,75.95,76.29,75.40,75.81,60300,75.81
2016-09-23,76.23,76.37,75.72,76.32,45900,76.32
2016-09-22,75.70,76.62,75.50,76.32,45900,76.32
2016-09-21,75.70,75.92,75.27,75.41,46100,75.41
2016-09-20,74.95,75.54,74.89,75.18,52900,75.18
2016-09-19,74.90,75.32,74.24,74.91,63500,74.91
2016-09-16,73.34,74.83,73.30,74.83,180100,74.83
2016-09-15,73.21,73.31,72.65,73.18,71300,73.18
2016-09-14,72.72,73.31,72.55,73.24,96200,73.24
2016-09-13,73.00,73.17,72.27,72.40,66800,72.40
2016-09-12,72.50,72.62,71.65,72.52,100600,72.52
2016-09-09,75.61,75.61,72.78,73.02,100700,73.02
2016-09-08,76.52,76.72,75.33,75.78,60700,75.78
2016-09-07,77.02,77.02,76.27,76.65,67000,76.65
2016-09-06,76.75,77.60,76.70,76.86,81800,76.86
2016-09-05,76.51,76.99,76.17,76.73,40700,76.73
2016-09-02,75.86,76.40,75.33,76.35,89900,76.35
2016-09-01,74.97,75.99,74.60,75.76,111200,75.76
2016-08-31,74.87,75.10,74.29,74.45,70600,74.45
2016-08-30,74.68,75.38,74.66,75.04,80500,75.04
2016-08-29,74.50,74.69,73.68,74.45,34100,74.45
2016-08-26,73.85,74.80,73.36,74.70,67500,74.70
2016-08-25,74.17,74.32,73.06,74.07,64700,74.07
2016-08-24,74.36,74.72,74.10,74.32,50600,74.32
2016-08-23,74.55,75.01,74.32,74.77,36000,74.77
2016-08-22,74.64,74.89,73.96,74.45,58500,74.45
2016-08-19,74.82,74.82,74.08,74.48,44000,74.48
2016-08-18,74.97,75.30,74.50,74.95,40100,74.95
2016-08-17,75.66,75.66,74.53,74.80,43700,74.80
2016-08-16,75.33,75.95,74.85,75.58,52100,75.58
2016-08-15,76.43,77.11,75.84,76.09,47100,76.09
2016-08-12,76.32,76.64,75.89,76.36,42900,76.36
2016-08-11,75.95,76.39,75.62,76.38,44800,76.38
2016-08-10,76.52,76.52,75.83,75.90,59000,75.90
2016-08-09,75.81,76.51,75.51,76.51,64300,76.51
2016-08-08,76.24,76.28,75.73,75.90,35900,75.90
2016-08-05,75.88,76.13,75.65,76.00,67100,76.00
2016-08-04,75.93,75.93,75.07,75.79,47600,75.79
2016-08-03,76.36,76.39,75.19,75.44,55400,75.44
2016-08-02,76.69,76.69,75.89,76.21,53800,76.21
2016-08-01,77.07,77.37,76.43,76.50,55000,76.50
2016-07-29,76.93,77.03,76.23,76.77,47600,76.77
2016-07-28,76.44,77.19,76.20,76.59,70200,76.59
2016-07-27,76.74,76.74,75.98,76.40,60700,76.40
2016-07-26,75.90,76.83,75.77,76.03,67300,76.03
2016-07-25,75.24,75.98,75.11,75.83,75200,75.83
2016-07-22,74.14,74.97,73.97,74.71,53900,74.71
2016-07-21,75.28,75.28,73.84,74.06,65700,74.06
2016-07-20,74.75,75.18,74.32,75.04,43800,75.04
2016-07-19,74.00,74.20,73.34,74.12,56300,74.12
