Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,34.385,34.80,34.38,34.67,93700,34.67
2016-10-26,34.485,34.55,33.87,34.45,93100,34.45
2016-10-25,34.63,34.75,34.405,34.495,123000,34.495
2016-10-24,34.34,34.87,34.34,34.635,88500,34.635
2016-10-21,34.455,34.785,34.11,34.235,144100,34.235
2016-10-20,34.52,34.67,34.20,34.565,103900,34.565
2016-10-19,34.195,34.665,33.975,34.395,129400,34.395
2016-10-18,34.33,34.33,33.755,34.15,188500,34.15
2016-10-17,34.11,34.395,33.85,34.00,116300,34.00
2016-10-14,34.25,34.25,33.655,34.145,193100,34.145
2016-10-13,34.25,34.25,33.665,34.00,124100,34.00
2016-10-12,34.54,34.60,34.255,34.46,139800,34.46
2016-10-11,35.095,35.095,34.46,34.50,84900,34.50
2016-10-10,34.905,35.15,34.785,35.01,96100,35.01
2016-10-07,35.42,35.445,34.78,34.875,120100,34.875
2016-10-06,35.745,35.78,35.36,35.385,131600,35.385
2016-10-05,35.165,35.635,34.93,35.45,158900,35.45
2016-10-04,35.245,35.64,35.165,35.34,142800,35.34
2016-10-03,35.26,35.26,35.26,35.26,000,35.26
2016-09-30,34.47,35.445,33.90,35.26,351200,35.26
2016-09-29,36.63,36.63,35.52,35.63,177200,34.85
2016-09-28,36.11,36.63,36.08,36.36,209200,35.564
2016-09-27,35.70,35.85,34.92,35.785,190000,35.002
2016-09-26,35.60,35.885,35.39,35.45,151600,34.674
2016-09-23,37.15,37.175,35.375,35.625,532900,34.845
2016-09-22,37.44,37.85,37.315,37.66,168900,36.836
2016-09-21,37.32,37.70,37.095,37.145,126200,36.332
2016-09-20,37.505,37.58,37.03,37.03,129100,36.219
2016-09-19,37.24,37.68,37.13,37.45,144700,36.63
2016-09-16,36.98,37.20,36.79,37.005,225100,36.195
2016-09-15,36.61,36.995,36.20,36.845,296600,36.038
2016-09-14,36.60,36.865,36.075,36.18,134000,35.388
2016-09-13,36.19,36.325,35.85,36.00,124000,35.212
2016-09-12,36.30,36.30,35.635,35.955,195600,35.168
2016-09-09,36.765,37.05,36.56,36.67,103300,35.867
2016-09-08,37.20,37.31,36.605,36.745,109700,35.941
2016-09-07,37.00,37.245,36.86,37.225,90800,36.41
