Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,101.30,102.05,100.85,101.90,128900,101.90
2016-10-26,101.20,102.00,100.45,101.00,99000,101.00
2016-10-25,101.30,102.35,101.05,101.25,140800,101.25
2016-10-24,100.15,101.50,100.00,101.30,147900,101.30
2016-10-21,100.00,100.55,99.29,99.75,220100,99.75
2016-10-20,97.29,99.11,97.10,99.07,205300,99.07
2016-10-19,96.90,97.63,96.32,97.14,148000,97.14
2016-10-18,96.15,97.01,95.72,96.95,118400,96.95
2016-10-17,95.99,96.22,95.21,95.39,119200,95.39
2016-10-14,94.91,96.54,94.85,96.16,159000,96.16
2016-10-13,95.10,95.10,93.53,93.93,249800,93.93
2016-10-12,95.29,95.90,94.77,95.60,115500,95.60
2016-10-11,94.83,95.82,94.61,95.15,112500,95.15
2016-10-10,92.77,95.20,92.64,95.01,144200,95.01
2016-10-07,93.36,94.00,92.08,92.65,187900,92.65
2016-10-06,95.40,95.50,93.25,93.55,120000,93.55
2016-10-05,94.18,95.93,93.11,94.92,157800,94.92
2016-10-04,95.35,95.60,94.13,94.68,169700,94.68
2016-10-03,95.34,95.34,95.34,95.34,000,95.34
2016-09-30,93.46,95.53,92.00,95.34,176600,95.34
2016-09-29,96.00,96.48,94.42,94.78,98600,94.78
2016-09-28,94.97,95.52,94.54,95.34,124500,95.34
2016-09-27,95.94,96.06,93.70,94.76,119900,94.76
2016-09-26,96.49,96.70,95.01,95.57,112700,95.57
2016-09-23,97.52,97.58,96.79,97.11,126000,97.11
2016-09-22,96.00,98.06,96.00,97.63,216600,97.63
2016-09-21,94.48,95.45,94.42,94.64,114600,94.64
2016-09-20,93.06,94.35,92.72,93.66,82900,93.66
2016-09-19,92.77,93.36,92.51,93.17,66400,93.17
2016-09-16,92.79,93.30,92.02,92.09,161400,92.09
2016-09-15,92.53,93.11,92.20,92.89,158300,92.89
2016-09-14,92.92,93.54,92.59,92.68,168800,92.68
2016-09-13,93.15,93.37,92.51,92.81,144000,92.81
2016-09-12,91.68,92.70,91.16,92.60,122500,92.60
2016-09-09,93.76,94.20,93.26,93.35,125400,93.35
2016-09-08,93.65,94.23,92.99,93.86,116400,93.86
2016-09-07,92.81,94.15,92.18,93.57,99700,93.57
