Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,124.95,125.55,123.20,123.65,50300,123.65
2016-10-26,125.35,125.40,123.70,124.85,48400,124.85
2016-10-25,126.85,126.90,125.70,125.95,29700,125.95
2016-10-24,126.30,127.50,125.85,126.15,49100,126.15
2016-10-21,125.85,126.20,125.25,125.45,49300,125.45
2016-10-20,125.80,126.55,124.95,125.45,52800,125.45
2016-10-19,124.95,125.95,123.85,125.90,54700,125.90
2016-10-18,124.00,125.40,124.00,124.45,79000,124.45
2016-10-17,123.05,123.50,122.80,123.10,48800,123.10
2016-10-14,122.60,123.40,122.50,123.00,88200,123.00
2016-10-13,121.00,122.00,120.40,121.70,128000,121.70
2016-10-12,121.00,122.35,120.90,121.30,61400,121.30
2016-10-11,122.85,123.15,121.35,121.35,53300,121.35
2016-10-10,122.90,123.55,122.00,122.85,58700,122.85
2016-10-07,123.05,124.35,122.35,122.35,72400,122.35
2016-10-06,124.90,125.80,124.05,124.05,54500,124.05
2016-10-05,124.00,125.10,123.40,124.70,73800,124.70
2016-10-04,125.25,126.85,124.60,124.75,103300,124.75
2016-10-03,125.55,125.55,125.55,125.55,000,125.55
2016-09-30,124.45,125.90,123.25,125.55,78600,125.55
2016-09-29,127.00,127.90,125.60,125.60,61800,125.60
2016-09-28,125.90,126.80,125.50,125.85,64200,125.85
2016-09-27,125.00,125.85,123.80,125.80,60700,125.80
2016-09-26,125.40,125.70,124.15,124.45,88800,124.45
2016-09-23,124.55,125.45,123.65,125.40,56100,125.40
2016-09-22,123.05,125.05,122.90,124.90,82400,124.90
2016-09-21,122.80,122.95,121.60,121.80,63600,121.80
2016-09-20,122.65,123.05,121.70,121.85,55700,121.85
2016-09-19,120.50,122.70,120.50,122.25,66000,122.25
2016-09-16,118.90,120.80,118.75,120.15,102600,120.15
2016-09-15,118.45,119.40,118.45,119.20,63700,119.20
2016-09-14,119.60,120.05,118.60,118.90,73200,118.90
2016-09-13,119.50,120.25,118.55,118.75,64900,118.75
2016-09-12,118.90,119.50,117.35,119.00,92100,119.00
2016-09-09,122.80,122.80,120.10,120.60,62900,120.60
2016-09-08,123.90,124.70,123.00,123.00,66400,123.00
2016-09-07,123.25,124.15,123.20,123.65,59400,123.65
2016-09-06,124.00,124.60,122.95,123.10,63300,123.10
2016-09-05,122.50,124.00,122.50,123.80,56700,123.80
2016-09-02,121.75,122.65,121.10,122.40,62700,122.40
2016-09-01,121.00,122.85,120.95,121.70,80900,121.70
2016-08-31,122.65,123.20,120.20,120.55,118500,120.55
2016-08-30,123.90,125.25,122.85,122.85,90500,122.85
2016-08-29,122.55,123.35,121.85,123.35,24000,123.35
2016-08-26,122.50,123.15,121.95,123.05,50900,123.05
2016-08-25,122.40,122.75,121.10,122.30,43100,122.30
2016-08-24,121.85,122.85,121.55,122.75,38200,122.75
2016-08-23,122.00,122.60,121.30,122.55,64800,122.55
2016-08-22,121.30,122.50,120.45,122.00,62400,122.00
2016-08-19,122.75,123.35,120.90,121.70,69100,121.70
2016-08-18,120.35,123.20,120.35,123.20,111000,123.20
2016-08-17,121.65,122.15,119.60,119.70,78600,119.70
2016-08-16,122.65,122.70,121.25,121.25,58800,121.25
2016-08-15,123.65,123.85,122.55,123.20,36600,123.20
2016-08-12,123.50,123.85,122.75,123.30,57000,123.30
2016-08-11,121.20,123.95,121.15,123.90,74700,123.90
2016-08-10,119.80,120.50,119.55,120.45,70000,120.45
2016-08-09,118.85,120.45,118.45,120.45,57300,120.45
2016-08-08,118.20,118.95,117.30,118.80,45600,118.80
2016-08-05,117.40,118.95,117.25,117.45,87700,117.45
2016-08-04,117.00,117.60,116.45,117.50,60100,117.50
2016-08-03,117.00,117.30,115.30,116.85,78900,116.85
2016-08-02,116.65,117.25,116.20,116.55,76700,116.55
2016-08-01,117.55,118.60,116.75,117.25,82500,117.25
2016-07-29,118.50,118.85,116.15,117.25,142400,117.25
2016-07-28,117.80,118.50,115.95,117.85,127500,117.85
2016-07-27,113.65,117.00,113.30,116.30,141200,116.30
2016-07-26,112.40,113.10,110.90,112.60,115500,112.60
