Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,29.085,29.18,28.67,28.80,80000,28.80
2016-10-26,29.00,29.155,28.535,29.08,71300,29.08
2016-10-25,29.25,29.275,28.885,29.00,62300,29.00
2016-10-24,29.35,29.43,29.105,29.205,53300,29.205
2016-10-21,29.02,29.335,29.02,29.21,36400,29.21
2016-10-20,29.345,29.345,28.605,28.945,91400,28.945
2016-10-19,29.29,29.39,28.815,29.235,51600,29.235
2016-10-18,29.01,29.585,29.01,29.335,89200,29.335
2016-10-17,29.14,29.14,28.765,28.91,63800,28.91
2016-10-14,29.025,29.39,28.89,29.12,51000,29.12
2016-10-13,28.975,28.975,28.67,28.845,66500,28.845
2016-10-12,29.625,29.865,29.025,29.185,131900,29.185
2016-10-11,30.15,30.20,29.535,29.64,66200,29.64
2016-10-10,30.21,30.37,30.015,30.20,62500,30.20
2016-10-07,30.25,30.66,29.88,30.09,112800,30.09
2016-10-06,31.10,31.10,30.77,30.92,88400,30.92
2016-10-05,30.20,31.05,30.055,30.865,122200,30.865
2016-10-04,30.105,30.36,29.955,30.205,91200,30.205
2016-10-03,30.105,30.105,30.105,30.105,000,30.105
2016-09-30,29.545,30.105,29.21,30.105,113300,30.105
2016-09-29,29.805,30.01,29.53,29.745,54200,29.745
2016-09-28,29.345,29.82,29.345,29.585,72300,29.585
2016-09-27,30.085,30.10,29.115,29.30,96000,29.30
2016-09-26,29.825,29.93,29.56,29.815,95100,29.815
2016-09-23,30.45,30.495,29.82,30.05,95300,30.05
2016-09-22,29.90,30.415,29.80,30.415,115600,30.415
2016-09-21,29.49,29.695,29.42,29.58,84600,29.58
2016-09-20,29.32,29.455,29.065,29.425,58600,29.425
2016-09-19,29.355,29.355,29.075,29.175,40000,29.175
2016-09-16,29.095,29.385,28.55,29.14,93800,29.14
2016-09-15,28.80,29.22,28.50,29.115,82300,29.115
2016-09-14,28.50,28.87,28.445,28.805,33900,28.805
2016-09-13,28.695,28.80,28.415,28.505,47900,28.505
2016-09-12,27.94,28.805,27.605,28.60,140500,28.60
2016-09-09,28.88,29.00,28.44,28.565,62100,28.565
2016-09-08,29.345,29.345,28.715,28.83,96100,28.83
2016-09-07,28.99,29.435,28.955,29.295,84800,29.295
2016-09-06,29.155,29.225,28.93,29.01,82900,29.01
2016-09-05,29.50,29.55,29.115,29.195,57500,29.195
2016-09-02,29.10,29.135,28.775,29.075,74700,29.075
2016-09-01,28.88,29.33,28.66,28.97,156000,28.97
2016-08-31,28.495,28.56,28.14,28.18,84800,28.18
2016-08-30,28.88,29.075,28.575,28.63,55500,28.63
2016-08-29,28.64,28.84,28.295,28.84,42100,28.84
2016-08-26,28.495,28.70,28.325,28.655,61100,28.655
2016-08-25,28.895,28.90,28.30,28.605,95400,28.605
2016-08-24,28.955,29.31,28.70,29.085,114000,29.085
2016-08-23,28.45,29.035,27.78,29.025,194600,29.025
2016-08-22,28.93,29.51,28.51,29.05,102500,29.05
2016-08-19,28.86,28.92,28.455,28.83,100500,28.83
2016-08-18,28.505,29.00,28.37,28.93,110200,28.93
2016-08-17,28.545,28.76,28.115,28.225,97600,28.225
2016-08-16,28.835,28.905,28.405,28.565,103900,28.565
2016-08-15,29.03,29.08,28.77,28.94,84900,28.94
2016-08-12,28.70,29.075,28.65,29.00,193500,29.00
2016-08-11,29.25,29.50,28.11,28.80,209800,28.80
2016-08-10,28.675,28.90,28.28,28.90,99000,28.90
2016-08-09,28.20,28.55,28.20,28.515,108800,28.515
2016-08-08,28.225,28.495,28.07,28.21,79600,28.21
2016-08-05,27.86,28.215,27.615,28.195,93000,28.195
2016-08-04,27.735,27.93,27.25,27.905,109800,27.905
2016-08-03,27.45,27.49,26.945,27.15,89800,27.15
2016-08-02,27.38,27.41,27.17,27.245,131700,27.245
2016-08-01,27.46,27.725,26.96,27.32,153300,27.32
2016-07-29,27.10,27.35,26.79,27.275,158000,27.275
2016-07-28,27.70,27.995,27.08,27.08,257800,27.08
2016-07-27,27.605,28.81,27.605,28.515,226600,28.515
2016-07-26,27.35,27.455,26.945,27.345,102000,27.345
2016-07-25,27.50,27.84,27.355,27.465,74400,27.465
2016-07-22,27.065,27.40,27.015,27.325,74000,27.325
2016-07-21,27.85,27.85,27.00,27.19,79800,27.19
2016-07-20,27.985,28.29,27.70,27.765,77100,27.765
2016-07-19,27.065,27.995,26.92,27.82,99900,27.82
2016-07-18,27.00,27.275,26.915,27.09,102700,27.09
2016-07-15,26.975,26.975,26.58,26.775,82100,26.775
2016-07-14,26.63,27.335,26.435,27.075,89300,27.075
2016-07-13,26.40,26.70,26.32,26.475,240800,26.475
2016-07-12,26.75,26.915,26.07,26.455,141200,26.455
2016-07-11,25.58,26.73,25.315,26.73,217600,26.73
2016-07-08,24.65,25.28,24.135,25.14,181600,25.14
2016-07-07,25.30,25.46,24.90,25.045,145100,25.045
2016-07-06,25.46,25.90,24.805,25.215,197700,25.215
2016-07-05,26.835,26.885,25.48,25.64,167200,25.64
2016-07-04,27.10,27.13,26.38,26.955,89300,26.955
2016-07-01,27.05,27.23,26.62,26.925,179500,26.925
2016-06-30,27.00,27.185,26.595,27.015,124500,27.015
2016-06-29,27.64,27.70,26.59,26.87,142000,26.87
2016-06-28,27.60,27.89,26.935,27.20,104600,27.20
2016-06-27,28.935,28.935,26.755,26.935,187400,26.935
2016-06-24,26.135,28.395,25.94,28.15,270800,28.15
2016-06-23,28.80,29.11,28.66,29.035,94200,29.035
2016-06-22,28.94,29.035,28.42,28.52,133800,28.52
2016-06-21,86.6001,86.9301,85.47,85.6101,77000,28.5367
2016-06-20,86.4501,87.9999,86.28,87.1701,125700,29.0567
2016-06-17,84.3999,85.9401,84.3999,85.9101,136100,28.6367
2016-06-16,84.5001,84.9099,83.6001,84.0699,188900,28.0233
2016-06-15,83.7999,85.86,83.58,84.7599,209200,28.2533
2016-06-14,83.79,83.9799,82.4799,83.3601,166400,27.7867
2016-06-13,83.9001,84.8499,83.40,83.9499,164600,27.9833
2016-06-10,86.07,86.6001,84.90,85.5399,109700,28.5133
2016-06-09,87.2199,87.33,86.0001,86.8101,63900,28.9367
2016-06-08,87.1299,88.1301,86.97,87.48,49900,29.16
2016-06-07,85.8999,88.41,85.8999,87.8199,147600,29.2733
2016-06-06,84.2499,85.8399,84.1101,85.35,73200,28.45
2016-06-03,86.10,86.10,83.5299,84.18,76000,28.06
2016-06-02,85.2501,85.89,84.48,85.8099,102500,28.6033
2016-06-01,85.50,86.1999,85.29,85.53,72600,28.51
2016-05-31,84.90,85.6299,84.5901,85.6299,96800,28.5433
2016-05-30,84.8901,85.6299,84.5001,84.5901,37600,28.1967
2016-05-27,84.9699,85.4901,84.30,84.99,60900,28.33
2016-05-26,83.9601,86.22,83.43,84.93,121800,28.31
2016-05-25,83.55,84.7101,82.98,83.4501,93700,27.8167
2016-05-24,82.6401,83.76,82.6401,83.70,82400,26.71
2016-05-23,82.9899,83.97,82.5699,83.5101,103800,26.6494
2016-05-20,82.4901,83.3301,82.3599,82.8999,42300,26.45468
2016-05-19,81.9999,82.4499,81.2901,82.17,107900,26.22175
2016-05-18,80.88,82.3899,80.25,82.2999,83300,26.26321
2016-05-17,82.6899,82.6899,80.6799,81.30,56300,25.94412
2016-05-16,82.05,82.05,82.05,82.05,000,26.18346
2016-05-13,81.66,82.2501,81.39,82.05,63100,26.18346
2016-05-12,83.0499,83.5899,81.21,81.2799,162600,25.93771
2016-05-11,80.3199,84.0099,80.1399,83.2299,164200,26.55998
2016-05-10,78.8001,80.58,77.73,79.95,157800,25.51332
2016-05-09,80.2599,80.6001,79.53,79.80,132900,25.46545
2016-05-06,80.4099,81.00,79.9899,80.2599,112500,25.61221
2016-05-05,81.5001,81.5001,80.67,80.9901,59900,25.84523
2016-05-04,82.1799,82.2501,81.0201,81.09,95700,25.87711
2016-05-03,83.4099,83.4099,81.9699,81.9699,81400,26.1579
2016-05-02,83.01,84.0501,82.5699,83.9799,244200,26.79932
2016-04-29,82.8399,83.7801,82.3299,82.3299,105700,26.27278
2016-04-28,83.9901,83.9901,82.4001,83.1999,106200,26.55041
2016-04-27,84.6399,85.1799,82.2501,84.00,127400,26.80574
2016-04-26,86.0001,86.40,83.8401,84.3999,191900,26.93335
2016-04-25,85.50,85.50,84.5001,85.32,117400,27.22697
2016-04-22,84.8901,84.9999,83.9499,84.51,84000,26.96848
2016-04-21,85.4901,85.4901,83.85,84.4701,112000,26.95575
2016-04-20,84.7599,85.3401,83.25,84.2301,248600,26.87916
2016-04-19,83.8899,85.6101,83.40,85.14,87900,27.16953
2016-04-18,82.6101,83.8899,82.1601,83.40,97200,26.61427
2016-04-15,84.4401,84.4401,82.4499,83.2101,126300,26.55367
2016-04-14,83.5101,84.54,83.16,84.3399,125900,26.9142
2016-04-13,81.06,83.2299,81.06,83.16,131700,26.53768
2016-04-12,80.4201,80.9499,78.84,80.7399,199300,25.76539
2016-04-11,80.3199,80.8401,78.9999,79.8999,55500,25.49733
2016-04-08,79.8999,80.46,79.2801,80.0001,114400,25.5293
2016-04-07,79.7499,80.8401,78.7899,79.3401,93700,25.31869
2016-04-06,78.8799,79.5999,78.0501,79.4199,82300,25.34415
2016-04-05,79.6299,79.6299,77.4399,78.5301,180500,25.0602
2016-04-04,80.0001,81.48,79.83,80.9499,129900,25.8324
2016-04-01,79.50,80.0901,78.51,80.01,151800,25.53246
2016-03-31,78.90,80.3001,78.39,80.1699,142100,25.58349
2016-03-30,78.5499,79.2099,78.00,78.90,125700,25.17824
2016-03-29,79.7799,80.1201,77.0001,78.00,125200,24.89104
2016-03-28,77.13,77.13,77.13,77.13,000,24.61341
2016-03-25,77.13,77.13,77.13,77.13,000,24.61341
2016-03-24,77.34,78.8499,76.5399,77.13,124200,24.61341
2016-03-23,77.1699,77.85,76.5399,77.3799,109200,24.69316
2016-03-22,75.75,77.01,74.8401,76.9101,116800,24.54324
2016-03-21,76.8399,77.4501,75.6699,76.41,124100,24.38365
2016-03-18,75.5499,77.1399,75.24,76.83,246900,24.51767
2016-03-17,75.9999,76.2999,73.5399,75.4701,112900,24.08371
2016-03-16,74.6499,75.39,74.3901,75.3201,75900,24.03584
2016-03-15,74.1699,75.2001,73.50,74.2401,175900,23.6912
2016-03-14,72.9999,75.0999,72.8601,75.0999,142900,23.96557
2016-03-11,70.4499,72.7401,70.4301,72.57,196300,23.15824
2016-03-10,70.7601,72.4101,69.2001,69.3501,188300,22.13072
2016-03-09,70.7901,72.00,70.6101,71.43,113900,22.79445
2016-03-08,72.6501,72.66,69.9699,70.8999,175700,22.62529
2016-03-07,74.2101,75.6399,72.06,72.6201,183500,23.17423
2016-03-04,72.5499,75.2901,72.54,74.94,152000,23.91454
2016-03-03,72.3999,72.60,71.0001,72.57,157700,23.15824
2016-03-02,72.5199,72.9999,70.7199,71.31,201500,22.75616
2016-03-01,70.2699,72.93,69.90,72.5799,181200,23.1614
2016-02-29,68.9001,70.1301,68.1201,69.93,91600,22.31577
2016-02-26,69.8301,70.1301,68.9001,69.12,98700,22.05729
2016-02-25,69.00,69.1599,67.7199,68.91,109900,21.99028
2016-02-24,67.8699,68.85,67.3101,67.9401,171600,21.68077
2016-02-23,68.79,69.0501,67.8999,68.2401,81300,21.7765
2016-02-22,69.0399,70.0101,68.7399,69.00,74300,22.019
2016-02-19,68.91,69.6399,68.4399,68.9499,145600,22.00301
2016-02-18,68.0001,69.2301,67.0299,68.9499,246200,22.00301
2016-02-17,65.4999,67.8201,65.4999,67.1001,200000,21.41271
2016-02-16,67.56,67.56,65.6499,65.8599,74300,21.01694
2016-02-15,66.4701,68.2701,66.4401,66.6501,147800,21.26911
2016-02-12,66.2301,66.2301,64.83,65.1699,138000,20.79675
2016-02-11,65.0001,66.36,63.6501,65.2599,238900,20.82547
2016-02-10,64.1199,66.0801,63.96,65.7201,188700,20.97233
2016-02-09,63.2901,64.3599,62.10,63.72,239200,20.33406
2016-02-08,67.50,68.1999,63.45,63.51,308300,20.26705
2016-02-05,66.66,68.34,66.18,67.0101,116200,21.38399
2016-02-04,67.9401,68.5599,65.6199,66.9201,210500,21.35527
2016-02-03,69.36,69.5301,66.6501,66.9099,473200,21.35201
2016-02-02,72.9501,72.9501,71.1699,71.64,97500,22.86146
2016-02-01,73.1001,73.7001,72.2001,72.8199,151900,23.23799
2016-01-29,71.40,73.2801,71.40,73.2801,71100,23.38485
2016-01-28,72.6801,73.3599,70.7901,70.89,100500,22.62213
2016-01-27,72.5901,72.8301,71.9601,72.5199,151200,23.14225
2016-01-26,71.37,73.05,71.2701,72.60,198900,23.16781
