Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,51.95,56.34,51.61,55.06,716200,55.06
2016-10-26,56.00,56.00,53.21,54.84,474500,54.84
2016-10-25,56.35,56.51,55.69,56.10,313000,56.10
2016-10-24,56.69,56.77,56.00,56.15,239600,56.15
2016-10-21,55.82,56.58,55.71,56.39,238600,56.39
2016-10-20,57.16,57.16,55.61,55.97,335400,55.97
2016-10-19,57.20,57.26,56.55,56.91,284000,56.91
2016-10-18,56.74,57.27,56.54,56.61,279100,56.61
2016-10-17,56.19,56.69,56.02,56.57,229400,56.57
2016-10-14,55.94,56.52,55.78,56.20,290200,56.20
2016-10-13,56.16,56.30,55.58,55.70,349400,55.70
2016-10-12,56.77,57.21,56.27,56.60,325900,56.60
2016-10-11,58.16,58.38,56.54,56.69,290000,56.69
2016-10-10,57.98,58.08,57.73,58.00,278900,58.00
2016-10-07,57.87,58.05,57.27,57.90,194500,57.90
2016-10-06,57.81,58.15,57.65,57.78,280700,57.78
2016-10-05,57.15,57.60,56.81,57.60,344100,57.60
2016-10-04,57.80,58.00,57.15,57.23,407400,57.23
2016-10-03,57.62,57.62,57.62,57.62,000,57.62
2016-09-30,57.00,57.77,56.65,57.62,270400,57.62
2016-09-29,57.57,57.95,57.31,57.58,237100,57.58
2016-09-28,57.00,57.98,57.00,57.22,264000,57.22
2016-09-27,57.48,57.48,56.22,57.00,240900,57.00
2016-09-26,56.73,57.62,56.36,57.14,313000,57.14
2016-09-23,58.13,58.20,56.85,56.85,301200,56.85
2016-09-22,57.50,58.18,57.10,58.09,285200,58.09
2016-09-21,56.65,57.12,56.53,56.89,200700,56.89
2016-09-20,55.95,56.26,55.67,56.17,176200,56.17
2016-09-19,55.40,55.78,55.10,55.78,166400,55.78
2016-09-16,54.69,55.31,54.49,55.03,294400,55.03
2016-09-15,54.33,55.06,54.07,54.74,253300,54.74
2016-09-14,53.55,54.42,53.11,54.25,269600,54.25
2016-09-13,53.65,53.79,52.94,53.26,146900,53.26
2016-09-12,52.60,53.36,52.03,53.15,141700,53.15
2016-09-09,53.95,53.97,53.08,53.35,123800,53.35
2016-09-08,54.51,54.56,53.41,53.95,240900,53.95
2016-09-07,53.63,54.38,53.43,54.05,207800,54.05
2016-09-06,52.37,53.11,52.31,52.65,193800,52.65
2016-09-05,52.27,52.39,51.94,52.31,92900,52.31
2016-09-02,51.31,52.03,51.14,52.00,114000,52.00
2016-09-01,51.30,51.60,51.18,51.29,159600,51.29
2016-08-31,51.29,51.66,51.00,51.07,173100,51.07
2016-08-30,51.83,52.14,51.26,51.33,131300,51.33
2016-08-29,51.33,51.74,50.95,51.65,75100,51.65
2016-08-26,51.72,51.96,51.35,51.89,126200,51.89
2016-08-25,52.11,52.18,51.42,51.95,114400,51.95
2016-08-24,52.02,52.39,51.86,52.16,136300,52.16
2016-08-23,51.75,52.35,51.35,52.20,157400,52.20
2016-08-22,51.70,52.01,51.34,51.65,103300,51.65
2016-08-19,51.68,51.70,51.09,51.60,109500,51.60
2016-08-18,51.11,52.00,51.02,51.50,154200,51.50
2016-08-17,50.97,51.28,50.63,50.89,200000,50.89
2016-08-16,51.74,51.74,50.63,50.98,215200,50.98
2016-08-15,51.25,52.41,51.25,51.58,201600,51.58
2016-08-12,50.48,50.85,50.28,50.75,140500,50.75
2016-08-11,50.48,50.65,50.03,50.64,128500,50.64
2016-08-10,50.25,50.69,49.85,50.27,288300,50.27
2016-08-09,48.85,50.25,48.85,50.25,231100,50.25
2016-08-08,48.70,49.505,48.60,48.945,131200,48.945
2016-08-05,48.485,48.705,48.225,48.55,140200,48.55
2016-08-04,48.26,48.30,47.405,48.30,148000,48.30
2016-08-03,48.345,48.545,47.64,48.00,192900,48.00
2016-08-02,49.25,49.25,48.03,48.405,240000,48.405
2016-08-01,49.355,49.425,48.875,49.245,140300,49.245
2016-07-29,49.04,49.24,48.595,49.03,210500,49.03
2016-07-28,49.50,49.675,49.035,49.145,300900,49.145
2016-07-27,49.27,49.63,49.10,49.63,156400,49.63
2016-07-26,48.52,49.33,48.23,49.195,294400,49.195
2016-07-25,49.105,49.545,48.78,49.33,264500,49.33
2016-07-22,48.245,49.10,48.125,48.87,247300,48.87
2016-07-21,49.295,49.295,47.925,48.475,254300,48.475
2016-07-20,48.76,49.715,48.185,49.15,418700,49.15
2016-07-19,47.50,48.905,47.26,48.855,925400,48.855
2016-07-18,47.35,48.465,46.01,46.43,449500,46.43
2016-07-15,46.125,46.345,45.555,45.80,192000,45.80
2016-07-14,45.605,46.32,45.56,46.24,202300,46.24
2016-07-13,45.135,45.59,44.905,45.14,203400,45.14
2016-07-12,45.115,45.615,44.885,45.07,342300,45.07
2016-07-11,43.24,45.02,43.17,45.00,347500,45.00
2016-07-08,42.26,42.905,42.14,42.765,184400,42.765
2016-07-07,42.28,42.795,42.015,42.40,170900,42.40
2016-07-06,42.18,42.58,41.515,41.985,186000,41.985
2016-07-05,42.75,42.995,41.34,42.46,293800,42.46
2016-07-04,43.675,44.205,42.76,42.785,201400,42.785
2016-07-01,43.755,44.015,43.145,43.955,208400,43.955
2016-06-30,43.63,43.945,43.315,43.435,298600,43.435
2016-06-29,43.665,43.825,43.165,43.49,332000,43.49
2016-06-28,44.355,44.51,42.82,43.11,442100,43.11
2016-06-27,45.10,45.155,43.27,43.47,362600,43.47
2016-06-24,42.00,45.24,40.15,45.19,1001200,45.19
2016-06-23,46.83,47.725,46.78,47.635,268100,47.635
2016-06-22,45.80,47.19,45.76,46.39,518900,46.39
2016-06-21,45.50,48.47,44.755,45.385,1137700,45.385
2016-06-20,48.48,49.14,48.48,48.73,146900,48.73
2016-06-17,47.595,48.03,47.46,47.69,278900,47.69
2016-06-16,47.75,48.145,47.05,47.18,192700,47.18
2016-06-15,48.68,49.145,48.355,48.355,248000,48.355
2016-06-14,47.865,48.39,47.575,48.285,239300,48.285
2016-06-13,49.23,49.46,48.50,48.50,126500,48.50
2016-06-10,50.81,50.81,49.80,49.895,158800,49.895
2016-06-09,50.82,51.01,50.31,50.89,119400,50.89
2016-06-08,51.40,51.40,50.63,50.82,163400,50.82
2016-06-07,50.15,50.98,50.15,50.76,133900,50.76
2016-06-06,49.72,50.14,49.595,50.14,79900,50.14
2016-06-03,50.08,50.43,49.37,49.575,90900,49.575
2016-06-02,49.93,50.07,49.675,49.945,102300,49.945
2016-06-01,49.535,50.61,49.53,50.03,127900,50.03
2016-05-31,49.585,50.08,48.98,49.735,177900,49.735
2016-05-30,49.21,49.53,49.21,49.395,49400,49.395
2016-05-27,49.295,49.47,48.945,49.365,90200,49.365
2016-05-26,49.00,49.52,48.94,49.29,96100,49.29
2016-05-25,49.50,49.875,49.12,49.38,131900,49.38
2016-05-24,48.645,49.27,48.50,49.22,121500,49.22
2016-05-23,48.815,49.055,48.33,48.77,127700,48.77
2016-05-20,48.175,48.77,48.00,48.73,140400,48.73
2016-05-19,47.865,48.11,47.51,47.775,183600,47.775
2016-05-18,47.00,48.14,47.00,48.10,178100,48.10
2016-05-17,47.90,47.955,47.11,47.395,192800,47.395
2016-05-16,47.53,47.53,47.53,47.53,000,47.53
2016-05-13,47.13,47.55,46.82,47.53,220300,47.53
2016-05-12,48.20,48.99,47.91,48.085,246100,47.315
2016-05-11,48.135,48.48,47.75,48.43,154500,47.654
2016-05-10,48.20,48.265,47.69,47.985,77400,47.217
2016-05-09,47.90,48.08,47.57,47.83,136000,47.064
2016-05-06,47.75,47.90,47.415,47.645,93300,46.882
2016-05-05,47.52,47.845,47.235,47.815,81500,47.049
2016-05-04,47.65,47.84,47.01,47.515,174200,46.754
2016-05-03,47.75,47.805,47.18,47.45,216100,46.69
2016-05-02,47.87,47.895,47.26,47.75,68100,46.985
2016-04-29,47.45,47.735,47.02,47.58,240600,46.818
2016-04-28,48.785,48.97,47.31,47.585,334900,46.823
