Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,93.00,95.20,92.07,94.75,188600,94.75
2016-10-26,87.80,94.77,86.49,94.28,528600,94.28
2016-10-25,84.17,84.63,83.30,84.15,94600,84.15
2016-10-24,83.55,84.16,83.55,83.80,57400,83.80
2016-10-21,82.92,83.74,82.78,83.29,75500,83.29
2016-10-20,84.10,85.00,81.14,82.65,223900,82.65
2016-10-19,84.32,84.32,82.64,83.64,124100,83.64
2016-10-18,83.65,85.55,83.44,84.56,82600,84.56
2016-10-17,82.19,82.99,81.51,82.99,83800,82.99
2016-10-14,81.50,82.82,81.22,82.44,91100,82.44
2016-10-13,81.50,81.71,80.58,81.30,90300,81.30
2016-10-12,81.27,82.42,81.27,81.50,76800,81.50
2016-10-11,83.06,83.06,81.20,81.50,107400,81.50
2016-10-10,83.08,83.26,82.23,82.93,67500,82.93
2016-10-07,83.94,84.35,82.41,82.82,76600,82.82
2016-10-06,85.49,85.95,83.20,83.25,91800,83.25
2016-10-05,86.50,86.50,84.20,84.75,152400,84.75
2016-10-04,86.50,87.00,85.96,86.88,73100,86.88
2016-10-03,86.60,86.60,86.60,86.60,000,86.60
2016-09-30,85.40,86.93,85.30,86.60,112500,86.60
2016-09-29,86.09,87.89,85.36,86.42,149800,86.42
2016-09-28,83.20,83.79,82.74,83.20,54700,83.20
2016-09-27,83.34,83.37,81.20,82.61,61900,82.61
2016-09-26,83.10,83.24,82.00,82.54,64500,82.54
2016-09-23,84.35,84.35,83.41,83.59,55900,83.59
2016-09-22,84.10,85.67,83.93,84.41,88900,84.41
2016-09-21,82.70,84.72,82.26,83.65,141100,83.65
2016-09-20,81.05,82.00,80.93,81.46,72200,81.46
2016-09-19,81.00,81.91,80.69,81.58,76300,81.58
2016-09-16,82.12,82.12,80.54,81.00,137400,81.00
2016-09-15,84.99,84.99,81.05,82.23,280000,82.23
2016-09-14,89.76,89.85,84.75,85.09,243500,85.09
2016-09-13,90.00,90.66,89.65,89.65,123600,89.65
2016-09-12,90.10,90.83,89.69,90.60,92900,90.60
2016-09-09,90.38,90.70,90.11,90.34,88000,90.34
2016-09-08,90.22,90.71,89.47,90.33,65900,90.33
2016-09-07,90.82,91.13,89.73,89.87,57000,89.87
2016-09-06,91.07,91.88,90.67,90.93,64500,90.93
2016-09-05,90.02,90.44,89.57,89.91,39500,89.91
2016-09-02,88.20,89.60,87.77,89.60,69300,89.60
2016-09-01,87.25,88.34,86.30,88.12,74900,88.12
2016-08-31,86.36,86.71,85.59,85.70,51700,85.70
2016-08-30,88.47,88.78,86.85,87.00,67600,87.00
2016-08-29,87.26,88.32,86.77,88.30,34800,88.30
2016-08-26,86.58,87.72,86.58,87.15,42300,87.15
2016-08-25,86.50,87.34,86.09,86.96,47600,86.96
2016-08-24,87.23,87.52,86.80,87.38,31400,87.38
2016-08-23,87.50,87.92,86.57,87.50,82200,87.50
2016-08-22,87.48,88.74,86.04,87.40,77800,87.40
2016-08-19,85.89,87.84,85.69,86.97,118200,86.97
2016-08-18,85.50,86.23,85.29,86.01,85400,86.01
2016-08-17,87.00,87.16,85.52,85.55,39700,85.55
2016-08-16,87.55,87.58,86.43,87.00,57200,87.00
2016-08-15,88.22,88.52,87.52,87.70,37700,87.70
2016-08-12,89.53,89.83,88.11,88.29,52600,88.29
2016-08-11,89.52,90.39,88.87,89.57,56600,89.57
2016-08-10,87.93,89.79,87.93,89.01,82400,89.01
2016-08-09,88.65,88.74,87.72,88.23,81000,88.23
2016-08-08,88.49,89.11,88.25,88.46,36900,88.46
2016-08-05,88.00,88.46,87.61,88.00,41600,88.00
2016-08-04,88.49,88.80,87.67,88.10,62800,88.10
2016-08-03,88.12,88.12,85.79,87.66,84700,87.66
2016-08-02,88.60,88.70,87.58,87.73,61500,87.73
2016-08-01,89.75,90.68,88.12,88.70,69600,88.70
2016-07-29,90.00,90.16,88.97,89.43,60700,89.43
