Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,80.06,80.40,78.60,78.95,15000,78.95
2016-10-26,80.50,81.20,79.94,79.94,8400,79.94
2016-10-25,81.01,81.47,80.50,80.51,8800,80.51
2016-10-24,80.60,81.18,80.60,80.81,9600,80.81
2016-10-21,81.07,81.90,80.50,81.00,11400,81.00
2016-10-20,81.05,81.51,80.50,80.96,10300,80.96
2016-10-19,82.24,82.71,81.20,81.64,6500,81.64
2016-10-18,82.50,82.50,81.07,81.40,3500,81.40
2016-10-17,81.12,82.56,80.84,81.18,5000,81.18
2016-10-14,81.40,81.93,80.70,81.50,8400,81.50
2016-10-13,83.01,83.25,79.76,81.01,32400,81.01
2016-10-12,82.68,83.30,82.32,82.81,8500,82.81
2016-10-11,86.00,86.80,82.50,82.50,15600,82.50
2016-10-10,85.55,85.84,84.52,85.65,8000,85.65
2016-10-07,85.30,85.50,84.32,85.14,9700,85.14
2016-10-06,87.00,88.20,85.18,85.18,15300,85.18
2016-10-05,87.90,88.70,86.50,87.17,7000,87.17
2016-10-04,87.30,88.81,86.20,86.60,19300,86.60
2016-10-03,87.37,87.37,87.37,87.37,000,87.37
2016-09-30,86.80,89.00,85.09,87.37,14800,87.37
2016-09-29,87.04,87.48,85.43,85.65,7300,85.65
2016-09-28,87.78,87.78,84.73,85.57,11500,85.57
2016-09-27,87.80,87.88,86.09,86.29,8000,86.29
2016-09-26,89.51,89.78,86.16,86.20,6600,86.20
2016-09-23,88.40,89.00,87.80,88.00,7500,88.00
2016-09-22,86.50,87.75,86.13,87.30,12500,87.30
2016-09-21,88.10,88.30,85.51,86.00,9700,86.00
2016-09-20,87.80,90.16,87.27,87.85,24900,87.85
2016-09-19,82.79,87.30,82.51,86.87,26000,86.87
2016-09-16,82.13,83.40,81.20,82.81,31300,82.81
2016-09-15,84.98,84.98,82.73,82.93,13900,82.93
2016-09-14,84.71,86.74,83.10,84.01,27300,84.01
2016-09-13,82.70,86.20,82.70,85.19,42800,85.19
2016-09-12,85.40,86.20,81.85,83.63,122300,83.63
2016-09-09,88.27,88.92,85.55,86.57,31400,86.57
2016-09-08,90.10,91.00,88.29,88.44,35000,88.44
2016-09-07,92.39,93.24,89.03,90.70,28200,90.70
2016-09-06,95.50,95.50,91.78,92.60,47300,92.60
2016-09-05,98.00,98.00,94.38,94.75,13700,94.75
2016-09-02,99.90,99.90,97.37,97.50,18400,97.50
2016-09-01,103.00,103.10,98.35,98.72,29000,98.72
2016-08-31,103.50,104.45,101.00,101.95,26200,101.95
2016-08-30,100.30,103.45,100.30,103.00,36100,103.00
2016-08-29,99.00,102.55,98.60,101.95,20800,101.95
2016-08-26,101.00,101.00,98.00,100.00,31300,100.00
2016-08-25,98.80,103.00,98.80,100.65,19600,100.65
2016-08-24,100.10,101.40,98.55,100.05,21500,100.05
2016-08-23,102.50,103.00,100.85,100.85,12700,100.85
2016-08-22,101.25,103.00,100.45,101.55,13000,101.55
