Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,77.65,78.13,75.94,76.32,195900,76.32
2016-10-26,80.00,80.00,77.40,77.50,184400,77.50
2016-10-25,80.18,80.18,79.65,80.00,139600,80.00
2016-10-24,80.25,80.38,79.23,80.00,148900,80.00
2016-10-21,79.74,80.01,79.16,80.01,134400,80.01
2016-10-20,78.79,79.96,78.52,79.82,154600,79.82
2016-10-19,79.00,79.09,78.27,78.48,102800,78.48
2016-10-18,78.50,79.30,78.34,79.20,155900,79.20
2016-10-17,77.90,78.11,77.40,77.73,127800,77.73
2016-10-14,78.97,79.04,78.15,78.26,127200,78.26
2016-10-13,77.36,78.50,77.36,78.50,129500,78.50
2016-10-12,78.72,79.01,77.48,77.76,152400,77.76
2016-10-11,79.55,79.55,78.81,78.94,162500,78.94
2016-10-10,79.00,79.78,78.68,79.48,160500,79.48
2016-10-07,79.20,79.70,78.74,78.79,187800,78.79
2016-10-06,81.02,81.07,79.24,79.40,190500,79.40
2016-10-05,82.88,83.02,80.73,80.79,208300,80.79
2016-10-04,85.03,85.45,82.68,83.45,242100,83.45
2016-10-03,85.19,85.19,85.19,85.19,000,85.19
2016-09-30,83.98,85.19,83.71,85.19,173600,85.19
2016-09-29,86.90,86.93,84.81,85.03,84400,85.03
2016-09-28,86.50,86.80,86.22,86.48,102000,86.48
2016-09-27,85.98,86.64,85.20,86.50,162800,86.50
2016-09-26,85.54,86.00,85.16,85.70,91700,85.70
2016-09-23,86.73,86.85,85.89,86.05,154100,86.05
2016-09-22,86.00,87.02,85.80,86.62,129400,86.62
2016-09-21,87.66,87.67,85.36,85.56,119400,85.56
2016-09-20,85.57,87.39,85.54,87.12,133800,87.12
2016-09-19,85.61,85.96,84.75,85.18,97000,85.18
2016-09-16,85.08,86.09,85.08,85.30,210200,85.30
2016-09-15,85.70,86.24,85.14,85.17,145300,85.17
2016-09-14,85.83,86.17,85.33,85.80,138200,85.80
2016-09-13,86.13,86.46,85.17,85.35,99700,85.35
2016-09-12,84.61,85.88,83.90,85.61,175700,85.61
2016-09-09,87.79,87.99,85.13,85.59,232300,85.59
2016-09-08,90.25,90.25,87.92,87.92,151800,87.92
2016-09-07,89.46,90.17,88.91,90.14,129400,90.14
2016-09-06,88.58,89.35,88.36,89.35,122600,89.35
2016-09-05,88.46,89.45,88.26,88.65,162500,88.65
2016-09-02,87.84,88.44,87.60,88.44,113400,88.44
2016-09-01,88.02,88.30,87.07,87.21,99300,87.21
2016-08-31,87.88,88.30,87.50,87.51,139500,87.51
2016-08-30,89.45,89.73,88.03,88.20,92400,88.20
2016-08-29,87.82,89.09,87.39,88.99,61500,88.99
2016-08-26,88.00,88.65,87.80,88.11,99200,88.11
2016-08-25,88.97,89.20,88.21,88.32,93800,88.32
2016-08-24,89.50,89.97,88.85,89.06,73200,89.06
2016-08-23,90.00,90.46,89.60,89.60,100000,89.60
2016-08-22,89.21,89.60,87.91,89.31,128000,89.31
2016-08-19,89.80,90.05,89.02,89.38,99400,89.38
2016-08-18,89.52,90.26,89.33,89.85,94600,89.85
2016-08-17,90.58,90.58,88.62,88.68,185500,88.68
2016-08-16,90.74,91.31,90.19,90.19,139400,90.19
2016-08-15,91.57,91.88,91.07,91.07,152400,91.07
2016-08-12,91.87,92.04,91.00,91.71,125200,91.71
2016-08-11,91.25,91.41,90.60,91.41,174300,91.41
2016-08-10,90.60,91.78,89.70,91.25,128900,91.25
2016-08-09,89.50,91.19,89.00,91.18,134500,91.18
2016-08-08,91.11,91.11,89.29,89.69,107100,89.69
2016-08-05,89.82,92.00,89.48,90.30,167900,90.30
2016-08-04,89.22,89.73,87.81,89.62,103500,89.62
2016-08-03,89.70,89.82,88.57,88.72,78500,88.72
2016-08-02,90.31,90.48,89.33,89.73,134400,89.73
2016-08-01,90.37,91.05,89.86,90.57,111000,90.57
2016-07-29,88.98,89.79,88.85,89.79,135700,89.79
2016-07-28,87.97,89.46,87.75,88.90,82700,88.90
2016-07-27,88.50,88.69,87.71,88.28,134100,88.28
2016-07-26,87.99,88.77,87.79,88.32,95100,88.32
2016-07-25,86.59,87.97,86.59,87.81,113300,87.81
2016-07-22,86.00,87.30,86.00,86.80,75400,86.80
2016-07-21,87.16,87.16,85.40,86.39,135700,86.39
2016-07-20,86.25,86.93,85.71,86.53,162300,86.53
2016-07-19,85.46,86.27,85.06,85.70,70000,85.70
2016-07-18,84.76,86.24,84.68,85.56,133200,85.56
2016-07-15,84.43,85.50,84.10,84.54,149900,84.54
2016-07-14,85.25,85.25,83.78,84.22,72900,84.22
2016-07-13,83.95,84.82,83.01,84.50,100300,84.50
2016-07-12,85.45,85.93,83.70,83.88,149900,83.88
2016-07-11,83.82,85.58,83.50,85.55,117500,85.55
2016-07-08,82.50,84.03,82.44,83.95,93000,83.95
2016-07-07,83.13,84.04,82.44,82.58,94100,82.58
2016-07-06,83.32,84.31,82.87,82.90,116400,82.90
2016-07-05,84.50,84.57,83.65,83.88,135100,83.88
2016-07-04,85.35,85.73,84.00,84.76,99300,84.76
2016-07-01,84.70,85.40,84.41,85.30,144100,85.30
2016-06-30,83.76,84.49,83.49,83.89,246500,83.89
2016-06-29,82.27,83.94,81.85,83.94,150800,83.94
2016-06-28,80.50,81.84,80.50,81.66,153700,81.66
2016-06-27,80.45,82.31,79.25,79.68,246400,79.68
2016-06-24,78.83,82.14,78.48,80.75,199200,80.75
2016-06-23,82.76,83.76,82.12,82.54,107600,82.54
2016-06-22,82.15,83.01,82.07,82.47,173300,82.47
2016-06-21,80.59,81.98,80.59,81.70,123700,81.70
2016-06-20,80.24,81.46,80.03,80.90,112900,80.90
2016-06-17,79.20,79.62,78.35,78.70,372800,78.70
2016-06-16,78.49,80.05,78.19,79.41,205600,79.41
2016-06-15,79.15,80.38,78.88,79.36,203200,79.36
2016-06-14,79.11,79.50,78.32,78.48,203500,78.48
2016-06-13,80.00,80.45,79.55,79.55,141400,79.55
2016-06-10,82.01,82.51,80.35,80.79,117700,80.79
2016-06-09,81.11,82.72,80.91,82.39,122200,82.39
2016-06-08,81.18,81.85,81.18,81.47,109200,81.47
2016-06-07,80.60,81.39,80.40,81.38,140700,81.38
2016-06-06,79.98,80.60,79.90,80.48,71300,80.48
2016-06-03,79.77,80.85,79.46,80.05,152400,80.05
2016-06-02,80.13,80.13,79.17,79.78,107600,79.78
2016-06-01,80.20,80.35,79.47,80.13,148700,80.13
2016-05-31,80.50,80.50,79.72,80.20,188200,80.20
2016-05-30,80.50,80.89,80.19,80.40,70800,80.40
2016-05-27,79.71,80.31,79.49,80.00,114200,80.00
2016-05-26,78.86,80.18,78.65,80.18,103600,80.18
2016-05-25,79.90,80.00,78.40,78.76,235100,78.76
2016-05-24,79.73,80.85,79.03,80.19,121300,80.19
2016-05-23,79.10,79.83,78.81,79.62,120400,79.62
2016-05-20,79.20,79.85,78.74,79.02,278700,79.02
2016-05-19,82.78,82.89,81.82,81.87,122700,79.61
2016-05-18,82.66,83.85,82.66,83.19,154000,80.894
2016-05-17,83.70,84.17,83.03,83.35,141600,81.049
2016-05-16,84.00,84.00,84.00,84.00,000,81.681
2016-05-13,82.49,84.00,81.85,84.00,200900,81.681
2016-05-12,82.02,83.29,81.63,82.56,171900,80.281
2016-05-11,82.99,83.19,82.13,82.25,99800,79.98
2016-05-10,83.25,83.82,82.52,82.78,109700,80.495
2016-05-09,81.94,83.52,81.94,83.20,106400,80.903
2016-05-06,81.61,82.35,81.28,81.54,90100,79.289
2016-05-05,81.05,82.05,80.84,82.05,94900,79.785
2016-05-04,81.24,81.68,80.74,80.91,137800,78.677
2016-05-03,81.50,81.82,80.68,81.41,93100,79.163
2016-05-02,81.02,82.07,80.83,81.85,43000,79.591
2016-04-29,81.61,81.65,80.22,80.81,144000,78.579
2016-04-28,81.50,81.98,81.14,81.91,128800,79.649
2016-04-27,81.60,82.35,80.78,81.73,114200,79.474
2016-04-26,80.50,81.60,80.26,81.35,130000,79.104
2016-04-25,79.93,80.38,79.43,79.94,133800,77.733
2016-04-22,79.41,80.04,78.61,79.54,142500,77.344
2016-04-21,82.43,82.43,79.37,79.40,176000,77.208
2016-04-20,82.80,82.96,81.22,81.95,124900,79.688
2016-04-19,81.09,82.79,80.80,82.79,152100,80.505
2016-04-18,81.07,81.90,80.82,80.97,87800,78.735
2016-04-15,81.41,82.28,81.19,81.74,149900,79.484
2016-04-14,82.98,82.98,81.22,81.45,109800,79.202
2016-04-13,82.92,83.01,81.92,82.90,133700,80.612
2016-04-12,83.88,84.66,81.85,82.04,171300,79.775
2016-04-11,84.51,84.73,83.34,83.70,85700,81.389
2016-04-08,83.90,84.48,83.53,84.48,88200,82.148
2016-04-07,83.87,84.03,83.29,83.73,152200,81.419
2016-04-06,83.10,83.60,82.59,83.53,103800,81.224
2016-04-05,81.26,83.24,81.26,83.08,143500,80.787
2016-04-04,82.52,83.29,82.01,82.50,109400,80.223
2016-04-01,82.13,83.02,81.54,82.69,148900,80.407
2016-03-31,82.44,83.30,82.32,82.85,214000,80.563
2016-03-30,81.80,82.87,81.80,82.85,188600,80.563
2016-03-29,79.80,81.52,79.58,81.52,126800,79.27
2016-03-28,79.48,79.48,79.48,79.48,000,77.286
2016-03-25,79.48,79.48,79.48,79.48,000,77.286
2016-03-24,80.02,80.78,79.44,79.48,92900,77.286
2016-03-23,79.50,80.65,79.16,80.61,111600,78.385
2016-03-22,77.79,79.21,77.77,79.20,224000,77.014
2016-03-21,78.51,79.51,78.01,78.75,115000,76.576
2016-03-18,79.70,81.70,78.30,78.69,765500,76.518
2016-03-17,79.60,80.04,79.01,79.70,234400,77.50
2016-03-16,78.80,79.80,78.80,79.60,242000,77.403
2016-03-15,77.77,78.82,77.77,78.49,188900,76.323
2016-03-14,79.00,79.50,78.26,79.15,184900,76.965
2016-03-11,75.75,79.10,75.74,78.03,236200,75.876
2016-03-10,74.98,76.01,73.98,75.26,209400,73.182
2016-03-09,74.20,74.48,73.28,73.89,145200,71.85
2016-03-08,73.86,73.86,72.85,73.15,91900,71.131
2016-03-07,75.02,75.20,74.12,74.42,85000,72.366
2016-03-04,74.99,75.86,74.55,74.91,93700,72.842
2016-03-03,75.29,75.89,74.54,74.56,126900,72.502
2016-03-02,76.45,76.89,74.96,75.16,197100,73.085
2016-03-01,74.90,76.43,74.79,75.71,211700,73.62
2016-02-29,74.62,75.80,74.24,75.67,125000,73.581
2016-02-26,75.43,75.80,74.54,74.71,109400,72.648
2016-02-25,74.56,74.75,74.12,74.45,139700,72.395
2016-02-24,74.01,74.76,72.81,73.21,94300,71.189
2016-02-23,75.57,75.57,74.08,74.40,114500,72.346
2016-02-22,74.99,75.74,74.92,75.44,91100,73.357
2016-02-19,73.63,74.50,73.50,74.41,146000,72.356
2016-02-18,73.23,74.41,73.07,74.23,111400,72.181
2016-02-17,73.18,74.49,72.96,73.23,138800,71.209
2016-02-16,72.20,73.00,71.44,73.00,172700,70.985
2016-02-15,71.22,72.19,70.96,71.73,118300,69.75
2016-02-12,69.42,69.75,68.50,69.75,113600,67.825
2016-02-11,69.50,69.83,68.00,68.99,164200,67.086
2016-02-10,68.12,71.15,68.12,70.11,132300,68.175
2016-02-09,66.80,68.42,65.11,68.05,297700,66.171
2016-02-08,71.00,71.00,66.07,66.79,289100,64.946
2016-02-05,74.12,74.36,70.87,71.00,207800,69.04
2016-02-04,75.81,75.82,73.62,73.93,132300,71.889
2016-02-03,74.48,75.48,74.01,75.03,147400,72.959
2016-02-02,74.83,75.01,74.34,74.73,124300,72.667
2016-02-01,74.72,75.03,73.75,75.03,146200,72.959
2016-01-29,73.32,74.51,72.65,74.50,140500,72.443
2016-01-28,71.92,73.66,71.92,72.25,151300,70.256
2016-01-27,73.83,73.83,71.89,72.56,175100,70.557
2016-01-26,72.72,73.69,71.97,73.52,110900,71.49
2016-01-25,72.95,74.07,72.04,73.70,194200,71.666
2016-01-22,70.92,73.22,70.64,72.70,213800,70.693
2016-01-21,69.19,70.47,68.99,70.21,146400,68.272
2016-01-20,70.77,71.52,68.92,69.22,187600,67.309
