Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,34.975,35.405,34.725,35.04,109800,35.04
2016-10-26,34.86,35.015,34.31,34.975,94200,34.975
2016-10-25,34.495,35.25,34.44,34.97,225500,34.97
2016-10-24,34.30,34.69,34.27,34.34,140600,34.34
2016-10-21,34.375,34.65,33.84,34.18,136500,34.18
2016-10-20,34.585,34.87,34.20,34.415,168300,34.415
2016-10-19,34.70,34.70,34.06,34.365,201300,34.365
2016-10-18,33.72,35.14,33.59,34.79,313200,34.79
2016-10-17,33.585,33.745,33.265,33.525,134200,33.525
2016-10-14,32.25,33.92,31.94,33.79,279200,33.79
2016-10-13,33.335,33.435,31.90,32.14,245600,32.14
2016-10-12,33.75,34.16,33.55,33.565,122500,33.565
2016-10-11,33.435,34.37,33.435,33.70,155700,33.70
2016-10-10,33.54,33.895,33.245,33.61,147300,33.61
2016-10-07,33.76,34.03,33.225,33.52,156400,33.52
2016-10-06,33.975,34.475,33.73,33.93,179200,33.93
2016-10-05,32.99,34.04,32.75,33.94,281400,33.94
2016-10-04,32.245,33.265,32.125,33.15,192700,33.15
2016-10-03,32.42,32.42,32.42,32.42,000,32.42
2016-09-30,31.285,32.505,30.88,32.42,188800,32.42
2016-09-29,32.005,32.51,31.635,31.70,159500,31.70
2016-09-28,31.08,32.00,30.875,31.67,154800,31.67
2016-09-27,31.16,31.16,30.28,30.88,137900,30.88
2016-09-26,31.51,31.51,30.99,31.085,131700,31.085
2016-09-23,32.22,32.26,31.59,31.67,167300,31.67
2016-09-22,32.20,32.865,32.20,32.36,107700,32.36
2016-09-21,31.83,32.565,31.69,31.86,143800,31.86
2016-09-20,31.585,31.775,31.21,31.605,114600,31.605
2016-09-19,31.325,31.895,31.19,31.67,106900,31.67
2016-09-16,31.735,32.125,30.76,31.125,260600,31.125
2016-09-15,32.82,32.88,30.84,31.935,492800,31.935
2016-09-14,32.34,33.29,31.62,33.055,407400,33.055
2016-09-13,32.95,33.225,32.185,32.30,131500,32.30
2016-09-12,33.00,33.00,31.75,32.59,197100,32.59
2016-09-09,33.50,34.14,33.185,33.43,135300,33.43
2016-09-08,33.66,33.995,32.87,33.525,155000,33.525
2016-09-07,33.535,33.855,33.25,33.695,121300,33.695
2016-09-06,33.695,34.11,33.32,33.59,124100,33.59
2016-09-05,33.915,34.00,33.49,33.56,115900,33.56
2016-09-02,33.49,33.86,32.685,33.70,153600,33.70
2016-09-01,32.90,34.63,32.87,33.41,300100,33.41
2016-08-31,33.125,33.635,33.005,33.135,135400,33.135
2016-08-30,32.945,33.60,32.90,33.23,197100,33.23
2016-08-29,32.73,32.88,32.18,32.795,127500,32.795
2016-08-26,32.60,33.31,32.00,32.985,415700,32.985
