Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,27.295,27.57,27.03,27.45,712000,27.45
2016-10-26,27.775,27.89,27.185,27.30,759400,27.30
2016-10-25,27.90,27.975,27.53,27.60,440800,27.60
2016-10-24,28.075,28.22,27.785,27.825,518600,27.825
2016-10-21,28.11,28.185,27.935,28.01,484900,28.01
2016-10-20,27.81,28.10,27.72,28.00,729500,28.00
2016-10-19,27.40,27.915,27.19,27.74,853800,27.74
2016-10-18,26.93,27.39,26.84,27.28,841500,27.28
2016-10-17,26.83,26.99,26.605,26.67,626900,26.67
2016-10-14,26.60,27.22,26.595,26.98,721400,26.98
2016-10-13,27.00,27.00,26.41,26.565,816600,26.565
2016-10-12,27.10,27.705,27.03,27.14,735800,27.14
2016-10-11,27.05,27.435,26.97,27.06,505300,27.06
2016-10-10,26.545,27.115,26.46,26.985,681900,26.985
2016-10-07,26.865,26.885,26.41,26.495,726100,26.495
2016-10-06,27.19,27.245,26.735,26.94,411700,26.94
2016-10-05,26.58,27.11,26.525,26.995,750800,26.995
2016-10-04,26.455,26.96,26.455,26.825,871200,26.825
2016-10-03,26.49,26.49,26.49,26.49,000,26.49
2016-09-30,26.44,26.67,26.01,26.49,830300,26.49
2016-09-29,26.55,26.86,26.325,26.485,462100,26.485
2016-09-28,26.55,26.75,26.315,26.32,624000,26.32
2016-09-27,26.67,26.795,26.395,26.455,671400,26.455
2016-09-26,26.805,26.84,26.51,26.59,507200,26.59
2016-09-23,26.93,27.08,26.455,26.98,813100,26.98
2016-09-22,26.565,27.175,26.56,27.02,709100,27.02
2016-09-21,26.475,26.665,26.41,26.42,503800,26.42
2016-09-20,26.31,26.50,26.28,26.31,476000,26.31
2016-09-19,26.03,26.435,26.00,26.34,694600,26.34
2016-09-16,26.05,26.22,25.82,25.835,1419000,25.835
2016-09-15,25.925,26.23,25.845,26.08,629700,26.08
2016-09-14,26.055,26.13,25.85,25.945,608600,25.945
2016-09-13,26.27,26.29,25.955,25.995,481100,25.995
2016-09-12,26.15,26.22,25.705,26.09,898700,26.09
2016-09-09,26.925,26.99,26.225,26.33,712700,26.33
2016-09-08,26.86,27.025,26.45,26.99,1177200,26.99
2016-09-07,26.64,27.045,26.43,26.775,1087300,26.775
2016-09-06,27.94,27.995,26.60,26.60,2283700,26.60
2016-09-05,28.025,29.24,27.62,27.90,2469700,27.90
2016-09-02,26.935,27.955,26.935,27.955,1441500,27.955
2016-09-01,26.735,26.965,26.665,26.89,1005400,26.89
2016-08-31,26.585,26.805,26.375,26.60,993000,26.60
2016-08-30,26.545,26.605,26.42,26.58,721600,26.58
2016-08-29,26.42,26.55,26.17,26.315,434000,26.315
2016-08-26,26.61,26.76,26.265,26.62,511000,26.62
2016-08-25,26.93,26.965,26.67,26.695,452100,26.695
2016-08-24,26.825,27.035,26.75,26.985,449700,26.985
2016-08-23,26.74,27.055,26.74,26.925,761900,26.925
2016-08-22,26.27,26.975,26.25,26.595,975700,26.595
2016-08-19,26.53,26.565,25.76,26.24,1589600,26.24
2016-08-18,27.30,27.30,26.94,27.035,597400,27.035
2016-08-17,27.425,27.53,27.08,27.11,776400,27.11
2016-08-16,27.56,27.705,27.315,27.315,731400,27.315
2016-08-15,27.83,27.99,27.61,27.61,340600,27.61
2016-08-12,27.77,27.99,27.67,27.67,643400,27.67
2016-08-11,27.565,27.93,27.42,27.86,753300,27.86
2016-08-10,27.01,27.57,27.00,27.36,920300,27.36
2016-08-09,26.78,27.25,26.57,27.15,1076900,27.15
2016-08-08,26.97,27.16,26.895,27.065,624800,27.065
2016-08-05,26.505,26.915,26.505,26.77,785300,26.77
