Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,95.00,95.97,94.65,95.62,133200,95.62
2016-10-26,93.08,95.30,92.59,95.27,225500,95.27
2016-10-25,97.00,97.00,92.00,92.75,441000,92.75
2016-10-24,96.50,96.51,95.66,96.21,171200,96.21
2016-10-21,95.01,96.05,94.50,96.05,168600,96.05
2016-10-20,95.42,96.25,94.63,96.02,115000,96.02
2016-10-19,94.98,95.62,94.60,95.48,66900,95.48
2016-10-18,94.38,95.38,94.33,95.00,85400,95.00
2016-10-17,94.62,94.80,93.90,94.18,115500,94.18
2016-10-14,93.79,95.00,93.79,95.00,147500,95.00
2016-10-13,93.78,93.78,92.68,93.65,92300,93.65
2016-10-12,94.46,94.98,93.89,94.39,135300,94.39
2016-10-11,93.62,94.91,93.24,94.53,176400,94.53
2016-10-10,92.14,93.93,92.09,93.81,180500,93.81
2016-10-07,92.00,92.44,91.58,92.02,99000,92.02
2016-10-06,92.00,92.50,92.00,92.20,91600,92.20
2016-10-05,91.55,92.39,91.19,92.04,105200,92.04
2016-10-04,89.90,92.25,89.90,92.20,148000,92.20
2016-10-03,90.05,90.05,90.05,90.05,000,90.05
2016-09-30,88.66,90.15,88.24,90.05,109600,90.05
2016-09-29,90.56,90.84,89.64,89.86,60800,89.86
2016-09-28,89.01,90.06,89.01,89.82,85300,89.82
2016-09-27,89.00,89.07,88.16,88.48,110400,88.48
2016-09-26,89.74,89.80,88.57,88.94,89000,88.94
2016-09-23,90.63,90.76,89.88,90.04,74700,90.04
2016-09-22,90.00,91.13,90.00,90.83,77400,90.83
2016-09-21,89.90,90.01,89.46,89.70,84500,89.70
2016-09-20,89.07,89.82,88.82,89.21,100100,89.21
2016-09-19,88.50,89.63,88.11,89.15,174900,89.15
2016-09-16,90.28,90.56,88.85,89.33,249200,89.33
2016-09-15,89.89,90.37,89.40,90.23,114000,90.23
2016-09-14,90.70,91.02,89.82,89.87,128000,89.87
2016-09-13,90.63,90.98,90.03,90.22,82200,90.22
2016-09-12,89.98,90.26,89.21,90.02,130700,90.02
2016-09-09,91.25,91.53,90.58,90.77,80400,90.77
2016-09-08,92.59,92.65,91.24,91.55,104200,91.55
2016-09-07,92.52,92.84,92.19,92.65,104200,92.65
2016-09-06,92.67,93.23,92.58,92.65,121100,92.65
2016-09-05,90.78,92.81,90.65,92.66,148600,92.66
2016-09-02,91.13,92.21,91.08,92.15,112500,92.15
2016-09-01,91.15,92.10,90.94,91.19,88600,91.19
2016-08-31,91.56,91.94,91.14,91.16,84600,91.16
2016-08-30,91.86,92.15,91.47,91.65,69500,91.65
2016-08-29,91.39,91.79,90.78,91.63,46000,91.63
2016-08-26,91.51,91.97,90.98,91.97,81000,91.97
2016-08-25,91.56,91.74,90.67,91.66,101600,91.66
2016-08-24,91.68,92.15,91.00,92.05,110100,92.05
2016-08-23,91.49,91.99,91.00,91.84,45400,91.84
2016-08-22,91.21,91.77,90.48,90.90,75300,90.90
2016-08-19,90.80,91.28,90.17,91.00,72100,91.00
2016-08-18,90.90,90.98,90.27,90.85,66200,90.85
2016-08-17,90.74,90.74,89.91,90.12,70800,90.12
2016-08-16,91.60,91.78,90.66,90.66,94000,90.66
2016-08-15,92.50,92.90,92.04,92.09,70900,92.09
2016-08-12,92.03,92.64,91.82,92.41,71800,92.41
2016-08-11,91.49,92.15,90.87,92.09,50800,92.09
2016-08-10,91.50,91.73,90.93,91.20,114300,91.20
2016-08-09,89.89,91.50,89.89,91.50,92000,91.50
2016-08-08,90.42,91.02,90.00,90.00,109800,90.00
2016-08-05,89.87,90.35,89.34,89.90,126200,89.90
2016-08-04,89.39,90.02,89.25,89.69,136900,89.69
2016-08-03,89.45,89.50,88.48,88.90,153300,88.90
2016-08-02,90.87,91.06,89.07,89.32,161400,89.32
2016-08-01,91.89,92.25,90.32,91.08,117700,91.08
2016-07-29,92.27,92.62,91.03,91.40,156300,91.40
2016-07-28,93.17,93.93,92.35,92.35,170200,92.35
2016-07-27,93.50,94.27,92.32,93.50,294400,93.50
2016-07-26,89.30,93.62,88.80,92.93,528500,92.93
2016-07-25,86.72,87.00,85.82,86.60,126500,86.60
2016-07-22,85.75,86.75,85.43,86.73,176100,86.73
2016-07-21,86.65,86.65,85.39,86.19,83900,86.19
2016-07-20,86.28,87.11,85.88,86.42,78600,86.42
2016-07-19,85.56,85.87,84.82,85.74,101500,85.74
2016-07-18,85.09,86.45,85.09,85.57,103900,85.57
2016-07-15,85.20,85.63,84.65,85.20,103600,85.20
2016-07-14,86.05,86.19,84.82,85.27,169100,85.27
2016-07-13,84.92,85.96,84.33,85.29,208400,85.29
2016-07-12,84.31,86.05,84.31,85.05,133600,85.05
2016-07-11,82.74,84.32,82.70,84.27,120100,84.27
2016-07-08,80.62,82.17,80.44,82.11,141300,82.11
2016-07-07,79.85,81.13,79.85,80.73,120600,80.73
2016-07-06,81.15,81.69,79.19,79.62,128100,79.62
2016-07-05,82.95,83.33,81.39,81.56,94600,81.56
2016-07-04,84.67,85.00,83.21,83.28,77100,83.28
