Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,46.645,47.19,46.07,47.19,209200,47.19
2016-10-26,47.325,47.425,46.53,46.89,159900,46.89
2016-10-25,47.82,48.36,46.98,47.30,179400,47.30
2016-10-24,48.00,48.495,47.775,47.80,131700,47.80
2016-10-21,48.135,48.385,47.70,47.97,204700,47.97
2016-10-20,48.20,48.48,47.355,48.395,209300,48.395
2016-10-19,48.07,48.375,47.22,47.80,375300,47.80
2016-10-18,49.805,51.10,47.85,48.225,569300,48.225
2016-10-17,49.25,49.575,48.96,49.41,94300,49.41
2016-10-14,49.845,50.09,49.13,49.23,113300,49.23
2016-10-13,50.79,50.79,49.30,49.475,153900,49.475
2016-10-12,50.90,51.85,50.65,51.19,183800,51.19
2016-10-11,49.975,50.99,49.935,50.24,144900,50.24
2016-10-10,49.35,50.41,49.185,50.15,115600,50.15
2016-10-07,48.765,49.825,48.50,49.41,251000,49.41
2016-10-06,50.23,50.76,49.675,50.39,133900,50.39
2016-10-05,50.04,50.41,49.64,50.18,108500,50.18
2016-10-04,50.66,51.24,50.20,50.21,199800,50.21
2016-10-03,49.875,49.875,49.875,49.875,000,49.875
2016-09-30,50.16,50.31,49.545,49.875,202000,49.875
2016-09-29,50.79,51.14,50.18,50.45,126500,50.45
2016-09-28,50.33,50.92,50.01,50.26,161000,50.26
2016-09-27,50.71,50.88,49.89,50.25,133400,50.25
2016-09-26,50.66,50.80,50.04,50.54,131700,50.54
2016-09-23,50.60,50.99,49.74,50.99,198200,50.99
2016-09-22,49.28,50.98,49.125,50.46,326700,50.46
2016-09-21,48.70,49.25,48.395,49.15,123400,49.15
2016-09-20,48.825,48.825,47.86,48.32,110900,48.32
2016-09-19,48.495,49.38,48.185,48.885,133500,48.885
2016-09-16,47.07,47.98,46.765,47.98,183300,47.98
2016-09-15,47.335,47.34,46.44,47.03,150400,47.03
2016-09-14,47.595,47.895,47.10,47.34,74100,47.34
2016-09-13,48.38,48.48,47.49,47.535,117900,47.535
2016-09-12,48.845,48.845,47.30,48.04,133500,48.04
2016-09-09,49.00,49.45,48.11,48.495,119100,48.495
2016-09-08,49.885,50.04,48.675,49.07,127300,49.07
2016-09-07,50.18,50.21,49.785,50.00,127800,50.00
2016-09-06,48.76,50.38,48.76,50.16,308900,50.16
2016-09-05,48.80,50.33,48.225,48.61,274800,48.61
2016-09-02,47.565,47.73,46.88,47.53,74000,47.53
2016-09-01,47.50,47.745,47.12,47.47,88800,47.47
2016-08-31,47.12,47.715,47.12,47.215,133600,47.215
2016-08-30,47.175,47.22,46.545,47.18,128700,47.18
2016-08-29,46.665,47.145,46.42,47.045,38600,47.045
2016-08-26,46.67,47.32,46.56,47.015,65500,47.015
2016-08-25,46.91,47.02,46.335,46.805,75700,46.805
2016-08-24,47.615,48.39,47.115,47.215,101000,47.215
2016-08-23,48.00,48.25,47.765,47.78,85600,47.78
2016-08-22,48.05,48.18,47.045,47.76,146500,47.76
2016-08-19,49.485,49.485,47.425,47.795,175700,47.795
2016-08-18,49.13,50.18,49.115,49.49,232200,49.49
2016-08-17,48.80,49.35,48.61,48.82,148800,48.82
2016-08-16,48.00,49.475,48.00,48.735,114500,48.735
2016-08-15,48.91,48.91,47.68,48.31,131500,48.31
2016-08-12,47.90,49.27,47.71,48.82,158100,48.82
2016-08-11,48.00,48.425,47.435,47.90,153800,47.90
2016-08-10,45.90,49.755,45.01,47.855,296600,47.855
2016-08-09,47.30,48.14,46.835,47.625,163400,47.625
2016-08-08,47.15,47.525,47.06,47.235,97300,47.235
2016-08-05,46.95,47.135,46.565,46.99,105800,46.99
2016-08-04,46.49,47.225,46.48,46.94,120500,46.94
2016-08-03,45.975,46.005,45.25,46.00,113100,46.00
2016-08-02,46.445,46.58,45.245,46.025,119100,46.025
2016-08-01,46.65,47.08,46.425,46.63,144600,46.63
2016-07-29,46.20,46.62,45.815,46.46,145200,46.46
2016-07-28,45.75,46.675,45.75,46.085,177800,46.085
2016-07-27,45.275,46.395,45.15,45.76,219900,45.76
2016-07-26,44.20,45.515,43.93,45.06,143100,45.06
2016-07-25,44.765,45.07,44.095,44.325,100900,44.325
2016-07-22,44.45,45.245,44.425,44.765,126200,44.765
2016-07-21,45.00,45.79,44.38,44.395,259400,44.395
2016-07-20,42.285,45.35,41.215,44.93,378100,44.93
2016-07-19,42.40,42.50,41.90,42.11,95800,42.11
2016-07-18,42.45,43.00,41.925,42.465,116200,42.465
2016-07-15,42.39,42.665,42.25,42.65,136500,42.65
2016-07-14,41.92,43.05,41.76,42.26,155400,42.26
2016-07-13,42.00,42.50,41.425,41.45,152400,41.45
2016-07-12,42.45,42.525,41.865,42.13,130600,42.13
2016-07-11,41.795,42.53,41.475,42.39,123700,42.39
2016-07-08,40.75,41.52,40.48,41.39,108800,41.39
