Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,41.89,42.14,41.36,41.535,126700,41.535
2016-10-26,42.50,42.685,41.05,41.89,350000,41.89
2016-10-25,45.375,45.425,44.695,44.845,45500,44.845
2016-10-24,45.255,45.735,45.12,45.21,77700,45.21
2016-10-21,44.595,45.15,44.56,45.005,71900,45.005
2016-10-20,45.165,45.165,44.38,44.55,42600,44.55
2016-10-19,44.645,44.94,44.385,44.94,47800,44.94
2016-10-18,44.45,45.12,44.345,44.58,57800,44.58
2016-10-17,43.12,44.445,42.90,44.21,59100,44.21
2016-10-14,43.485,43.61,42.99,43.16,85100,43.16
2016-10-13,44.145,44.30,42.94,43.06,58900,43.06
2016-10-12,44.90,45.15,44.33,44.44,20600,44.44
2016-10-11,45.065,45.25,44.825,44.865,35400,44.865
2016-10-10,45.30,45.30,44.94,45.025,22500,45.025
2016-10-07,45.32,45.685,44.885,44.92,53900,44.92
2016-10-06,45.88,46.085,45.415,45.45,53500,45.45
2016-10-05,46.08,46.21,45.775,45.85,39200,45.85
2016-10-04,45.51,46.835,45.34,46.40,55400,46.40
2016-10-03,45.80,45.80,45.80,45.80,000,45.80
2016-09-30,45.77,46.485,45.705,45.80,108100,45.80
2016-09-29,46.905,47.03,46.10,46.295,36500,46.295
2016-09-28,46.50,47.305,46.32,46.415,47300,46.415
2016-09-27,46.865,46.865,45.825,46.215,30000,46.215
2016-09-26,46.51,46.99,46.355,46.755,51000,46.755
2016-09-23,46.46,46.935,46.10,46.85,62800,46.85
2016-09-22,46.77,47.55,46.77,47.285,94400,47.285
2016-09-21,46.955,47.10,46.445,46.48,61700,46.48
2016-09-20,47.00,47.165,46.655,46.655,25600,46.655
2016-09-19,46.91,47.015,46.72,47.00,29300,47.00
2016-09-16,46.845,47.00,46.385,46.705,43600,46.705
2016-09-15,46.79,46.955,45.985,46.86,48500,46.86
2016-09-14,47.26,47.32,46.83,46.96,27400,46.96
2016-09-13,46.725,47.405,46.29,46.75,38900,46.75
2016-09-12,46.515,47.045,45.48,46.97,64300,46.97
2016-09-09,47.615,47.71,46.935,47.08,27500,47.08
2016-09-08,48.00,48.13,46.94,47.635,56700,47.635
2016-09-07,48.345,48.425,47.92,48.135,22900,48.135
2016-09-06,48.18,48.45,47.99,48.35,58100,48.35
2016-09-05,47.835,48.35,47.835,48.125,22600,48.125
2016-09-02,48.125,48.21,47.505,48.15,33100,48.15
2016-09-01,47.73,48.18,47.705,48.06,75800,48.06
2016-08-31,47.905,48.405,47.875,48.00,52300,48.00
2016-08-30,48.44,48.625,48.065,48.345,41600,48.345
2016-08-29,48.05,48.38,47.59,48.31,18200,48.31
2016-08-26,48.09,48.395,47.65,48.245,37400,48.245
2016-08-25,48.555,48.61,47.72,48.20,54500,48.20
2016-08-24,48.52,48.69,48.10,48.69,38700,48.69
2016-08-23,48.20,48.555,47.98,48.29,29800,48.29
2016-08-22,48.17,48.88,47.815,47.995,42900,47.995
2016-08-19,48.72,48.72,48.08,48.17,32800,48.17
2016-08-18,48.26,49.095,48.26,48.80,29500,48.80
2016-08-17,48.59,48.81,48.20,48.20,70600,48.20
2016-08-16,49.32,49.70,48.77,48.805,70800,48.805
2016-08-15,49.60,49.91,49.435,49.68,71000,49.68
2016-08-12,49.80,49.875,49.41,49.57,68600,49.57
2016-08-11,50.60,50.91,49.65,49.825,91200,49.825
2016-08-10,50.30,50.79,49.86,50.64,86400,50.64
2016-08-09,48.82,50.27,48.82,50.23,59500,50.23
2016-08-08,48.755,49.23,48.45,48.815,48700,48.815
