Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,52.15,52.55,50.25,51.15,745400,51.15
2016-10-26,52.89,52.89,51.35,52.35,242200,52.35
2016-10-25,52.99,53.57,52.72,52.89,219100,52.89
2016-10-24,52.80,53.75,52.20,52.80,386100,52.80
2016-10-21,53.74,54.18,53.43,53.43,258500,53.43
2016-10-20,53.92,55.95,53.18,53.96,445100,53.96
2016-10-19,54.12,54.30,53.10,54.05,354600,54.05
2016-10-18,53.94,54.66,53.86,54.40,286300,54.40
2016-10-17,54.02,54.19,53.62,53.85,234700,53.85
2016-10-14,53.98,54.41,53.48,54.18,257000,54.18
2016-10-13,55.05,55.06,53.40,53.80,580300,53.80
2016-10-12,56.12,56.40,55.15,55.49,456200,55.49
2016-10-11,56.62,56.62,55.56,56.20,412800,56.20
2016-10-10,57.70,60.34,56.15,56.81,973200,56.81
2016-10-07,59.50,60.00,57.36,57.72,597600,57.72
2016-10-06,61.75,61.75,59.00,59.95,920900,59.95
2016-10-05,53.49,54.37,53.30,54.31,253200,54.31
2016-10-04,52.99,54.74,52.74,54.06,811200,54.06
2016-10-03,52.26,52.26,52.26,52.26,000,52.26
2016-09-30,51.53,52.29,51.02,52.26,611900,52.26
2016-09-29,51.05,51.30,50.48,50.60,219200,50.60
2016-09-28,50.83,51.05,50.50,50.73,183700,50.73
2016-09-27,50.25,50.85,50.15,50.67,304000,50.67
2016-09-26,50.06,50.47,50.04,50.07,259900,50.07
2016-09-23,50.58,50.98,50.54,50.54,177800,50.54
2016-09-22,49.945,51.01,49.895,50.85,326000,50.85
2016-09-21,49.90,50.00,49.535,49.63,234900,49.63
2016-09-20,49.44,49.86,49.115,49.555,200900,49.555
2016-09-19,49.395,49.65,49.14,49.45,193900,49.45
2016-09-16,48.83,49.305,48.605,49.00,488800,49.00
2016-09-15,48.28,49.195,48.21,49.075,328600,49.075
2016-09-14,48.32,49.02,48.045,48.515,406700,48.515
2016-09-13,48.25,48.80,48.075,48.475,505300,48.475
2016-09-12,43.72,49.095,43.23,48.655,1571400,48.655
2016-09-09,45.29,45.29,44.055,44.205,346700,44.205
2016-09-08,45.50,45.64,44.94,45.19,340800,45.19
2016-09-07,45.90,45.90,45.36,45.45,348600,45.45
2016-09-06,46.59,46.635,44.99,45.83,403400,45.83
2016-09-05,46.605,46.975,46.225,46.355,195700,46.355
2016-09-02,46.81,46.92,46.10,46.60,283300,46.60
2016-09-01,46.925,47.385,46.50,46.72,292800,46.72
2016-08-31,46.86,47.11,46.455,46.94,379400,46.94
2016-08-30,47.33,47.57,46.945,46.95,178700,46.95
2016-08-29,46.975,47.25,46.70,47.205,81900,47.205
2016-08-26,46.89,47.475,46.595,47.365,143800,47.365
2016-08-25,46.835,46.98,46.365,46.875,155700,46.875
2016-08-24,46.93,47.725,46.75,47.105,215900,47.105
2016-08-23,46.67,47.20,46.54,47.13,259200,47.13
2016-08-22,46.78,47.095,46.305,46.555,310300,46.555
2016-08-19,46.32,46.73,46.05,46.665,204800,46.665
2016-08-18,46.10,46.69,46.035,46.365,159800,46.365
2016-08-17,46.28,46.295,45.625,45.69,256800,45.69
2016-08-16,46.59,46.815,46.155,46.345,261500,46.345
2016-08-15,46.88,47.09,46.69,46.94,170500,46.94
2016-08-12,47.05,47.15,46.57,46.935,141500,46.935
2016-08-11,46.95,47.155,46.54,47.08,260900,47.08
2016-08-10,46.535,46.995,46.425,46.995,250800,46.995
2016-08-09,46.14,46.705,46.03,46.705,313000,46.705
2016-08-08,45.79,46.21,45.64,46.14,189400,46.14
2016-08-05,45.57,45.72,45.295,45.575,341200,45.575
2016-08-04,45.485,45.805,45.115,45.465,321100,45.465
2016-08-03,45.66,45.675,44.99,45.135,367800,45.135
2016-08-02,45.99,45.99,45.18,45.575,364700,45.575
2016-08-01,46.79,46.88,45.915,46.08,304500,46.08
2016-07-29,46.15,46.71,45.885,46.49,425000,46.49
2016-07-28,46.50,47.45,45.50,46.18,744600,46.18
2016-07-27,48.88,48.88,46.59,47.22,909700,47.22
2016-07-26,50.36,51.00,50.23,50.68,273100,50.68
2016-07-25,50.20,50.72,49.95,50.45,224600,50.45
2016-07-22,49.84,50.41,49.645,50.21,182900,50.21
2016-07-21,50.05,50.35,49.695,49.95,217100,49.95
2016-07-20,49.725,50.32,49.375,50.18,310900,50.18
2016-07-19,48.875,49.615,48.66,49.595,253000,49.595
2016-07-18,49.125,49.305,48.665,49.155,301100,49.155
2016-07-15,48.08,48.965,48.005,48.965,236700,48.965
2016-07-14,48.00,49.85,47.67,48.145,253500,48.145
2016-07-13,47.505,48.00,47.31,47.76,197300,47.76
2016-07-12,47.165,48.04,47.135,47.71,249600,47.71
2016-07-11,46.44,47.385,46.39,47.20,164600,47.20
2016-07-08,44.80,46.185,44.79,46.015,264800,46.015
2016-07-07,45.065,45.445,44.86,45.09,189300,45.09
2016-07-06,44.985,45.285,44.29,44.74,381800,44.74
2016-07-05,46.00,46.12,44.99,45.30,278900,45.30
2016-07-04,46.95,47.115,46.03,46.075,247100,46.075
2016-07-01,46.635,47.05,46.485,46.90,383600,46.90
2016-06-30,44.615,46.60,44.615,46.54,574000,46.54
2016-06-29,44.13,44.915,43.67,44.90,376600,44.90
2016-06-28,43.465,43.765,42.945,43.54,407300,43.54
2016-06-27,44.495,44.51,42.585,42.735,648400,42.735
2016-06-24,44.01,45.995,44.00,44.51,651800,44.51
2016-06-23,47.47,48.60,47.465,48.18,272200,48.18
2016-06-22,47.50,47.68,47.135,47.305,145900,47.305
2016-06-21,47.03,47.50,46.775,47.395,206700,47.395
2016-06-20,46.19,47.15,46.19,46.985,210100,46.985
2016-06-17,45.04,45.805,45.035,45.535,510800,45.535
2016-06-16,44.92,45.09,44.47,44.63,389000,44.63
2016-06-15,45.13,45.875,45.095,45.53,294100,45.53
2016-06-14,44.495,45.095,44.15,44.685,334700,44.685
2016-06-13,45.92,46.145,44.90,44.90,380200,44.90
2016-06-10,47.46,47.50,46.38,46.52,298200,46.52
2016-06-09,47.445,47.81,47.095,47.59,220700,47.59
2016-06-08,47.815,48.00,47.395,47.725,240600,47.725
2016-06-07,47.955,48.14,47.765,47.895,329600,47.895
2016-06-06,47.875,48.14,47.705,47.75,195700,47.75
2016-06-03,48.30,48.37,47.39,47.80,237100,47.80
2016-06-02,47.95,48.145,47.62,48.035,389200,48.035
2016-06-01,48.895,48.895,47.80,48.065,363600,48.065
2016-05-31,47.545,48.27,47.295,47.83,426300,47.83
2016-05-30,47.42,47.66,47.255,47.555,105600,47.555
2016-05-27,46.85,47.665,46.81,47.51,210000,47.51
2016-05-26,46.495,47.325,46.45,46.86,152600,46.86
2016-05-25,46.80,46.935,46.26,46.56,306000,46.56
2016-05-24,46.03,46.815,46.03,46.345,304500,46.345
2016-05-23,46.25,46.945,46.14,46.20,220900,46.20
2016-05-20,45.93,46.555,45.84,46.37,190600,46.37
2016-05-19,45.38,46.11,45.30,45.695,164800,45.695
2016-05-18,45.49,45.965,45.385,45.62,318100,45.62
2016-05-17,46.10,46.40,45.675,45.81,312400,45.81
2016-05-16,45.87,45.87,45.87,45.87,000,45.87
2016-05-13,45.51,46.01,45.20,45.87,246300,45.87
2016-05-12,45.475,46.20,45.205,45.68,213200,45.68
2016-05-11,46.00,46.00,45.335,45.905,209100,45.905
2016-05-10,45.615,45.975,45.52,45.93,274200,45.93
2016-05-09,45.49,45.74,45.085,45.285,175500,45.285
2016-05-06,44.81,45.195,44.49,45.10,187000,45.10
2016-05-05,44.535,45.01,44.31,44.825,159800,44.825
