Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,9.465,9.593,9.393,9.593,166200,9.593
2016-10-26,9.33,9.484,9.323,9.453,214000,9.453
2016-10-25,9.43,9.43,9.32,9.42,269500,9.42
2016-10-24,9.283,9.466,9.27,9.373,223800,9.373
2016-10-21,9.186,9.26,9.12,9.212,175000,9.212
2016-10-20,9.05,9.168,9.05,9.159,298900,9.159
2016-10-19,8.874,9.047,8.874,9.03,205300,9.03
2016-10-18,8.93,8.947,8.824,8.901,260200,8.901
2016-10-17,8.84,8.939,8.772,8.899,267300,8.899
2016-10-14,8.70,8.849,8.70,8.84,464000,8.84
2016-10-13,8.885,8.885,8.66,8.70,333700,8.70
2016-10-12,8.90,8.94,8.85,8.921,283400,8.921
2016-10-11,8.855,8.935,8.775,8.87,273900,8.87
2016-10-10,8.747,8.85,8.61,8.85,283200,8.85
2016-10-07,8.591,8.74,8.58,8.72,322600,8.72
2016-10-06,8.56,8.679,8.512,8.617,240400,8.617
2016-10-05,8.51,8.593,8.45,8.523,333300,8.523
2016-10-04,8.347,8.534,8.334,8.534,356400,8.534
2016-10-03,8.32,8.32,8.32,8.32,000,8.32
2016-09-30,8.101,8.32,7.879,8.32,761400,8.32
2016-09-29,8.25,8.32,8.20,8.23,182700,8.23
2016-09-28,8.22,8.329,8.16,8.17,217200,8.17
2016-09-27,8.367,8.367,8.025,8.15,392500,8.15
2016-09-26,8.427,8.427,8.21,8.299,272300,8.299
2016-09-23,8.537,8.537,8.412,8.435,195900,8.435
2016-09-22,8.45,8.625,8.411,8.525,296100,8.525
2016-09-21,8.459,8.54,8.405,8.431,234800,8.431
2016-09-20,8.47,8.481,8.339,8.381,155200,8.381
2016-09-19,8.413,8.562,8.369,8.497,134100,8.497
2016-09-16,8.444,8.509,8.372,8.388,224100,8.388
2016-09-15,8.42,8.486,8.332,8.452,305200,8.452
2016-09-14,8.605,8.617,8.407,8.433,217800,8.433
2016-09-13,8.77,8.77,8.568,8.584,203500,8.584
2016-09-12,8.79,8.79,8.504,8.72,331900,8.72
2016-09-09,8.846,9.055,8.806,8.863,273500,8.863
2016-09-08,8.775,8.91,8.696,8.854,244900,8.854
2016-09-07,8.881,8.881,8.66,8.796,176700,8.796
2016-09-06,8.861,8.93,8.787,8.793,195700,8.793
2016-09-05,8.82,8.861,8.69,8.80,220400,8.80
2016-09-02,8.71,8.877,8.60,8.83,189400,8.83
2016-09-01,8.729,8.83,8.68,8.769,307100,8.769
2016-08-31,8.489,8.75,8.489,8.715,405300,8.715
2016-08-30,8.43,8.64,8.37,8.557,270800,8.557
2016-08-29,8.51,8.536,8.31,8.379,242100,8.379
2016-08-26,8.514,8.61,8.49,8.565,113400,8.565
2016-08-25,8.668,8.697,8.481,8.55,214300,8.55
2016-08-24,8.523,8.737,8.484,8.692,287100,8.692
2016-08-23,8.326,8.581,8.303,8.56,692200,8.56
2016-08-22,8.135,8.343,8.074,8.306,354200,8.306
2016-08-19,8.147,8.147,8.011,8.10,414200,8.10
2016-08-18,8.195,8.264,8.10,8.16,280500,8.16
2016-08-17,8.283,8.346,8.15,8.153,305700,8.153
2016-08-16,8.20,8.354,8.173,8.25,326600,8.25
2016-08-15,8.332,8.337,8.069,8.251,691200,8.251
2016-08-12,8.73,8.78,8.18,8.30,1522700,8.30
2016-08-11,9.00,9.00,8.85,8.903,311200,8.903
2016-08-10,8.71,9.00,8.71,8.996,330700,8.996
2016-08-09,8.729,8.731,8.524,8.668,349300,8.668
2016-08-08,8.60,8.697,8.54,8.678,198300,8.678
2016-08-05,8.368,8.557,8.357,8.517,146300,8.517
2016-08-04,8.301,8.483,8.294,8.383,226300,8.383
2016-08-03,8.10,8.313,8.065,8.261,404100,8.261
2016-08-02,8.392,8.392,8.031,8.093,550500,8.093
2016-08-01,8.63,8.63,8.36,8.392,261500,8.392
2016-07-29,8.428,8.63,8.39,8.58,230100,8.58
2016-07-28,8.424,8.484,8.331,8.42,119500,8.42
2016-07-27,8.486,8.538,8.301,8.383,276300,8.383
2016-07-26,8.493,8.515,8.373,8.446,143400,8.446
2016-07-25,8.515,8.515,8.40,8.477,171800,8.477
2016-07-22,8.501,8.549,8.47,8.48,157200,8.48
2016-07-21,8.55,8.611,8.479,8.496,112400,8.496
2016-07-20,8.47,8.66,8.47,8.577,122400,8.577
2016-07-19,8.545,8.55,8.321,8.459,290500,8.459
2016-07-18,8.63,8.63,8.437,8.545,139600,8.545
