Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,26.155,26.235,25.795,26.225,126400,26.225
2016-10-26,26.04,26.20,25.83,26.14,112800,26.14
2016-10-25,26.365,26.365,25.90,25.93,87200,25.93
2016-10-24,26.41,26.455,26.23,26.24,84500,26.24
2016-10-21,26.295,26.39,26.20,26.30,89600,26.30
2016-10-20,26.315,26.42,26.205,26.33,63100,26.33
2016-10-19,26.33,26.505,26.15,26.34,136000,26.34
2016-10-18,26.415,26.57,26.365,26.365,100400,26.365
2016-10-17,26.27,26.405,26.095,26.285,105600,26.285
2016-10-14,26.135,26.465,26.105,26.40,118000,26.40
2016-10-13,26.17,26.355,26.09,26.15,135600,26.15
2016-10-12,26.265,26.35,26.22,26.275,82300,26.275
2016-10-11,26.575,26.575,26.335,26.34,91100,26.34
2016-10-10,26.475,26.63,26.44,26.55,83300,26.55
2016-10-07,26.535,26.655,26.375,26.50,102500,26.50
2016-10-06,26.80,26.80,26.495,26.63,90300,26.63
2016-10-05,27.025,27.095,26.625,26.69,145600,26.69
2016-10-04,27.06,27.385,26.915,27.005,138600,27.005
2016-10-03,27.06,27.06,27.06,27.06,000,27.06
2016-09-30,27.05,27.11,26.675,27.06,189300,27.06
2016-09-29,27.38,27.39,27.055,27.055,113800,27.055
2016-09-28,27.445,27.47,27.205,27.245,54000,27.245
2016-09-27,27.445,27.445,27.215,27.31,58400,27.31
2016-09-26,27.27,27.53,27.265,27.31,120500,27.31
2016-09-23,27.425,27.505,27.34,27.42,58500,27.42
2016-09-22,27.36,27.625,27.275,27.515,52500,27.515
2016-09-21,27.55,27.58,27.225,27.225,126000,27.225
2016-09-20,27.45,27.665,27.40,27.425,75100,27.425
2016-09-19,27.275,27.51,27.23,27.44,73600,27.44
2016-09-16,27.115,27.385,27.05,27.24,124100,27.24
2016-09-15,27.215,27.315,26.965,27.20,106800,27.20
2016-09-14,27.39,27.605,27.28,27.35,110900,27.35
2016-09-13,27.22,27.485,27.20,27.27,68800,27.27
2016-09-12,27.24,27.53,27.04,27.205,154400,27.205
2016-09-09,27.20,27.495,27.165,27.435,100400,27.435
2016-09-08,27.35,27.50,27.18,27.335,105100,27.335
2016-09-07,27.40,27.52,27.245,27.445,96200,27.445
2016-09-06,27.405,27.465,27.255,27.39,104700,27.39
2016-09-05,27.10,27.45,27.05,27.35,136500,27.35
2016-09-02,26.89,27.22,26.815,27.175,111100,27.175
2016-09-01,26.55,26.84,26.505,26.84,171900,26.84
2016-08-31,26.435,26.765,26.40,26.515,138200,26.515
2016-08-30,26.13,26.64,26.125,26.57,115100,26.57
2016-08-29,26.31,26.31,25.85,26.09,106100,26.09
2016-08-26,26.09,26.32,25.805,26.275,123100,26.275
2016-08-25,25.78,26.235,25.725,26.22,96600,26.22
2016-08-24,26.01,26.115,25.885,26.015,58900,26.015
2016-08-23,26.08,26.255,25.99,26.045,92500,26.045
2016-08-22,25.85,26.09,25.68,26.02,111700,26.02
2016-08-19,26.32,26.32,25.64,25.785,87300,25.785
2016-08-18,26.23,26.385,26.14,26.25,79300,26.25
2016-08-17,26.79,26.79,26.165,26.205,81500,26.205
2016-08-16,26.74,26.785,26.51,26.685,78200,26.685
2016-08-15,26.94,26.965,26.70,26.835,49700,26.835
2016-08-12,26.50,26.975,26.415,26.82,154600,26.82
2016-08-11,26.66,26.80,26.515,26.565,54400,26.565
2016-08-10,26.74,26.86,26.51,26.60,63300,26.60
2016-08-09,26.80,26.90,26.445,26.875,87700,26.875
2016-08-08,26.925,26.925,26.37,26.54,67100,26.54
2016-08-05,26.46,26.755,26.305,26.70,87800,26.70
2016-08-04,27.00,27.18,26.00,26.27,112100,26.27
2016-08-03,26.675,26.675,26.22,26.47,111700,26.47
2016-08-02,26.39,26.54,26.39,26.405,76900,26.405
2016-08-01,26.48,26.65,26.385,26.445,64500,26.445
2016-07-29,26.465,26.465,26.115,26.35,92600,26.35
2016-07-28,26.265,26.64,26.265,26.49,134600,26.49
2016-07-27,26.23,26.395,26.13,26.395,128100,26.395
2016-07-26,26.095,26.33,26.095,26.20,50300,26.20
2016-07-25,25.93,26.23,25.93,26.18,69900,26.18
2016-07-22,26.045,26.12,25.855,26.005,49800,26.005
2016-07-21,26.04,26.04,25.78,25.915,61100,25.915
2016-07-20,25.79,25.985,25.55,25.945,112000,25.945
2016-07-19,25.80,25.87,25.62,25.635,82600,25.635
2016-07-18,25.855,26.08,25.74,25.88,58200,25.88
2016-07-15,25.95,25.95,25.595,25.77,89700,25.77
2016-07-14,26.24,26.24,25.89,25.89,103100,25.89
2016-07-13,26.15,26.25,26.065,26.18,77000,26.18
2016-07-12,26.37,26.455,26.15,26.15,100600,26.15
2016-07-11,26.40,26.595,26.37,26.44,56300,26.44
2016-07-08,26.22,26.34,26.065,26.27,91000,26.27
2016-07-07,26.05,26.345,26.05,26.155,76300,26.155
2016-07-06,26.17,26.295,25.835,26.03,94300,26.03
2016-07-05,26.395,26.435,26.055,26.30,61500,26.30
2016-07-04,26.655,26.69,26.32,26.43,61600,26.43
