Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,62.99,63.41,62.33,62.56,120500,62.56
2016-10-26,62.77,63.06,61.88,63.06,124600,63.06
2016-10-25,62.87,63.13,62.45,62.87,135500,62.87
2016-10-24,62.78,63.30,62.78,62.85,84200,62.85
2016-10-21,62.68,63.31,62.48,62.58,109000,62.58
2016-10-20,62.71,62.89,62.17,62.50,92200,62.50
2016-10-19,62.11,62.78,61.89,62.78,88000,62.78
2016-10-18,61.84,62.25,61.64,62.16,102400,62.16
2016-10-17,62.01,62.38,61.30,61.75,176500,61.75
2016-10-14,61.30,61.80,61.07,61.47,88600,61.47
2016-10-13,61.52,61.53,60.42,61.00,128500,61.00
2016-10-12,61.98,62.43,61.83,61.94,107000,61.94
2016-10-11,62.16,62.48,61.76,61.94,109500,61.94
2016-10-10,62.44,62.60,61.46,62.15,110100,62.15
2016-10-07,63.58,63.58,61.96,62.12,101200,62.12
2016-10-06,63.50,64.40,63.38,63.80,115200,63.80
2016-10-05,61.81,63.26,61.52,63.26,180400,63.26
2016-10-04,61.50,62.39,61.50,62.09,191700,62.09
2016-10-03,61.96,61.96,61.96,61.96,000,61.96
2016-09-30,62.00,62.21,61.00,61.96,198800,61.96
2016-09-29,63.99,64.47,62.77,62.81,89900,62.81
2016-09-28,62.99,64.49,62.73,63.50,93100,63.50
2016-09-27,63.20,63.36,61.58,62.70,67600,62.70
2016-09-26,63.56,63.56,62.92,63.01,56000,63.01
2016-09-23,64.53,64.68,63.86,64.03,71000,64.03
2016-09-22,63.94,65.18,63.91,64.86,67600,64.86
2016-09-21,64.08,64.49,63.49,63.55,72300,63.55
2016-09-20,63.35,63.96,62.98,63.60,54900,63.60
2016-09-19,63.12,63.56,62.61,63.31,74200,63.31
2016-09-16,63.84,64.19,62.56,62.65,135600,62.65
2016-09-15,62.59,64.10,62.59,64.01,138100,64.01
2016-09-14,63.00,63.28,62.72,62.94,142200,62.94
2016-09-13,64.07,64.47,62.88,62.93,102900,62.93
2016-09-12,63.18,64.00,62.64,63.85,119400,63.85
2016-09-09,64.93,65.41,63.86,64.01,91000,64.01
2016-09-08,66.40,66.65,65.01,65.37,84600,65.37
2016-09-07,66.00,66.70,66.00,66.51,70400,66.51
2016-09-06,66.31,66.51,65.80,66.15,89100,66.15
2016-09-05,66.50,66.60,65.94,65.99,77000,65.99
2016-09-02,66.00,66.45,65.34,66.34,142100,66.34
2016-09-01,65.11,66.65,65.08,65.47,183100,65.47
2016-08-31,64.90,65.47,64.53,64.74,93900,64.74
2016-08-30,64.90,65.36,64.80,64.95,75900,64.95
2016-08-29,64.92,65.20,64.39,64.65,61500,64.65
2016-08-26,64.20,65.22,63.99,65.17,81400,65.17
2016-08-25,64.66,64.66,63.75,64.36,93000,64.36
2016-08-24,64.77,65.35,64.53,64.88,62800,64.88
2016-08-23,64.82,65.30,64.33,64.97,95600,64.97
2016-08-22,64.00,65.00,63.83,64.44,134800,64.44
2016-08-19,64.82,64.82,63.29,64.01,89200,64.01
2016-08-18,63.81,65.06,63.76,64.68,79500,64.68
2016-08-17,64.04,64.04,63.29,63.40,86700,63.40
2016-08-16,64.46,64.81,64.00,64.08,91700,64.08
2016-08-15,64.86,65.51,64.79,65.09,73800,65.09
2016-08-12,65.15,65.47,64.85,64.90,86800,64.90
2016-08-11,64.90,65.25,64.43,65.25,96100,65.25
2016-08-10,64.66,64.95,64.11,64.93,117700,64.93
2016-08-09,63.57,64.93,63.57,64.92,165100,64.92
2016-08-08,63.73,64.02,63.12,63.41,149900,63.41
2016-08-05,62.08,63.71,61.60,63.36,344700,63.36
2016-08-04,64.00,65.73,63.55,64.00,307900,64.00
2016-08-03,62.71,62.76,61.86,61.95,236100,61.95
2016-08-02,62.73,62.77,61.55,62.59,192900,62.59
2016-08-01,63.13,63.17,62.09,62.92,196500,62.92
2016-07-29,62.50,62.89,61.83,62.62,194600,62.62
2016-07-28,61.92,62.78,61.58,62.43,187400,62.43
2016-07-27,62.55,62.74,61.00,62.04,200700,62.04
2016-07-26,59.90,62.24,59.70,62.03,308600,62.03
2016-07-25,58.63,59.36,58.10,59.00,129300,59.00
2016-07-22,58.23,58.59,57.68,58.41,127300,58.41
2016-07-21,59.00,59.00,57.75,58.06,149500,58.06
2016-07-20,57.82,58.91,57.58,58.65,178900,58.65
2016-07-19,56.70,57.33,55.88,57.21,196800,57.21
2016-07-18,56.83,57.88,56.79,57.13,218700,57.13
2016-07-15,56.98,56.98,55.88,56.61,184200,56.61
2016-07-14,55.59,57.56,55.59,57.00,378200,57.00
2016-07-13,55.31,55.36,54.08,54.08,169100,54.08
2016-07-12,54.55,55.95,54.53,55.16,151800,55.16
2016-07-11,53.96,54.78,53.72,54.43,127000,54.43
2016-07-08,51.48,53.94,50.93,53.22,312900,53.22
2016-07-07,52.09,52.44,51.35,51.47,277100,51.47
2016-07-06,52.92,53.33,51.56,51.84,252900,51.84
2016-07-05,54.50,54.54,52.97,53.23,336200,53.23
2016-07-04,56.45,57.45,54.50,54.74,221500,54.74
2016-07-01,53.66,55.04,52.81,54.79,232300,54.79
2016-06-30,53.10,53.71,52.77,53.20,171300,53.20
2016-06-29,53.66,54.12,53.02,53.38,182900,53.38
2016-06-28,53.99,54.12,52.71,53.02,244900,53.02
2016-06-27,56.20,56.50,52.21,52.54,223100,52.54
2016-06-24,53.00,57.87,48.02,56.05,565700,56.05
2016-06-23,58.68,59.23,58.07,59.08,174800,59.08
2016-06-22,58.50,58.61,57.92,58.12,250800,58.12
2016-06-21,57.61,58.20,56.85,58.10,241500,58.10
2016-06-20,55.92,58.19,55.92,57.94,197900,57.94
2016-06-17,54.81,55.75,54.45,54.52,184300,54.52
2016-06-16,55.14,55.65,54.22,54.47,238500,54.47
2016-06-15,55.10,56.18,55.05,55.80,270300,55.80
2016-06-14,55.46,55.74,54.57,54.94,408600,54.94
2016-06-13,55.56,56.24,55.09,55.97,222900,55.97
2016-06-10,58.20,58.20,56.35,56.44,257900,56.44
2016-06-09,60.02,60.17,58.31,58.67,141800,58.67
2016-06-08,61.00,61.05,59.90,60.20,96500,60.20
2016-06-07,60.79,61.38,60.41,61.37,100800,61.37
2016-06-06,60.36,60.84,60.23,60.39,88300,60.39
2016-06-03,61.63,61.90,59.88,60.25,129800,60.25
2016-06-02,61.30,61.90,60.98,61.46,88700,61.46
2016-06-01,61.87,62.30,61.13,61.21,222400,61.21
2016-05-31,60.95,61.95,60.50,61.71,173000,61.71
2016-05-30,61.22,61.44,60.59,60.95,65800,60.95
2016-05-27,60.80,61.41,60.33,61.13,138300,61.13
2016-05-26,61.23,61.45,60.75,60.94,106700,60.94
2016-05-25,60.93,61.22,60.48,60.81,224500,60.81
2016-05-24,59.38,60.30,58.42,60.11,115300,60.11
2016-05-23,60.47,60.62,59.15,59.64,189800,59.64
2016-05-20,60.10,60.34,59.16,60.26,257400,60.26
2016-05-19,58.47,59.39,57.98,59.10,168600,59.10
2016-05-18,58.00,58.81,57.27,58.75,276100,58.75
2016-05-17,60.00,60.26,58.24,59.00,279600,59.00
2016-05-16,59.63,59.63,59.63,59.63,000,59.63
2016-05-13,60.73,60.73,57.93,59.63,454800,59.63
2016-05-12,64.49,65.27,60.53,60.65,546900,60.65
2016-05-11,65.48,66.34,65.18,66.25,190600,66.25
2016-05-10,66.11,67.06,65.51,66.32,143700,65.22
2016-05-09,66.52,67.00,65.92,65.92,80000,64.827
2016-05-06,65.72,66.38,65.36,65.91,87600,64.817
2016-05-05,64.98,66.00,64.98,66.00,200200,64.905
2016-05-04,65.42,65.72,64.68,64.97,243400,63.892
2016-05-03,67.00,67.05,64.76,65.42,294700,64.335
2016-05-02,67.50,68.02,67.06,67.18,147400,66.066
2016-04-29,69.82,70.53,68.31,68.32,172000,67.187
2016-04-28,69.78,70.61,69.16,70.61,101700,69.439
2016-04-27,68.79,70.77,68.51,70.47,194100,69.301
2016-04-26,68.90,69.45,68.60,68.92,138600,67.777
2016-04-25,68.20,69.39,67.76,68.53,127700,67.393
2016-04-22,68.15,68.38,67.16,67.89,87300,66.764
2016-04-21,68.71,68.90,67.86,68.33,154700,67.197
2016-04-20,69.30,69.66,67.85,68.22,112000,67.088
2016-04-19,69.00,69.50,68.16,69.38,104500,68.229
2016-04-18,67.04,68.63,66.80,68.41,87800,67.275
2016-04-15,69.01,69.02,67.27,67.65,123500,66.528
2016-04-14,69.25,70.04,68.68,69.06,183600,67.915
2016-04-13,67.00,69.36,66.78,69.05,146200,67.905
2016-04-12,67.05,67.05,65.80,66.77,151900,65.663
2016-04-11,66.90,67.93,65.80,67.00,112800,65.889
2016-04-08,66.00,67.18,65.82,66.80,177100,65.692
2016-04-07,68.09,68.68,66.06,66.19,199900,65.092
2016-04-06,67.07,68.40,66.38,68.27,155400,67.138
2016-04-05,68.71,68.89,65.62,66.87,292800,65.761
2016-04-04,69.71,71.29,69.46,70.10,156900,68.937
2016-04-01,69.77,70.24,69.10,70.21,131300,69.045
2016-03-31,69.80,70.33,69.35,70.22,130900,69.055
2016-03-30,69.23,70.32,69.23,69.90,171400,68.741
2016-03-29,68.97,69.65,67.88,68.85,176200,67.708
2016-03-28,68.64,68.64,68.64,68.64,000,67.502
2016-03-25,68.64,68.64,68.64,68.64,000,67.502
2016-03-24,68.02,69.68,67.67,68.64,186300,67.502
2016-03-23,67.65,68.59,67.24,68.12,161200,66.99
2016-03-22,65.77,67.53,64.78,66.89,215100,65.781
2016-03-21,66.97,67.60,65.66,66.05,226200,64.954
2016-03-18,68.23,69.15,67.66,68.33,196500,67.197
2016-03-17,69.50,70.00,66.24,68.11,225800,66.98
2016-03-16,68.32,69.00,68.17,68.44,169800,67.305
2016-03-15,67.83,68.41,67.35,68.17,92500,67.039
2016-03-14,68.10,69.36,67.81,68.19,140300,67.059
2016-03-11,66.24,67.64,66.06,67.51,108500,66.39
2016-03-10,67.12,68.84,65.27,65.27,201700,64.187
2016-03-09,66.42,67.80,66.35,67.38,129000,66.262
2016-03-08,66.85,67.36,65.89,66.40,188000,65.299
2016-03-07,68.34,68.85,66.83,67.66,121000,66.538
2016-03-04,68.69,69.55,67.62,68.72,118900,67.58
2016-03-03,68.70,68.70,67.60,68.50,103700,67.364
2016-03-02,69.50,70.24,67.36,68.17,231300,67.039
2016-03-01,66.00,70.08,65.88,69.92,284600,68.76
2016-02-29,64.53,65.93,64.33,65.78,217100,64.689
2016-02-26,64.99,66.38,63.94,64.90,359300,63.824
2016-02-25,61.25,63.24,61.00,62.56,199000,61.522
2016-02-24,62.62,63.35,60.00,60.42,233600,59.418
2016-02-23,62.88,63.90,62.46,62.85,108200,61.808
2016-02-22,62.91,63.90,62.73,63.44,154900,62.388
2016-02-19,63.30,63.68,61.57,62.28,156900,61.247
2016-02-18,63.40,64.63,62.53,63.57,191400,62.516
2016-02-17,60.87,63.00,60.52,62.62,172200,61.581
2016-02-16,62.00,62.07,60.20,60.60,205200,59.595
2016-02-15,58.30,60.56,58.21,60.24,291600,59.241
2016-02-12,56.86,57.12,55.61,57.12,200500,56.173
2016-02-11,57.52,57.52,55.55,55.94,244900,55.012
2016-02-10,56.71,59.46,56.71,58.21,328700,57.245
2016-02-09,56.50,57.08,53.84,56.47,372900,55.533
2016-02-08,60.78,60.97,56.73,56.87,447100,55.927
2016-02-05,61.99,62.81,60.77,60.89,251800,59.88
2016-02-04,65.65,65.65,61.18,62.00,305800,60.972
2016-02-03,64.98,66.95,64.58,65.34,350700,64.256
2016-02-02,64.92,66.67,64.71,65.26,301800,64.178
2016-02-01,65.20,65.44,63.46,64.87,332200,63.794
2016-01-29,62.80,65.75,62.64,65.60,291100,64.512
2016-01-28,62.79,63.61,61.55,62.10,255700,61.07
2016-01-27,61.55,63.74,61.30,63.26,241000,62.211
2016-01-26,59.19,62.09,59.14,61.50,263100,60.48
2016-01-25,59.38,60.37,58.73,60.14,229800,59.143
2016-01-22,57.32,60.43,56.92,59.20,296200,58.218
2016-01-21,55.95,56.87,55.34,56.46,192300,55.524
2016-01-20,56.67,57.52,55.80,56.07,283800,55.14
2016-01-19,56.81,58.07,56.00,57.96,263600,56.999
2016-01-18,55.50,56.38,54.92,55.54,136500,54.619
2016-01-15,56.85,57.09,55.20,55.72,265300,54.796
2016-01-14,58.43,58.43,55.95,56.58,340500,55.642
2016-01-13,59.65,60.35,59.40,59.54,292100,58.552
2016-01-12,58.71,59.61,58.36,59.03,210600,58.051
2016-01-11,58.41,59.57,57.86,58.61,249600,57.638
2016-01-08,58.07,59.74,57.60,58.73,346000,57.756
2016-01-07,58.26,58.50,56.42,57.71,510300,56.753
2016-01-06,61.07,61.92,60.11,60.92,381700,59.91
2016-01-05,60.86,61.78,60.26,61.45,274600,60.431
2016-01-04,60.86,60.97,59.50,60.52,197200,59.516
2016-01-01,61.48,61.48,61.48,61.48,000,60.46
2015-12-31,61.48,61.48,61.48,61.48,000,60.46
2015-12-30,61.50,61.62,60.76,61.48,58600,60.46
2015-12-29,60.77,61.65,60.56,61.37,126300,60.352
2015-12-28,61.40,61.40,60.23,60.26,64900,59.261
2015-12-25,61.17,61.17,61.17,61.17,000,60.155
2015-12-24,61.17,61.17,61.17,61.17,000,60.155
2015-12-23,61.21,61.40,60.59,61.17,75800,60.155
2015-12-22,61.28,61.60,60.20,60.42,88500,59.418
2015-12-21,62.00,62.82,60.84,60.84,93600,59.831
2015-12-18,62.74,62.94,61.61,61.94,339200,60.913
2015-12-17,62.30,63.97,62.18,63.19,234300,62.142
2015-12-16,61.40,62.10,61.11,61.40,158800,60.382
2015-12-15,60.89,61.52,60.04,61.30,247000,60.283
2015-12-14,60.58,61.33,60.13,60.31,243800,59.31
2015-12-11,61.16,61.31,60.22,60.46,274200,59.457
2015-12-10,61.26,61.80,60.71,61.36,121300,60.342
2015-12-09,61.56,62.17,61.28,61.51,175000,60.49
2015-12-08,61.64,62.12,61.21,61.50,233000,60.48
2015-12-07,60.01,61.84,59.83,61.84,525700,60.814
2015-12-04,59.13,59.96,58.75,59.60,311300,58.611
2015-12-03,59.87,60.94,58.78,59.22,420600,58.238
2015-12-02,59.80,60.16,59.34,59.83,214400,58.838
2015-12-01,60.30,60.88,59.35,59.44,262600,58.454
2015-11-30,59.94,60.07,59.37,60.07,277900,59.074
2015-11-27,60.00,60.10,59.50,59.88,122800,58.887
2015-11-26,59.92,60.12,59.69,59.92,185400,58.926
2015-11-25,58.55,59.91,58.34,59.80,247900,58.808
2015-11-24,58.78,59.10,57.80,58.50,196300,57.53
2015-11-23,58.30,59.26,58.13,59.26,339000,58.277
2015-11-20,58.71,58.88,58.20,58.40,144800,57.431
2015-11-19,58.25,58.88,57.97,58.42,180800,57.451
2015-11-18,57.75,58.07,57.35,57.77,240000,56.812
2015-11-17,56.80,57.90,56.38,57.75,306000,56.792
2015-11-16,53.90,56.56,53.90,56.44,554600,55.504
2015-11-13,54.78,55.46,52.60,53.84,497600,52.947
2015-11-12,57.09,57.21,54.06,54.53,523300,53.626
2015-11-11,57.70,58.10,56.53,57.04,807200,56.094
2015-11-10,61.58,62.20,61.26,61.70,192200,60.677
2015-11-09,61.87,62.94,61.30,61.55,291800,60.529
2015-11-06,58.75,64.22,58.75,62.45,627200,61.414
2015-11-05,58.10,60.84,57.68,60.16,535900,59.162
2015-11-04,56.40,57.89,55.69,56.29,262200,55.356
2015-11-03,58.84,58.84,57.53,58.09,164000,57.127
2015-11-02,56.85,58.93,56.85,58.44,206200,57.471
2015-10-30,56.63,57.98,56.59,57.26,277800,56.31
2015-10-29,55.90,56.59,55.75,56.31,156200,55.376
2015-10-28,54.54,55.50,54.52,55.48,128800,54.56
2015-10-27,54.96,55.36,54.41,54.53,110600,53.626
2015-10-26,55.05,55.81,54.92,55.30,139400,54.383
2015-10-23,54.69,55.66,54.52,55.00,176500,54.088
2015-10-22,54.63,54.86,53.45,54.29,219700,53.39
2015-10-21,53.61,55.03,53.51,54.74,203600,53.832
2015-10-20,52.92,53.61,52.18,53.30,184700,52.416
2015-10-19,53.25,53.89,52.75,53.04,189500,52.16
2015-10-16,53.00,53.54,52.68,53.14,144900,52.259
2015-10-15,53.09,53.31,52.20,52.50,202300,51.629
2015-10-14,53.26,53.63,52.53,52.91,188000,52.032
2015-10-13,55.69,55.69,53.20,53.69,239600,52.799
2015-10-12,56.73,57.12,55.60,55.79,148400,54.865
2015-10-09,56.92,57.49,56.27,56.56,179300,55.622
2015-10-08,57.48,58.15,56.14,56.50,179900,55.563
2015-10-07,56.50,57.99,56.50,57.54,238700,56.586
2015-10-06,56.05,56.64,55.91,56.28,238500,55.347
2015-10-05,57.65,57.65,55.96,56.13,297900,55.199
2015-10-02,56.89,57.36,56.06,56.79,236800,55.848
2015-10-01,55.29,56.87,55.23,56.34,347100,55.406
2015-09-30,54.00,55.22,53.53,54.78,259500,53.871
2015-09-29,50.61,53.15,50.52,52.35,261200,51.482
2015-09-28,53.60,53.70,51.41,51.55,231000,50.695
2015-09-25,53.50,54.31,53.13,53.93,198300,53.036
2015-09-24,53.51,54.39,51.73,52.14,340400,51.275
2015-09-23,51.76,54.03,51.08,53.40,321100,52.514
2015-09-22,56.45,56.67,51.68,51.87,456700,51.01
2015-09-21,56.35,57.34,55.56,56.42,282400,55.484
2015-09-18,57.50,57.51,56.14,57.02,185700,56.074
2015-09-17,58.00,58.00,57.26,57.70,153300,56.743
2015-09-16,57.18,58.79,57.09,57.70,270100,56.743
2015-09-15,56.39,57.22,55.83,56.79,126200,55.848
2015-09-14,55.80,56.50,55.51,56.00,180500,55.071
2015-09-11,56.68,57.49,55.06,55.65,378000,54.727
2015-09-10,55.83,57.25,55.75,56.65,122600,55.71
2015-09-09,55.50,57.15,55.40,56.46,251200,55.524
2015-09-08,54.60,55.46,54.59,55.05,209000,54.137
2015-09-07,54.47,54.75,53.61,54.07,111500,53.173
2015-09-04,55.64,55.64,53.37,53.88,220300,52.986
2015-09-03,54.23,56.88,54.03,56.38,229800,55.445
2015-09-02,53.71,54.57,53.58,53.59,181900,52.701
2015-09-01,54.05,54.40,52.94,53.71,181600,52.819
2015-08-31,54.80,55.04,54.11,55.02,98700,54.107
2015-08-28,54.91,55.37,54.45,55.02,165900,54.107
2015-08-27,54.79,55.54,53.89,55.05,241000,54.137
2015-08-26,51.88,54.51,51.50,52.94,288300,52.062
2015-08-25,50.71,53.97,50.46,52.80,427200,51.924
2015-08-24,50.00,50.86,48.45,50.07,337300,49.24
2015-08-21,51.05,53.42,50.65,51.75,274000,50.892
2015-08-20,54.00,54.27,51.88,52.10,300000,51.236
