Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,70.52,70.97,70.12,70.50,112500,70.50
2016-10-26,70.53,70.78,70.00,70.55,89200,70.55
2016-10-25,70.88,71.16,70.41,70.55,90200,70.55
2016-10-24,70.52,71.26,70.51,70.65,91700,70.65
2016-10-21,70.90,71.06,70.20,70.50,174400,70.50
2016-10-20,72.03,72.34,71.16,71.25,131500,71.25
2016-10-19,71.83,71.99,71.42,71.94,121800,71.94
2016-10-18,71.75,72.03,71.53,71.75,85400,71.75
2016-10-17,71.83,71.97,71.11,71.50,68600,71.50
2016-10-14,71.60,72.02,71.40,71.91,72700,71.91
2016-10-13,71.56,72.02,70.66,71.28,91800,71.28
2016-10-12,72.48,72.61,71.87,72.08,65200,72.08
2016-10-11,72.44,72.58,72.15,72.45,112900,72.45
2016-10-10,72.66,72.90,72.23,72.43,97800,72.43
2016-10-07,73.58,73.77,72.30,72.30,107800,72.30
2016-10-06,73.68,73.89,73.14,73.51,49400,73.51
2016-10-05,73.68,73.68,73.21,73.48,52200,73.48
2016-10-04,74.00,74.33,73.80,74.00,101500,74.00
2016-10-03,73.93,73.93,73.93,73.93,000,73.93
2016-09-30,73.43,74.19,73.08,73.93,116000,73.93
2016-09-29,74.38,74.39,73.67,74.03,65900,74.03
2016-09-28,74.18,74.35,73.47,74.03,85600,74.03
2016-09-27,73.00,73.98,72.36,73.96,103600,73.96
2016-09-26,73.75,73.85,72.64,72.75,63600,72.75
2016-09-23,74.24,74.25,73.75,73.95,64100,73.95
2016-09-22,74.51,74.51,73.82,74.25,78200,74.25
2016-09-21,75.56,75.56,73.77,73.86,50700,73.86
2016-09-20,74.10,75.17,74.02,75.00,75000,75.00
2016-09-19,73.97,74.50,73.88,74.25,53900,74.25
2016-09-16,74.20,74.26,73.22,73.78,113900,73.78
2016-09-15,73.85,74.26,73.71,74.21,59500,74.21
2016-09-14,74.23,74.55,73.97,74.05,122100,74.05
2016-09-13,74.71,74.71,73.90,73.91,81400,73.91
2016-09-12,74.01,74.76,73.31,74.32,119500,74.32
2016-09-09,74.62,75.27,74.42,74.46,82900,74.46
2016-09-08,75.59,75.66,74.56,74.89,68000,74.89
2016-09-07,76.48,76.48,75.46,75.73,66800,75.73
2016-09-06,76.59,76.91,75.92,76.30,90500,76.30
2016-09-05,77.60,77.77,76.84,77.26,67300,76.26
2016-09-02,76.52,77.61,76.36,77.48,91600,76.48
2016-09-01,75.59,77.39,75.43,76.15,147800,75.16
2016-08-31,77.42,77.44,75.36,75.45,197300,74.47
2016-08-30,77.89,78.46,77.34,77.34,79500,76.34
2016-08-29,78.15,78.28,77.35,77.96,36000,76.95
2016-08-26,78.51,79.01,78.37,78.37,71000,77.36
2016-08-25,78.48,78.97,77.25,78.87,166500,77.85
2016-08-24,77.90,79.42,77.82,79.42,95700,78.39
2016-08-23,77.98,78.32,77.55,78.06,81100,77.05
2016-08-22,77.45,77.99,77.03,77.87,49600,76.86
2016-08-19,77.60,77.87,77.04,77.22,44100,76.22
2016-08-18,77.50,78.45,77.44,77.76,51800,76.75
2016-08-17,77.80,78.34,76.60,76.99,68000,75.99
2016-08-16,77.58,78.08,77.52,77.67,59300,76.66
2016-08-15,78.00,78.39,77.72,77.96,39800,76.95
2016-08-12,77.45,78.11,77.44,78.02,38600,77.01
2016-08-11,77.48,77.79,77.09,77.79,56600,76.78
2016-08-10,76.87,77.48,76.87,77.33,58100,76.33
2016-08-09,76.32,77.20,76.32,77.17,54500,76.17
2016-08-08,77.08,77.21,76.40,76.50,54400,75.51
2016-08-05,76.10,77.03,76.10,77.01,70700,76.01
2016-08-04,75.88,76.30,75.71,76.08,71400,75.10
2016-08-03,76.19,76.19,75.50,75.66,71800,74.68
2016-08-02,76.52,76.77,75.90,76.02,109500,75.04
2016-08-01,76.38,76.64,75.97,76.31,77000,75.32
2016-07-29,76.45,76.45,75.72,76.24,96100,75.25
2016-07-28,76.65,76.87,76.09,76.20,137000,75.21
2016-07-27,76.18,76.66,76.08,76.56,58200,75.57
2016-07-26,75.94,76.41,75.77,76.11,67700,75.12
2016-07-25,75.72,76.18,75.48,76.09,62500,75.11
2016-07-22,75.53,75.74,75.01,75.70,82900,74.72
2016-07-21,75.68,75.78,75.01,75.75,120900,74.77
2016-07-20,74.97,75.62,74.41,75.57,96500,74.59
2016-07-19,74.36,74.69,74.00,74.66,103900,73.69
2016-07-18,74.38,74.80,74.33,74.50,79600,73.54
2016-07-15,73.90,74.32,73.49,74.32,110900,73.36
2016-07-14,73.76,74.16,73.30,74.14,100800,73.18
2016-07-13,71.89,73.36,71.65,73.14,121300,72.19
2016-07-12,71.74,72.25,71.52,71.80,189800,70.87
2016-07-11,71.53,71.57,71.00,71.25,146300,70.33
2016-07-08,69.83,70.81,69.83,70.70,145000,69.78
2016-07-07,70.13,70.47,69.75,69.80,113700,68.90
2016-07-06,70.90,71.02,69.55,69.70,172100,68.80
2016-07-05,72.48,72.68,70.95,70.98,118700,70.06
2016-07-04,73.82,74.01,72.38,72.38,63500,71.44
2016-07-01,73.79,74.31,73.15,74.10,126600,73.14
2016-06-30,74.30,74.55,73.28,73.34,244900,72.39
2016-06-29,74.63,74.98,74.23,74.74,148900,73.77
2016-06-28,75.33,75.97,74.10,74.10,125000,73.14
2016-06-27,76.24,76.46,73.80,74.08,178800,73.12
2016-06-24,76.01,77.56,75.24,76.44,202100,75.45
2016-06-23,79.51,80.18,79.23,79.80,150000,78.77
2016-06-22,79.90,79.90,78.89,79.18,113000,78.16
2016-06-21,80.33,80.41,79.44,79.75,80700,78.72
2016-06-20,79.90,81.00,79.90,80.27,127200,79.23
2016-06-17,78.58,79.47,78.33,79.47,185800,78.44
2016-06-16,77.12,78.54,77.11,78.23,146000,77.22
2016-06-15,77.74,78.15,77.23,77.55,142700,76.55
2016-06-14,77.07,77.75,76.40,77.21,181400,76.21
2016-06-13,77.40,77.84,76.93,77.20,111600,76.20
2016-06-10,79.46,79.59,77.58,77.99,116600,76.98
2016-06-09,79.82,79.87,78.90,79.65,113400,78.62
2016-06-08,80.80,80.96,79.65,79.91,148300,78.88
2016-06-07,79.93,80.95,79.93,80.95,124600,79.90
2016-06-06,80.27,80.59,79.74,79.74,104900,78.71
2016-06-03,80.78,81.17,79.55,79.97,144500,78.93
2016-06-02,80.80,80.82,80.28,80.34,140800,79.30
2016-06-01,80.61,81.88,80.28,81.11,170800,80.06
2016-05-31,83.00,83.36,80.61,80.61,927600,79.57
2016-05-30,82.91,83.27,82.04,82.90,114100,81.83
2016-05-27,81.53,82.95,81.28,82.95,200800,81.88
2016-05-26,80.98,82.03,80.68,81.78,129500,80.72
2016-05-25,80.80,81.26,80.52,80.85,146500,79.80
2016-05-24,79.19,80.92,78.87,80.75,149700,79.70
2016-05-23,80.14,80.45,79.29,79.52,117000,78.49
2016-05-20,78.90,80.48,78.55,80.45,143500,79.41
2016-05-19,77.44,78.75,77.44,78.18,113000,77.17
2016-05-18,77.05,78.39,76.57,78.10,191000,77.09
2016-05-17,75.92,77.67,75.81,77.57,199500,76.57
2016-05-16,75.67,75.67,75.67,75.67,000,74.69
2016-05-13,75.58,76.17,75.25,75.67,230400,74.69
2016-05-12,74.75,76.61,74.24,75.77,114400,74.79
2016-05-11,75.21,75.48,74.23,74.75,186600,73.78
2016-05-10,74.17,75.10,74.04,74.91,153000,73.94
2016-05-09,73.74,74.66,73.65,73.86,97800,72.90
2016-05-06,73.33,74.26,73.23,73.60,101700,72.65
2016-05-05,72.98,73.70,72.75,73.63,69200,72.68
2016-05-04,73.49,73.49,72.36,72.88,88500,71.94
2016-05-03,72.62,73.59,72.06,73.59,130900,72.64
2016-05-02,73.00,73.42,72.53,72.86,49600,71.92
2016-04-29,73.48,73.60,72.73,72.96,119500,72.02
2016-04-28,72.10,73.71,71.93,73.56,109300,72.61
2016-04-27,72.15,72.62,71.52,72.40,71200,71.46
2016-04-26,70.76,72.36,70.75,72.10,87700,71.17
2016-04-25,73.10,73.40,72.51,73.15,77700,69.24
2016-04-22,73.15,73.26,72.45,73.26,78300,69.35
2016-04-21,73.55,73.66,72.45,73.07,81600,69.17
2016-04-20,74.20,74.29,73.19,73.49,154200,69.56
2016-04-19,73.18,74.64,73.10,73.93,219700,69.98
2016-04-18,72.86,73.10,72.50,72.69,123500,68.81
2016-04-15,73.10,73.22,72.56,73.00,118500,69.10
2016-04-14,73.38,73.65,72.75,73.00,92500,69.10
2016-04-13,73.55,73.96,72.94,73.05,130600,69.15
2016-04-12,72.84,73.15,72.15,73.00,90100,69.10
2016-04-11,72.75,73.38,72.17,72.64,104300,68.76
2016-04-08,72.97,73.28,72.55,72.60,70700,68.72
2016-04-07,73.13,73.18,72.34,72.71,105300,68.83
2016-04-06,72.63,72.98,72.21,72.62,95300,68.74
2016-04-05,73.53,73.85,72.30,72.35,83500,68.48
2016-04-04,74.46,75.00,73.66,73.92,81800,69.97
2016-04-01,73.55,74.24,73.14,74.24,90300,70.27
2016-03-31,74.83,75.00,74.12,74.44,129100,70.46
2016-03-30,74.51,75.05,74.13,74.67,72800,70.68
2016-03-29,74.50,74.73,73.73,74.21,72800,70.25
2016-03-28,74.08,74.08,74.08,74.08,000,70.12
2016-03-25,74.08,74.08,74.08,74.08,000,70.12
2016-03-24,75.52,75.79,73.80,74.08,92300,70.12
2016-03-23,75.89,76.29,75.31,75.66,145300,71.62
2016-03-22,75.94,76.16,75.13,75.65,110400,71.61
2016-03-21,76.57,76.84,75.69,76.00,77700,71.94
2016-03-18,76.66,76.87,75.71,76.18,170300,72.11
